review_text,rating,author_name,timestamp
"Excellent hotel, up to date, attention to detail",10,Kiumars,2025-10-07
,10,Paula,2025-10-06
,10,Tait,2025-10-03
"I don't know who's idea it was to put the bathroom outlet on the opposite side of the mirror. No convenient at all. Also, as much as the water stations are nice, it would be nice to have ice on every floor.",8,Ronna,2025-10-01
"We enjoyed everything about the hotel, restaurant and shopping around the area. The construction and road closures made it  challenging. ",10,Christy,2025-09-29
"Great spot especially if you want to stay a short distance from downtown with a shopping district in an upscale neighborhood. I opted for this instead of a downtown hotel, and I’m very glad I did. Great restaurants that are walkable clothing stores around the corner, too. ",10,Amy,2025-09-25
Just loved everything about my room. ,10,Pamela,2025-09-25
"I liked the location, amazing staff, and rooftop pool. I wish the food was better, the credit was an actual credit and you can hear everything in the rooms. ",8,Casey,2025-09-24
,8,Jennifer,2025-09-22
,10,Tamara,2025-09-22
Great,10,Patricia,2025-09-22
"Had an amazing stay at the Jacquard! The staff went above and beyond and were very attentive. The rooftop pool really made the stay, just wish it was bigger as the loungers fill up quickly. Highly recommend staying there!",10,Dominique,2025-09-22
,8,Erin,2025-09-17
,10,Violet,2025-09-15
Amenities promised and paid for were not delivered timely. Pool and bar were not open at night which was why we chose this location. Left disappointed.,6,Shannon,2025-09-14
,10,janie,2025-09-13
,4,Beth,2025-09-11
I really like it,10,Hamid,2025-09-10
Resort fee is not well advertised.  Rip off. Would not have booked this hotel if i knew of that fee. Need to charge it when booking and state usage options. Would have rather eaten somewhere else and not interested in spa services. ,6,Ellen,2025-09-07
,8,John,2025-09-06
Great location!,10,Christopher,2025-09-05
Great,10,Mathew,2025-09-04
,10,Kate Pearl,2025-09-04
,10,Denise,2025-09-03
,10,Patrick,2025-09-03
,10,Ashley,2025-08-30
,10,Brandy,2025-08-29
"Service is good, when you can get a hold of anyone on the phone. The valet is always very nice and helpful. There was trash pick up and vacuuming happening between 3am and 6am which was very annoying. ",6,Verified traveler,2025-08-26
Staff was excellent. ,10,Angela,2025-08-25
,10,David,2025-08-25
"The restaurant was very good and all the staff very helpful. 

The fridge in the closet has lights on that could not be turned off. I ended up unplugging it to sleep. ",10,Verified traveler,2025-08-25
,10,Paul,2025-08-24
,10,Carissa,2025-08-24
"Good service. Great rooftop pool area. Unfortunately, the cabanas are overpriced but maybe worth it for a romantic weekend or group of friends.",10,Amber,2025-08-22
,10,Karen,2025-08-22
,10,Vicki,2025-08-22
Rooftop pool was amazing and close to shopping. Would definitely stay there again. ,10,Lori,2025-08-21
You get two Q-tips they don’t replace them when you use them. You get one bar soap. They don’t replace it if you use it. Lots of construction around the hotel so rooms with Mountain View‘s don’t necessarily see much of the mountains.,8,dwight,2025-08-21
,10,Antonio,2025-08-20
"I loved my stay at this hotel and now that my daughter is a student at DU I will be returning to this hotel a few times a year. My room was super comfortable, with a desk and a reading chair and a great view. I had breakfast each morning at the hotel restaurant, and it was excellent. My ONLY complaint is that the cost of parking was $65/night. Too much!",10,Robert,2025-08-19
Nice property. Only issue was we had to call for towels/coffee replenishing every day of the stay. However they were fast to respond. Parking is a little steep at 65.00 per day. But valet was fairly quick to retrieve the car.,8,DONALD,2025-08-18
"great location, nice staff, liked everything about it",10,Verified traveler,2025-08-17
Lovely property with nice amenities. Very attentive staff,10,dianna,2025-08-17
"Staff extremely friendly and helpful
",10,Owen,2025-08-16
"We live this area, the hotel, the service is amazing ",10,Diana,2025-08-15
Great area as well a great staff  all st Jacques members were very attentive and helpful. Thank you. ,10,Edilberto,2025-08-15
,10,Pamela,2025-08-11
"Most visits out of town, when someone asks how was your visit ( be it business or pleasure) you talk about your experiences in the area. After our stay at the Jacquard… you include how amazing the hotel is!!! From the text ahead of your stay, staff that greats you every time you walk in, to the cleanliness and beautiful decor",10,Mary Anne,2025-08-11
"Enjoyed the roof top bar and pool, especially in the evenings. They had a good DJ that set the vibe. Area surrounding the hotel has abundant shopping, cafes and restaurants.Especially loved the complimentary passes to the Denver Botanical Garden which is a treasure in Denver.
Bed was super comfortable and the room was cleaned daily. Would definitely recommend!",10,Michelle,2025-08-10
Fantastic location. Rooftop pool was great. Show early for a good seat!! Food at Narrative and Kisbee was excellent and fresh. Drinks were also phenomenal. Will be back. ,10,Kristen,2025-08-10
Great location. Friendly staff. New and clean room. ,10,Robert,2025-08-10
,8,Cassidy,2025-08-09
,8,Marc,2025-08-08
I like the general neighborhood within a mile or two from hotel. And I like the restaurant.,10,Dana,2025-08-08
Always love staying here! Staff is great…enjoyed rooftop bar and Narrative for breakfast! We will return again and again!!,10,Richard,2025-08-07
,10,Verified traveler,2025-08-05
good location and clean w/ good pool area ,10,James,2025-08-04
,10,Jorge Armando,2025-08-03
,10,Mary,2025-08-03
Great rooftop pool,10,Joshua,2025-08-02
Great location and property with wonderful dining options within walking distance.,10,John,2025-07-29
Amazing place and location. We stay here anytime we are in Denver.,10,Michael,2025-07-25
,8,Theodore,2025-07-23
,8,Erica,2025-07-22
This place is amazing. GO! It’s a great location and a great local adventure!,10,Joseph,2025-07-21
,10,Rob,2025-07-20
,10,alicia,2025-07-20
,8,heather,2025-07-19
,10,vanessa,2025-07-16
,8,Shelly,2025-07-16
,10,Robert,2025-07-14
Good but room service phone did not work. ,8,Sydney,2025-07-12
,8,Charles,2025-07-12
"This hotel is no longer a 4-star property! The rooms are very dark, dirty and all of the towels and bed linen needs to be replaced! Save your money and go somewhere else!",2,Darlene,2025-07-11
"We love this place, will be back soon.",10,Mark Erik,2025-07-11
Good vibes. Good staff. ,10,Emily,2025-07-11
,8,Tevy,2025-07-10
It was a good stay. I wish I would have known the incentives.,10,Madelyn,2025-07-09
,2,Rebecca,2025-07-08
Not their fault there is so much construction around. Wonderful staff and great room!,10,Erin,2025-07-07
,10,Cody,2025-07-06
Great place to stay. A little congested to get to the property but very convenient location.,10,Christine,2025-07-06
,10,Reyna,2025-07-05
Expensive one-night staycation excited about the rooftop pool. Incredibly narrow pool with freezing temperatures. Private cabanas that eat up the entire rooftop space + 90% of folks at the pool were not even guests so we spent $300+ to put towels down on concrete by the exit door because all chairs were taken. Pretty rude rooftop bar staff- charged $10 for a 1/4 cup of club soda. ,6,Ian,2025-07-05
Beautiful hotel in a great location.  Easy walk to shopping and restaurants.  Rooftop bar and pool was very special.  Rooms was large and had a great view of downtown and mountains. ,10,Thomas,2025-07-05
"If you’re considering staying at The Jacquard in Cherry Creek—don’t. There was constant, deafening construction on both sides of the building during my stay, making it nearly impossible to relax or even hold a conversation in peace.

Parking? Forget about it. There’s no self-parking anywhere nearby, and valet is a jaw-dropping $65/day. For what, exactly? Subpar service and a chaotic arrival experience?

The elevators are a complete disaster—unpredictable, slow, and seemingly confused. I waited over five minutes more than once with three elevators just sitting idle.

As a Marriott Elite member who’s spent over a year of my life in Marriott properties, I was shocked when the front desk gave me pushback over a simple late checkout. The loyalty recognition here is non-existent.

And the final straw: I was enjoying a drink by the rooftop pool—one I brought myself—when the waitress told me to pour it out. There was zero signage indicating outside drinks weren’t allowed, and the irony? I had spent plenty on poolside food and beverages on previous days. It was petty, poorly handled, and completely unnecessary.

To top it all off:
– The hot tub wasn’t hot
– The pool was too cold to enjoy
– And frankly, the Halcyon rooftop is far better in every way

This was hands down the worst hotel experience I’ve had in recent memory. Save yourself the frustration—look elsewhere.",2,Daniel,2025-07-01
"Incredible staff, love the ambiance and food was not your standard Hotel food. I will be staying here moving forward when I travel to Denver! ",10,Justin,2025-06-30
We liked almost everything. Salad was amazing. The light color in the restaurant was too bright. The setting felt a little cold. ,10,Liza,2025-06-30
"Our room was slightly small but very comfy. Loved the shower. Nice water pressure. Bed comfy, but pillows too soft. Lovely watch tv in bed set up. Tv is huge. Rooftop pool is great! Construction outside is not too terrible. ",8,Meigen,2025-06-30
"The roof top pool and location of this hotel made the property. Food at the hotel was decent but there are lots of great places to eat and drink within walking distance in the Cherry Creek area. It is not walkable to downtown Denver, which was ok with us, but don't stay here if you're hoping to be downtown. ",10,Kristen,2025-06-29
"Enjoyed the stay, staff and property. Great place to stay ",10,Andrew,2025-06-29
,10,Pilar,2025-06-28
Very nice rooftop bar. ,10,Daniel,2025-06-27
,8,SAMANTHA,2025-06-26
.,10,Mark,2025-06-24
,10,Edward,2025-06-18
Great hotel in the heart of Cherry Creek.  Walk to restaurants and bars and the hotel also has a rooftop bar.,10,Debra,2025-06-14
,4,Valere,2025-06-14
"This hotel was a great find! Very convenient, modern and comfortable. The staff was very friendly too. ",10,David,2025-06-09
,10,Marcus,2025-06-08
Super,10,stephen,2025-06-04
,10,Emme,2025-05-31
,10,stacy,2025-05-28
.,10,Lia,2025-05-26
,10,Lucia,2025-05-25
"very nice, pool and rooftop bar just opened for the season so not much available to drink at the rooftop bar but the pool and hot tub were great. Room was fine, not huge. Downstair bar is hopping with great drinks. They were very timely when cleaning the room. People at the front desk were super friendly and willing to help or answer any questions - one downside is the construction that is going on right next to the hotel, disrupts drop-off and there was some noise in the mornings
",8,Aileen,2025-05-23
,8,Qiaoni,2025-05-21
Nice but not quite as nice as the Halcyon which is a couple of blocks away,8,Michael,2025-05-20
"Upscale area close to Cherry Creek mall. Easy walk to the mall. Many shops & restaurants in the area easily & safely within walking distance. The hotel has a nice restaurant & bar, too. This was our 2nd time staying in this hotel & will stay there again.",10,Katrina,2025-05-20
,6,Kimber,2025-05-19
Great rooftop pool and bar nice clean rooms very good hotel good staff,8,dwight,2025-05-14
Parking is outrageous?,6,mike,2025-05-13
Rooftop is cool,10,dwight,2025-05-13
,10,Richard,2025-05-13
