review_text,rating,author_name,timestamp
Clean room,10,Patricia,2025-10-07
"The room was full of black mold, the ac was inoperable, absolutely unacceptable",2,Michael,2025-10-03
"Staff is pretty nice but the hotel
Is old and could use an update . The carpet was disgusting . I wouldn’t book this hotel again .",6,Craig,2025-10-02
"The hotel is showing its age , needs updating.
We waited for a cart to carry our luggage to the room  30 minutes , the check in girl from the front desk had to go hunt for one !",6,Deborah,2025-09-29
,8,Virgilio,2025-09-26
,8,Joshua,2025-09-24
"Condition of room was not good - leak out of toilet, the sliding bedroom door wouldn't close because the 'pull' handle structure actually pulled out of door (problem because I had early meeting and family trying to sleep), and dripping tub faucet.  I'd stayed here several years ago and it was ok but now appears degraded. ",4,Brad,2025-09-23
Family friendly and good breakfast choices. ,8,Yvette,2025-09-23
"The thermostat didn't work.  The room was freezing.  It was very dark and seemed very small compared to other Embassy Suite rooms we've stayed in.  They didn't input our Hilton Honors number and we had to do all kinds of work arounds to get wifi.  They said our room was near a door, but that door didn't unlock from the outside.  The reception was disappointing.  Few chairs and tables, very meager food offered.",4,Deborrah,2025-09-22
"I've been going there for nearly 20 years, but it has been several years since I've stayed there. It used to be very nice, but they've really let it go. 
It needs a complete remodel, especially in the room.
",6,Jeremiah,2025-09-22
Property is clean,8,Kenneth,2025-09-20
,8,Kathryn,2025-09-17
"Staff in front desk is extremely nice. Room furnitures are dated, shower water pressure is low so flowing water sort of slow",6,Ming,2025-09-17
Always like the Happy Hours they offer,10,Mark R,2025-09-15
"Our room didn’t smell good, maybe",6,Samantha,2025-09-15
,10,Chris,2025-09-13
Top notch,10,Jason N Lupe,2025-09-13
"Quick and easy check in. Friendly staff, very clean rooms",10,Cassondra,2025-09-13
,4,Aksana,2025-09-12
"The staff was friendly and excellent at their job. The hotel was very clean. The only issue was that it is very rundown. My room was like staying inside of a thrift store. All the furniture is extremely worn and stained. All the walls have marks and chips and even splatters on them. The ceiling in the bathroom has a rust spots on it. The wallpaper is peeling. Actual hole in the carpet. The outside landscaping is neglected, broken boards on surrounds. The fire lane curb hasn’t been scraped or painted in many years. All these issues just show there has been no money put into this hotel and it needs to be remodeled in its entirety. I did like the mattress and I slept very good in the bed.",10,Klinton,2025-09-09
,6,Garren,2025-09-08
Everything was great! ,10,Becky,2025-09-05
Está muy viejo ,8,Yordis,2025-09-04
"i liked that beds were comfy , room layout and the service provided by the staff,
The property is in ,need of remodeling or cleaning or something better...
 to start with  the bad ,  sofa  in the loby was felty ,, so are the carpeting ,  the building is neglected , paint peeling off , some parts you can see the frame , some of the wood damaged by termites , broken window eand door and window frame weathered , the grounds looked unatended for months , doog poop and fencing around the a/c units  damaged , in the room the fridge was frozen solid, had to clean up the ice in order to use it , under the fridge was nasty , one of the drawer fell off as i was pulling it , it was fix with silicone and glue 
everithing was dated except the  TVs , lost of silicone used in the bathroom , the courtain rod support almost falling off ,  the bottom line the rating should be 2.5 stars 
rather then 3.5  , 
the good things i can  mantion the  beds were comfy and clean , could use some new bedding , i liked the tvs
that was the only thing looking good or updated in the room,  the breakfast was a nice touch, but thats not enough, to earn those stars  posted , sorry i didn't mantion one day did not have water for 7 hours ,  ",6,PETRE,2025-09-03
Breakfast options ,10,Robin,2025-09-03
