review_text,rating,author_name,timestamp
Service was great restaurant onsitewas mediocre and overpriced which is to be expected but staff was nice. Room was clean and it was quiet ,10,Angela,2025-10-06
"Very, clean stuff eas super nice! Close to city will stay here  again  soon",10,ruth,2025-10-06
Very nice,10,Jong Bok,2025-10-04
,10,Xin,2025-10-04
everything was nice ,10,Arthur,2025-09-30
Our stay was excellent!  Couldn’t ask for anything more.  Except our fridge wasn’t working that good.,10,Dwayne,2025-09-29
"Clean rooms, friendly staff",10,Ryan,2025-09-29
Great proximity to the city.,8,Carol,2025-09-29
"Transport to New York City is tricky, must get ubers to the nearest station ",8,Sharon,2025-09-27
,10,Sawsan,2025-09-25
Loud incosiderate house keeping. ,8,Hogeun,2025-09-25
,10,Jennifer,2025-09-24
Great area and stay ,10,Kowsky,2025-09-22
excellent ,10,Steven,2025-09-22
Really good.  Helpful staff,10,Mark,2025-09-21
,10,Jennifer,2025-09-21
The checking wasn’t good room wasn’t ready poor communication.,4,Breonna,2025-09-21
Le personnel est très agréable ,10,Marthe,2025-09-21
Inside was beautiful. Well done. Just wish there was a seating area outside.,10,Jill,2025-09-20
Good,10,Venus,2025-09-20
All the staff was very welcoming and nice. Victoria was very attentive and cordial. Food was excellent and at a great price. Beds were extremely comfortable and the handicap accessible were phenomenal. Will definitely stay here again. ,10,Carlos,2025-09-19
Spacious spotless comfortable bed ,10,Christine,2025-09-19
Close to where we needed to go in Manhattan but no option easy to get to for restaurants or shopping. We had most all meals in the hotel. ,10,Joy,2025-09-17
,10,Sherica,2025-09-17
"I thought everything was great, the only thing that that suprised me was that they charge you daily to park in the parking lot of the hotel that you already paid to stay at, not to mention the parking lot was almost completely empty the whole time. Seems like Hyatt does well enough to not charge someone $10 a night to park their car at the hotel they are staying at...",8,Blake,2025-09-17
,10,HYUNG KOO,2025-09-17
High recommend ,10,Brenda,2025-09-17
,10,Jacqueline,2025-09-16
"Great place to stay, very close to NYC. ",10,Val,2025-09-16
,10,Rachel,2025-09-16
,8,Dave,2025-09-16
,10,Jasmerlyn,2025-09-15
"I enjoyed my stay at The Hyatt Place. Super friendly staff, and my room was clean. Not far from NYC. I would stay there again. ",10,Linesha,2025-09-14
Clean and great AC,10,Christopher,2025-09-14
,10,YOUNGGUN,2025-09-14
"It is a decent property, and staff is friendly and helpful. Unfortunately, it is built right next to a highway with not a highway-appropriate windows. The noise is constant 24x7. So, if this doesn't bother you, everything else is decent for the property type and price. ",6,Julia,2025-09-12
"Friendly service and clean comfortable room, close to Manhattan",8,David,2025-09-11
,10,Jeffrey,2025-09-11
,2,Aron,2025-09-10
"I booked this hotel due to a funeral so I was there to sleep and then check out in the morning.

Beautiful place and amazing staff.

What I didn't appreciate is when I booked online through Expedia, it was clear that the booking allowed for free breakfast included because it was highlighted in green!  Because of the reason for my booking, free breakfast before leaving for a funeral was a factor in my booking.

To my surprise, I had to pay for the breakfasts (we were 3) that morning.  The hotel tried to look and understand, but they couldn't solve my issue.  It is done now, but in the future I will take a screen shot of any bookings I do in order to have proof.  This was something the hotel had asked for, but I didn't have it.



",6,Tanya,2025-09-10
Hotel is beautiful but the local businesses should really push the city or state for some pedestrian infrastructure in the area. Guests shouldn’t have to hire an uber to get to the other side of the street.,10,Christopher,2025-09-10
,10,Aracely,2025-09-10
,4,tea,2025-09-09
,10,MICHAEL,2025-09-09
Horrible don’t go ,2,Simon,2025-09-08
,8,Robert,2025-09-07
"Clean, quiet, kind staff, comfortable ",10,Anastacia,2025-09-07
,8,Stephen,2025-09-06
,10,Eliandra,2025-09-05
"Away from the fuss, the quiet was nice.",8,Brandon,2025-09-04
Great ,10,Yermieh,2025-09-03
Was amazing stay the front desk agent she was sooo cute and sooo nice I come around 10:30 I don’t know her name but she did a great job thank you ,10,Ahlam,2025-09-02
Good,10,PastorEvangelista,2025-09-02
Definitely recommended! The staff is great. ,10,EDUARDO,2025-09-02
,10,matthew,2025-09-01
Very helpful staff!,10,Adam,2025-08-31
,10,Philip,2025-08-31
,10,Sheena,2025-08-29
"Excellent service, clean, comfortable. Great alternative to Manhattan hotels",10,Edgar,2025-08-29
"Buying a third party room means that you may get embarrassed upon your arrival or departure. I was unaware of a parking fee and the front desk lady acted personally offended by that, and then also if you don’t book through the hotel you won’t know that you need to include breakfast when you book your room (which wasn’t an option I was given), or pay for the breakfast separately. (Which was also not known to me) so I was “turned” away from breakfast because I didn’t want to pay an extra $20 plus for myself and a guest. (Theres a full service Starbucks two buildings away) This is all after spending too much on a room and then a little more on parking to stay there. Aside from the money and lack of transparency, you may end up in a room that has peeling paint above the shower head that will drip on you while you shower, and an elevator that scarily jerks to each side upon stopping at a floor. The hallway smelled like a nursing home but our room was clean and smelled decent. ",4,Amanda,2025-08-29
,8,Sarfraz,2025-08-28
The service was great! ,10,So Rang,2025-08-28
Very happy 😊.,10,Mircea,2025-08-28
"It's a very nice hotel, but keep in mind that if you do not have a car, or arrive by Uber or Lyft, there is no easy access for public transportation.",8,Jaime,2025-08-28
,10,Cassandra,2025-08-28
"Great location, clean room, excellent service",10,Shi,2025-08-27
,10,salvatore,2025-08-26
,10,Alondra,2025-08-24
Everything clean and nice people very quiet,10,Rebeca,2025-08-24
"Rooms were OK (large but noisy due to air conditioning unit and road), breakfast was very limited full of unhealthy options. Had to use plastic cutlery (!) and paper coffee cups. ",6,Sofia,2025-08-24
Room very spacious and enjoyable during our 1 night stay ,10,Jason,2025-08-23
Room very spacious and enjoy our one night stay!,10,Jason,2025-08-23
If you are family don’t stay here unless you have a large budget for taxi costs - completely not accessible by foot just taxi ,4,Rebekah,2025-08-23
,2,Sarah,2025-08-23
,10,Sunmin,2025-08-22
My stay was excellent. Great Location. Breakfast  was pretty good. Highly recommended. ,10,Jorge,2025-08-22
U,10,jonathan,2025-08-21
"Well-located hotel, 30 minutes from NYC, accessible by bus. We had a great family stay, the rooms were spacious and clean, bathroom was clean. Beds are made every day as well as the bathroom. Staff are welcoming and available. But rooms are a little too air-conditioned, they quickly fixed the problem for us. I recommend this hotel.",8,Aissata,2025-08-21
,10,Saksham,2025-08-21
,8,Johnson,2025-08-20
"The staff truly made our stay exceptional—every team member was warm, welcoming, and attentive. Breakfast was delicious, with a good variety, and the breakfast team was consistently friendly and helpful. Our room was very clean, comfortable, and well-maintained. Overall, the property had a warm, family-friendly atmosphere. We highly recommend it!",10,Meleikt,2025-08-20
,10,Kosuke,2025-08-20
Check-in process was quick and pleasant. ,8,Tracie,2025-08-19
Parking need additional fee per night,10,Xiaoyu,2025-08-19
,2,Diane,2025-08-19
,10,Anthony,2025-08-18
Nice big clean rooms with a nice view of the highway. Sucks that the open air terraces aren't available to us in early July. Easier to walk to the nearby Starbucks than taking the car since you need to loop around.,8,LISA,2025-08-17
"Hyatt Place is a well maintained modern hotel very close to the George Washington Bridge in Ft Lee. It was conveniently located for us though tricky to get to with all the different highways and roads going every which way . There is a shocking lack of amenities in the rooms. No water , no plastic cups for water , no hand lotion . It could be described as bare bones . The bathroom was very clean and nice but we couldn’t even take our medication with no cups for water. The bed was adequate but not luxurious . I don’t think we’ll go back . ",6,Catherine,2025-08-17
,4,Minji,2025-08-17
This our first Tim in for Lee Hayat we highly recommend it.,10,Aliyah,2025-08-17
,10,Owna J,2025-08-17
,10,Kyungmin,2025-08-16
,10,HYOSIK,2025-08-15
Better breakfast ,6,Pamela,2025-08-15
,10,Jounghae,2025-08-15
,8,Kristan-Marie,2025-08-14
"The hotel was very nice, the staff were extremely friendly and helpful, but very poor location if you want to visit Manhattan. ",10,Dana,2025-08-14
,10,Nguyen,2025-08-13
,10,Rolando,2025-08-13
,6,Peter,2025-08-13
,2,Felix,2025-08-13
,10,Arsenio,2025-08-13
I love that they have a restaurant and bar right on property and a small area to buy small snacks,10,Theresa,2025-08-12
,10,Robert,2025-08-12
,10,kener,2025-08-12
,2,Davit,2025-08-10
,8,Samuel,2025-08-10
The check in process is too slow and they need to do better with that. The restaurant they have called the placery has a very nice bartender named Juliette that does good drinks but the food is horrible. It is cheap microwave food! Nothing is done or cooked fresh at all! Please do better with your food service and care! ,8,Tamara,2025-08-10
"Is very good, I loved it!!! Wonderful hotel ",10,Daymarelis,2025-08-10
"Bel hôtel, récent et propre, offrant de belles prestations et un excellent petit déjeuner, mais emplacement en bord d’autoroute, donc très très bruyant…
Pas conseillé si vous voulez vous reposer sereinement.",6,walter,2025-08-10
,8,LUIS,2025-08-09
"We had a very pleasent and comfortable stay. 
The hotel, service people were all very good. 
We will certainly be happy to stay at your hotel at our future visits.",10,Ali hulusi,2025-08-09
,10,Tara,2025-08-09
,10,Vashtie,2025-08-08
The room was spacious and location was very convenient. Will definitely stay here again ,10,Peiru,2025-08-08
,10,Meng,2025-08-08
Nice,8,salem,2025-08-08
,6,Arlie,2025-08-06
,10,Shantell,2025-08-05
,10,Misun,2025-08-05
The hotel was very clean and had all the amenities you would normally expect. The staff is very friendly and works with the guests in case of any snafus,8,Sneha,2025-08-05
,10,Mack,2025-08-04
Nice breakfast ,8,Elaine,2025-08-04
Friendly staff..very clean environment..It was a great experience ,10,Staccia,2025-08-04
I lovr it great place to stay,10,Yidianne,2025-08-04
,10,James,2025-08-04
5 stars!,10,Richie,2025-08-03
Juste à côté de l’île de NY,10,Tommy,2025-08-03
"Clean and quiet but 
You can get into New York either by driving or by taking an Uber",10,Minsun,2025-08-02
"The bed is comfortable and clean room
The internetis fast
I will come back again ",10,Mohammad,2025-08-02
,10,Nermin,2025-08-01
,8,Cameron,2025-07-31
"Very clean, bed comfy, breakfast was good 
Staff was friendly ",10,Angelina,2025-07-31
It was a decent stay,8,Nargis,2025-07-31
,10,Lauren,2025-07-31
"Very nice hotel, staff was wonderful. Very clean. Comfortable beds ",8,Javeria,2025-07-30
"Hyatt is a reputed name, and while my stay from July 22–25 with my family was overall average, one incident left us disappointed. On the nights of the 22nd and 23rd, we were able to enter the hotel late without using our room key. However, on the 24th, the entry gate wouldn’t open until we scanned our key card, which was never communicated to us. This sudden change left us awkwardly waiting outside with our family. When we asked, the staff simply said it was a security policy. If so, why wasn’t it enforced or mentioned earlier during check-in? We respect safety measures, but guests deserve consistent communication to avoid such uncomfortable situations.",6,Amit,2025-07-30
"Er is absoluut geen mogelijkheid om met ov te reizen naar NY city. Alles wordt met uber of lyft gedaan. Ga zeker uit van een retour van €110 euro per dag. Daarom beter om een hotel te nemen in de buurt van NY city. Kost je ook minder tijd. Het duurt minimaal een half uur om er te komen.

Wasmachine werkt met app die voor ons niet werkte. Minimale hulp gekregen van het hotel super jammer.


Schoonmaak is prima. ",6,Dilek,2025-07-30
