review_text,rating,author_name,timestamp
Nice location excellent service wide room ,10,Manuel,2025-10-07
"Very clean.
Comfortable bed with lots of pillows! 
Loved the balcony view and the courtyard space. Staff were exceptional. ",10,Emily,2025-09-29
,4,Zhihong,2025-09-26
Staff are friendly and easy transportation ,8,Anthony,2025-09-21
,10,yuri,2025-09-21
I loved everything about the building. My balcony was unexpectedly small but it made up for it with a great view of the city skyline. I enjoyed my stay and would rebook any chance i get. ,10,Anechile,2025-09-18
La cosa più bella è la vista dal rooftop e dalla camera.Anche la posizione è eccellente. Il quartiere bello. La struttura bella e pulita. Noi abbiamo avuto problemi con la pulizia della camera. Per il resto ok,6,Marta,2025-09-18
The rooms are big and spacious. And staff is accommodating.,10,Lady Sophia,2025-09-17
"Sehr gute U-Bahn-Anbindung. Breites, bequemes Bett, Kühlschrank. Haken für Handtücher könnten mehr sein. Würden wieder dort übernachten.",10,Margit,2025-09-16
The blind in the room was ,4,hyesun,2025-09-15
"Chambre spacieuse, propre et bien insonorisée.
Grande salle de bain, rangements pratiques.
",10,Caroline,2025-09-14
"The hotel in general is in bad shape, it does not look clean but probably because it is time for remodeling and update. ",6,José,2025-09-14
,10,Rae,2025-09-10
"Habitación un tanto pequeña, lo que es normal para los estándares de New York. Estuve anteriormente unos días en otro hotel de Manhattan y la habitación era más amplia y cómoda. Sin embargo la limpieza si es de destacar. ",8,MANUEL G,2025-09-06
,8,LUZ,2025-09-02
Would like more parking availability but other than that it was great ,10,Jacy,2025-08-31
,10,Hsiu Chin,2025-08-29
,8,Samantha,2025-08-26
"Stayed multiple times, love everything abt it.",10,Nora,2025-08-24
"Love this place. It has been very convenient to stay here while my apartment gets worked on. Bonus that I have a safe, homey place where my parrots can be until apartment is ready. Close to trains, 4 stops from my own apartment. This area (Court Square) in LIC is very up and coming. Even 10 yrs ago, it wasnt like this. Several trains into Queens and 1 stop into Manhattan. Grocery stores, restaraunts, coffee and tea places - with Asian food being predominant. Its great! Hotel employees are wonderful, helpful and friendly. Clean comfy rooms. If I ever have friends visiting, I will always have them dtay at Aloft.",10,Nora,2025-08-22
"This was our first time staying here.  Long Island City is nice, we walked all over the place to dinner, for drinks, and transportation was easy from the front door.  The staff was friendly, room was quiet, clean and a lovely bed.  Water pressure in the shower was among the best I have ever had in a hotel.  Very pleased, we will return.  ",10,David,2025-08-21
,10,Nelson,2025-08-21
Good,10,Robert,2025-08-18
"I extendrd my stay; very comfy, clean, quiet. Safe neighnorhood, close to several subways. The staff is excellent.",10,Nora,2025-08-18
