review_text,rating,author_name,timestamp
Loveedddd the staff they made my experience amazing ,10,Strangae,2025-09-28
"I’ve stayed here before on an higher floor and had a much better experience than this most recent stay. Room was clean and nice but bathroom was tiny and kept hitting myself on shower door handle when using the room. Hallway carpet was noticeably stained and either needs to be cleaned or replaced. Other guests were in and out all night, slamming doors and having entire conversations in the hallway as if they were in their own home. Got very little sleep. ",6,Anne,2025-09-26
,10,Stephen,2025-09-22
"Disappointing Customer Service Overshadowed My Stay

The room and hotel itself were satisfactory, and the rates on Expedia were good. However, my experience was ruined by the way staff handled an important package that had been delivered to the property for me. The front desk could not locate it and told me to speak with the supervisor, who then directed me to email the operations manager. Unfortunately, the manager never responded.

This lack of care, accountability, and follow-through left me without essential items I needed for my trip, and I could not replace them in time. To make matters worse, each time we passed the front desk, staff avoided eye contact, which only reinforced my impression of guilt and indifference.

While the accommodations met expectations, the unprofessional handling of my package and the dismissive attitude of the staff left me with a very negative impression. Sadly, this bad experience put a huge damper on what should have been an enjoyable stay.",4,Ajene,2025-09-12
,10,YOLANDA,2025-09-10
,10,clive,2025-09-10
,10,Bernice,2025-09-08
Nice room. Nice staff.,10,Donna,2025-09-06
,2,Aya,2025-09-06
,10,Rhea,2025-09-04
,10,Anne,2025-09-02
"This a loft was consistent with other similar properties, its New York so it is what it is from a noise perspective.

Staff was really great though, everyone top notch, very friendly, helpful and accommodating.",8,hector,2025-09-02
"Everything went well, great location",10,Daniel,2025-09-02
The staff members were very friendly and helpful. It’s a cool and comfortable place. ,10,Kendall,2025-08-31
"La habitación incluyendo el baño, no estaba totalmente limpio. ",8,Alice,2025-08-27
Don’t stay here ,2,Carol,2025-08-27
Check in was a breeze and everyone was kind and cordial.,10,Rashon,2025-08-27
"We loved the room, everything was very clean. ",10,Ravel,2025-08-26
There was no parking on the street or parking validation ,10,Rolando,2025-08-22
Friendly service ,10,jimmie,2025-08-17
,10,saar,2025-08-14
,10,Adrian,2025-08-11
,6,Lokranjith,2025-08-11
,10,Hector,2025-08-10
,10,Tiara,2025-08-08
"Nice enough place, but kind of mediocre for a Marriott",8,Nibras,2025-08-07
Excellent ,10,Anne,2025-08-06
"Everything was clean, The main issue to me is that you and every other hotel really need to have a line item on your bill for tipping the ones that do the work . And make it convenient to do upon checkout",8,Tom and Dona,2025-07-23
"The property was clean and fairly updated. The shower had a bit of a slow drain, but not bad. There was no card reader to get into the lobby after hours. You have to ring the attendant. If the attendant was not at their desk you have to wait.",8,Brian,2025-07-21
,8,maria,2025-07-18
"Very helpful and friendly staff. Rooms were comfortable. Great location and easy walk to several subway stops, restaurants, WTC, and other attractions. ",10,John,2025-07-08
,10,Jamal,2025-07-07
,8,Angie,2025-07-07
"They tried charging me $125 pet fee per night when the website says $50 per pet per accommodation. I only had 1 pet. Also, they did not deliver the promised amenities like dog toy treat etc. Only received a pair of towels for my 2 night stay. Charged an extra fee of $150 for “pet clean fee”",2,Christian,2025-07-07
"Clean room, dirty window looking out.  Bottom sheet on bed is unable to be securely tucked in on sides and isn't long enough for the bed to the end..very annoying, but clean..great pillows.  No refrigerator in room.  Nice staff.",8,Susan,2025-07-06
,10,Linda,2025-07-06
I enjoyed my stay at the property. Everything that I wanted to do was within walking distance. I would definitely recommend this property for anyone who is wanting a smooth stay with plenty of amenities. ,10,Kelsey,2025-07-05
Enjoyed my stay. Clean and convenient! ,10,Nicholas,2025-07-02
"The room was clean, and I had a great stay. Room service made sure my room was always clean as well!",10,Brandon,2025-06-30
"Lots of construction around this narrow street area. Very used condition, dirty carpets, tiny rooms with no storage, sketchy area, front was out of coffee and condiments most of the time, very slow elevator.
Room amenities were alright and was clean, close to City Hall Park.
",6,Terri,2025-06-30
,10,Kaitlin,2025-06-24
,10,Rafael,2025-06-23
,6,DINESH,2025-06-21
Great location with proximity to Ground Zero and the Brooklyn Bridge.,8,SAMUEL,2025-06-19
,10,syeeda,2025-06-18
,10,Najib,2025-06-18
