review_text,rating,author_name,timestamp
Amazingly friendly and accommodating. Great smiles and humor. It was a pleasure to be there ,10,John,2025-10-05
,8,Edward,2025-10-04
"It was clean and nice room, small but ok. FYI i tried working form the hotel room last day it was very hard because of the small space",10,mina,2025-10-04
Nice and comfortable. A park is nearby to make for a nice surrounding,10,Elijah,2025-10-03
,10,Bobby,2025-09-29
Maybe the best sleep I’ve had in nyc! And the staff was incredibly friendly. It was a lovely stay!!,8,Shireen,2025-09-28
Average,10,Jason,2025-09-28
Rooms were clean and updated. Location is good for penn station and msg.,8,Erik,2025-09-28
Excellent location for travelers and the staff was outstanding.,10,Juliet,2025-09-28
Love the area everything is walking distance and nice area and hotel itself very nice ,10,guadalupe,2025-09-27
"Fast reliable internet. 

Room though small, but it was clean.

It would be nice to have a kettle in the room to boil 
some water to make tea !!",8,Imelda,2025-09-27
"Great location, clean and friendly staff",10,Camila,2025-09-22
Small rooms. Hotel looks very shastv,4,Prarthana,2025-09-21
,8,Senol,2025-09-18
,8,Mohammed,2025-09-17
"It was a very clean organized hotel. Great corner unit with a really good view. 
Comfy beds. Modern bathroom. Great location. Close to restaurants and subway ",10,Doris,2025-09-17
It was awesome,10,Henry,2025-09-15
,8,Anice,2025-09-15
,10,Constance,2025-09-14
Super super friendly welcome and they let me check in early 10am in this case. AWESOME gesture ,10,michael,2025-09-13
quiet location near major shopping areas,10,Xia,2025-09-12
"Room was nice and clean. The restaurant was great - top notch service at the bar, good food and nicely renovated! Perfect for a business trip. ",10,Kelly,2025-09-12
"Staff was very helpful, the hotel is in a great area! Super easy to access fron Penn Station",10,Burak,2025-09-12
,2,Leonel,2025-09-10
This was a gre,10,Chad,2025-09-08
"The bed was so comfortable.  The staff was very welcoming. The bar had great drinks. The only downside was the water temp for showers, it never got hot, just barely warm. We stayed on the 6th floor.  Overall a great stay. ",8,Melissa,2025-09-08
,10,JOSÉ,2025-09-07
Better than the average Four Points in NYC,8,Ryan,2025-09-07
Staff are very decent people; they support with smiles all the time. ,8,yiqin,2025-09-07
,10,Arturo,2025-09-07
,8,Sachin,2025-09-07
"Clean room,  clean gymn, good staff",8,Mohamed,2025-09-06
Cleanliness,10,Mahaboob Sheriff,2025-09-05
,10,Changhwan,2025-09-04
,6,Ira,2025-09-03
Staff was friendly and helpful. Would definitely stay again!,10,Owen,2025-09-02
Bonito ,8,Orlando,2025-09-01
The staff are very friendly ,10,Farida,2025-09-01
Habitación muy limpia y muy bien la recepción ,10,JUAN L,2025-09-01
,10,Perla,2025-09-01
I loved it here. The staff were the absolute best and they are willing to work with you. I would recommend it ,10,IJah,2025-08-31
"Friendly and polite Staff. We received a lovely upgrade. Room was surprisingly quiet! Clean and safe. Conveniently located within walking distance to everything we needed, shows, dining, Empire State building, Penn Station.....",10,Laila,2025-08-31
,4,Dzmitry,2025-08-31
,2,James,2025-08-31
"We booked a queen bed with a view. But were given a room in the corner with a view of the building AC equipment and a full size bed, NOT the queen size we were hoping. When I asked about it, the front desk attendant didn't care, just seemed annoyed, and said they were out of rooms. The hotel was decent but definitely not worth $300 a night. The staff on the other hand, at least the person I dealt with was by far the worst part of the hotel.",2,edgar,2025-08-31
,10,Ju,2025-08-30
,10,Cynthia,2025-08-30
"Friendly staff, free water anytime. Close to Hudson station . Very clean room.",10,Ritchie,2025-08-30
Staff was good and hotel was good ,10,darshan,2025-08-27
"The staff was extremely friendly, always had a smile on their face, helpful with directions, and the room was always clean. Its conveniently located near Times Square. We would definitely recommend this hotel and we would definitely stay again.",10,Ray,2025-08-26
"We stayed one night. Property,  room were clean. Staff was polite and helpful. Will stay again if I visit.",10,Sabina,2025-08-25
"Great place to stay specially if you are attending a conference at the Javits Center, an easy short walk. The rooms are small but very comfortable and very clean. Only a couple of blocks from Hudson Yards with great places to eat. It would be nice if the rooms could have a little fridge though!",10,Carmen,2025-08-24
All the best ,10,Lu,2025-08-24
,8,Jorge,2025-08-24
,10,Thomas,2025-08-21
,10,Laura,2025-08-21
5-8 minutes walk from NY pen station ,10,Hussein,2025-08-20
Everything is awesome,10,Hung,2025-08-20
Nice hotel refrigerators would've been a nice addition to the room,10,Candice,2025-08-20
Very good area ! The staff at the hotel very nice people.! You can hear the noise outside,8,Alexandra,2025-08-19
,10,Richard,2025-08-18
"Location was excellent.
Front desk staff was amazing.",10,Harsharan,2025-08-18
"We loved this hotel! The staff were extremely kind and helpful, the hotel was very clean, the room was adorable And had everything you need. It’s just outside of Hudson yard Mall and the Highline path. And there’s the most amazing bagel shop at Russ and daughters a block away. This hotel is centrally located to everything you want to do on the west side. I will definitely be staying here again.",10,Julie,2025-08-18
The location is very convenient. The room is very clean and comfortable.,10,xueying,2025-08-18
"Great location for walking to many places, also a great team that works there, especially the front desk staff!! ",10,Natalie,2025-08-18
"Room was very clean and specious. Staff were friendly and accommodating. The area was great too! 

Parking is off site and separate charge but it’s walkable and reasonable. I highly recommend this spot for a nice room in the city ",10,Tiesheedah,2025-08-16
"My room was clean and efficient, and the bathroom was great. The staff at reception was OK, and the gym was…well, a hotel gym, what can I say? The best thing was the location. A 10 minute walk from Penn Station. ",6,George,2025-08-16
"From check in to check out was great,reception has great smiling and happy to help the guest and offering free bottles of  water to all of us also showing and giving information how we are opening our room and if we need help how we call to front desk so many great information about restaurant, showing where we can find work out area also room service.
So i recommended this hotel to everyone its great also close to train station and time square.",10,Mekbib,2025-08-15
Ordered a king but get a queen room instead. ,8,Xiaoxiao,2025-08-14
,10,Nicole,2025-08-13
Great location. Clean quite staff was very accommodating ,10,Patrick,2025-08-13
,8,Nicholas,2025-08-12
,10,Summer,2025-08-12
,8,Harjinder,2025-08-12
,10,Blaise,2025-08-12
Nice enough ,10,Jason,2025-08-11
,8,RYAN,2025-08-11
,6,Anh,2025-08-10
"Quiet stay, very nice staff. ",10,Scottie,2025-08-10
,10,Donna,2025-08-07
,8,Rosa,2025-08-07
,8,Destinee,2025-08-07
,8,Tal,2025-08-05
,10,Blanca,2025-08-04
"Good location with easy access to subway, Hudson Yard & High Line. Walking distance to Times Square is a bonus!
The hotel staff is also very friendly and helpful.",10,Verified traveler,2025-08-02
,8,Jesus,2025-08-02
,10,Verified traveler,2025-08-02
Love this hotel! Loved the location. Do centralized. Would stay here over again.,10,Giovanni,2025-08-02
Good service and location is key!,10,XINH-XINH,2025-08-01
Wonderful and caring staff,10,Gloria,2025-07-31
,8,Kathleen,2025-07-29
Staff was really from beginning to end! ,10,Maria Fernanda,2025-07-29
I loved it. Definitely will go back and stay there next time I go to nyc.,10,Anita,2025-07-29
Great value for the price. Last minute booking. Just make sure you are aware of the difference between this hotel and the one by Times Square. We went to the wrong one by accident. Staff was great and the hotel room was clean. ,10,Alan,2025-07-29
"Beautiful room with a beautiful room, the staff was wonderful and attentive and the hotel was close to everything we were interested in ",10,Gerson,2025-07-28
"Clean, comfortable, and convenient. Easy walk to Times Square and madison square garden.",10,Kelly,2025-07-28
,10,rebeche,2025-07-28
,10,Carrie,2025-07-27
,10,Robert,2025-07-27
,8,Jason,2025-07-26
,10,Thomas,2025-07-24
,4,john,2025-07-22
This was a clean property in a nice location with great staff.,10,Angela,2025-07-22
"No incluye desayuno, pero en general fue bueno. ",6,Elis Rachel,2025-07-22
"Muy bien ubicado, excelente para cuando es la primera vez que visitas la ciudad! ",10,Nadia,2025-07-21
Close to MSG,10,Christopher,2025-07-20
,10,Verified traveler,2025-07-20
Thank you so great!,10,Akshana,2025-07-20
,8,Tiana,2025-07-20
,10,eileen,2025-07-20
Comfortable and clean. I have stayed in areas with better access to food and things to do but you are really not too far from everything. ,10,Preston,2025-07-20
,10,Yun,2025-07-19
,10,Kabir,2025-07-19
,10,Eric,2025-07-18
,10,Johannsy,2025-07-18
Clean and professional. Excellent location and excellent service ,10,Alicia,2025-07-18
"Small rooms, bad service.",4,tadesse,2025-07-13
"The restaurant has great hours, breakfast, lunch and dinner. 
Hotel staff was friendly and professional.",10,Nancy,2025-07-12
The a/c wasn’t working I called and called and no one answered. Barely slept due to sweating and too tired to get dressed to go to the lobby.  When I checked out I told the staff at the front desk and she barely acknowledged it.  The bathroom was small no vent you sweat as soon as you get out the shower.  ,4,Migdalia,2025-07-12
,10,Nicolas,2025-07-11
Best staff they were all very kimd,10,marghana,2025-07-11
"Muy lindo el hotel, impecable, gran personal y muy atentos a todo lo que necesitas, todo muy ordenado, seguro volvería. ",10,esteban,2025-07-08
,8,Mark,2025-07-07
"Room was cozy and the City view was beautiful, had a great stay.",10,Felisha,2025-07-07
Great stay and service.,10,Chimalang,2025-07-06
"It's a wonderful hotel in a great location. The only problem was how they handled a problem. My hot water wasn't working. I asked them to check it each day. Each day, instead of fixing it, I received the response: ""you should have told us about it! We would have fixed it."" 


""I don't understand. I'm telling you about it now.""


The third day, at least, someone came to the room and tried to do something. My bathroom was disassembled. But still not working. 

I did a 10 second cold shower, enough to wash a dab of shampoo out. 


I checked out and when asked how my stay was, said ""It's a nice place but I had no hot water the whole time.""

""We would have moved you if I had known!""


I just left. Is this some new customer strategy - blaming the customer?

I'd like to stay here again but I'm cautious. 
",6,John,2025-07-05
,8,Paul,2025-07-04
,10,Wael,2025-07-03
"Staff were amazing. 
Great location! 
Must request refrigerator  prior to stay.  
Only complaint DO NOT eat at the restaurant in the hotel. Over priced $10 for small can soda, and food was not edible !!!   ",8,Amy,2025-07-03
,10,Cassie,2025-06-30
"Wonderful, welcoming, and helpful team here as always! ",10,Maureen,2025-06-28
,10,Carlos,2025-06-26
"This hotel looks new, clean building with kind staff to help us. We were fully satisfied our staying. The location is bit far from Times Square but easily access form nearest subway station",10,NAOTAKA,2025-06-25
"My stay at the Four Points Sheraton was fantastic! From the front desk to the room service, I was pleased. It was helpful that the hotel was a short walk to the Javits Convention Center. There were nearby options for meals. I made a good choice. ",10,Renee,2025-06-24
Incredible staff. Gorgeous view. Accessible to all of the magic that the city offers. All while being a short walk to the convention center. Perfect.,10,Gordon,2025-06-19
Great location. Very comfortable stay. Will return.,10,Luis,2025-06-19
"The team at this Four Points are very helpful and friendly, some of the best hotel front desk staff I’ve ever seen. They accommodated my unusual request to store pizza and held onto my bags even after checkout which was very nice. The room itself was very clean and modern, though a bit small. I was surprised to see there was no fridge in my room, but the front desk folks managed to have someone bring me one which was great. Highly recommend this hotel! ",10,Matthew,2025-06-18
,10,Verified traveler,2025-06-17
This is my third time staying here and it was a pleasant surprise to see the updates they did on the renovated rooms. The staff there are top notch and its one of the reasons I chose to stay here again. It's in the perfect location to walk to main attraction areas and subway station is close by. ,10,Shawn,2025-06-16
"The property was nice, the rooms were nice and modern. The restaurant was inside was nice as well. Only problem I had was when I reserved the room it stated a fridge would be there. When we checked in we were told a fridge was there. We get in the room no fridge, called the front desk they said that they were all accounted for and they would bring one the next morning. By the time they brought the fridge we didn’t need it anymore as we were leaving the next day. Only thing they could offer was a breakfast voucher we stated we wouldn’t be using because we would have to catch our flight and didn’t have time to stop for breakfast.",10,Corliss,2025-06-16
"Friendly staff, great convenient location to any event at the Javits Center",10,Verified traveler,2025-06-15
"I was promised “views “ and was put on the 5th floor . Not a complainer so we made it work . Rooms aren’t very spacious and it felt cramped even with just the two of us . There is NO parking and the closest garage charged us $110 for 2 nights  to park our cars . Overall it was a nice hotel room , quiet and the uber picked us up and dropped us off right out front . There no refrigerator In the room and you were out of luck if you needed ice because it was on the LL. Enjoyed my stay but for the price I would stay somewhere nicer next time . ",6,Daniella,2025-06-15
,10,James,2025-06-15
,10,Matthew,2025-06-15
Although the address has multiple buildings it is very nice ,10,jose,2025-06-15
,10,Maxime Jean,2025-06-12
,10,LUANE,2025-06-11
"Clean room, pleasant staff. They allowed us to leave our suitcases for a couple hours after check out and put our takeout in their fridge until we got back from brunch. Only con was one of the two elevators was out of service. ",8,Shykia,2025-06-11
,10,Huong,2025-06-10
Amazing!! The staff was awesome! Let us check in early! Rooms were so much better than the place we stayed in before and much larger! Will definitely recommend this place to anyone!,10,Summer,2025-06-09
Joel was excellent! ,10,Taylor,2025-06-09
Very nice and staff was great ,10,Tara,2025-06-09
,10,Giulio,2025-06-09
"Rooms are tiny. I bumped my knees against the bed and the chair many times. Painful, even in NYC!!!",6,E. Dovi,2025-06-07
,10,Keri,2025-06-05
,8,Laura,2025-05-31
,8,Fox Benjamin,2025-05-29
"The place and the area was clean and quiet. 

It’s an 8 minute walk or shorter to the 34th penn station subway and a three minute walk to 34th hudson yard. Although it is not exactly close to high-traffic areas in midtown, the quiet surrounding is such a breath of fresh air after the craziness of the subway. There is a 24-hour gas station convenience store, and dunkin donot one block from there for your last minute needs. The hotel is clean and the rooms are new and fresh. So unlike the older hotels in nyc. Decent size for manhattan standard. Awesome helpful staff at the reception. Everybody was helpful. 

Good and brand new amenities in the room. Nice larger than life mirror and great bathroom lighting. I an staying here again

Posh karaoke bar down the block across that gets busy on friday and saturday night but nothing rowdy. You may want to plan a night there.

",10,Katrina,2025-05-27
"Stayed here before & loved it both times. Staff is amazing!! Shout out to Marvin who was really attentive. Excellent customer service! Property is under construction on some floors but did. Or impact my stay at all. Location is fabulous, close to the vessel, the high line, and trains. About 15 min walk to Times Sqaure, Harold Square, & Penn Station/ Madinson Sqaure Garden. Rooms were clean and modern. Overall 11/10 experience!! Highly recommend!! ",10,Reyna,2025-05-26
Pleasant staff ,10,Jaime,2025-05-20
,10,jorge,2025-05-20
,10,Greg,2025-05-19
I’d stay here again,10,darryl,2025-05-17
Excellent,10,Dyan,2025-05-16
,10,Jorge,2025-05-15
Excellent location ,10,Adrienne,2025-05-14
Very close to everything ,10,Jose,2025-05-14
The staff was really respectful ,10,Ducilia,2025-05-11
,10,Felipe,2025-05-11
"Excellent location, close to a train station and to a shopping center.",8,Alma Gloria Garcia Rojas,2025-05-11
They need space in the bathroom for toiletries and places to hang your towel ,8,Stacy,2025-05-06
,10,Delina,2025-05-06
"The staff was very helpful and welcoming. Answered every question and were available 24/7 with information and suggestions for restaurants, etc. The room was immaculate and very comfortable. ",10,Lisa,2025-05-06
,10,Isabelle,2025-05-05
,10,Achint,2025-05-05
"Nice hotel, great proximity to Hudson Yards, restaurants. A bit of a walk to theaters. Neighborhood is improving. ",8,Daniel,2025-05-04
"Very small room, but you have to expect that in NYC. Room was clean and had ample space to sleep and bathe. Service desk workers were the highlight of the stay. Very friendly, very informative. If I ever visit NYC again, I will definitely select this hotel. ",8,Timothy,2025-05-04
Our room was quiet and the bed was comfortable.  Very affordable.,10,James,2025-05-03
The room was larger than average for that part of town. ,10,Emre,2025-05-03
