review_text,rating,author_name,timestamp
"Overall stay was good. Hotel is clean, and nice, a few things need to be updated. ",6,Robin,2025-10-06
Very clean and confortable ,10,Silvia,2025-10-06
,10,Kayla,2025-10-06
"Everything was good. The only thing I'd recommend is having other options for breakfast. Instead of sausage, have bacon. ",8,Tonya,2025-10-02
Very beautiful and accommodating. Breakfast was awesome and had nice restaurants around,10,Chris,2025-10-02
Everyone was very kind and helpful!,10,Nuria,2025-09-30
"We came here after leaving the nearby Quality Inn due to lack of hot water. This transition was night and day!!! The breakfast at the Hilton has hot food and protein.  Our hotel room was spotless upon arrival, and the bathroom provides really great Shampoo, Conditioner, Body Wash, and Body Lotion. People actually hung out in the lobby because it was comfortable and had games. There were water bottle filling stations at each water fountain. The tv was great as we brought our firestick and could watch movies in bed. Parking was great, and you could walk to a bunch of great food options and bars.  All in all, we have come to realize we would rather book with Hilton than risk it at the other affordable options. There seems to be a consistency that they have their bases covered and helpful staff. ",10,Hannah,2025-09-28
,10,Ryan,2025-09-26
Easy checkin,10,Connie,2025-09-25
,10,Ryan,2025-09-23
"Great customer service, nice breakfast. Pool was cold. ",8,Charlene,2025-09-22
,10,Tiffany,2025-09-22
The air conditioning was not cooling properly.. very uncomfortably warm in the room during the evening. ,6,Matthew,2025-09-22
"Very nice stay. The room was clean, and the staff was friendly. The area was pretty quiet, despite being in a busy road so occasionally we would hear loud cars. Breakfast was fine, nothing super different from other hotels, and could perhaps have benefitted from fresher fruit. I loved all the places to hang towels in our room, and we enjoyed the many doggie guests. Would definitely stay again.",10,Deyna,2025-09-21
"Beds were uncomfortable and dirty sheets, breakfast was very limited.",6,Silvane,2025-09-21
Basic breakfast items,8,Carl,2025-09-19
,10,James,2025-09-18
,10,Rick,2025-09-18
I would have given 5 stars but there was no storage to put your clothing . No closets no drawers they had 3 hangers on a rack and a few hooks so we lived out of the suitcase which I didn’t like but oh well. I also hated the pillows they were super soft and became flat bed was comfortable though . Everything else was great.,8,Stephanie,2025-09-17
"Reasonably priced with free breakfast, a comfortable bed and good water pressure in the shower. What more could you want?",10,Michael,2025-09-16
Could be better with the new carpet and clean bed sheets ,6,Shahrokh,2025-09-15
"I’ve stayed here multiple times. I love the location because it’s center to all I like to do when in town. The staff is decent. The pool area could use better monitoring with children. I wish they would expand balcony access. Otherwise, I’ll be back.",8,Shara,2025-09-15
"There was an issue at check in. I clearly booked two rooms from Expedia but the staff repeatedly said that I had just one room booked in the system. After contacting a manger and going back and forth for nearly 30 minutes, the reservation was found. Check in should not have taken so long. It was also prepaid which i clearly demonstrated. The hotel was very nice though just loud, but that was due to bike week. ",8,Aaron,2025-09-14
Very clean but rooms were tiny. ,8,Aziza,2025-09-14
"It felt like home, and the ambiance and breakfast was on point i love it.",10,Kimberly,2025-09-08
,8,Jose,2025-09-08
My friends and I stayed here for the weekend. Everything was great and Jeremy at the front desk was very friendly and accommodated us so we could have adjoining rooms. ,10,Jose Luis,2025-09-07
,8,Amir,2025-09-07
Staff is very nice and the rooms were clean and comfortable ,10,Magaly,2025-09-07
Everything was excellent!!,10,Mariel,2025-09-06
"

Good breakfast",10,David,2025-09-05
Everything is ok one thing i don't  like  they allow. Dogs in the rooms,8,cristian,2025-09-04
,6,Lynn,2025-09-04
,8,Olga,2025-09-03
,10,Angela,2025-09-03
Great stay ,10,Ruben,2025-09-03
