review_text,rating,author_name,timestamp
Breakfast was great every morning.  The staff was friendly and helpful.  ,10,Letitia,2025-10-07
Linda was the best ,10,Jacqueline,2025-10-06
"Always enjoy staying at the Homewood Suites in Kingwood. Staff is super helpful, friendly and professional. The rooms are spacious comfortable and clean.  Breakfast buffet has a nice assortment of items to choose from.",10,Wendy,2025-09-29
"I enjoyed my stay, the staff was friendly and helpful. The room was spacious and clean. ",10,Crystal,2025-09-28
Clean room ,10,Pedro,2025-09-27
Very nice hotel !! Love it!,10,Haronid,2025-09-25
,10,MICHAEL,2025-09-11
,8,pam,2025-09-10
,8,Cesar E,2025-08-18
,10,anthony,2025-08-16
,10,Kristen,2025-08-10
,8,Bridgette,2025-08-10
Quite ,10,Paul,2025-07-27
.,10,Luis,2025-07-27
,10,Mario A,2025-07-27
,10,Ryan,2025-07-26
,10,cathy,2025-07-20
,8,Steven,2025-07-14
Very easy access to the property since my work was in Kingwood area.,10,Mohamed,2025-07-10
Todo bien! Exactamente servicio ,10,Ana,2025-07-10
,10,Thomas,2025-07-10
"My husband and I stayed here for one night while visiting family in the area.  The hotel was comfortable and clean, and the service was warm and friendly.  The room had everything we needed and good toiletries.  The bed was decent, and the breakfast was great.  I wish they had 'real' half and half instead of the small containers that have a funny after taste.  Also, if you like to work out when you travel, the gym is subpar.  They had a a treadmill, eliptical and Peleton. The treadmill wasn't working, and I couldn't figure out why the TVs on the elliptical and wall weren't working. 

After we checked out, I realized that I left the pillow in my room. I went back an hour later, and housekeeping went to get it and brought it back to me.  Very friendly staff.  I would stay here again for a short stay, but I would look for a hotel with a well equipped gym for a longer stay.  ",8,Shannon,2025-07-05
,10,Maria,2025-06-28
All was great,10,Roy,2025-06-10
"Good buffet breakfast, something for everyone; if you stay for more than two days your room will only be serviced every other day unless you ask for everyday service. Our room was very close to the secondary entrance to the parking lot, but they barricade that entrance mid afternoon which was disappointing. Staff is friendly and helpful.",8,Gregory,2025-06-09
"The first night we stayed in a room by the 24 hr laundry. The walls are paper thin. We heard the washer and dryer all night, even after we turned on the fan and a white noise app. We were moved to another room the second day, but the toilet handle was broken, the ac rattled, and the thermostat didn't work. One reception worker, Linda, was excellent. One was rude. I expect more from Hilton properties.",4,Robert,2025-06-09
"Great property, will stay there again! ",10,Brandon,2025-06-02
"Very clean, very hospitable and welcoming, beds comfy, and great location. ",10,Leticia,2025-06-01
,10,Amanda,2025-05-31
,10,Latroy,2025-05-10
,10,Art,2025-05-10
,8,Jill,2025-05-07
We were greeted with a warm welcome. The facility is well maintained. Cu,10,Art,2025-05-06
,8,Jill,2025-05-03
,2,Verified traveler,2025-04-28
,8,Mae,2025-04-24
Everyone was very friendly ,8,Colleen,2025-04-15
"Always enjoy staying here when I am in town It's comfortable, clean and quiet. The staff is very helpful. The suites are spacious and breakfasts are plentiful with healthy options like chia seed pudding with nuts, blueberries, etc.",10,Wendy,2025-04-10
,10,Michael,2025-04-09
,2,Alfred Godwin,2025-04-01
,8,George,2025-04-01
,8,Brett,2025-03-30
,6,Amber,2025-03-18
,10,Michael,2025-03-16
,2,Jeremy,2025-03-14
,10,Susan,2025-03-11
Great breakfast!,6,Ann,2025-03-08
,10,Gabriela,2025-03-02
,10,Jennifer,2025-02-27
,10,Caroline,2025-02-25
Always a good stay.  This time was great except for the layout of room 137.  We couldn’t see the TV well from the bed or the sofa.,10,Mark,2025-02-21
Nice hotel. ,10,ZHIYUN,2025-02-19
No hot water and the blow dryer didn’t work,8,Heather,2025-02-15
,8,Kelly,2025-02-06
"A newer hotel, very clean, comfortable bed, and good breakfast.",10,Jie,2025-02-06
We always stay here when visiting the kids!  Great place:),10,Nicole,2025-02-03
,10,Valerie,2025-01-26
,10,Dennis,2025-01-18
My stay was very good. ,8,Bobby,2025-01-16
,10,Sylvia,2025-01-15
This is a very well kept property in a great location. The room was great. The breakfast was delicious.,10,Felizsha,2025-01-13
,8,Susan,2025-01-08
This is a nice property and quiet. The only hitch is the occupants above us had an uncontrollable child running around all morning and night and we couldn't have a peaceful sleep. The staff were great people and it's a place i'd recommend. We were there with our children and it was peaceful. Thank you.,8,KOFI,2025-01-01
"Ein hübsches Hotel! Sehr netter Empfang und einfache Abwicklung! 
Das Frühstück war hervorragend! 
Kommen definitiv wieder.",10,Dajana,2025-01-01
,10,Alison,2024-12-30
"Larger property, floor plan can be confusing at first.  This is mostly business people... good for meetings.  Excellent breakfast buffet with locally cooked dishes (carnitas, tortillas, etc) Manager told me the entire property will undergo re-furb in 2025. ",10,George,2024-12-29
Breakfast buffet was excellent. Rooms are not very well sound-proofed - you can hear people talking in adjacent rooms and people dragging chairs on the floor. Darker curtains would be nice to block out light. Really annoying is a bright night light that cannot be turned off. I like to sleep in a totally dark room and had to find a way to block the light. Maid service was superficial - the shower conditioner bottle was broken and never got fixed or replaced. They should check everything rather than wait for guests to report problems.,6,Jeffrey,2024-12-27
,10,Miguel,2024-12-22
Front desk staff was very friendly.  Hotel was beautifully decorated for the holidays.  Breakfast was very tasty and filling each morning.  Room was clean and comfortable,10,Bridgette,2024-12-20
,2,Abram,2024-12-18
Nice rooms & fabulous breakfast. ,10,Alison,2024-12-16
We stay here whenever we come back to Kingwood to visit. We're always impressed with this facility.,10,Ron,2024-12-11
,10,jamie,2024-12-02
,4,TIMOTHY,2024-11-22
Friendly staff,8,Andres,2024-11-18
We were in town for a family wedding and this spot was perfect for us. The room was very spacious with a full kitchen. I made use of the iron and ironing board that was provided!! Breakfast was good with many options. The staff was very pleasant. Thanks for a wonderful stay at a great price!,10,Susan,2024-11-17
,8,Tommy,2024-11-13
"The service from the staff was great - very friendly, professional and efficient. I requested extra bedding around 2 am, and it was delivered within minutes. 

The breakfast area was outstanding: good variety of options, clean and organized with delicious food. 

My only 3 negatives from this trip: 
1) The mattress was so hard an uncomfortable on the king bed that I attempted to sleep on the fold-out sleeper-sofa, which also failed. 
2) The sleeper sofa (including the ""mattress"" within) looks and feels like it's from the 1970s. Definitely NOT the quality I expect from Hilton. 
3) The toilet is low enough to be ""toddler height"", which is extremely difficult to maneuver oneself as a tall adult. 

Overall, a good experience, and I anticipate staying here again in the future. ",8,Christina,2024-11-11
,2,Yun,2024-11-11
Muy bueno excelente,10,Ivan,2024-10-22
Really nice property.,10,JoJean,2024-10-21
"My husband and I stayed at this property for a week. While the rooms were a bit dated, everything was very clean and in working order. I would only suggest better lighting, especially the area where the full mirror is. Also, a better water pressure in the shower would be great. We enjoyed the area and how close we were to restaurants and shopping and we were only 5 minutes to the apartments where are son moved in to. The staff was pleasant each time we encountered them. The pool, hot tub and basketball court was a very nice. This hotel allows pets and although we saw guests walking their dogs, we never heard one inside the hotel.   Overall, very clean and nice hotel. ",10,Carron,2024-10-17
"Relatively new location and not ‘broken in’ like some hotels turn out to be, as of 10/6/24 Extremely clean and nice inside. Staff extremely friendly and helpful. Easy check in and the breakfast is well above average. Good quiet location tucked away in a patch of woods and easy access to the highway with plenty of dining options. Great value for the price paid. ",10,Anthony,2024-10-07
All rooms are pet friendly so the room smelled like dog. The only solution was a can of lysol spray. Unfortunately it caused my allergies to flare up. ,2,Rosie,2024-09-09
Excellent!,10,David,2024-09-06
"Very tired facility. Elevator broke down, dirty hallways",4,Judith,2024-08-10
No keys were given for hotel room. No cable available. Not told this in advance when I called hotel. ,2,Verified traveler,2024-07-16
,8,Elmer,2024-07-13
At check in i was not.told i needed to request housekeeping services. Also not told about Wednesday  evening social. Since my husband was having surgery i requested early housekeeping which did not happen.,8,clarence,2024-07-10
Nice place to stay in Kingwood because it is close to the freeway and not for from shopping center. Good breakfast and clean area.,10,VANDY,2024-07-10
,10,Donna,2024-07-09
,10,José,2024-07-05
,10,Quinn,2024-06-24
,10,Patrick,2024-06-24
"Excellent suite with 2 bedrooms 2 bath… very nice and clean!  Signs to property are a little hard to see …it took a few minutes to find, but excellent hotel.",10,Craig,2024-06-16
,10,Enrique,2024-06-13
"Clean, friendly staff, staffed at 3am when I finally got in. ",10,Jeremiah,2024-06-04
,10,Margaret,2024-06-02
Always clean.,8,Beth,2024-06-02
The space was clean and the hotel was quiet. The rooms while clean could use some updating. The couches looked really old ,10,Shana,2024-05-24
,2,Yan,2024-04-29
,2,George,2024-04-21
It’s clean good breakfast quiet accesible ,10,Eric,2024-04-10
Great place,10,Gary,2024-03-15
"Hotel was okay. However, the bathtub in our room did not drain properly. We just had sitting water.
Coffee during breakfast was not refilled without asking for it to be refilled.",4,Ram,2024-02-27
Great place to stay,10,David,2024-02-23
Everything went well. ,10,Betty,2024-02-19
Staff are friendly. The property has a very welcoming atmosphere. The rooms were nice and clean.,10,Ella Mae,2024-02-11
Clean and welcoming ,10,Margo,2024-02-04
"I love to stay at that suit 
The staff are nice and helpful ",10,Ty,2024-02-03
,4,Amanda,2024-01-17
ME COBRARON LA ESTANCIA POR PARTIDA DOBLE !!!! USTEDES COMO PLATAFORMA Y APARTE EL HOTEL,2,Marina,2024-01-16
,10,Michelle,2024-01-16
"The A/C in the room didnt work properly. It wouldn't turn on cold and the fan option randomly turn on and off. Room smelled a little old/moldy. Don't get room 128, it's right by the door that leads outside and people were in and out all night.",6,Gregory A,2024-01-09
The breakfast,8,Andre,2024-01-07
Spacious apartment type hotel with great beds. ,10,Cheryl,2023-12-18
Perfect for a quick business trip.  Best part is SUPER CLEAN - staff takes a lot of pride here in how clean everything is.  Probably the most important thing in a stay for me at least - a clean place to sleep.,10,Verified traveler,2023-12-06
,10,Marsha,2023-11-13
Every time we go to Houston we stay there it’s very clean and service is awesome.,10,Lisa,2023-10-27
"Friendly and helpful staff, clean room, very good breakfast bar.",10,Verified traveler,2023-10-27
Couch in really bad condition tears in material and super uncomfortable to sit on. ,8,Tara,2023-08-14
Definitely will stay again.  Plenty of space for a big family ,10,Evelyn,2023-08-05
