review_text,rating,author_name,timestamp
Excellent boutique hotel in the heart of Williamsburg with easy subway access. Friendly and hospitable staff that made an excellent experience. ,10,Theos,2025-10-05
,10,Will,2025-10-05
The property a,6,Kamila,2025-10-04
Smaller rooms but very fun and cool.,10,Yianni,2025-10-03
"Although small, room was clean and staff were friendly. ",8,Gloria,2025-10-02
"We really enjoyed our stay here. The hotel is very nice and simple, with everything we needed for a comfortable visit. The main downside was that the rooms aren’t very soundproof, so we could hear noise from other guests, but it didn’t impact our overall stay. The area and neighborhood are great, with plenty nearby and close access to the subway, which made getting around very easy. Overall, a great experience – we would definitely stay again.

Reception staff were so lovely - can’t fault this place 10/10. ",10,Emma,2025-09-28
"Lovely stay at the penny, fabulous location and great rooms!",10,Keayan,2025-09-28
The staff were super helpful and very polite! The room was fantastic!,10,Ted,2025-09-25
,10,clare,2025-09-21
,10,Daniel,2025-09-20
,10,Rachel E.,2025-09-17
,10,Barbara,2025-09-16
"We had a fantastic stay. The staff were all friendly and helpful. The room was excellent---cozy, but SO comfortable. The scent in the room was overpowering at first, but natural and not synthetic-smelling, so it didn't bother me long term. It may bother others. The bed was a cloud of comfort. Having a little kitchenette was actually amazing---even in such a small room---and was something I didn't realize I needed in a hotel room. The pour-over coffee was an amazing touch. Our room was missing creamer, but didn't bother asking for some because it was good coffee as is, but that is a detail that should be checked. The location was really convenient for subway access and was walkable to a show at Warsaw, which is why we were visiting. A great weekend! ",10,Jeanne,2025-09-15
Absolutely obsessed with this hotel! It is so charming and literally perfect in every way. They’ve thought of everything and each detail is just lovely. ,10,Jessica,2025-09-14
What a great find. The Penny was stylish and clean with an amazing rooftop view. The staff was friendly. The location convenient and Penny herself is quite the mascot! ,10,Nancy,2025-09-12
"We enjoyed our stay at The Penny Williamsburg. The staff was friendly and the room was clean. Nice little courtyard out back and we had a nice dinner at ElNico, their rooftop restaurant. Only a few minutes walk to the L train station. We loved the pour over coffee in the room and the free coffee downstairs in the morning.",10,Joseph,2025-09-11
"fantastic location, quiet, picturesque, cute hotel that is super new and clean ",10,Sophia,2025-09-11
Loved this hotel ,10,Kellsey,2025-09-10
,6,Matt,2025-09-08
I really enjoyed my stay here at penny. It felt like I was in a studio apartment all to myself. I love the big towels and kitchen the bed very  comfortable. The elevator so cute I will definitely be back ,8,Tracey,2025-09-08
"Loved this spot. Will stay again
Did not enjoy hours of fire alarms after midnight ",10,Debra,2025-09-07
"Small, clean room at a hefty price.",6,James,2025-09-06
,10,andrew,2025-09-06
,2,Andrew,2025-09-04
,10,Audrey,2025-09-03
Loved the upstairs area rooftop area. I was able to go up and read and journal before the restaurant opened. Love having that option as a guest. ,10,Kreasha,2025-09-03
,10,Ashley,2025-09-03
Had a great stay! Room was clean and comfortable and the hotel was really conveniently located. ,10,Madison,2025-08-31
Cool hotel great clean and safe location close to everything.  Very elevated room with foam roller and pour over coffee was a nice touch ,10,Zac,2025-08-31
,10,Pablo,2025-08-29
,10,Joseph,2025-08-27
Well designed rooms! Very comfortable and pleasant stay. Great hotel!,10,Sara,2025-08-26
love the new rooftop restaurant,10,Christina,2025-08-26
I will go there again everyone was kind!,10,Yvette,2025-08-25
"If you like artistic or different from status quo,  this is the place to stay when in the area. You get the artist vibe upon walking in the front door. I was greeted with a smile and welcomed immediately. A room was ready for me even though I was early. My room was perfect in every way. Just what I needed. All I can say is they were eager to please and be helpful. Pet friendly. To see a dog is a good thing. Loved the in room pour over coffee, fridge, microwave, yoga mat, and roller. I do hope to stay again sometime.",10,Sheryl,2025-08-23
,10,David,2025-08-22
,10,Michael,2025-08-20
Check in process easy. Staff friendly. ,10,Machelle,2025-08-18
,10,Maria,2025-08-16
"Lovely boutique hotel with a wonderful restaurant bar on the roof. Great views, super friendly, great location in Williamsburg and thanks for discount on parking!",10,Ellen,2025-08-16
,10,patricia,2025-08-15
,10,Verified traveler,2025-08-14
,10,Johanna,2025-08-14
,8,Daniel,2025-08-13
,10,Kai,2025-08-12
,10,Verified traveler,2025-08-12
,10,Eric,2025-08-10
Great place to stay and friendly staff. ,10,Renee,2025-08-10
Tiny but tidy! Great little boutique hotel.,10,Kristina,2025-08-08
,10,Christina,2025-08-07
,10,Scot,2025-08-06
,10,Lisa,2025-08-06
"Hôtel bien situé pour errer dans Williamsburg ou aller à Manhattan en métro.
Les chambres sont bien aménagées, confortables, très propres et au calme. 
L’hôtel dispose d’un rooftop confortable avec un bar et restaurant et d’une vue magnifique sur Manhattan et Brooklyn. 
C’est la deuxième fois que nous y séjournons.",10,Michel,2025-08-05
,10,Stewart,2025-08-05
Great. Spacious room with a comfy bed and excellent coffee set up!,10,Evan,2025-08-01
"Second time visiting New York, first time in Williamsburg. Loved the hotel. Booked a room with my girlfriend an hour before checking-in and was impressed with the quick check-in, attention to detail in the creative decorations, amenities offered in the room  such as 2 bathrobes, utensils for takeout, yoga mat+roller, automatic curtains, adjustable mood lighting, nice hygiene/shower products, and a cork bulletin board in the room with all necessary information. Great view as well. Dope looking rooftop bar/restaurant although we just got takeout from a thai place around the corner. Noticed that they even provide bikes for guests to borrow, although we didn’t take advantage of that this time.

Cool place, I’d recommend ",10,Ethan,2025-08-01
,10,Liana,2025-08-01
Such a cute hotel! Felt right at home. The rooftop restaurant has an incredible view and perfect for working and having snacks/lunch. Friendly staff and in a very desirable location.,10,Eisha,2025-07-30
,10,Robert,2025-07-28
"The room was perfect for what we were looking for. The only issue we had was that the seal on the shower door was not complete and resulted in some water leaking from the bathroom towards the entrance door, but staff was quick to solve this issue when I called the front desk and we had no further issues. Would definitely recommend this place to anyone, we will definitely be coming back! ",10,Brittni,2025-07-26
"Super hip place, great staff, clean and fun!!! Cool roof top bar to boot!!! ",10,Peggy,2025-07-23
Nice,10,Michael,2025-07-20
,8,Freida,2025-07-19
,10,Jordan S,2025-07-17
,10,Jordan,2025-07-17
Amazing hotel. Perfect location - close to soo much but still quiet. The restaurant on top is great too or they offer 24-7 snacks. Highly recommend for 1-2 people!,10,Bayleigh,2025-07-16
,10,Daiva,2025-07-15
"Unexpected delights like original art, throw pillows, BOOKS!, citrus in bowl -- little touches that made us feel very welcome and pampered! The bed was very comfortable with a super large window. ",10,Monika,2025-07-15
"Great location, loved the property. Rooftop restaurant was delicious.",10,magen,2025-07-13
Property is well designed and rooms are beautiful. Everything was great except the bed is against the window in the room I had so for one person it's fine but for two it would be really inconvenient. ,10,Sara,2025-07-12
,10,Sarah,2025-07-12
,10,Lyly,2025-07-10
"Upon arrival staff member was unfriendly at the desk. 

Restaurant staff were al amazing!! ",6,Verified traveler,2025-07-09
,10,Dina,2025-07-08
"The walls are super thin. We could hear everything outside in the hallway and from the rooms surrounding ours. We barely got any sleep because we could hear everything. 
Also there’s no way to turn off the closet light. There are no switches to turn it off. It was on all the time, even with the closet doors completely closed, and was shining through the creaks of the closet the entire time we were there. 
The shower was really confusing because even when the knob was on cold, the water was super hot.  ",8,Parinita,2025-07-07
,8,Kimberly,2025-07-07
"Love, love, love this cute and cozy hotel. The staff was nice and my room was comfy enough to not let up off the snooze button. ",10,Leah,2025-07-02
