review_text,rating,author_name,timestamp
It was fine,6,Andrea,2025-10-07
,8,kirby,2025-10-07
Great hotel and staff are very friendly ,10,LaDeana,2025-10-07
Staff was very friendly and knowledgeable!,10,Ingrid,2025-10-05
Everything went as planned and the place was clean and easy to getbto places we needed to go.,8,Hilario,2025-10-05
Staff was grestv,10,Josh,2025-10-05
Love it here,10,Leila,2025-09-30
Drawers in 302 were were.  full of dust and papers.  Room was fine afteri cleaned up themess,10,steven,2025-09-29
"The rooms were exceptional. Clean, comfortable, and very nice. The buffet breakfast was perfect. No issues. My initial complaint was that the manager tried to charge me $12 to park my car, but when I booked with Hotels.com back in June, it was listed as FREE PARKING. Hyatt Place changed their policy in July. I had to phone Hotels.com to get the charge removed. My second complaint was the the top third of the TV screen was dark (burned out back light) and the hotel manager said it couldn't be repaired. Other than these two items, the hotel was perfect.",8,Donald,2025-09-28
The hotel is beautiful and very clean. The access to Hwy. 36 was perfect. We felt comfortable and safe the entire time. We will definitely stay here again. ,10,Anne,2025-09-28
"Food was ok, bar was ok",10,James,2025-09-25
,10,Aditya,2025-09-24
We liked the hotel and staff. There could be coffee offered for a longer time in the lobby/bar area. Bar could be open longer as well.,10,Theresa,2025-09-24
It's fine. No issues,10,Jason,2025-09-24
Very friendly and helpful staff. Would definitely stay again if in the area. ,10,Danielle,2025-09-23
Great customer service ,10,Hector,2025-09-23
,10,Milan,2025-09-23
,10,Lynn,2025-09-22
"This a great hotel with one flaw:  the bathroom lights definitely need dimmer switches.  If you walk into the bathroom in the middle of the night and need some light, you will be lit up like a football stadium. ",10,Francisco,2025-09-22
"The room was clean and had a modern design. Continental breakfast had a lot of options. I was annoyed that they charged us 12$/night to park and didn’t tell us that they were going to charge us. The front desk attendant that checked us in just asked if we were going to be parking in “our lot” and gave us a tag with our check out date on it, but never said there was an additional charge for it, it just showed up on our bill",8,Andrew,2025-09-21
Excellent ,10,Derek,2025-09-21
Breakfast wasn’t so hot but the place was nice enough. Near Target! ,8,Michael,2025-09-19
"We had a great stay overall. Our family trip was short, but the overall convience, the location, and great shopping and restraunts nearby. The convience to the city was nice being that we were in town for a concert! Overall, a great, clean, safe place to stay. Also not to mention a great walking path nearby for a morning walk was awesome.",10,Erica,2025-09-18
"Facility is older than expected and not as attractive as pictured online, otherwise everything was OK.",8,Robert,2025-09-18
,10,Joyce,2025-09-18
!,10,Craig,2025-09-17
"Quiet
",8,William Roy Crews,2025-09-16
"The hotel was nice, clean, friendly service, my only complaint is our shower knob was broken. ",8,Toni,2025-09-15
Staff was friendly and helpful ,10,Misael,2025-09-15
Amazing professional front desk staff! ,10,Dean,2025-09-14
,10,Mark,2025-09-13
nice stay,10,Welton,2025-09-12
,6,Bill,2025-09-10
Very nice and convenient location,10,Cameron,2025-09-10
"Frist of all i'd like to say the lady over seeing the breakfast did an Excellent job. 
The hotel was very clean,  spacious rooms and comfortable beds.
My only complaint is the Bar/restaurant was closed sunday. When booking a hotel we look for one the offers dining & drinks. 
The guy working the desk (9/7@9) was leaning against the wall ""bars closed"". 
",8,Susannah,2025-09-10
It was great,10,Cohen Stevenson,2025-09-10
,10,Matthew,2025-09-09
Good place to stay in between Boulder and Denver. Safe and quiet. Would stay again. ,10,Kevin,2025-09-09
Very clean and large rooms. Lovely housekeeping staff. Decent amenities. Has a basic continental breakfast available. Kind of surprised we would pay for parking this far out of this city.,8,Lauren,2025-09-08
Enjoyed the stay,10,Daniel,2025-09-07
The property is very conveniently located near many shopping and dining destinations. Ride share is readily available as well for those just visiting for a quick trip like I was. The breakfast was delicious and the staff was great! ,10,Kayla,2025-09-07
,10,Anna,2025-09-06
,8,Matthew,2025-09-05
Beautiful rooms and fantastic beds. ,10,Debra,2025-09-04
,10,Matthew,2025-09-02
Breakfast was amazing and the view from my room love it ,10,Fredy,2025-09-01
We had a nice stay here no complaints. Weird you get charged for parking though.  ,10,Kim,2025-09-01
,10,Verified traveler,2025-09-01
,10,Suresh Babu,2025-08-31
We liked it very much except the $12 charge to park in the parking lot.,10,Dave,2025-08-30
,10,William,2025-08-30
,10,Rita,2025-08-28
,10,Tyler,2025-08-27
"What a beautiful property! The staff was wonderful and informative; the room was very clean as was the entire facility. The breakfast, dinner, bar, and seating options were all outstanding. This will be where we stay when we come to Denver from now on. Highly reccomend.",10,Carlee,2025-08-27
Nice,10,Matthew,2025-08-27
,10,Richard,2025-08-26
,10,Felicia,2025-08-26
I liked having a restaurant onsite. The food was good and reasonably priced.,8,Clarence,2025-08-25
Water pressure in shower not very good but really nice hotel overall,8,Alex,2025-08-25
We had a great time. Super nice hotel and easy access to get around to all things in the Colorado area ,10,Ken And Louise,2025-08-24
,10,Wesley,2025-08-24
Very nice hotel. Great location. ,10,Brent,2025-08-23
,10,Verified traveler,2025-08-23
,2,Shannen,2025-08-23
Very nice place to stay.,10,Taylor,2025-08-22
great experience ,10,Rajan,2025-08-20
,8,Calli,2025-08-18
,10,Samantha,2025-08-17
"I have nothing bad to say about this place. We stayed for 4 nights and had zero issues. The check in was easy, everything was clean, the breakfast was great, the location was easy access to everything, there are eating and shopping spots within walking distance, and we ran on their local trails behind the hotel. Awesome stay, will be back if we travel through (or to) the area again. ",10,tim,2025-08-16
