review_text,rating,author_name,timestamp
,8,Kary,2025-09-24
"We enjoyed the hotel with the exception of the wait staff the morning we were leaving.  They were not being very professional at all.  They were joking around, very loud and saying a lot of words I don't think you would have approved of.  The profanity lased show they were putting on was so bad I had to turn my phone up to all the way to be able to hear what I wanted to listen to.  I was the only customer in the whole area and they were so loud and nasty.       ",4,Gina,2025-09-15
,10,John,2025-09-14
"Clean,  friendly staff , enjoyed the curtesy coffee ",10,Oralia,2025-09-13
"Friendly staff and easy check in. Rooms are very clean and they have a fridge, coffee make and microwave. Definitely recommend ",10,Barbara,2025-09-12
,2,Derrick,2025-09-07
Great staff,10,Robert,2025-09-03
,6,Verified traveler,2025-08-26
,8,Charissa,2025-08-25
,2,fomanyi,2025-08-25
,10,Tammy,2025-08-20
x,10,Jay,2025-08-19
,10,Stephanie,2025-08-09
,6,Shari,2025-07-31
"I requested a room with a tub upon arrival. Guest services indicated that they had checked me into an assigned room prior to arrival and could not change the room. 

Fortunately, the room they’d assigned had a tub (indicating unfamiliarity with the property). ",6,Shari,2025-07-31
,10,Sharon,2025-07-30
Na,10,Karina,2025-07-28
,4,Wesley,2025-07-20
Overall met my needs ,10,Heather,2025-07-18
,8,Glenn,2025-07-11
Olivia at the restaurant was awesome. Everyone we encountered was super nice and accommodating. Pillows were perfect and the linens smelled amazing. The rooms were quiet and clean. My only recommendations are no more cardboard boxes for takeout and bigger trash cans in the rooms. Overall wonderful stay!,10,Kimberly,2025-07-09
,10,April,2025-07-06
,8,Janine,2025-07-02
Great customer service.,10,Tavaris,2025-06-24
Clean and friendly,10,Daniel,2025-06-21
,10,Lori,2025-06-18
"Very clean,  great staff worthy of anpther visit.",10,Douglas Eugene,2025-06-16
,10,Melinda,2025-06-12
,10,Vicki,2025-06-09
.,10,Griselda,2025-06-06
,8,STUART,2025-06-05
,6,Felipe,2025-06-03
Clean,10,Kathleen,2025-06-01
"Excellent staff, great food, very comfortable",10,Kevin,2025-05-31
Good stay,10,Jarossiri,2025-05-28
,10,Lyle,2025-05-28
,8,Savannah,2025-05-26
,10,YUSUKE,2025-05-24
Clean and quiet,10,Gemechu,2025-05-22
,10,Lany,2025-05-22
"The airport guy was great!  We got to and from the airport with ease and he had a great attitude
",10,Danielle,2025-05-03
,10,Devon,2025-04-30
