review_text,rating,author_name,timestamp
Great price. Clean rooms. Bathtub amd bathroom mirror a lil old but at least they had one on the 6th floor. The indoor pool was nice. Stocked with towels. I recommend bringing your own coffee n creamers. Felt super safe w my kid. Would stay again if in the area. ,8,Shawna,2025-10-07
"Rooms not clean enough and needs to be renovated. Cleaning staff lazy, and Parking fees are to excessive.",6,Melvin,2025-10-06
"Everything was great. My only complaint was that I paid extra for a room with a ""Bay View"" only to find a room with a very small window and the view blocked by the neighboring hotel. Not a big deal, but I won't pay extra for a view in the future.",8,Felicia,2025-10-06
Room was cold,10,Robert,2025-10-06
The rooms were real nice and cozy and the parkin was easy and convenient and the rooms are right by the ocean ,10,Trillion,2025-10-06
,10,Tamara,2025-10-04
"The staff overall was just ok. No happy greeting and rude house keeping. House keeping came by to clean and I was still in my room, asked for a few mins and I got an eye roll and my room got cleaned. 

Parking is $40/night for everyone, even the disabled. Better off spending the extra $40/ night at a nicer place at a much better location. ",6,Mishka,2025-10-02
"Lobby desk had technical difficulties but made up for it with a parking pass. I could smell fresh baked cookies but was not offered a cookie at check in.
The room was on the 2nd floor , no view! 
Bathroom had a moldy smell to it
The entire room looked clean ",6,Rocque,2025-10-01
Nice,10,Mike,2025-09-30
Staff was very friendly. Enjoyed our stay very much,10,Dani,2025-09-30
"Schrecklich. Parkplatz war zu bezahlen aber nur mit Scan Code über Internet. Leider hat das bei mir nicht funktioniert. Auf die Nachfrage in der Rezeption ob es andere Möglichkeiten gäbe, nur die trockene Antwort, der Parkplatz gehört nicht zum Hotel und wurde mir freudlos eine Mail Adresse gegeben, wo ich nachfragen kann.  Bis jetzt keine Antwort. Schrecklich. Hätten von Hilton Group so etwas nicht erwartet. ",2,Alek,2025-09-29
,10,Michael,2025-09-24
"I searched for a hotel with free breakfast.  After I arrived I learned I did not have the kind of reservation that includes breakfast.  I found the reservation process challenging.  It was difficult to get all of the information.  Specifically, it was difficult to understand all of the potential charges, fees, policies (breakfast), etc.",6,Daniel,2025-09-24
,10,Mike,2025-09-23
,10,Madorie,2025-09-19
"Good hotel but won’t stay again, almost $100 to park at the hotel for 2 nights. ",6,Matthew,2025-09-15
,10,John,2025-09-14
I will be back ,10,Will,2025-09-11
Staff was friendly ,10,Will,2025-09-11
,8,Jonathan,2025-09-11
The front desk staff could not have been nicer or more helpful. The breakfast was good: better than most business hotels for example. ,10,William,2025-09-10
"This place was clean and nice. Inside hotel itself was nice. However, they charged a ridiculous $40 a night for parking and did NOT include complimentary breakfast! Everything here was an extra charge and just such a rip off! I'd never go bsck here! ",4,Cassandra,2025-09-09
,10,Cheryl,2025-09-08
,10,Michelle,2025-09-06
Property is starting to show aging and older.  Although main,6,Hector,2025-09-06
,10,Josselyn,2025-09-05
Loved the cookies ,10,Jennifer,2025-09-05
Good ,10,Mezgebu,2025-09-04
,10,Sarah,2025-09-03
quiet and clean room,10,HERME PASTRANA,2025-09-03
"Pool was closed, no breakfast, 40 dollars a night to park. ABSOLUTELY RIDICULOUS!!! We requested a refund and left. Do not reccomend.",2,Andrea,2025-09-02
No restaurants or grocery stores nearby,8,Gustavo,2025-09-02
,10,ERICK,2025-09-02
,4,Onur Burak,2025-09-02
,6,Rosalinda,2025-09-02
"Nice property and nice staff, but it was noisy at night",6,Ryoko,2025-08-31
"Quite, clean and affordable ",10,Dmitriy,2025-08-31
A lot of better options and really regretted booking this hotel. Got bed bug bites and rashes from dust mites. Shower didn’t work and everything just felt dirty.,2,Jazmin,2025-08-31
,8,Erica,2025-08-29
"Hotel was ok.. the air conditioner was extremely loud when turned on throughout the night .. woke up 5-6 times throughout the night. Parking fees was a fiasco., $37 a night and the system they used isn’t up to date and still issuing tickets when you have paid for parking . Still waiting for my reimbursement for double charging. ",2,Jack,2025-08-28
Terrible staff all around ,2,Shadow,2025-08-28
,10,Kevin,2025-08-27
,6,Johnson,2025-08-27
,10,Andrew,2025-08-26
great stay!,10,Phillip,2025-08-25
,10,Gassan,2025-08-25
,10,Bernard,2025-08-25
"Clean lobby, quiet area, restaurant on site, and nearby.",10,Amay,2025-08-25
It was amazing and very relaxing.,10,Patsy,2025-08-24
Nice rooms easy to get to,10,marcy,2025-08-23
Stay overall was great was bummed out pool was out of service but shout to the amazing receptionist that helped us check in an out she was amazing super friendly a bubbly she was great!!!!!!!!=],10,Verified traveler,2025-08-23
Nice pleasant stay.,10,Joey,2025-08-21
Good,10,Dheeraj Reddy,2025-08-20
Nice place atay,10,Maria,2025-08-20
,8,michelle,2025-08-20
"Easy quick and worry free , refreshments in lounge a bit expensive though",10,Jacob,2025-08-20
I loved how convenient this hotel is 15 minutes away from Oracle Park.,10,Liza,2025-08-20
,6,Verified traveler,2025-08-19
,10,Roberto,2025-08-19
"Great breakfast buffet. However, the pool was out of action and it would've been good to know this before booking. ",8,Stella,2025-08-18
,10,Rikki,2025-08-18
Friendly staff and very clean ,10,Runyah,2025-08-15
,10,Margaret,2025-08-15
Good,10,Aliaan,2025-08-13
,10,Stephanie,2025-08-11
,6,joshua,2025-08-11
,8,Roland,2025-08-10
,10,Emmanuel,2025-08-10
Place was great and easy tonget to,10,Salvador,2025-08-09
,10,Victor,2025-08-08
,10,ingrid,2025-08-06
,6,Ramona,2025-08-06
,10,Wendy,2025-08-05
"The only thing that was not perfect: the beds and pillows.

Y'all have to turn those mattresses around every few months. When someone sleeps on the same spot for months (or years), that mattress is no longer comfortable (I'm sure some need to be replaced). 
Same for the pillows. It's as if there is no pillow. 
The pillow is there...but it's not doing the job of a pillow. 
When you put your head on the pillow, your head practically hits the bed. Definitely need replacing. 

With the exception of that, everything else was perfecto.",10,STEVEN J.,2025-08-05
Think that the $40 overnight parking charge is a bit too high. ,8,Ron,2025-08-05
Very comfortable accommodations with a nice view. Also has a pool and is close to SFO and downtown San Francisco ,10,Sarah,2025-08-04
It was amazing. Enjoyed our stat. Beautiful view and room. Great staff.,10,Patsy,2025-08-03
Accommodations were okay. Floor was dirty and torn. We booked because of the closeness to our vacation actinides and for the pool. Upon check in we saw a sign that the pool was temporarily closed but staff didn’t know why. They eventually found out closed for maintenance for a month. This was the main reason we booked here.  ,6,Kari,2025-08-03
Room where large and clean,10,Salvador,2025-08-01
We had a great time!,10,Anita,2025-07-30
Parking by qr code not explained or priced. Breakfast not clear how to get voucher on site. Double tree wont print price reciept from expeda.,4,mathew,2025-07-27
Loved our stay five minute drive to restaurants and gas. Excellent and courteous staff. Forgot my toothbrush and they kindly gave me one. ,10,Roxanne,2025-07-27
"Room was excellent

Checkout waiting time was 10+ minutes because only one staff member was on duty

We didn’t get breakfast vouchers at checkin and were rejected at the restaurant next morning, so we had to go back to checkin to get the complimentary vouchers

We didn’t get omelettes even though they are part of the standard breakfast offered

40 USD for parking for one night is very expensive 

Overall, really poor service and experience, I was expecting a higher service standard from Double Tree",6,Christian,2025-07-26
,8,Jane,2025-07-25
Everyone was nice and helpful ,10,Tirharqa,2025-07-24
,10,Ana Paula,2025-07-23
"I booked a room with 2 queen beds and was told upon check in that we were bumped to a single room with a pull out couch because they sold out of double queens and Hilton reserves the right to bump us because we booked through a third party. My daughter ended up having to sleep on a pull out bed that was awful. You could feel every spring and bar. Then, we realized the shower had no shower head - and only a hand wand that was attached at waist-level in the shower. So, we weren't able to shower hands-free. Additionally, there are no restaurants or gas stations around, so you have to drive anywhere. I'm glad I was able to get a refund for this terrible experience. ",2,Melissa,2025-07-22
"I like the convenient location of the hotel. Our room was average. Pillows and linens were clean and comfortable. FYI, breakfast is not included and overnight parking is NOT included in your fee for the hotel. I paid $41 to park overnight. SO if you're on a budget, keep that in mind as an added fee. ",6,Ana,2025-07-22
,10,Danielle,2025-07-21
,10,Lisa,2025-07-21
,10,Verified traveler,2025-07-20
,10,Hamish,2025-07-19
,10,Rebecca,2025-07-18
,8,Kim,2025-07-18
Would come back! ,8,Alicia,2025-07-18
,2,Halil,2025-07-18
