review_text,rating,author_name,timestamp
     Fine stay,10,Penny,2025-10-06
"Great property, beautiful surroundings ",10,Belma,2025-10-06
Great place!,10,Amanda,2025-10-06
"Hotel is very cute, love the decor, river views, clean rooms and restaurant in the lobby was convenient. There was some loud guest next door to me which made it difficult to sleep but it eventually quieted down. Front desk staff was very friendly and helpful. ",8,Teresa,2025-10-06
 Refurbished hotel is beautiful.  All staff very helpful.,10,Leslie,2025-10-06
"This property is quite nice and in a lovely area.  Plenty of shopping and dining nearby, not to mention being on the river.  Step onto the river trail and you're soon in nature. 

The only hiccup in my stay was the room next door.  There was an adjoining door, and this must've allowed more sound in.  I was woken up over an hour earlier than I would have liked (on a Sunday) by what sounded like 4 or 5 people talking animatedly next door.  Next time I stay, I will be asking for a room that DOESN'T have a door between rooms for family access.",8,Paula,2025-10-06
"Room was clean and good size.  Bed was average, too soft,
Coffee in room was not good. 
Room was very noisy in the am.
",6,John,2025-10-06
Staff was very friendly and went above and beyond service wise. Our room was very spacious and we had everything we needed.,10,Ashley,2025-10-06
Great view of the river and walkable areas. Close to town and music venues during the Oregon Bach Festival.,10,Michael,2025-10-06
"Very comfortable room, nicely appointed. Easy access to Sweet Waters restaurant, and parking is abundant due to the proximity to the mall.",10,Jefferson,2025-10-05
"The pet areas were excellent, the river walk and view very nice, the restaurant convenient and friendly with tasty menu options including fresh greens.",10,Lane,2025-10-05
Very convenient for everything we had planned. ,8,Ethan,2025-10-05
Excellent ,10,Michael,2025-10-04
Excellent ,10,Frédéric,2025-10-04
The walking path by hotel was great. ,10,Chris,2025-10-04
Great location with restaurants nearby and also right along the north river trail.,10,Patrick,2025-10-04
"Huge, modern rooms. Walls are thin but they have  white noise machines next to the bed that actually do make a difference. Great location",10,Molly,2025-10-04
"Nice room, Nice view. Great walk along the river to Autzen Stadium.",10,Mary,2025-10-04
"Room was clean staff was friendly 
Will stay there next time I go to Oregon ",10,Beth,2025-10-03
Lovely overnight stop,10,Joni,2025-10-03
Room was comfortable and clean. View of river was lovely. The last two times we have stayed there we have been disturbed by loud neighbors in the next room. Walls are pretty thin for that type of behavior. ,6,Jeffery,2025-10-03
Noise from train’s & freeway traffid,6,Wesley,2025-10-02
Easy walk to nearby shops and restaurants. The onsite restaurant /bar was good and had an excellent view!  Quick Uber ride to Autzen!  Will stay here again!,10,Shelly,2025-10-02
Excellent all around,10,Susan,2025-10-02
Nice place with lovely views and good food. ,10,Katherine,2025-10-02
S,10,Maria,2025-10-02
