review_text,rating,author_name,timestamp
The room was clean and comfortable. Close walk to the TD Garden. ,10,Myah,2025-10-04
"Reserve una habitación Premier y la Que me dieron NO era como la de la foto de esa categoría, aunque decían que sí era pero cambiaba la configuración. Adicional a ello, el aire acondicionado no funcionaba. El personal siempre fue amable e intentaron resolver aunque sin éxito, por lo que tuvimos que cambiarnos a una habitación estándar (más económica de la que pagué) con tal de dormir con aire acondicionado. ",6,KARLA D,2025-10-02
" Spur-of-the-moment decision to stay at Pennyweight based on proximity to Boston's North Station. Compared to three other nearby options, price was right. Two nights. If you're looking for a place to sleep and shower and want location near North Station, TD Garden and North End, you overlook the very small room (king), limited in-house dining, limited lounge seating, and neutral lobby ambience. But hey, plenty of eating and socializing options nearby. Friendly front desk and overall clean environment.",8,Steve,2025-09-28
,10,Joseph,2025-09-20
"Super convenient location, the room was spotless, and had a massive TV. Would recommend to anyone visiting ",10,Ivan,2025-09-19
,10,Angela,2025-09-17
"The room was excellent, very nice, and very clean, although maybe a bit on the high side for price and amenities. The service was not good. They charged me an extra ""destination"" fee that they said was usable at the market and restaurant/bar, but didn't apply the credit on check out. They close the bar/restaurant early, and we had to sit for 20 minutes until somebody came to take our order, even though we were the only ones there. ",8,Matthew,2025-09-15
"The hotel itself was great, but the staff were quite rude to us when we checked in. The hotel bar/restaurant also closed early on all three nights of our stay.",4,Mackenzie,2025-09-15
"Room was very hot, AC didn’t work ",6,Liana,2025-09-14
"Overall, our stay was great! But the room was not worth the money we spent. The ad for Pennyweight on Expedia was wrong. At 1st on Expedia, i booked a double room with king size beds, when i called Pennyweight 2 days prior to checking in, they told me they do not offer double rooms. 2nd. The ad on Expedia also advertised ""free breakfast"", that also wasn't true. The hotel only offered breakfast that you could buy from the little restaurateur they ran as part of the hotel. 3rd, the Expedia ad also said there was ""limited on-site parking""which one would assume there is free parking on the hotel premises on a 1st come, 1st serve basis. That was also wrong. There was no ""limited on-site""parking. In fact, there was none. I had to valet my car for 3 days @ $67 a day. 4th, we forgot something in our room and realized it after we left. We asked the hotel if they could Mail it to us, and with the amount we spent on the rooms, a night, you would think they would take care of the shipping costs, that was a negative. Not that big of a deal, but still, for the money spent, thought they would've taken care of it. And lastly, a $30 destination charge everynight of our stay! I get it, taxachusstts!
They hotel is nice and the staff were great! But everything else is horrible! Small rooms, ridiculous fees, unnecessary parking costs and etc... i wouldn't stay here again nor recommend anyone else to stay here. 2 outta 5 Stars.",6,Matthew,2025-09-13
,8,Olivia,2025-09-12
,6,Alyssa,2025-09-10
"Super close to TD garden, friendly service beautiful rooms ",10,Heather,2025-09-03
