review_text,rating,author_name,timestamp
,8,Marco,2025-10-07
The stay was amazing! ,10,Lori,2025-10-05
Room was very clean and staff was very nice,8,Gabriel,2025-10-04
The room was beautiful.  Booking with hotels.com is very horrible experience i had 2 times in 1 week.  Do not trust there advertisement its not what it is in pictures.   ,2,Joann,2025-10-03
"Although the price was a great deal and included breakfast and close to parks, the cleanliness of the facility was not good. Our room had stained sheets and towels, the toilet never flush properly, leaving us to either flush multiple times or unclog it ourselves, the shower was dirty when we got there, along with both the showerheads corroded. Hotel team and safety was great, but If the hotel was cleaned, I would stay here again, but due to cleanliness, I will not. ",6,Brittany M,2025-10-03
"My family and I enjoyed this hotel. It was our first time staying here. Great service, updated hotel, free breakfast and great amenities in the hotel and the area. Quick update by text if needed by staff which made it easier instead of calling for anything we need. We will keep this hotel for next time we stay again. Thank you ",10,Ernest John,2025-09-30
,10,Eryn,2025-09-28
Muy sucio el cuarto,4,Cesar Alejandro,2025-09-28
Great customer service ,10,Sara,2025-09-27
It was comfortable ,10,Jody,2025-09-26
Our stay was wonderful but I wish the breakfast was better. ,8,Sophia,2025-09-26
Free breakfast and they have a close by bus shuttle to go to Disney but you have to pay $6 a day which is not too bad,8,Joji,2025-09-25
"Alright place, could be better with how much you pay, especially parking not being included nor disclosed unless at the bottom of the website in fine print. Just be aware of the security deposit is for parking in there parking lot. When arrived we got told they needed to hold a security deposit of $150 and would get reimbursed what was not used from the the little shop they have, nothing about parking was told would be taken out of the security deposit, we would have found free parking, especially with how much we already spent on the hotel, and our first trip to Disneyland.. Called and to discuss what the charge was for got told 25$ a night plus tax for parking was taken out of the deposit, all the representatives could say was it was stated at the bottom of the website I asked why it wasnt discussed when told about needing a security deposit. Just a little disappointing with how much our trip was then to see that charge. Just That much for parking and not to even get a guaranteed parking spot or a spot near the entrance to the hotel. 
",6,Tayler,2025-09-24
,6,Adel,2025-09-24
Great staff ,10,Jasmine,2025-09-22
Everything was so clean. ,10,Winnifred,2025-09-22
"We stay here all the time when visiting Disneyland! The beds are so comfortable, rooms are always clean, and staff is very nice. We will definitely continue staying here. ",10,Eloisa,2025-09-22
"Everything was excellent, except I needed to ask the front desk for earplugs because I could not sleep at all without them from the surrounding noise. Disney noise is to be expected like the fireworks, but there were groups to the side of my hotel room being incredibly loud till late in the night, weird loud  in the room behind mine, and cars revving around the block for hours. I might just not be used to what’s typical noises for the area… but either way it was an unpleasant sleeping experience.",8,Patricia,2025-09-21
"Highly recommend loved the staff, extremely lovely and welcoming. Parking was awesome and convenient and the breakfast is to die for very cute and family friendly!!!!!! ",10,Guadalupe,2025-09-21
,10,Nancy,2025-09-21
Great place to stay. Very spacious room. Great customer service. ,10,Ashley,2025-09-20
nnanan,10,Iran,2025-09-19
,10,Nancy,2025-09-17
It’s was great. Very friendly service. ,10,Uraivan,2025-09-16
,8,David Alejandro,2025-09-16
,4,Mike,2025-09-16
Loved! Staff was great! Quiet and very clean rooms. ,10,Neena,2025-09-16
"Excelente ubicación cerca de Disneyland. Buena atención y servicio.
Lo único que no me gustó es el cobro del estacionamiento, debe ser un carro por habitación sin cobro.
Gracias ",10,Tania,2025-09-14
"Habitaciones  limpias , la atención de recepción debería ser inglés español, no me gustó que el estacionamiento lo  cobran 25 dólares más impuestos por noche, la limpieza de las habitaciones no son diarias..",6,Vany,2025-09-13
,10,Michael,2025-09-13
,10,Brenda,2025-09-11
,10,Marlenne,2025-09-10
"The staff was amazing, specially Ana, Bevz, and Rachel. They went above and beyond for us. ",10,Madeline,2025-09-10
I appreciate the free breakfast and the staff were very helpful and friendly.,8,Melodie,2025-09-09
"Property is good but management is terrible.
They charged us with Property damage without any picture proof or receipt. 

I asked many time that what was damaged and the receipt of the charges, but they never provide anything  but took the amount ",8,mandeep,2025-09-09
,10,Doraneli,2025-09-09
,10,Gabriela,2025-09-09
Very clean and the staff very friendly and kind ,10,Julio,2025-09-08
Love love the hotel room and the breakfast every morning. Such a nice clean place. ,10,Thania,2025-09-08
,10,Jose,2025-09-08
"We liked the convenience of this hotel was close to Disneyland and many other business properties around the area. On the other hand, my family and I were disappointed that we booked a 1 bedroom suite which included a kitchenette, but there were little to no cookware, and the smallest cups and bowls. We weren’t able to utilized the kitchenette as how we would’ve liked, so it defeats the purpose of us booking a more expensive room. We called the front desk and their response was so nonchalant, and directed us to the mail the supervisor. We also thought we would be able to see fireworks from our room, as pictured on the website, but that all fluffs. They need to do better with providing cookware and  dinnerware, and stop with the false advertisement. ",6,RASHANA,2025-09-08
"First stay here and we really enjoyed it. The free breakfast is a MUST HAVE, I’ve never experienced anything like that with great prices for the stay.",10,Geneva,2025-09-08
"Nice staff, rooms were clean. The only con was paying the $25 for parking and struggling to find parking space, due to the ice cream shop nearby many of the parking spaces were taken so we parked pretty far. The security guard did end up assisting in finding parking but it was the inconvenience of driving around a couple of times just to find parking.",6,alma,2025-09-07
,10,Angelo,2025-09-07
Nuestra estadía estuvo increíble! ,10,Brayan,2025-09-06
nice,8,Allan,2025-09-06
