review_text,rating,author_name,timestamp
The room sheets were dirty and ripped . Had to get new ones and the blanket that they replaced it with all the cotton inside was balled up . It looked moldy . ,8,Nicholas,2025-10-03
Great staff. ,8,Stephanie,2025-10-02
"I booked a room with a double bed and a pullout sofa. There was no pullout sofa. There was a twin trundle bed, which is a small piece of foam on top of a pallet. Nothing that is appropriate for a human being to sleep on. I would never stay there again.",2,Susan,2025-09-25
,10,Lacie,2025-09-24
"I booked The Baltic Hotel through Expedia and had a very disappointing experience. Upon check-in, I was given a room located directly behind the reception counter, which felt extremely uncomfortable and unsafe — especially since the room did not even have a lock on the door. When I went back to address this issue, the front desk staff member, Abir, was extremely unhelpful and refused to switch me to another room. He was also very rude in the way he spoke to me.

This experience made me feel unwelcome and unsafe, and I would not recommend this hotel to anyone. I hope Expedia reviews this property closely, as this is not the type of service or accommodation that should be offered through your platform.",2,Ibrahim,2025-09-23
"This is a very clean, well designed hotel! It feels like Brooklyn, it feels artistic and gives off positive energy!",10,Melinda,2025-09-17
The hotel itself is budget friendly and the bed was comfortable. The hotel is situated in a residential neighborhood that many lovely brownstone houses. The only issue is that there are some low income housing projects nearby and some strange people (I never feel comfortable around people wearing hoodies over their head) occasionally wandering around the area but there is a security guard at the front desk 24/7. The free bagels during breakfast hours were delicious. Do bring ear plugs because the other guests tend to slam doors in the middle of the night. ,8,Shengyi,2025-09-14
"Not bad if you just need a place to sleep for a night or two. The photos felt a little misleading though, the rooms are much smaller and a lot more tired when you see them in person. The walls were very thin and you could hear people coming and going, or smell the pot they were clearly smoking in their rooms. It wasn't dirty, but things were a little scuffed and dinged up. Looked modern and new, but like it had lived a pretty hard life already. The staff were helpful and friendly however, and despite some of the guests being a little noisy they were all also in high spirits and friendly - so it all felt very safe. Overall, as a budget stay - this was pretty good. It was clean and safe, and that's all that really matters.",6,Sofi,2025-09-09
Easy check in,10,Stefan,2025-09-09
I wish the breakfast had more options than coffee and a few bagels. ,6,Samantha,2025-09-04
"Small room, very clean, great location. ",6,Rowynn,2025-09-03
,4,Lisa,2025-08-26
It was a pleasant stay I have no complaints!,10,Anyesha,2025-08-22
Neighborhood wasn’t clean.  Hotel service was below average.  There was no parking even though the site said there was nearby parking,4,Robert,2025-08-18
,10,Willor,2025-08-17
The staff are so nice. Clean bedroom and comfy bed.,10,Steven,2025-08-16
"Small but great for a short stay not a far walk from Barclays center and plenty of food options. 
We found parking right outside the hotel so that’s a win!
",6,Amanda,2025-08-10
,8,Patrice,2025-08-04
,4,Friendy,2025-08-02
,8,Emily,2025-07-29
A bit worn but clean and well positioned ,6,Paw,2025-07-29
"The establishment was not maintained, had noticeable insect infestation issues around the front desk and the staff was cold and unaccommodating. The area itself did not feel safe, and I do not advise booking here in the future. ",2,Christen,2025-07-29
,10,Ross,2025-07-27
A very well placed hotel. Very small rooms but okay beds and bathrooms. Breakfast was less than impressive - better to find something else where. Friendly and helpful staff ,6,Paw,2025-07-24
,6,Tomika,2025-07-23
,6,Steven,2025-07-20
,6,Dwaughn,2025-07-19
Love the space and the unique design ,6,william,2025-07-17
"Chambre mal entretenue. Besoin de réparations. Douche salle (drain). Tapis de l’hôtel très sales. Bruyant. Déjeuner inadéquat. Seulement bagels, café. Manque lait, crème, couteaux. Pas de table pour manger. ",4,Nancy,2025-07-15
"Had a water leak and they soaked my clothes and damaged some of my property - and didn’t do anything to compensate me. They didn’t even dry the clothes that were soaking wet and no solutions for me. In addition it smelled like smoke every night and the beds were uncomfortable and weren’t flat so whenever you moved, the bed frame rocked like an uneven table at a restaurant. ",2,Matthew,2025-07-10
,8,Gregory,2025-07-03
Wanted a room with a fridge and microwave as shown in the pictures and didnt get one. The front desk helped me get a fridge but the microwa,6,Mason,2025-07-01
"I understand that ""resort fees"" are a typical charge in NYC hotels.  However; this is not the type of hotel that should be charging them and on the third party vendor site - which is normally excellent at identifying this - it was not clearly indicated in the cost.  Cost was my primary reason for booking this hotel, so hidden additional fees are not ideal.  The hotel is perfectly fine and functional, I like the NYC themed decoration, but it is pretty isolated in location and I think staying on the ground floor rooms would be very noisy.",6,Verified traveler,2025-07-01
"Can't beat the price for the area and it'sjust a couple of blocks from two popular streets without being super noisy.

Noise will just be there for most older buildings without extra fancy glass and noise generators. Still, it's not such a popular street as to have cars and noise at all hours which is perfect. The rooms are all a little different in terms of size, but enough for two people to be able to sleep for up to a week or perfect for single person travel. No desk, no chair and just enough space to get dressed. All should be expected for the price.",10,Stacy,2025-06-28
"Rooms were extremely small however the staff was really nice. I didn’t like how I constantly got misinformation about the property and certain things that I inquired about (parking,dining, MTA service). Would I stay here again? Yes if there’s no other place to stay. ",6,Cinnamon,2025-06-25
,4,ken,2025-06-24
A 15 minutos de la estación del tren y del Barclays Center ,10,Yashira,2025-06-23
