review_text,rating,author_name,timestamp
,10,Kimberly,2025-10-06
"This hotel is fabulous, no bones about it. Polite staff, super clean.",10,Julie ann,2025-10-06
Great stay!,10,Kenzie,2025-10-05
I ordered a room with a King bed and was forced into a room with a double bed. ,2,Sam,2025-10-04
"Das Hotel befindet sich Downtown im Financial District von Manhattan und bietet daher den bestmöglichen Startpunkt um Manhattan von Downtown aus zu erkunden. Es ist sauber, die Zimmer sind für New Yorker Verhältnisse von der Größe her völlig ausreichend. Man braucht es in dieser Stadt sowieso nur zum Schlafen. Preislich liegt das Hotel absolut im erträglichen Rahmen. Wir können uns nicht beklagen. Es war ein super Aufenthalt. Absolut empfehlenswert. ",8,Alexander,2025-10-04
Good hotel,10,Jonathan,2025-10-03
.,8,Gerardo,2025-10-02
,10,Adam,2025-10-01
Personal muy amable,10,Claudia,2025-10-01
Excellent,10,Jackie,2025-09-29
"The room was very small for three people, it had no fridge and lacked proper ventilation. The telephone in the room did not work which was very inconvenient. 

We were not notified of a planned fire alarm which was scary for us as we were very high up. It just highlighted a real lack of communication across teams within the hotel. Some of the receptionist staff were unhelpful at times especially when we asked to stow our suitcases away in the storage room. We were not supported when bringing down our luggage from the room and the trolley we were given was faulty which made the whole process unnecessarily arduous.
",4,Ramla,2025-09-29
Clean rooms,10,Leonard,2025-09-28
I will recommend it ,8,Alex,2025-09-28
Th,10,Chantal,2025-09-25
Nice and Clean,10,Kion,2025-09-25
Central location ,10,Brian,2025-09-24
,8,Kimberly,2025-09-23
"The room was very small, there wasn’t even a closet to hang my suits and dresses. There was a lot of noise from the construction next door even at 4am! The bathroom needed some TLC since the hooks to hang towels were all broken and the tiles were also broken. ",6,Doris,2025-09-22
"Tive que pedir para limpar o quarto, Impossivel dormir por barulho do quarto ao lado e ruídos no encanamento. Também tivemos que deixar o quarto por problemas de emergência no hotel.",2,Daniel,2025-09-22
"We booked a suite and it was great. A lot of room which included a sofa, table and chairs, separate bedroom, fridge, microwave and 2 TVs. The location was wonderful and very walkable. Loved the hotel.",10,Morgan,2025-09-22
,10,Lisa,2025-09-21
Clean room- friendly staff- a few sites within walking distance ,8,Joconda,2025-09-21
Best value for the money ,10,Celia,2025-09-20
,2,Shawn,2025-09-20
I thorough enjoyed my stay at the four points hotel. I enjoyed it so much I even decided to stay an extra night. The staff was friendly and engaging and it was an overall positive experience for my first trip to NYC!,10,Tanio,2025-09-20
upgraded to a suite as there were no queen rooms available. personable staff,8,Monique,2025-09-20
No,6,Christopher,2025-09-20
,6,angie,2025-09-18
,8,Akira,2025-09-18
"We had a wonderful stay at the Four Points by Sheraton in Manhattan. The hotel is in a great location and has a very pleasant atmosphere. The front desk staff were incredibly kind and helpful, making us feel welcome from the very first moment. The rooms were beautifully kept, very clean, and comfortable. A big thank you also to the housekeeping team, who were always so friendly and attentive. Overall, a great experience – we would definitely stay here again!",10,Martin,2025-09-18
"People at the reception area, wonderful efficient and very helpful. It is my first time to go around New York and I thought I got the best choice comes to the place. I decided to stay with my friend.",10,belle,2025-09-17
"Nice hotel, strategic location. I had some issues in paying with my credit card. Cozy and clean room, perhaps too",8,Silvia,2025-09-17
,4,brittaney,2025-09-17
,10,Laura,2025-09-16
"The room lamps had visible debris and stains! The lights in the room also had debris and permanent stains on it. Something needs to be updated for sure. But, overall great location and nice staff. ",8,Brittney,2025-09-16
nice staff clean hotel close to the city and rooftop bar super lit not too expensive def recommend ,10,Mary,2025-09-16
,10,Sebastian,2025-09-15
N/a,8,Elena,2025-09-15
"Bud bugs in room 1709. Homeless people chillin in the courtyard infront of entrance to hotel. Hallways smell of weed. Walls super thin, could hear everything above me.  ",2,Natalie,2025-09-15
,8,Bryan,2025-09-13
Nice room,8,Perlita,2025-09-12
,10,Lia Ye Eun,2025-09-11
,10,Jamie,2025-09-10
We stayed in a room across from a very loud machine in the hall that never turned off. Our lights in the room wouldn’t turn off on first night so the engineer unplugged them as a resolution and we had no light the rest of the trip. The phone went off constantly beeping the entire time we were there…also none of the restaurants were family friendly. ,4,Dana,2025-09-09
,8,Fnu,2025-09-09
Clean. Friendly staff. Great location,8,Sian,2025-09-08
,10,Mariah,2025-09-08
"The hotel is located in financial district in a high traffic area. Staff was very accommodating and went out of the way to assist with every request we made. Transport and dining are in abundance. Though the area is noisy this doesn’t affect you once inside the hotel. The most you may hear is traffic in the distance.
The area surrounding the hotel is not great, restaurants and businesses dump garbage on the sidewalk. It reeks of smell of garbage, sometimes urine. There is scaffolding on most sidewalks which means stepping onto the road at times.",10,Suzette,2025-09-08
Excelente ubicación cerca del metro estación Fulton muchas tiendas de conveniencia cerca zona tranquila ,10,Noemi Elizabeth,2025-09-08
,10,Michelle,2025-09-07
"Super clean and modern room in an excellent location, short walk to Fulton station with easy access to multiple subway lines. 

Perfect as a crash pad for a weekend in the city. ",10,John,2025-09-06
,10,Jack,2025-09-06
The front desk clerk was extremely helpful!,10,Catherine,2025-09-06
,10,Jean-Michel,2025-09-05
"Great hotel stay! Only thing that I didn’t like was the tiny gym in the basement, other than that service was good and clean. ",10,Eduardo,2025-09-05
The hotel is super quiet and the area has many restaurants. The staff is very friendly and the cleanliness is impeccable.,10,Diana Johanna,2025-09-05
,10,Tonette,2025-09-04
,8,Yolanda,2025-09-04
"Estuvimos hospedados en familia y nos gustó lo siguiente: la limpieza estuvo bien en general, las camas súper cómodas para descansar después de una larga caminata; al rededor del hotel hay variedad de restaurantes para comer y estaciones de metros para trasladarte con facilidad, llegamos después de la una de la mañana y todo estuvo bien no tuvimos ningún problema sobre inseguridad. Sin embargo, si hay que andar con precaución ya que afuera del hotel existe una área de esparcimiento pero por lo general la usan las personas para fumar principalmente marihuana y el olor es muy fuerte e incómodo, en lo particular no me gusta. Habrá a quienes si les guste y p",6,Maria Elena,2025-09-04
Close to where we wanted to walk NYC,8,Matthew,2025-09-03
Could not swing a cat in the room. Nowhere to put suitcase in room. Air conditioning noisy. Staff were great and very helpful. ,6,Joseph,2025-09-03
I went to this hotel because close to an exam I was taking. The price was very good for what you get. I did not get the breakfast because pricier than the food nearby. The only thing I don’t like was the lighting in the hotel room. So dark and gloomy. Could barely see my books and laptop. I turned on all the lights. Overall was a good experience. Night life and good food around the area.,8,Andrew,2025-09-02
Weekend party was so loud and lasted until 2am.,6,Hung,2025-09-02
,10,Rattavit,2025-09-02
"Nice area and very walkable l, close to everything and near transportation.",10,Emely,2025-09-02
"The location is perfect; you can walk to Pier 17 at the port and enjoy beautiful views. Everything is very quiet, allowing you to sleep peacefully without so much noise. The reception is truly 100% professional and friendly. A big thank you to the housekeepers for the impeccable cleanliness!",10,Franklin E,2025-09-02
,10,Lissmarie,2025-09-02
,10,Danielle,2025-08-31
,2,ann,2025-08-31
,8,jennifer,2025-08-29
"Good service, unlimited baggage holding (within reason) to do your last-minute shopping. Housekeeping is very nice and staff is very accommodating. Great experience!",10,Robert,2025-08-29
,10,Leah,2025-08-29
,10,Emma,2025-08-29
,10,Ruth,2025-08-28
"The a/c was too noisy, which made it difficult to sleep",4,Loan,2025-08-27
"Hotel tres propre avec un personnel sympa et tres bien situé pour visiter newyork. Jai lu beaucoup de commentaires sur le fait que les chambres sont petites. Moi je les trouve plutot spacieuses (faut pas oublier qu’on parle de new york!) 
Le rooftop est bof, aucune vue et cher pour rien. 
La salle de sport ouverte 24/7 et le café offert dans le hall sont des vrais plus. Je reviendrai. Belle experience. ",10,Verified traveler,2025-08-27
"Séjour très agréable, toujours un plaisir d’être à New York.",8,Patricia,2025-08-26
"Camera doppia però piccolina, letti comodi, rifatta tutti i giorni con cambio asciugamani. Avrei preferito avere un doccino a parte oltre il soffione a muro.",8,Rosario Alessandro,2025-08-26
Location was perfect ,8,LINDA,2025-08-25
The hotel is walking distance from the subway station which is very convenient. Also within walking distance is the Brooklyn Bridge. Staff is courteous and friendly. ,10,Deepak,2025-08-25
It's a hotel ,8,Kyle,2025-08-25
,6,Megu,2025-08-25
,8,Vladyslav,2025-08-25
,8,Karina,2025-08-24
Zero noise cancellation between walks. Couldn’t sleep at all because of next door being loud all night ,2,seok,2025-08-24
"The rooms were very clean and modern and the beds were plush and comfortable.  I just wish the rooms were larger with a little more space.  The double bed room like the one I stayed in was pretty compact and small.  Also, the outside area in front of the hotel didn’t look as nice in person as in the photo and there was work being done across the street on a tall building which led to some noise from the construction.  All in all the hotel was nice, but the surrounding area was not so appealing as it was surrounded by tall buildings.",8,Ida,2025-08-23
"The location is excellent, very convenient and close to the subway, which made getting around easy. The room was clean and tidy, which I appreciated. However, the bed was a major drawback. It was squeaky and even collapsed, which was unheard of. They did come up to fix it temporarily during bedtime, but couldn’t fully fixed it until the next day. ",8,Joanne,2025-08-22
,10,Enamegwolor,2025-08-22
"The rooms felt too small for a couple, and the location was somewhat difficult to find. The front desk staff girl with glasses was quite rude, though the manager was courteous and helpful.",4,Verified traveler,2025-08-22
,2,Tasha,2025-08-21
,10,Magnus Christian,2025-08-20
,10,HERVÉ,2025-08-20
Great friendly helpful staff. Thank you.,10,Alison,2025-08-20
,10,Vo Linh Chi,2025-08-19
It’s was really nice I really enjoyed my 3 days thank you so much ,10,Angeline,2025-08-18
Good,8,Theresa,2025-08-18
"It was the perfect location for us, close to tons of stuff and all the transportation outlets. For the price paid, it worked out well. But the room was small, and the beds were barely full size. My wife and I are slim, so we made it work. But a couple with more meat on their bones would find it completely unworkable. The cleaning staff was top notch and check-in was a breeze. I'd stay again if it was just the two of us (our college aged daughter was with us) and we could get a king room, or even a queen would be nice.",8,John,2025-08-18
,10,Renelle,2025-08-18
Clean,10,normita,2025-08-18
,10,Douglas,2025-08-18
"We were four persons stying in the room with two double beds. It was ok but probably too small for other people who need more space. 

The room was clean, however in the bathroom you clearly could see the age of the hotel. 

The air conditioner was working good, but was really noisy. The windows did not insulate all of the street noise. We were in the 7th floor.

Room cleaning was very good without any complaints.

Checkout time at 12:00 was also very positive for us.

At the morning there was free coffee at the lobby available and it tasted good.",8,Anton,2025-08-17
,10,RAUL,2025-08-16
,10,Natalia,2025-08-16
"Need to clarify room bed types multiple people having issues with wrong reservations. 

Double bed means 1 twin bed?",6,David,2025-08-16
Great customer service. ,10,jeannette,2025-08-16
,10,Lydia,2025-08-15
Bett sehr bequem (Queen Size Bed),8,Sandro,2025-08-15
Clean comfortable room. Friendly staff.,10,Verified traveler,2025-08-14
Staff was very helpful with personalized requests. Very happy,10,Fabio,2025-08-14
Room condition is pretty bad and needs major update. One of the morning shift front desk lady is not friendly.,4,Steven,2025-08-13
,10,Luba,2025-08-13
"I was very comfortable during my stay and appreciated being close to a number of both subway stations and useful bus stops that helped get me where I need to be. The neighborhood was easy to navigate and the nearby Mezcali restaurant (not affiliated with the hotel) kept me well fed after a long day. The staff were friendly and the room was quiet and clean, and the water pressure in the shower was great. I’d stay again.",10,Katri,2025-08-13
We had a good time it is a compact hotel but roomy for NY,10,Dilek,2025-08-13
,10,Esther,2025-08-12
I really enjoyed my stay at this hotel. Walking distance from the 9/11 memorial n one world centre.,8,jeannette,2025-08-12
"Camas muy confortables, lencería nueva, personal amable, línea del tren A y C disponible a dos cuadras en la William street; lo que no me gustó es que se acercan al parque personas externas de mal aspecto y drogados",10,Anisel,2025-08-12
Great location! Rooms were clean and nice. My one complaint is the elevators. They are so slow and only 2 of 3 work. Typically waiting for the elevators (and stopping on every floor to pick up/drop off other guests) would add at least 10-15 minutes onto our commute. ,8,Kayla,2025-08-11
,10,Samuel,2025-08-11
,8,Pedro,2025-08-11
"Stayed here for a concert at the pier at rooftop 17 - fantastic. Walking view which was great. Hotel was nice - room was on the smaller side but good for a night or two. After concert we wanted to check out the rooftop bar which was at occupancy so we couldn’t get in so they suggested we go check out the bar on the second floor. That was also packed so we went to the lobby restaurant. We sat at the bar and it was a fantastic choice - quiet, excellent drinks (thanks Reggie) and food was good! Major issues with the elevators. Long line every time we had to go on them - only had 2 elevators working for 29 floors. Kinda crazy ",8,Emily,2025-08-10
Noise from other rooms ,8,Wael,2025-08-10
It was okay - nothing stand out. Just as the expected,8,Burak,2025-08-10
Excelente ubicación a 3m caminando de la. Estación Fulton del subway donde te movilizas a cualquier lado. Cuarto limpio y un excelente WiFi ,10,Luis,2025-08-10
No Fridge and kettle provided. The bathroom is pretty basic and the beds are not comfortable.,6,Prasad,2025-08-09
"Housekeeping staff was A+, so was the front desk.

Too much construction around the area but that is out of the hotel's control.",10,Hector,2025-08-09
,10,JOAN,2025-08-09
,8,Verified traveler,2025-08-09
The front desk staff is very rude! The environment is dirty. Don’t waste your money.,2,Jinxiu,2025-08-08
Nice place in a great location. The room was nice but VERY small!,8,Kirk,2025-08-07
,10,Sean,2025-08-07
👍,8,KAMESHA,2025-08-07
"The rooms was very small for 2 person. And the first room they gave was smelling cigarettes. And the lady didnt want to change our room at our first try. She saud their computer system is down for 15 min. After 10 min, we asked again and she said she 15 more min in the middle of the night. ",6,Neriman,2025-08-07
"The bed was fine, probably the best part of the room. The location was good, very walkable, plenty of great restaurants and subway options nearby. The front desk people were great.

The bad parts? Mold in the showers, broken elevators (part of the button panel was literally falling off), and a sewage smell in the lobby. Very low-quality hotel that I won't be staying in again.",4,Philip,2025-08-06
The bathroom was clogged and the WiFi was not working ,4,Hudheifa,2025-08-06
Great in every way - would return!,10,Molly,2025-08-06
Property great parking issues when you rent a car is not easy and at times no parking available. ,10,Gina,2025-08-06
"Nice area, walkable ",10,Deandre,2025-08-06
The area is too overcrowded for a hotel due to construction as well as no bell boy available.,8,Anthony,2025-08-05
,8,Rahel,2025-08-05
,2,Josiah,2025-08-05
