review_text,rating,author_name,timestamp
The hotel staff were wonderful and very helpful. I appreciate their willingness to help. The room was clean and in a great location.,10,Alyssa,2025-09-16
,8,Marina,2025-09-16
Definitely not up to Hilton Standards,6,Nils E.,2025-09-04
,6,Anthony,2025-08-27
,10,LORI,2025-08-24
,10,Mary,2025-08-23
,10,James,2025-08-14
,10,Javier,2025-08-04
everything was wonderful!  One complaint would be the pool is stuffy hot and impossible to sit as a parent to watch kids.  Ventilation needed!  Otherwise wonderful stay. ,10,Lisa,2025-07-20
,8,Suhas,2025-07-10
Old and dated. Needs cleaned up a lot. Typically love Hampton Inn definitely wouldn’t stay again. ,6,Ansley,2025-07-05
Nice and friendly staff,10,Deb,2025-07-01
"Check in was amazing; thoughtful and polite.  The room was spotless, air conditioned and comfortable! ",10,Michele,2025-06-27
.,10,Jacklyn,2025-06-08
,8,Elizabeth,2025-06-07
,10,Holly,2025-06-06
"Nice hotel, pool and hot tub were great, breakfast was great.  I saw a previous review about it being noisy and ignored it and boy were they correct.  Do NOT stay on the first floor.  Sounded like a trampoline park above us most of the night.  There was a consistent thud noise about every 20 seconds that never ended.  At about 6am the noise in the hallway was impossible to sleep thru.  As a single mom with limited income it was a huge disappointment to pay as much as I did and have such a terrible nights sleep.  Also the crack in the door was quite large and made me feel uneasy.",6,Kali,2025-05-31
"The walls, and doors are very thin.  I could hear everything in the rooms next to me, even the party, and brief argument in the hall one night.

One issue, I was in an accessible room.  I didn't need it but that is where I was put.  I noticed the bathroom door wouldn't stay open.  That would be a BIG problem for someone with a wheelchair. ",8,Paula,2025-05-30
,8,Adela,2025-05-29
 ,10,Donald,2025-05-27
,8,Michell,2025-05-26
Great place for an overnight stay ,10,Patricia,2025-04-21
,10,tracy,2025-04-09
,10,Michelle,2025-03-16
,10,Michelle,2025-03-14
"Everything was fine until we tried to sleep. Must be an older building because you could hear every toilet flush. 
We were on the first floor and from 6:00 AM till 7:30 there was a ridiculous amount of noise from people above us. Sounded like the were running ",10,Sharon,2025-03-02
,10,PATRICK,2025-02-28
,10,Verified traveler,2025-02-24
,8,Brian,2025-02-23
Great place to stay,10,Kevin,2025-02-20
"Hotel was near the highway, restaurants and shops but also quiet.  Easy check in process and plenty of outside parking.",10,Deborah,2025-02-17
Very friendly staff ,10,Richard,2025-02-02
Great. ,10,Robert,2025-01-04
,10,Katie,2025-01-04
,10,Alexander,2025-01-01
"We were in Loveland for health care needs. Our home is 2 hours away and to avoid having to be up extremely early we came up the night before. 
We so appreciate the staff the one’s seen and unseen. We felt safe and a clean place is so important. Tell all your staff Thankyou ",10,Deborah,2024-12-31
,10,JENNILEE,2024-11-30
It was a nice hotel for the price. Location was where we needed to be.,10,Sally,2024-10-27
X,8,LORI,2024-09-29
A scam called our room at 2:30 am asking for our credit card numbers.  Not much sleep that night!  Quite a few other guests were scammed too.,4,Frank,2024-09-27
,10,Kathleen,2024-09-23
Nice.,8,Wayne,2024-09-15
,4,Chad,2024-09-13
,10,Mark,2024-09-11
,10,Verified traveler,2024-09-02
Absolutely will stay here again very friendly staff clean and I’m a clean freak very quiet I felt special I walked in my room and the tv said welcome and my name beds were cozy and my kids loved the pool and they had an excellent breakfast with different things that why I chose the hotel I absolutely loved this place kinda pricey but it was short notice and I will stay here again when I travel. ,10,Nina,2024-08-04
,10,Marilyn,2024-07-28
"Bon accueil, chambre confortable, petit déjeuner avec plusieurs possibilités ( omelette, céréales, gaufres…), piscine agréable ",8,valerie,2024-07-27
"Very nice location, enjoyed the walking around after dinner, one of the best Hampton Inns I would go back again when I blow through this area.",10,Jessica,2024-07-18
,10,Christina,2024-07-18
Good location close to shopping and food options. ,10,Linda,2024-07-15
"Staff were very rude upon checkin seemed as though I was bothering her. Very rude. Room was mildew ridden and bathroom was dirty. Very loud traveling sports team banging on doors late at night, yelling and screaming in the hallways no staff intervention to dispel noise. For $240 bucks a night I would’ve rather stayed in my car would’ve been more comfortable and quiet.",4,Richard,2024-07-09
,8,Chantel,2024-07-09
It is convenient but is showing signs of age.,10,Joseph,2024-07-02
Nice quiet stay ,10,Cheryl,2024-06-23
Close to medical facilities which was the reason for the stay. ,10,Kelly,2024-06-12
I enjoyed the convenient location to shopping and dining.,10,Deb,2024-06-10
,8,Joseph,2024-06-08
Great breakfast.  Friendly service. ,10,Kasey,2024-06-03
,8,Robert,2024-06-01
Stayed in two of the on this trip and they didn't disapgreat staypoint.,10,JOHN,2024-05-11
Poor customer service ,2,Malgorzata,2024-04-30
Nice ,10,Ryan,2024-04-20
,8,Stacy,2024-04-19
Very clean… the pool was a great temp! We will stay here whenever we’re in Loveland/Ft Collins from now on. No complaints at all!,10,Skyler,2024-04-19
,10,Pat,2024-04-14
,8,Brooke,2024-03-16
"The outside is very nice, but the inside is old and tired. The bathroom sink leaks and the pipes rattle.",8,Catharine,2024-02-25
BEDS WERE TOO HARD. ,6,Kristine,2024-02-11
nice,10,Sharon,2024-02-06
,6,Dylan,2024-02-04
"Stayed four days was unable to use pool and hot tub it was posted they were cleaning it it does not take four days , Air conditioning would work some times could not even run the fan. ",4,richard,2024-01-21
The carpet had stains and the bath vanity underneath was super dusty. Other than that it was fine. There was a parking fee which I felt is absolutely ridiculous when there’s a parking lot designated for the hotel. Not like it was shared with another business. ,8,Donna,2024-01-02
,10,David,2023-12-15
Great location to the Medical Center of the Rockies.,10,CRAIG,2023-12-13
"Parking lot was being repaired…noisy…could hear snoring  from next room, toilets were very loud. We could hear flushing and doors slamming.
There were little gnats around water sources, very tiny…but could see them on tiles in shower and they came from the sink. Hot tub was awesome, very warm, but getting into it was a bit difficult.",8,Karen,2023-11-19
"The photographer did too good of a job showing off this property. You will be disappointed. Smells like mold, climate control doesn’t work, I definitely would not stay here again. ",2,Starr,2023-11-18
,6,Caden,2023-11-12
,8,Yvonne,2023-10-22
.,10,Michell,2023-10-13
Great stay before seeing Rocky Mountain national park,8,Rob,2023-10-04
