review_text,rating,author_name,timestamp
"The stay was very good, but 2 things popped up that takes a star away. The in-room coffee maker had no directions and deep down a Keurig K-Cup would have been a better choice (kind of idiot proof). The mattress was almost unsleepable (I see this as a valid word, but spell check is not happy - sigh). I can see why you could not have a room full of different densities, but maybe a Sleep Number might work for a high ended hotel. My old back needed a firmer choice and for some reason the King seemed a tad small - maybe my perception.  Ok 2 more (on a roll) you need a 2nd hook in the bathroom for towel hanging if you don't want to change out towels daily. And lastly - is 1 ply TP/tissues really a top choice for a 4-star establishment? ",8,Scott,2025-09-29
,10,Jesse,2025-09-05
"Great stay, great hotel, great rooftop bar. Amazing staff. Valet parking on point. Great guys. Highly recommend. Thank you! ",10,Alex,2025-09-01
,10,Reneice,2025-09-01
,2,Carly,2025-08-29
,8,Herbert,2025-08-24
"Hard to park and find a road that was not blocked by window washers, staff almost non existent except for very nice housekeeping, some kind of repairs in lobby, smelly elevators, room was ok. ",6,Angela,2025-08-18
"So, the hotel is centrally located in the heart of Montclair. Whatever cuisine you could ponder is less than a 20 min ride from the hotel. Staff was amazing. Housekeeping was at our room no later than 12pm each day of our stay. Definitely would recommend this hotel. ",10,LEONARD,2025-08-14
,10,John,2025-08-11
,10,Esdras,2025-08-09
,10,Jason,2025-08-07
,10,William,2025-08-07
all good ,10,john,2025-07-29
,10,Dawn,2025-07-25
,4,Joseph,2025-07-22
Beautiful area and lovely hotel.  Staff was amazing. Warm and friendly. ,8,lisa,2025-07-17
,10,Vanessa,2025-07-03
"Nicest staff members were in housekeeping and one woman at checkin.  Everyone else seemed bothered and annoyed to be working.  Zero assistance with luggage available, and high price for parking overnight, for New Jersey.  ",6,Katherine,2025-06-22
"Everything went perfect until the person in charge of wake up calls forgot us on the last day. But I was already up, so no harm",10,John,2025-06-21
"The restaurant, Allegory had the best wings I've ever had! The manager was awesome and the server, Crystal, was amazing!  Would definitely recommend! ",10,Joy,2025-06-15
The staff was super accommodating and went the extra mile to make my birthday special,10,Yolanda,2025-06-14
,10,Judi,2025-06-13
"Loved it! The stay was clean and beautiful. Parking was the only issue. Had to valet, and it was expensive. ",10,Michael,2025-06-12
,10,Donnett,2025-06-09
,10,Arnold,2025-06-03
Walkable to the Wellmont Theater.  ,8,Cheryl,2025-06-02
,10,Renee,2025-06-01
No towels for guests.  Had to use dirty towels.  Bathroom door was broken and they tried to fix it twice. Very disappointed!!,4,John,2025-05-30
"I called reception to request a baby crib and was told someone would follow up. No one did. When I called again, I was told housekeeping had left and reception couldn’t access a crib.

I ended up spending an uncomfortable night sharing a queen bed with my toddler. A baby crib is a basic amenity that should be readily available, especially at a hotel of this level.

Disappointed with the lack of coordination.

please call if you want to discuss further 

508-665-8487

Raal Alkass ",2,Raal,2025-05-28
