review_text,rating,author_name,timestamp
Awesome stay!,10,Justin,2025-09-24
"We had a great experience here. We brought our toddler and found it very family friendly. The hotel was quiet and clean, staff were professional, and breakfast was great. Very close to the metro. It felt safe with plenty of law enforcement and National Guard in the neighborhood. 10/10.",10,Justin,2025-09-14
,10,Byron,2025-09-08
The floors were slick tile that made safe independent chair transfers impossible. I couldn’t even get from the main room to the bathroom alone because the threshold was so tall I couldn’t get over it alone.  And while there were grab bars for days and a moveable shower wand a lack of a shower seat made it impossible to shower for anyone who could not stand.,6,Verified traveler,2025-09-07
,10,Michael K McCosker,2025-09-04
,4,Kristen,2025-08-31
Very convenient and close to a lot of stores restaurants and bars. ,10,STACEY,2025-08-31
"Convenient to metro station. 
Fresh infused water daily in lobby excellent breakfast and sitting area/lobby  ",10,kelley,2025-08-27
Beautiful! Perfect for my family,10,Inna,2025-08-26
.,10,Yasmin,2025-08-26
,8,Rodney,2025-08-20
Room was not available in a timely manner.,2,Catherine,2025-08-20
"Unfortunately, parking was not available as advertised. We ended up in what was described by hotel staff as ""the closest parking garage,"" which was 5 blocks away. In addition, the cable TV did not have a strong enough signal (bandwidth) to make it watchable. Considering these issues, along with a lousy breakfast, and we will NOT be going back!  ",4,Rodney,2025-08-19
The TV service was absolutely terrible you could barely watch it. Kept losing the picture.,6,David,2025-08-18
"What a great stay here for going to the Nats/Phillies game.  Room was so spacious, very clean and great beds.  I will definitely stay here again when in town.  Thanks!",10,Lori,2025-08-17
,10,John,2025-08-17
Great stay overall. Everything about the hotel was wonderful.  The area at night felt a little unsafe.,10,Ewelina,2025-08-15
We had a great stay,10,Kristiana,2025-08-07
"Very nice hotel. Close to parking , eating and Nats stadium. Had a very nice time. ",10,Christopher,2025-08-03
,8,Dmitriy,2025-08-02
,2,Keisha,2025-07-29
Loved that it was walking distance to be able to enjoy a baseball game!,10,Bryan,2025-07-28
Convenient for DC access. Room fit our needs.,10,Simon,2025-07-27
"Room was dirty, trash under bed, hair in shower, bed sheets were at least clean",4,James,2025-07-26
"Our stay at this hotel was great! Everything was great and it’s safe. My kids enjoyed it too. As a bonus we had breakfast every morning provided by the hotel.
Very courteous staff. It’s a great area and awesome view around the navy yard. Will definitely stay again ",10,Sharia,2025-07-26
"Excellent stay with our family! Great service! Clean, breakfast is good!",10,Artem,2025-07-26
Close to stadium,10,Joseph,2025-07-22
,6,Jillian,2025-07-20
Sefvice was excellent the staff let us check in early and had a crib ready in the room.,10,Noah,2025-07-19
"I loved staying here. I was shocked to see a full
Kitchen.  My boys slept in the living room on the pull out. The hotel was so clean. And I love the valet parking. ",10,Brenda,2025-07-19
Really great stay. Loved the hardwood floors in the room. The beds were very comfy and the valet was so convenient. I will stay here every time I'm in DC,10,Sonika,2025-07-17
,10,Bianca,2025-07-15
,10,Julia,2025-07-14
,10,Ivan,2025-07-09
,10,Cartavious,2025-07-06
