review_text,rating,author_name,timestamp
The room was clean. Bed and pillows comfy. One elevator was broken so that was very inconvenient. Food was pricey and our dinner was cold. Staff was very nice and helpful. Would stay again but please fix the elevator! ,8,Starlin,2025-10-06
Construction going on nearby. Little noisy,6,Daniel,2025-10-06
Only issue was one of the elevators was not working which made an inconvenience getting to rooms in a timely fashion.,10,Lawrence,2025-10-06
,10,Jared,2025-10-06
"First the good: comfortable beds, good rates, near Rice (walking distance - 10 minutes). 

Now the bad: this building has two passenger and one cargo elevator. One of the passenger elevators has been out for quite some time (several months). If you ask, the staff will pretend it's a short term thing that they are working on. They are not. We arrived early on Thursday and stayed through Sunday. No one was ever working on the elevator. It was in the same condition that it was in August when we last stayed here. Elevator repairs are expensive, and it's clear Hilton doesn't want to spend the money to fix 1/3 of its elevators. This results in 10-20 minute waits for elevators when it gets busy.

Next, the breakfast is ridiculously expensive for what you get, and it's not included.

Third, the WiFi is INTOLERABLY SLOW. If you're trying to get any work done, forget it. 7mbs down and it acts even slower than that. You'll get better WiFi at the airport.

Until Hilton gets hit with a lot of bad reviews, they won't fix any of these issues.",6,Brendan,2025-10-06
"Staff is very friendly. The bed is super comfortable. However, the bathroom is so so (3 star at best). Shower is weak. The toilet doesn’t flush. One of the two guest elevators is broken. Need to wait a long time for it. There is a service elevator nearby but it’s not the same. If you have a car and do not mind driving a few minutes, then there are better options in this area.",8,Eric,2025-10-05
Nice rooms and conveniently located to the medical facilities,10,Miemie,2025-10-04
"Check in and interaction with manager Joby was professional and friendly. He was accommodating which was appreciated. The room itself was clean overall but some areas could have been cleaner. The corners of the bathroom counter were dirty as well as the shelves in the shower. Maybe they were discolored hard to tell. The cleaning staff was nice. The breakfast staff was so very kind. I really appreciated how accommodating and thoughtful they were on Sunday, Sept 28. They really went above ! Overall good stay and I would stay again",10,Ted,2025-10-03
Clean room ,10,Andres,2025-10-02
"Staff was so very courteous and accommodating. Antonio, texted shortly after our arrival and asked if there was anything he could do for us. And when I needed something, I texted him and he immediately text me back and got what we needed.",10,Kathryn,2025-10-02
Very nice. I wish there were carts in the parking garage to bring luggage in though. ,10,Brian,2025-10-02
,8,Bobby,2025-10-01
,6,Bree,2025-10-01
,10,Jorge,2025-09-30
Beautiful place. The staff was very helpful. ,10,Tracy,2025-09-30
Shuttle service was not good or rather non existent. Told driver was on their way more than once and we waited for an hour and a half and had to get an Uber,8,Linda,2025-09-29
My daughter was having a very early procedure at the hospital and the convenience  of the hospital was awesome. The grill and bar area was friendly and the food was good. ,10,Lydia,2025-09-24
Staff was friendly. Room was clean was a little disappointed that the water was only Luke warm. Over all was a good stay. ,8,LaDeania,2025-09-23
NA,6,Earl,2025-09-23
"Easy access to surrounding areas, friendly and professional staff, clean room",10,Kevin,2025-09-23
"Room had a number of things that were pretty run down bathroom door falling off hinges, chipped bathtub, shower head fixture coming off, wallpaper bubbling off the walls.

Big room, but not really up to date - one outlet next to the bed, no usb plugs...",6,Geoffrey,2025-09-22
Easy acce to facility.  “ hospital”,10,Norma,2025-09-22
My hotel room was not cleaned. There was dirt and hair all over the floor and bathroom area. There was mildew/mold in the shower where guests items are supposed to sit. Every surface was not clean. I was very uncomfortable during my stay. My child was bitten by a spider within 30 minutes of checking in and had a huge swelling the next morning. I will not book again. ,4,Asia,2025-09-22
,10,Armand,2025-09-22
Excellent service by person at front desk when checking in and when I had a question about something.,10,Mary,2025-09-21
"Very nice staff, enjoyed our stay",10,Sonya,2025-09-20
Perfect for hospital stays,10,Kenneth,2025-09-20
"After being told of release from MD Anderson I called and asked for an ada room with a walk in shower, after surgery i could not climb a tub I was told to call back afer a couple hours I was told one was available. When we arrived there was no available room and was told that was not on my reservation after 7 pm i was heavily medicated and had to stay in that room that was obviously not used or freshened up in a while because room had a film of dust then of course no help for wife bringing bags up or down only one elevator was working and the room was right next to elevator and bell could be heard all night and manager was not one bit courteous. I cant believe you are associated with MD Anderson!!",2,joe,2025-09-18
Proximity to Medical Center,8,ANSELMO,2025-09-17
Awesome service great location will be back again ,10,Javier,2025-09-17
,10,Jon,2025-09-17
,6,Jacquetta,2025-09-17
,8,Micheal,2025-09-16
,10,frank,2025-09-16
"We arrived to check in after 5:30 pm only to be told our room was not clean yet. They ""upgraded"" us to a room with a ""view"", which overlooked the pool and bar area. Then we were told there were no ice machines working on any floors, but could come down to the Snack Bar and get a Ziplock of ice when needed. There was ONE working elevator for the 19 floor hotel. We had NO towels in our room the first night and were told by housekeeping they did not know to find any (but they did). Someone had disarmed the smoke detractor in our room bu stuffing something in it (was removed by matenance ). Worse of all, our telephone did not work from our room...just gave us a fast busy signal. Transportation to and from MD Anderson was great, as were the Front Desk staff. Not what you would expect from a Hilton property!!!",6,Jacquelyn,2025-09-16
The elevators need to be fix or finish fixing it,8,Gertrude,2025-09-16
,10,Shaila Amairany,2025-09-16
,10,NICOLE,2025-09-16
Double charged for self overnight parking during check out was told by worker the $20 would be charged to room once leaving the property had to pay $20 to get out so they need to change parking garage sign to $40 for overnight self parking if that's what they charging ,10,shoulanda,2025-09-15
,4,Maria,2025-09-15
It is a very nice property friendly staff,10,Frank,2025-09-15
,2,Amy,2025-09-14
,10,Jody,2025-09-14
"Only one evelator was working. They  were authorized to remove $100 from my debit card which was done on the 11th of Sept. Then on the 14th of Sept. they charged an additional $40. When I called I was told that it was for parking. That's a total of $140. Then customer service stated that I would only recieve $60 of the $100 deposit for parking, even tho they had already removed the parking fee. ",4,William,2025-09-14
Everything ,10,Jose,2025-09-13
"No towels in my room all four days!
",6,sara,2025-09-12
,8,howard,2025-09-12
Loved it,10,Lakriesha,2025-09-12
Fix the fire alarm. It goes off every morning when people use the hot water.,8,Cynthia,2025-09-12
Nice propergy and staff. Everyone was respectful of my husbands service dog.  We have selected this hotel as our Houston base. It appears they have numerous return guests.,10,Georgiann,2025-09-11
"Amazing, Everybody is so kind and helpful. Clean and nice. 
 ",10,Cynthia,2025-09-11
Room was super clean and the front desk was very helpful with all the questions I had. Would recommend this hotel 100%. ,10,Derryck,2025-09-11
Bed was great ..slept so well..nice and friendly staff ,10,Kevin,2025-09-11
.,10,Shawn,2025-09-11
,10,cindy,2025-09-10
,4,Juan,2025-09-10
,10,Ramiyah,2025-09-10
"Would.
 Have given 5 stars, but the air conditioner was very loud. Walls were paper-thin with loud neighbor. Very comfortable beds and nice staff.",8,nathan,2025-09-10
,10,Rashonda,2025-09-09
,4,Carol,2025-09-09
One of the two elevators is out of order. Have to wait long time. ,8,wei,2025-09-09
,8,Joseph,2025-09-09
Clean room | Staff | Family-friendly | Vineyard,8,David,2025-09-09
,6,James,2025-09-08
,4,Adria,2025-09-08
Good stay,10,Travis,2025-09-08
Helpful staff,10,Leslie,2025-09-08
Horrible elevators,4,Carlos,2025-09-08
"The hotel was clean, quiet and staff were helpful.. check in was quick and informative, parking garage was safe, Thats an extra plus. Room was clean, cool and quiet, I wish I was able to see more of the hotel, I look forward to another visit",10,LeShae,2025-09-08
,8,Deja,2025-09-07
,8,Jessica,2025-09-07
,10,shimin,2025-09-07
"This hotel needs renovations. Only one elevator was working with extensive wait times. None of the ice machines work on several floors, so it is guessing which floor to go to for ice-which was made worst with the elevator issue. There was also a dead cockroach on the floor near the restaurant where they serve food. I opted not to eat or drink anything from there. The only nice thing about this stay was the staff.",4,Ellena,2025-09-06
,10,Xavier,2025-09-06
Great experience. Clean rooms. Quiet. 👍,10,Joel,2025-09-06
"We like to stay at Hilton’s but this particular one is not in very good condition, the elevators were “down for maintenance” the rooms were old and very outdated, very disappointed in this particular location.",4,Scott,2025-09-06
,10,Joseph,2025-09-06
"Great customer service, Antonio was super friendly and ensured a smooth check in process.",10,Erika,2025-09-06
"I was extremely disappointed with my stay at this hotel. The rooms are very outdated, and the first room we were given had a shower with only boiling hot water. Then, the tap broke and wouldn’t shut off, forcing us to be moved. The second room was right by the elevators, which was extremely noisy, and to make matters worse, the shower only had freezing cold water. We went three days without being able to have a proper shower.

The only bar/restaurant on-site is very small, has a limited menu, and was overpriced for the quality of the food. Service was very slow because there was only one server/bartender for a packed space.

For the cost per night, this hotel was absolutely not worth it. I would not stay here again and do not recommend it.",4,April,2025-09-05
"Suite room was very large / nice including 2 toilets.  But, room make up had significant problems each night of stay - trash not emptied, only one bath towel, coffee not replaced, etc.
One of 3 elevators out of service. Nice coffee shop and bar/restaurant.  9th floor outdoor pool.",6,Tom,2025-09-05
,8,Johnny,2025-09-05
The only thing I had trouble with was the elevators! During my stay only one elevator was working and it would stop on each floor before getting to the 16 floor! Mind you no one was ever there to hop on the cart just had a mind of its own. Anyways this lead to waiting several minutes before I could come and go. God forbid I let something important upstairs I’m not running up sixteen flights. Please have continuous maintenance done on elevators! And besides the leaking toilet everything else was great I will be booking again to say the least! Thank you Hilton!,10,Daija,2025-09-04
,10,Francisco,2025-09-04
,10,Mike,2025-09-04
"While the staff was friendly and the cost of the room per night was very reasonable the rest of the hotel is in bad condition overall. The room itself was borderline dangerous due to a bed frame that extends at least 6 inches out from the edge of the mattress posing a severe trip hazard and bruised shins. It is next to impossible to get a good night's sleep with the air conditioner rumbling when it kicks on to the point that you cannot possibly sleep through it. The parking garage spots are so small that unless you have a subcompact vehicle you will have a very difficult time parking your vehicle. Finally,  two cups of coffee and two slices of coffe cake cost us $28 which is beyond exorbitant. This is one of the least expensive hotels in the area and you get less than what you pay for.",4,James,2025-09-03
,10,Roberto,2025-09-03
,4,Cindy,2025-09-03
"Rooms clean and comfortable. 
There were no ice machines. Abbas, at the front desk was amazing. Extremely helpful and polite",10,Frank,2025-09-03
I chose this property recently for a place to stay before a trip to MD. I chose mainly because I trust Hilton and the price was shockingly low for a large city. I was extremely happy when I saw my suite. Every part of that room was first class. I’m back for surgery in two weeks. I will definitely stay here to heal.,10,Larry,2025-09-03
,10,Santos,2025-09-03
,10,JohnMichael,2025-09-02
,10,Sarah,2025-09-01
Staff is always friendly. They always answer any questions I have. Everytime I have a Dr appt I choose to stay here over any other hotel. ,8,Sarah,2025-09-01
The rooms mattress is not comfortable ,2,Dac,2025-09-01
,8,Roman,2025-08-31
,10,Malcolm,2025-08-31
,10,Carlos,2025-08-30
,10,Megan,2025-08-30
Got upgraded which was lovely. Staff friendly and the shuttle is a huge plus,10,Amanda,2025-08-29
The roof top was a nice experience!!  It had a bar and snacks options!! Nice view! ,10,Haydee,2025-08-29
Hotel had 1 working elevator. Refrigerator in room leaked. Hotel looked as though they were preparing to close or renovate. Shuttle driver Luis was very rude and inconsiderate of someone dealing with stage 4 cancer! ,2,Ted,2025-08-29
All went well,10,Prarthana,2025-08-29
Always a nice stay,10,Thomas,2025-08-29
I stayed at this location in the medical district because of proximity to hospital thinking the environment would be sensitive to people in time of stress. My wife was in hospice at MDAnderson. Checked in around 9:30 Friday night. One elevator was out and my daughter and I waited for over ten minutes to go up to our room with a large group of people that squeezed themselves into the elevator which added a great deal of stress to the grief. On top of that the fold out couch was disgusting and painful to sleep on. When I showered the tub filled up as it wouldn't drain. The only thing good was the reasonable price otherwise its a 1-star rating. It sure looked different in the pictures…its rough around the edges and they said they were renovating. Maybe it will be better after that but I won't be back to this location ever. ,4,Scott,2025-08-29
The pool was nice ,6,Chance,2025-08-27
,10,Gertrude,2025-08-27
Me and my sister stayed here for a three day trip. We absolutely had a great time great. Every one that worked here that we came in contact with were so nice and helpful. Our room was so clean and nice. It’s one of the best hotels I’ve been to in a while. We will definitely be coming back. And another thing the beds were so comfortable. We slept like babies. It was awesome thank y’all so much.,10,Jody,2025-08-26
I loved the rooftop view and the restaurant inside the lobby ,10,Kyla,2025-08-26
"Found a cockroach with babies. Completely disgusted and will never, ever return.",2,Megan,2025-08-26
,10,Victor,2025-08-25
,10,Adam,2025-08-24
Friendly staff,10,Denise,2025-08-24
,4,Curtis,2025-08-23
,10,Suresh,2025-08-23
"Nice accommodations, nice pool.  Free or discounted parking would have made it even better. ",10,Walter,2025-08-23
We were there for cancer stuff.  This place is super convenient with an excellent shuttle service.  ,10,Stephen,2025-08-23
Fast easy check in.  Friendly professional staff.,10,Katie,2025-08-22
,8,Oscar,2025-08-21
,10,Jon,2025-08-21
