review_text,rating,author_name,timestamp
Es war super Verkehrsgünstig gelegen ,10,Miriam,2025-10-05
Staff was very friendly and helpful. Room was clean and comfortable. Great bathrooms. Location felt safe and was easily accessible to a lot of things.,10,Parker,2025-10-05
Netter Empfang an der Rezeption. Zimmer klein aber fein. Kühlschrank und Tresor vorhanden. Zimmer sauber. Alles in Allem ein gutes Hotel.,8,Tobias,2025-10-03
"Net hotel, metro om de hoek. ",8,Arie Marinus,2025-10-02
Very nice room for the price and close by lots of tourist areas. Stay here if you are in the New York area,10,Talina,2025-09-30
Close to my friends and family ,6,Shahid,2025-09-30
We had a restful stay the staff at the front desk was great,8,Angela,2025-09-29
Nice ,8,Thunyachanok,2025-09-25
,10,Randall,2025-09-25
Staff was very helpful welcoming! It also is a short convenient walk to queens plaza station which can take you to both jfk airport and Manhattan.,10,jake,2025-09-24
Nice property. Food we at at the bar and drinks were good. Breakfast in the morning was also good. Only thing we didn't like was they only had one working elevator. There also was an issue with the electricity on our room. The iron kept shutting off and on while trying to iron our outfits for a party we were going to and the door key card system kept making weird noises through the night probably due to the electricity issue. But whats weird is it didn't affect the TV or the lights. But the outlets by the bed affected our phones charging.,10,Christopher,2025-09-23
,10,Sandra,2025-09-22
Super convenient in terms of public transportation. ,10,simon,2025-09-22
"This hotel is conveniently located right across from the city, and there is a parking garage right next door.
While booking there was an option for city view which I was told upon checking in isn’t available because there is a high rise next door. Also, room wasn’t thoroughly cleaned, I saw what appeared to be someone boogers on pillows. Also, outdated desk chair with a broken cracked arm rest.",6,AYESHAH,2025-09-22
,8,Nikita,2025-09-19
,8,youngin,2025-09-17
,8,Antonella,2025-09-14
"Bad service, very small room for its value ",2,Mario,2025-09-13
Great,10,Liana,2025-09-12
The location of the hotel is great close to metro lines. Just fairly expensive which is probably true for all New York hotels,6,jessie,2025-09-12
Great customer service. Nice rooms!,10,Evelyn,2025-09-09
Room hand very limited storage/draws for clothing also floor tub slippery when showering,8,Michael,2025-09-08
