review_text,rating,author_name,timestamp
Staff super helpful ,10,Nicholas,2025-10-06
Nice location.  Beautiful room,10,Richard,2025-10-05
Such a great location ,10,Jordan,2025-10-05
All the staff were friendly.,10,Amy,2025-10-04
Great breakfast and close walk to Fenway stadium. ,8,Jean,2025-09-29
Easiest walk to Fenway Park & great staff,10,Nomah,2025-09-28
Spacious rooms friendly service and amazing rooftop bar!,10,Michael,2025-09-21
,10,Tammy,2025-09-20
Good hotel. Roof top bar not really impressive. Very close to Fenway,8,John,2025-09-19
"Room was dirty 
No amenities in room - a simple sponge? 2 towels? ",2,Jitinder,2025-09-19
Had a great time at this very nice hotel. We'll definitely be back!,10,John,2025-09-15
The hotel was very clean and comfortable.  Several dining options within easy walking distance and a short walk to Fenway Park.  The staff were all fantastic.,10,Clifford,2025-09-15
"Staff was rude, room was not as expected.  Elevators were dirty.",6,Midalma,2025-09-14
"We stayed here to attend a concert at Fenway. Perfect choice, so easy to get around. Will definitely consider again. 
",10,Kristin,2025-09-09
Relaxing great stay ,10,Treshia,2025-09-05
,10,Stephen,2025-09-04
,8,Jessica,2025-09-04
,8,Manish,2025-09-03
Great location if coming to the Fenway area of the city. Nice staff and room.,10,Alicia,2025-09-03
Very close to Fenway,10,Eric,2025-09-02
,10,Natalee,2025-08-31
,10,William,2025-08-27
,10,Michaela,2025-08-24
"Walking distance to Fenway Park, the subway, Target and restaurants.  Staff were helpful and amicable.  Good Breakfast. Front desk staff friendly and helpful.  

Thank you from El Paso, TX",8,Claudia,2025-08-23
Perfect spot when catching a game at Fenway. ,10,Myra,2025-08-22
,10,Michael,2025-08-21
,10,Ali,2025-08-19
,10,Carol,2025-08-18
,10,DONGYUP,2025-08-17
"This was our third stay while we were in town for a Red Sox game. Can’t beat the location, and it is always clean, comfortable, and every member of the staff we have met are top notch.",10,Aurora,2025-08-17
,10,Nathaniel,2025-08-16
,10,Nicole,2025-08-16
excellent great location ,10,allison,2025-08-15
"The hotel is OK, no major complaints. The best part was the breakfast and the worst was the unfriendly staff. The room was quiet and comfortable , as in most hotels I would not recommend the sofa bed. ",6,Verified traveler,2025-08-15
"Easy if you want to go to a Red Sox game. Good location, kids liked the free breakfast",8,Kevin,2025-08-13
,8,Krystal,2025-08-12
,4,Shashikumar,2025-08-11
,8,Jacob,2025-08-11
,8,Xiaofeng,2025-08-10
,10,Verified traveler,2025-08-10
"I had an absolutely wonderful stay at this hotel! From the moment I arrived, the staff made me feel welcome and taken care of. The check-in process was quick and friendly, and every team member I interacted with went above and beyond to make sure I was comfortable. The room was spotless, beautifully decorated, and had every amenity I could need. The bed was incredibly comfortable, and I slept better than I have in weeks. I also loved the little touches, like complimentary water and a well-stocked coffee station. The location was perfect—close to everything, but still peaceful and quiet at night. Breakfast was fresh, delicious, and offered a variety of options for all tastes. Overall, the combination of excellent service, comfortable accommodations, and attention to detail made my stay unforgettable. I’ll definitely be coming back and recommending this hotel to all my friends and family!",10,Claudia,2025-08-09
,8,Dan,2025-08-07
,8,Seamus,2025-08-06
great location for access to Fenway and restaurants and bars in the area ,10,John,2025-08-05
,10,Denise,2025-08-05
,10,Kirk,2025-08-04
,10,Rebecca,2025-08-04
Great location near Fenway Park. Stay here if you want a place close to the ballpark. ,10,brian,2025-08-04
,8,Reto,2025-08-04
"Perfect location to Fenway, clean and spacious",10,Brian,2025-08-04
,10,Diane,2025-08-03
Not enough outlets in the room. ,6,Eberto,2025-08-02
,10,Joseph,2025-08-01
"The front desk people are rude and unreliable. We asked for two wake up calls and didn’t get one. We asked for our room to be cleaned and needed shower gel, as the bottle was empty. Instead of cleaning they left towels & shower gel in a bag on the floor outside of our door. ",2,Charles,2025-07-31
,10,David,2025-07-28
,10,Kathlene,2025-07-27
"Great hotel choice! Valet was expensive but overall the entire place was located near a lot, and my kids enjoyed walking to Fenway and of course target!",10,Amy,2025-07-25
,10,Stephen,2025-07-23
The staff was incredibly friendly and prompt. I will be doing business trips in Boston often and I Would stay again ,10,Bianka,2025-07-22
야구경기를 보러간거라 너무 좋았다,10,SA LA,2025-07-22
,10,Lori,2025-07-21
,10,Kenneth,2025-07-21
"We attended a concert at Fenway Park and it was wonderful to walk back and be in our room and in bed within 4 minutes!
The next day we took advantage of many walkable restaurants and pretty sights!
The staff also went put of their way to make us feel welcomed.
Will definitely stay there again.",10,Sara,2025-07-18
Just steps away from Fenway Park. We booked a one bedroom unit. It was just right for our party of 3 adults and one child.  The kitchen made it possible to eat in when we needed to and there were several restaurants within a short walking distance of the hotel. One street over from our quiet hotel was the excitement of game day at Fenway with the Savannah Bananas vs The Firefighters. A fairly short walk to the train let us spend our morning at Boston Commons and the Aquarium while allowing us to be back in time for a short rest and an evening game at Fenway.  We had a great weekend!,10,Dina,2025-07-18
Great area,10,Allison,2025-07-17
Staff was professional and polite. Breakfast was very good.,10,Monique,2025-07-16
"Nice, helpful staff, pretty hotel",10,Matthew,2025-07-15
I enjoyed my stay and the staff were very friendly an helpful. The breakfast was also very good,10,Amma,2025-07-15
,10,Brooke,2025-07-15
,10,Kristine,2025-07-15
Close to fenway,10,Tony,2025-07-13
Walking distance from fenway,8,Jeff,2025-07-13
We enjoyed this property.  So close to Fenway and that was the focus of our trip. Nice space for my husband and I and our 22 and 24 year old sons.   They got the pull out and a roll away.  Nice for them to each have their own bed without having to pay for two rooms. ,10,Mindi,2025-07-13
All Great,10,Chris,2025-07-13
You can walk to Fenway ,10,Laura,2025-07-12
,8,Annalisa,2025-07-12
,6,Frank,2025-07-12
It was walkable to many stores and restaurants. Very convenient ,10,Michael,2025-07-11
,8,Joseph,2025-07-10
,10,owais,2025-07-10
"Friendly staff, nice room, comfortable bed, great location.",10,David,2025-07-07
"Nice and clean room, very good size space. Amazing buffet breakfast. Only bad thing was when we came to check in at night there was no one at the desk and we had to ask multiple times to the security and valet if they could grab the front desk receptionist who came after 30 minutes to check us in.",10,Hira,2025-07-07
,10,Stephen,2025-07-06
"Great area to stay, very convenient for going to Fenway.",8,Sara,2025-07-06
valet parking was high,8,Robin,2025-07-06
"Great location, reasonable pricing and awesome room. Great for our family of 4! ",10,Alexandra,2025-07-06
,10,Jaroslaw,2025-07-06
,10,Stephanie,2025-07-06
.,10,Chris,2025-07-06
"Clean facility with friendly staff.
Great location.
Will visit again ",10,Steven,2025-07-05
,10,Francine,2025-07-05
Breakfast options were fantastic and the hotel was very clean. Very impressed with our stay.,10,Colton,2025-07-04
"Pool was not available as promised and mgr made no adjustment to compensate, despite our mentioning that we chose the hotel for the pool as described.  Bed and couch were uncomfortable, rigid materials rather than the luxurious usually found in a Marriots.  Price of $70 per night for in building valet parking is absurd.  Not impressed.  I have stayed at over 20 hotels recently, and this one was not up to usual.  Was clean and maintained though.  Expect more than that for the high nightly rate.",6,Jen,2025-07-03
Very well kept hotel. Breakfast was excellent (for a hotel buffet) and the location is walking distance to Fenway Park,10,guillermo,2025-07-02
,10,roger,2025-07-02
,6,Abreck,2025-07-01
,10,Scott,2025-06-29
,10,jerome,2025-06-29
,10,Kristina,2025-06-28
Nice breakfast. Quite convenient for shopping and dining. ,10,Tammy,2025-06-28
"Great stay , nice staff , great location. Wish we had a better view and our wife didn’t work for both days ",6,Danielle,2025-06-27
,10,Elizabeth,2025-06-26
"We stayed in a king suite and the room was very clean and well kept. The bed was comfortable and felt clean. The lady at the front desk that greeted us and checked us in was very nice. We signed up to become members of the rewards program because they gift you 5000 points just to sign up which is also free to do. Great location downtown, super walkable to Fenway and to some great restaurants. We had dinner across the street at Yard House and 10/10 recommend eating there, all food was excellent. The only thing I would make clear about the hotel is that the only parking options are $70 valet or street parking. There is no parking garage or complimentary parking. With that being said, we went during a week there was no baseball game so it was relatively easy to find street parking. Overall a great stay, would def stay here again. ",10,Daniel,2025-06-24
Great stay. Walkable to MANY tourist attractions. Parking is terrible in this area and very accessible to public transportation. ,10,jaclyn,2025-06-23
"This hotel has an incredible location! The staff and rooms were excellent. We traveled with a toddler, and everyone on the staff was so kind and welcoming to him, I truly appreciated that.",10,Ana Victoria,2025-06-22
Great hotel in town for the Baseball game. The hotel breakfast was on point andthe room was nice and clean plus the staff was friendly.,10,Paul,2025-06-19
"I love the convenience of the location being right there at Fenway Park, we were there for the baseball game. Everything was within walking distance to what all we had planned. Very clean and staff was always so nice. ",10,Callie,2025-06-19
,10,Alexandre P,2025-06-19
Half of the lights in the room didn’t work. Cable was in and out. AC continued to blast even after it was turned off. Poor facilities for a very high price. ,4,Martha,2025-06-15
Close to Fenway,10,Jennifer,2025-06-15
,2,Michael,2025-06-15
The front desk staff made this stay even more amazing!! Absolutely recommend for Red Sox games! ,10,Tracy,2025-06-14
It was the perfect place to stay with my family while in town ,10,Rob,2025-06-13
,10,faith,2025-06-08
,10,Joseph,2025-06-06
The staff from the front door to the desk all well spoken and just simply outstanding ,10,Clark,2025-06-05
Had a great stay with my grandson! ,10,Stephanie,2025-06-05
,10,Jay,2025-06-05
Great stay and lots of amenities! The terrace bar was nice and quiet. The rooms were nice and enjoyed my stay. I would come again!,10,Sophal,2025-06-05
Ok,10,Paul,2025-06-05
Right next to Fenway.  Can’t beat it,8,Barry,2025-06-04
"Very nice hotel near Fenway, will stay here again.",10,GLADYS,2025-06-03
,8,Armand,2025-06-02
"Price was too high, no airport shuttle, no concierge service for help navigating around boston, no safe in the room for valuables.",6,Diana,2025-06-02
"While the hotel was lovely and very convenient, the cost of the room was exorbitant. Parking was an additional $70.00. The shower / bathtub dripped all night. The breakfast they included was bland at best. ",8,Joyce,2025-05-31
,6,Matthew,2025-05-29
Staff super friendly and helpful. Room nice and shower great. Good bar w free drink tickets. TV nice too!,10,Christopher,2025-05-27
"Near to Fenway which was the purpose of our stay. Rates were steep compared to other properties. Breakfast was nicely done with options for everyone. Suites are smaller than other places, but we made it work for our family of 5. One baby in a pack n play and the other 2 kids on the sofa bed",8,Clara,2025-05-26
"Great area. Walkable to the children's hospital but also to Fenway, many restaurants, stores, and a T stop!
The hotel was clean and the staff friendly. There was good service, continental breakfast, and a guest laundry which was very handy for our extended trip.
The rooftop terrace is beautiful!
",10,Haley,2025-05-26
No free water,6,VIRGINIA,2025-05-24
N/A,8,Katherine,2025-05-23
Awesome place to stay especially if you plan on hanging around Fenway a lot! The only thing that could have been better is stronger water pressure. But definitely will be back! ,10,John,2025-05-20
One night stay with nice accommodations.  Close to Fenway.  I would stay again. ,10,Kim,2025-05-16
,10,Scott R,2025-05-15
,10,Eugene,2025-05-13
Location and price were great.  Room amenities were excellent. ,10,Courtney,2025-05-12
,10,Bianca,2025-05-10
Great,10,Jeremy,2025-05-08
"Perfect for our family trip to Fenway for birthday , easy early check in , fast valet parking. Coffee etc..
Only request would be that bathroom was in common space not off one bedroom. 
",8,Kathryn,2025-05-03
,6,Paisley,2025-04-29
