review_text,rating,author_name,timestamp
Clean room and good location ,10,Hyok,2025-10-06
Beautiful decor- great location.,10,Susan,2025-10-06
"I had to pay for transport from jfk airport to hotel and back next day when your hotel .com advertise free shuttle bus from and to airport 
However it does not specify only LGA airport 
Called to cancel and they told me to call Expedia I book it thru you hotel. Com
Had to pay 100$ in transportation to and from hotel to jfk airport ",8,Lourdes,2025-10-06
,10,Sean,2025-10-04
A pleasant stay,8,Chienling,2025-10-03
Best spot in flushing ,10,Randy,2025-10-02
All good,10,MARIA ANGELICA,2025-09-30
New property everything is clean. We had a late,8,Terry,2025-09-29
My room was not available when I checked in and I was never informed until checking in. I booked a room with 2 beds but was given a 1 bed room. ,2,Tiffany,2025-09-27
,10,Edward,2025-09-26
"Hotel was nice, very clean.  We stayed 3 nights, and although we followed instructions to not have our towels washed daily for eco-friendly reasons, every day we got new towels.  Since we were following posted instructions to not have towels washed daily to save water,I found this very disappointing.",10,Vanessa,2025-09-25
Airport shuttle was great - we did not have to wait long for it to arrive.  Driver was friendly.  Room was nice - clean.  Front desk staff was friendly and helpful.  The food at both restaurants were good.,8,Elizabeth,2025-09-24
"The hotel overall was great. New, modern and clean. We had an accessible room, which was amazing for my spouse who is in a wheelchair. 

The area around the hotel isn’t the nicest. A lot of the properties are run down. 

The entrance into the hotel isn’t great. There is not a lot of space for a car to pull up for dropping off. Was challenging with getting a cart, loading luggage, and navigating someone in a wheelchair. If another car would have been parked at the entrance I’m not sure what we would have done.  The hotel also only has valet parking and it’s not part of the hotel. ",10,Ruth,2025-09-24
"Wonderful location and lovely staff. Shuttle from the airport is very slow, but otherwise everything was great. ",10,Tanya,2025-09-22
We loved the hotel. We went to a great little pizza place about 3 or 4 blocks from hotel but the area is a bit sketchy but we had no problems. The hotel is AMAZING and the shuttle to LGA was great!,10,Christine,2025-09-21
"The property is modern & clean. The staff were helpful, but I was disappointed to learn parking wasn’t included in the room cost since the hotel was more expensive than many excellent ones I’ve stayed at mid-town. ",10,Eliza,2025-09-21
,8,Niall,2025-09-19
,10,Garry,2025-09-18
各方面都很好,10,Ruidong,2025-09-18
很好,10,Youxing,2025-09-18
