review_text,rating,author_name,timestamp
Everyone was fantastic ,10,Richard,2025-10-05
First time there. Very impressed. Plans to come again!,10,Dean,2025-10-02
The staff was excellent. It could have been a little cleaner.,8,Mary,2025-10-01
Breakfast was fresh and well organized alot of options,10,tim,2025-10-01
Absolutely lovely.  We could live here.  Highly recommend this property!!,10,Richard,2025-10-01
All the basics were covered well,10,Susan,2025-09-30
Everyone is very friendly and the room is very clean.  I wish the pillows could be more comfortable. ,10,Monica,2025-09-29
"Great room, friendly staff, nice breakfast!",10,Kimberly,2025-09-29
The staff were extremely friendly and helpful. The room was larger than the photos on line. The gym was one of the best I’ve ever worked out for a hotel. Dumbbells go up to 75 lbs. The hotel was also dog friendly. Definitely recommend.,10,James,2025-09-27
Room was great. The fenced yard for the dog is a plus +,10,Elix,2025-09-25
"Was pleasantly surprised with a very modern Hotel. The room was incredibly spacious and clean and comfortable! Loved my stay. Free breakfast in the morning was presented well, good coffee and so many options in a very well thought out space that could accommodate a lot of people.. did not feel crowded what so ever. Very nice. I can see why people would want long term stays here!",10,Michelle,2025-09-24
Clean room with kitchenette fully supplied with dishes and utensils and dishwasher; 24-hour coffee in lobby and great breakfast; free bottled water; helpful staff; allows pets but not disruptive of other guests; excellent location in Lewes with easy access to downtown and/or beach.,10,Maria,2025-09-24
great hotel would stay again,10,Curtis,2025-09-23
Very clean room and property.  Relaxing by the firepit in the evening was a plus.,10,April,2025-09-23
"Front desk was very busy, but still very welcoming! Room was clean! Breakfasts were great! ",10,Mary B,2025-09-22
No one cleaned our room for the two day stay. ,6,Dipu,2025-09-21
,10,Steven,2025-09-21
,10,Dindini,2025-09-20
,10,James,2025-09-19
Good breakfast and friendly staff.,10,Winston,2025-09-19
All staff were very kind and considerate. Breakfast offered  healthy choices. Glad we chose this hotel to spend our vacation.,10,deb,2025-09-18
"From the moment Jeanine greeted us and allowed us to check in early to when we checked out, we had a wonderful stay.  Our room was clean and quiet.  I was initially worried that our room overlooked what I think was the kitchen ventilation system, but we did not hear any noise from it.  While not the nicest view, we were able to check in early and get a good start on our day (you have to take what you can get when checking in a noon).  The room had a fully equipped kitchen which we made good use of.   The included breakfast was fabulous!  There were so many options and some of the best bacon I've had in a long time that was cooked to perfection.  They also had vegetarian options.  The coffee was delicious and always available and always hot.  Location is terrific if planning on going to Lewes and Rehoboth beaches. We'll definitely be staying here the next time we come to the area.  ",10,Carolyn,2025-09-16
,8,Bruce,2025-09-16
"Hotel was nice, but stayed two nights and one day without any housekeeping help. Also at checkout the desk clerk was rude was speaking to daughter and having private conversation on speaker at the same checking is out and asking us questions. Actual hotel set is beautiful, stocked with needs, and breakfast was hot and ready on time. ",6,Tony,2025-09-15
Gym,8,Sandy,2025-09-15
"friendly staff, great breakfast, quiet, supper clean!",10,Donna,2025-09-15
Aerosol spray was everywhere and isn’t needed the pool was opaque and the same items were on the floor two days in a row. The staff were friendly and the room was clean but the sheets and blankets were polyester. I thought Hilton prides themselves on a comfy bed. There is nothing comfy about polyester. ,6,Cheri,2025-09-15
,10,Kevin,2025-09-12
"Only two modest hiccups: Found a clump of hair floating in the pool and a cigarette butt on floor @ outdoor seating area. 
We especially enjoy this hotel. Breakfast is very good and staff is pleasant.",10,Lisa,2025-09-12
"We enjoyed our stay here. Home2 Suites is definitely an upgrade from your standard room. It is spacious, has a large frig, dw, & kitchen area. The included breakfast was quite extensive with many choices. We would def stay here again.",10,Amy,2025-09-12
"Says dog friendly, then charges you a dog fee",6,Theodore,2025-09-12
"This is the nicest place to stay ever! Everything works! I have been to hotels that advertise amenities,,,,, ultil you get there everything is not working or dirty. This place is amazing! the cleanest rooms the cleanest lobby ! The staff is very helpful ! I have already recommended this hotel to several people. ",10,Douglas,2025-09-10
"Excellent staff, easy parking, excellent breakfast buffet, comfortable bed and room ",10,Joanne,2025-09-09
,10,Richard,2025-09-08
"The room was not ready at 3,, so I went to Starbucks and came back an hour and 1/2 later and the room was still not ready . Then she asked if we would like to move to another room and I said is it the same and she did not know then finally she looked and said yes it's the same and I said that's fine . And then they told her that we wanted it on a different credit card and she's still charged my credit card. Then we had to wait for the hot water to get done and when I asked she said oh I had it done over 20 minutes ago ",8,Luanne E,2025-09-08
The room was clean and had everything I needed to make a small meal with a small kitchen  . The hotel was located near a lot of restaurants and shops . ,8,Diane,2025-09-08
,10,Anthony,2025-09-08
"It was very clean and the suite was comfortable.  Front desk was very kind and helpful. Pool was nice. Only complaint was breakfast.  Waffles tasted sour, factory scrambled eggs and some sausage shaped meat product with a strange texture.  Hard boiled eggs were good.  Bread products were ok. It was included in suite price.  I won't eat there next time but everything else was excellent.  I will definitely stay here again. ",10,Richard,2025-09-07
"Always have a wonderful experience with staying at this hotel. Love the location, the rooms, the lobby, the breakfast, the gym, the pool, the staff and the walkability to everything!",10,Scott,2025-09-07
"This was one of the best Hiltons I have probably ever stayed in. The location is great, just about a 10 min drive to downtown Lewes and 15 mins to Dewey beach. 

The free breakfast was also above average with food options. I enjoyed the complimentary coffee, tea and water stations that were available 24/7. Parking was also free and ample, it's a large lot with plenty of spaces. The rooms were also very clean and the kitchenette was a nice bonus I wasn't expecting. I did not hear any road noise either.

I will definitely stay here again the next time I visit the DE beaches!",10,Stephanie,2025-09-06
"Very clean, comfortable bed, smart TV. Reasonable price. Yes, we would stay here again. Friendly staff.",10,Laurie,2025-09-05
,10,Donald,2025-09-05
"Very roomy, nice kitchen area and nice sized fridge. Great breakfast and loved that they had coffee/tea etc and infused water available 24/7. Only thing we missed was an in room safe. But overall a great place to stay. ",10,Shelly,2025-09-04
The breakfast was great. Rooms were very clean. Pizza shop across was amazing! Plenty of stores close proximity as well as restaurants. Great location. ,8,Yarelis,2025-09-04
Super convenient amenities and location. Clean and up to date. No flash. Just function. ,10,Tyler,2025-09-03
This was a really nice hotel. The rooms were nice and the hotel was very clean. We were only about a 10 min drive from the outlets.,10,Lisa,2025-09-03
10/10 hotel. i saw the staff cleaning touch points in the hotel and ,10,Cassandra,2025-09-03
,10,PREMJIT,2025-09-02
,10,Kristin,2025-09-02
"It was a great stay overall. Check in was very easy. Fruit infused water in the lobby was a nice touch and great hit with the family. Bottle water and coffee are free which was very welcome. The breakfast has many varieties to choose from. The room was spacious and clean. The only thing I wish different was the bed was too soft for me, but that's a personal preference. My son commented this was much better than many other hotels we've been to.",10,Jing,2025-09-01
,10,Jennifer,2025-08-29
,10,Linda,2025-08-28
Friendly staff. Great price for the room. Very clean. Quiet. ,10,Verified traveler,2025-08-28
Very nice hotel and conveniently located . Will definitely come back ,10,Andrea,2025-08-26
,10,Verified traveler,2025-08-26
,10,Henry,2025-08-26
,8,David,2025-08-25
We enjoyed out stay because the hotel was so clean and nice,10,yetunde,2025-08-24
Very family friendly!!,10,Verified traveler,2025-08-24
,10,Thomas,2025-08-22
"Our family stay was great! The staff was very welcoming,  provided us with a list of locations fornthe best seafood. We will be a repeat customer.",10,Sherlyn,2025-08-21
"Large, well equipped room. Only complaint was the dog smell in the hallways. Luckily, our room still smelled new. Could they restrict the dogs to a specific area? They were all over the place.",10,Ray,2025-08-18
Staff was very friendly,10,THOMAS,2025-08-18
"Very clean, provided shampoo, would go again!",10,Daniel,2025-08-17
It was good,10,Kareem,2025-08-17
Typical 3 star facility no restaurant but pizza place close by!,10,Robert,2025-08-15
Very nice property.  Would stay here again.  Front desk people very friendly and helpful.,10,Patricia,2025-08-15
"Our family of 4 (2 adults, 2 teens) stayed here for 4 days and 3 nights. The room we booked was spacious for us- beds were clean and comfy, bathroom and kitchen was clean. The room overall was clean and comfortable for us. I find the curtain partition between the beds and the sofa bed very convenient. We needed to cook our meal for our son so we had to request a hot plate/hot stove and pan from front desk. Breakfast was the usual hotel buffet breakfast, varied and a lot of choices. Loved the complimentary coffee and fruit infused water, as well as water bottles in the lobby. Overall comfortable stay for our little family getaway!",10,HEBERT,2025-08-14
"The rooms were spacious, well equipped and clean. Great value",10,Leesa,2025-08-14
,10,Cheryl,2025-08-13
,10,Amber,2025-08-13
Great hotel for the price,6,Aisha,2025-08-12
"Love love this property, perfect location and very clean, welcoming staff. 1st time and will stay again",10,Karima,2025-08-11
The breakfast area was not set up all that efficiently. Breakfast was good but everyone wants a waffle and for those that don’t…..it’s a hot mess. Make a separate waffle area. People are frustrating and inconsiderate of others. You  n can’t help that at all I know.,10,Debra,2025-08-11
Great hotel and friendly staff. Thank you ,10,Thomas,2025-08-09
,6,michael,2025-08-09
I didn't like the fact that your prices continue to go up significantly every year. ,8,Trinidad,2025-08-08
,10,Chere,2025-08-07
,10,Shana,2025-08-05
Our room was great everything you need is in there.Very clean ,10,rozana,2025-08-04
I was told this is a dog friendly hotel. Why am I getting calls for my dog barking.  Terrible,2,Samantha,2025-08-03
Very clean and well maintained. The staff was friendly and helpful. Wonderful stay. I will definitely stay here again when in the area.,10,Mark,2025-08-02
,10,Michael,2025-07-28
Smelled clean and looked exactly how it looked in pictures. The staff was friendly as well! ,10,Melissa,2025-07-28
,10,Thomas,2025-07-28
"Sauber, großes modernes Zimmer, (für amerikanische Verhältnisse) gutes Frühstück (Porzellangeschirr), mehr als genug Parkmöglichkeiten. Mit dem Auto schnell am Strand (Parkautomat, auch Mitte Juli noch Parkplätze frei)",10,CarstenTest,2025-07-27
"Always love staying here, thank you ",10,Edward,2025-07-22
,10,Thomas,2025-07-22
It turn Ty the,10,Judy,2025-07-18
Our room was horrible. By the elevator maintenance room and also window backed up to all the ac units in center area. Our ac unit worked terribly and was so loud. Terrible noise from elevator  room. Pillows were horrible and bed seemed like a full size. We had no sleep! ,4,Cary,2025-07-14
"Our vacation was one for the book! We stayed at Home 2 Suites July 7th-13th it was absolutely AWESOME! Our check-in was super easy. Destiny, the Front Desk was absolutely Amazing! The entire staff was wonderful we were always greeted with a smile. If you are in the Rehoboth/Lewes Delaware area, Home 2 Suites is just the place you are looking for. ",10,Frances,2025-07-14
,10,Vincent,2025-07-14
,8,Lai,2025-07-13
,10,Renis,2025-07-11
"Very clean! The only complaint is the pool, very small.",8,Annette,2025-07-11
,10,John,2025-07-10
,8,Verified traveler,2025-07-08
,10,Andrea,2025-07-08
Stayed a few nights with the family for easy access to the beach and boardwalk activities. The room was clean and with plenty of counter space. Kitchen had everything needed for a comfortable stay. Breakfast offered many options. Friendly and helpful staff. The only negative is that the pool can be cleaner. Would stay again in the future. ,10,Yun Jin,2025-07-06
"The beds had dirty sheets. Upon showing this to the front desk, we were provided with clean, and had to make our own beds. Very disappointing ",6,Wachmide,2025-07-06
Great stay!,10,Angela,2025-07-04
"Severe dog allergy 
Was told I would be in a room where a dog hasn’t stayed for a year or two
Trip to Urgent Care says otherwise 

Shower was not hot and had no pressure

Breakfast was gross

Asked for room to be cleaned, they never did ",4,Heather,2025-07-03
,8,John,2025-06-30
,10,Verified traveler,2025-06-30
There was bed bugs !!! I got bit ,6,Cecilia,2025-06-26
"Clean and comfortable. From the warmth of the staff upon arrival, the clean, large, bright room provided a comfortable home away from home.",10,Joanne,2025-06-26
By a door that slams from people coming and going and broken item in room. Room was clean and spacious.  Staff was kind and helpful. ,6,Shelby,2025-06-25
,10,Carol,2025-06-25
,10,Tom,2025-06-18
"Everything was great , check in and out cleanliness the smell .",8,Erica,2025-06-16
We brought our 2 dogs with us great area to walk dogs very clean and good breakfast . Will stay there again when I am in the area . ,10,Tariq,2025-06-14
Wonderful hotel. Please post better signs to direct drivers to entrance. ,10,Barbara,2025-06-12
Everything was great! ,10,Zachariah,2025-06-09
Everything went well. ,10,Robert,2025-06-09
"Clean, friendly staff and great breakfast!",8,Kim,2025-06-07
,10,Wei,2025-06-06
Great hotel,10,Albert,2025-06-05
This property was clean and convenient and within 5 minutes driving distance to the beach. ,10,Tiffany,2025-06-02
I appreciated the kind and friendly staff. ,8,Michele,2025-05-30
,10,edward,2025-05-30
"This hotel was amazing. So clean, so well managed, and the staff was so friendly",10,Maryellen,2025-05-27
,10,Indera,2025-05-25
,10,Bryn,2025-05-25
"We loved this property, its cleanliness and its proximity to the beach. Overall our family had a great experience. ",10,Harish,2025-05-25
"Staff was super friendly. We did switch rooms after a couple of days due to a hot water issue, they were great about it though! Very clean hotel, beds were comfortable, in room amenities were great for a long stay. Good location too!",8,Kathleen,2025-05-24
,2,Nick,2025-05-24
,10,Verified traveler,2025-05-23
"Clean , friendly staff, room exceded expectations, close to everything.",10,Steven,2025-05-22
"Very nice and roomy hotel. I liked having kitchenette in our room with a good size fridge, dishwasher, full size microwave and a sink. Breakfast was very decent. All day long coffee and tea in the lobby. Friendly staff! ",8,Shahrzad,2025-05-22
"Having visited this hotel for number of years I must say that it looks new everytime. The breakfast improves.  The perks improve. The staff remains tops! The counter and storage space in the room is unbelievable.  This year the matress was a little soft for me. But even that is a preference,  not a complaint.",10,Linda,2025-05-21
Large snd doavios hotel room.,10,Bernadette,2025-05-18
"Wonderful staff, very friendly and helpful. Rooms are large, clean and comfortable. Would definitely stay again when I am in this area.",10,Nancy,2025-05-12
,10,Jackie M,2025-05-11
Disappointed that the fire pit was not working! The shower had some black mold in the corner and some around the track! A little cloxox would take that right off! I have pictures! ,10,Jamie,2025-05-11
,10,Leisa,2025-05-11
"Stayed here for work. The property is immaculate, the service was exceptional. the shower heads are high enough for taller people.",10,Richard,2025-05-08
,8,Tia,2025-05-01
,2,Shawne',2025-04-30
"nice, spacious room.  Good shower, everything was clean, was a nice room to stay a while.",10,ralph,2025-04-30
,10,Jill,2025-04-29
"Clean hotel, friendly staff, nice dog area",8,Wendy,2025-04-28
nice staff,6,Roxanne,2025-04-28
,8,Mary,2025-04-25
"Price is affordable. The room has microvave, big refrigerator and kitchenwares. The room is very clean. The breakfast is plentiful in wide convenient dining area. Staff are courteous. ",10,VERGA,2025-04-25
,4,Anastasiia,2025-04-24
"Very clean,personal and pleasant staff. Room was great and safe area ",10,Lisa,2025-04-24
I love staying here. The staff is very welcoming and provides lots of information about the room and amenities.  Every thing here is spotless and designed for comfort.  ,10,Amanda,2025-04-24
Room was spacious and clean.  Very comfortable bed and pillow.  Breakfast was good and shot of variety. They had flavored water throughout the day which is s plus. ,10,susan,2025-04-23
,8,Erin,2025-04-21
,10,Deborah,2025-04-20
,10,Bryon,2025-04-20
,10,Stephanie,2025-04-19
,10,Lina,2025-04-19
This is the best hotel we stayed in. Huge room. Great breakfast choices.  And they even have a dog park. We loved everything!!!! ,10,Nadia,2025-04-18
,8,Peter,2025-04-16
Had an issue with the first room we were given but the person at front desk was very understanding and assigned us a new room which was much better. Very spacious and lots of counter space. Pool is small but nice. ,8,Stephanie,2025-04-16
"Great stay. Nice lobby, good breakfast, everyone friendly, plenty of parking.",10,Gerald,2025-04-15
,8,christina,2025-04-15
,10,Stacy,2025-04-14
"Property was clean, staff friendly ",8,Jolene,2025-04-14
"This property far exceeded my expectations.  The room size, decor and amenities were discussed with everyone we interacted with all weekend. Will definitely book there again when I am in the area. ",10,Mildred,2025-04-13
,10,Kimberly,2025-04-13
Have been visiting Rehoboth Beach since I was 5 yrs. old....have stayed at many places.....this has been by far the best yet ! All staff members were very attentive and greeted you evetytime you came in ! Will definitely be back ! Thank you for a very enjoyable stay !,10,Cindy,2025-04-10
"Clean, convenient locale.  Great staff.",8,Diane,2025-04-10
Good,10,Jameson,2025-04-08
"It was centrally located , near everything we needed. The staff was very helpful and accommodations clean and comfortable.",8,Yolanda,2025-04-08
"The desk staff was so helpful. I’m not familiar with the area, but they gave me great directions to my destination.",10,Dorothy,2025-04-07
"Nice, convenient place to stay.  Room was large with lots of shelves and countertop to hold our things.  Only negative was that beds are a bit broken down.",10,Gabrielle,2025-04-06
This hotel location was excellent with plenty of amenities to choose from.,10,Beverly,2025-04-03
,10,Verified traveler,2025-04-03
,8,Olga,2025-04-02
,10,Joseph,2025-03-30
,8,BEN,2025-03-29
,10,marisa,2025-03-29
"I still gave this hotel an “excellent” because the only thing I did not care for was the breakfast. But the amenities, cleanliness, convenience, and rooms are impeccable! I could stay here for a month and be happy!

Great beach town! ",10,Verified traveler,2025-03-25
There for only one night but hotel was clean and staff was friendly ,10,judy,2025-03-25
The front desk and breakfast staff were friendly and helpful.  Loved the fire pit.,10,anne,2025-03-25
Pillows could have been  nicer.,10,Deborah,2025-03-24
Loved the room. The staff was terrific. ,10,Chad,2025-03-23
,8,Miracle,2025-03-23
,10,Eunkyung,2025-03-22
,8,Marc,2025-03-20
,8,Thomas,2025-03-19
Excellent ,10,Denise,2025-03-18
"Clean, convenient, pet friendly, breakfast options were great.",10,Susan,2025-03-18
"nice. check in was fast, hotel was clean and nice. everything was perfect.  ",8,VICTOR,2025-03-17
This was my second stay and once again the staff and the stay was amazing ,10,Meegan,2025-03-16
,10,Steven,2025-03-16
,10,Renee,2025-03-15
,10,Lawrence,2025-03-13
"The property was clean and welcoming. Our room was just what we needed. spacious, clean and comfortable. Breakfast was good, a lot of choices and the staff were very good. Would stay again and recommend to others.",10,Jan,2025-03-12
,8,Robyn,2025-03-10
"Absolutely everything about this hotel was exceptional. Clean, amazing staff great amenities the breakfast spread was insane. 
Great job ",10,Tanya,2025-03-10
,10,Brittany,2025-03-09
Excellent,10,Michael,2025-03-09
,10,Christina,2025-03-08
Great property in a great location. Clean and friendly.,10,Sherry,2025-03-08
Very nice and clean. ,10,Robert,2025-03-04
Lovely stay!,10,Lindsay,2025-03-03
,10,Robert,2025-03-02
"This was my first time staying at Home 2. The lobby area really impressed me. After we got back from dinner, we just hung out in the lobby area because it was so comfortable. ",10,Joe,2025-03-01
,10,christina,2025-02-27
The separate bedroom and size of the suite made it a comfortable stay when extended family visited.,8,Deborah,2025-02-26
"One of the best hotel stays I have ever had. Clean facilities with unmatched comfort choices, from their free water selection to the lobby market that even had quality treat options for both cats and dogs, they truly make you feel at home. The only thing that can outshine the phenomenal breakfast bar is the unparalleled customer service. Effortlessly efficient without ever compromising quality, from the housekeeping and maintenance staff to front desk. I can’t imagine staying anywhere else now.",10,Brittany,2025-02-25
Good job!,10,Jean,2025-02-24
"Very clean. Love the big, free breakfast and the coffee and hot chocolate bars that are available all day. Nice, warm pool and I could do my Peloton bike exercises there with their Peloton bike. Rooms are spacious and clean. We always stay there for our Delaware beaches vacations.",10,Tory,2025-02-23
"We were in DE to view properties and brought our dogs with us. I picked this dog friendly hotel not knowing anything about it - well, it was a GREAT choice because of the effort made to accommodate dogs, from a gift on arrival to the places available to walk them and even a small fenced area where they could be off leash. I really appreciated this because our pups are our family, as is the case with so many pet owners. Our room was very clean as was the hotel as a whole. Customer care was very good. We will be staying again when the need arises. Thank you!",10,Verified traveler,2025-02-23
,10,Andrew,2025-02-23
,10,Jennifer,2025-02-21
"You can only lower the temp to 68 which is far too warm for comfortable sleeping for many people, like me, so tossed and turned all night. 😢. I doubt I’ll stay again for that reason.",6,Carol,2025-02-17
,10,Kimberly,2025-02-17
,10,Payton,2025-02-16
,10,Michael,2025-02-15
,10,Samantha,2025-02-11
"Excellent customer service.Room clean and bed so comfy! Great breakfast and lobby had coffee, tea, bottled and infused waters plus mints all complementary
 Pool was nice. Would highly recommend a stay here.",10,Sandra,2025-02-10
"Very nice hotel! Fruit infused water, coffee, tea and hot chocolate available 24/7.  Breakfast had many options and I was impressed that they offered gluten free items for my daughter who has celiac disease.  Staff was friendly and very willing to help with anything we needed.  We had a handicapped room for my Mom and it was extremely spacious.  My only complaint (which staff can’t do anything about) is that whomever designed the building, put the handicapped rooms farthest away from the elevator. It was difficult for my Mom to walk that far, even with her rollator.  Maybe hotel should have a wheelchair guests could use while in hotel.
Beds were comfortable, pillows could be better.  Convenient location. This our 2nd stay here and will definitely stay again.",10,Kim,2025-02-09
"Good breakfast included, 24/7 coffe, hot tea, hot chocolate, and flavored water",10,Anna,2025-02-09
Great all around will stay again ,10,Todd,2025-02-07
,10,Michael,2025-02-05
,10,Jacquelyn,2025-02-03
,8,Daniel,2025-02-01
"I was there for a soccer tournament. I originally stayed one night in another hotel with a similar price but I it was so dirty I couldn’t finish my stay there. I booked the 2nd night of my stay here and I picked this hotel because the reviews were very good and cleanliness was included. It did not fail. Immediately upon entering you could see the hotel was clean, it smelled clean, looked clean and was bright. They offered complimentary waters and chocolates upon arrival as well as a complimentary coffee/tea/hot chocolate bar available 24 hours which was much needed after being out in the cold watching sports all day. Our room was labeled a atudio but was rather large and included a full size fridge, dishwasher, microwave, utensils and cups/ plates. The room was very clean and comfortable as well. The breakfast included eggs, waffles, cereals, breads and pastries and the eating area was very clean. It turned my weekend around from terrible to wonderful. ",10,Carina,2025-01-26
"First time staying here but not the last !!!!!
Staff are so friendly and welcoming ",10,Meegan,2025-01-26
This my second time staying at this hotel and it’s was great and quiet just what I needed.,8,Vatisa,2025-01-26
,10,John,2025-01-23
