review_text,rating,author_name,timestamp
,10,Charles,2025-09-16
People ,6,John,2025-09-16
All aspects of stay met our expectations ,10,phil,2025-09-08
Could use some updates but overall property was clean with great customer service.,10,Cynthia,2025-08-21
,10,Justin,2025-08-13
"Great stay, check in to check out!",10,PAUL,2025-08-06
,8,Miao,2025-07-29
Staff was amazing. ,10,Elysia,2025-07-29
,10,ADAM,2025-07-22
,10,James,2025-07-12
"It is a normal business style hotel.  Friendly staff.  If you drive, expect to pay for parking, and the valet staff are possibly the friendliest I've ever seen.  They will take care of you and your car.",10,Joseph,2025-07-07
The restaurant food was mediocre. The wine prices were outrageous for the brands.  And the crème brûlée was the worst i e ever experienced.  The chef needs to be taught how to make it.  I was told by the server that this is the way the chef likes to make it and then mentioned that many people don't like it.  She waived the charge.,8,holly,2025-07-07
"The staff is exceptionally friendly and accommodating.  An additional bonus is the restaurant, it was actually the best food we had while in Denver! Hats off to the new Chef!",10,Mindi,2025-06-29
Beautiful hotel. Great staff,10,michelle,2025-06-18
,8,Beth,2025-06-16
,10,David,2025-05-28
,10,Maria,2025-05-26
Nice,10,Joshua,2025-05-20
I love it !! ,10,Jenn,2025-05-11
I love the lobby!  Tyler (?) at the front desk was very friendly and helpful!,10,Michelle,2025-04-07
,10,Russ,2025-04-07
Very welcoming and easy to get to from airport on train,10,Karin,2025-04-06
,10,Verified traveler,2025-04-02
"Our stay here was great!! Easily accessible to lots of stuff..very clean rooms, bar was nice, live music 🎶 was great. ",10,Algerita,2025-03-31
"This is a lovely hotel.  The lobby and features of the old bank building and it's original artwork are very unique.  This large space presents as warm and welcoming and the staff further adds to that feeling.  
The room was immaculate, beds were comfortable, no outside, downtown noise penetrated.
Highly recommend",10,Susanne,2025-03-30
"Very pretty lobby, nice staff :)",10,Brooks,2025-03-20
,10,WEITING,2025-03-04
"While most of downtown is still under construction, it’s still easy to get around. There are plenty of restaurants and shops around the area. Range in the hotel and the teller bar, amazing! ",10,Michael,2025-03-01
,8,Rasmus,2025-02-26
,10,James,2025-02-25
,10,Adam,2025-02-19
"Let me start by saying the staff here is top notch. Everyone from the front desk concierge to the bartender were so friendly and welcoming. 

The main complaints are small, but noteworthy- 
The tv remote in our room barely worked, which was fine, we made it work. At 10:45AM someone knocked on our door and let themselves in (assuming room service, though we had our do not disturb sign out). We let them know we were here and they left. The back of the door at the hotel says check out is at 12, however when you book they say 11.. either way, someone was letting themselves in before 11. We called the front desk and they told us check out is 11, and we explained it says 12 on the door so we will do our best to be out by 11. They were very kind about this, and extended our check out to 12, though it did leave a bit of a sour taste in my mouth. 


Overall our experience and stay was wonderful, however for what you pay for a room and for a 4 star hotel, I think a few things could’ve been better. 

That said- the espresso martini by Josh (I believe, the gentleman working the night is 2/14), 10000/10!! ",6,Shannon,2025-02-15
,6,Steven,2025-02-11
,10,whitney,2025-02-06
They did not give the room I booked and only gave one bed when we requested two. They stated that they don’t honor bookings through Expedia and it is essentially first come first serve. We then asked for an extra roll-away bed but they said they had given them out already and there were no more left. Terrible experience. ,2,Nickveer,2025-02-06
,8,Zena,2025-02-03
"Excelentes instalaciones y el mejor servicio en recepción, sin embargo varias de las habitaciones tenían un olor muy desagradable a cañería. Teníamos 5 habitaciones en mi grupo, y 3 de ellas olían muy mal.
Además, tampoco hay caja de seguridad en las habitaciones, y algunos objetos desaparecieron (al reportarlo nos dijeron que supuestamente house-keeping no había encontrado nada). Cuidado con eso, ya que nosotros nos arrepentimos de permitir que limpiaran la habitación sin tener una caja de seguridad.",8,Verified traveler,2025-02-03
,8,Kevin,2025-02-03
"Very happy with our stay. Spacious and comfortable room and bathroom. Staff is super friendly. Great locatio, beautiful lobby. Would stay here again.  ",10,FERNANDO,2025-02-02
Beautiful property,10,Victoria,2025-01-27
,10,Jennifer,2025-01-26
"The lobby was gorgeous and comfortable!
There was a bad smell on 6th floor for a day or so during my stay...like ?sewer.  I didn't tell the front desk but could have done so.",10,Michelle,2025-01-25
Convenient location and friendly staff. Always our go to when we attend professional sports events in Denver. ,10,Jo,2025-01-24
"Excellent service at check in and check out by the same employee at the counter. Allowed my son and I an early check in on a very cold day so we could add a layer of clothes and be on our way to an early hockey game. Totally nice about it and fully accomodating. Nice large rooms, well maintained, quiet. Didn't go to the bar this visit, but I have on previous visits and its great and bartenders are good and personable. Great stay in Denver!",10,donald,2025-01-19
,8,Lisa,2025-01-19
Male staff were nice,10,sebastian,2025-01-12
"Service was outstanding, valet, check.in, bar, all hit a homerun.  Great stay.",10,Brad,2025-01-10
,10,Janise,2025-01-09
,6,Deborah,2025-01-09
"Andrew at the front dest was amazingly professional. Thank you, Andrew!",10,MIRIAM,2025-01-08
It was a great hotel!,10,Ernesto,2025-01-07
We had prepaid for a one bedroom suite and they did not honor the reservation because we booked through a third-party. Expedia/Hotels.com. I ended up with a standard king which was much less in price than what I prepaid and they refused to refund me saying we have to take it up with Hotels.com. I want a refund. Please contact me.,2,Jessica,2025-01-06
,2,Emma,2025-01-06
,10,Samuel,2025-01-06
Beautiful property! We will definitely be back. ,10,Malinda,2025-01-06
,4,Barbara,2025-01-05
,2,Hamza,2025-01-05
"The Renaissance was clean, comfortable and the staff was courteous and professional. Check in was super efficient. This hotel is in a great location to see all the downtown spots—restaurants and shopping. Breakfast would have been better if the food was hot, but it was free!  ",8,Lynn,2025-01-04
,10,Madison,2025-01-03
,4,Alexandria,2025-01-02
I loved my new year’s eve stay :),10,Cadence,2025-01-02
,10,Michael,2025-01-01
,10,Bobbi Lyn,2024-12-31
,10,leah,2024-12-29
"Was amazing despite a pipe leakage which caused us to be moved out of our suite, the staff was more than accommodating. So sweet and made me feel more than welcome, definitely staying here from now on with upcoming vacations. ",10,Ashlee the,2024-12-28
,10,Samuel,2024-12-25
Rooms are in need of deep cleaning and updating.,8,Verified traveler,2024-12-25
"The rooms were big, updated, clean, and provided everything we needed. The hotel ambiance was relaxing, staff were so welcoming and kind each and every day. I would recommend this hotel to anyone visiting the area. ",10,Dayna,2024-12-24
,10,Cavin,2024-12-23
"The Renaissance Hotel was a sight to see I ended up meeting the love of my life, everything was exactly like my dream. It was a dream come true I'm shedding tears writing this because it's bringing me flashbacks of the fragments of time that will forever be cherished in my heart for the rest of my existence.",10,Jesus,2024-12-22
"We had a great stay at the Renaissance. The property is located right in the heart of Denver city. Easy walking distance to 16th St mall, Union Station and Civic Centre. Room was beautiful, hotel lobby beautiful and staff so incredibly polite. They threw in a free breakfast for us for the holidays, and when we had a minor hiccough with a request we made, the staff went out of their way to make up for it. ",10,Sarah,2024-12-22
,10,Jessica,2024-12-19
Loved the stay! It’s was very nice ,10,Elizabeth,2024-12-17
Honestly had a lovely stay here. The place was clean and I felt very welcomed when I first arrived. Beds were super comfy. I would definitely stay there again,10,Nicole,2024-12-16
,10,Isaiah Omar,2024-12-12
,8,Angela J,2024-12-08
More than I expected ,10,Holness,2024-11-28
,10,Verified traveler,2024-11-26
Valet and front desk were amazing and gave us lots of recommendations for our time in Denver. The lobby was also very pretty and our room was clean and tidy.,10,Michael,2024-11-24
"Met most of our needs. Although the room we stayed in wall very thin and could hear water running through pipes.
",6,Nichele Lavonne,2024-11-20
,10,Mark L,2024-11-19
,10,Christina,2024-11-19
It was great! Comfy bed shower was great had fantastic water pressure the bathroom was a little small but we made it work. Very quiet hotel. Close to lots of restaurants. Walking distance from Union Station ,10,Eric,2024-11-19
"I loved the atmosphere of this hotel. Every area was spotless, The staff were friendly and accommodating. So many restaurants and bars within walking distance.",10,Masi,2024-11-18
,8,Ayesha,2024-11-17
,10,Deidre,2024-11-16
Muy buenos ,10,Rosangela,2024-11-14
Great place!,10,Allan,2024-11-12
"Beautiful hotel that was once the Colorado National Bank. We had a great city view from our room, and food from The Range restaurant in the lobby was great. Room service was fast and easy. Would definitely stay here again. ",10,Susan Loretta,2024-11-12
Excellent location. Unique and spectacular hotel with history as a bank that has been incorporated into the current set up. ,10,Lee,2024-11-10
,10,Henry Lamar,2024-11-01
,10,Patricia,2024-11-01
No tenía agua en la ducha,2,Anguel,2024-10-27
We really enjoyed our stay. The room was beautiful and the 3rd floor was very quiet. We will definitely book here again! ,10,Mariah,2024-10-25
Great staff and clean hotel but room view was awful ,8,Santana,2024-10-14
,10,Jose,2024-10-13
,4,Narek,2024-10-12
,10,Jorge,2024-10-11
,10,Hilari,2024-10-09
Extremely nice hotel close to restaurants and entertainment. Very comfortable and clean. ,10,Vanessa,2024-10-05
,10,Adrienne,2024-10-03
,10,MASATOSHI,2024-10-01
,10,Jamey,2024-09-30
,10,Elizabeth,2024-09-28
The bank architecture is beautiful,10,Joanne,2024-09-24
Staff was extremely helpful and friendly. ,10,Dan,2024-09-23
"Beautiful building, comfortable bed, clean room, nice shower. Great staff, especially Hass who helped us check in, get the lay of the land and settle in for the weekend. He made the difference between a solid good experience and a great experience. It was great. Thank you. ",10,Joshua,2024-09-23
Nice property. ,10,Ernest,2024-09-22
