review_text,rating,author_name,timestamp
Location,8,Sean,2025-10-05
Friendly staff,8,Christopher,2025-10-03
"While our room was clean, the faucet was broken, elevator floor, door and panel was dirty!  Bathrooms need to be updated.",6,Tammy,2025-09-28
,10,Ann,2025-09-26
All in all we enjoyed our stay here. Excellent location with ample parking. Walking to Front street easily. ,8,Betty,2025-09-26
"Room was clean, drain on shower drained slowly only issue. ",8,Myke,2025-09-25
I enjoyed my stay and its a great location close to everything ,8,chris,2025-09-23
Perfect place to stay. So much within walking distance.,10,Sandy,2025-09-23
"Loved the location of this hotel. Close to the water and restaurants. Although dated and a bit worn the hotel is spacious. My husband and I enjoyed the restaurant, especially happy hour and the roof top views. I used the indoor pool and hot top for some physical therapy.  It was great. ",8,Paula,2025-09-23
We love the view at the top of the park.  Convenient to walk downtown & eat/ shop. Easy to park our motorcycles or car.  ,8,Wendy,2025-09-19
,10,Lauren,2025-09-19
,10,Timothy,2025-09-17
Great area next to everything. Older hotel with very average accommodations ,6,amanda,2025-09-15
"This traditional, old-style hotel is quiet and safe. Depending on the room, there is a lake view. The hotel is within walking distance of the lake and very close to downtown. The staff is friendly.  The cafeteria was not open at 7 o’clock on Tuesday after Labor Day.",8,Tae-Hwa,2025-09-13
"This building needs to be gutted, dirty beyond belief",2,alicia,2025-09-13
,6,Nicholas,2025-09-11
,6,Kirk,2025-09-08
The staff and location are fantastic.,10,BRYAN,2025-09-07
"Older hotel but very well maintained, rooftop bar was great and the bartenders were great.",8,Thomas,2025-09-07
Rooms very outdated. Much in need of redecorating. ,8,Marie,2025-09-07
"We really enjoyed this hotel. It is older but well kept, and had this cute little balcony where we could just see that beautiful bay. The service was great and I highly recommend the bar with the view! Great for wedding parties, which we saw many!",10,Christopher,2025-09-06
,6,Emily,2025-09-04
Nice place to stay !,10,Yanira,2025-09-04
Location was excellent. Breakfast at Minerva’s was wonderful!,10,Laura,2025-09-03
"We paid 386 per night expecting great stay but far from it. Outside looks brick and solid but is deceiving. The inside looks so outdated from the 70s to borderline roadhouse motel quality. We arrived in the evening. The AC didn’t work properly was stuck on 62 turning to heat got up to 69, called the front desk multiple times no body answered and no one was at the front desk. The window also would not lock and was a safety issue. ",2,Ardit,2025-09-02
"Location is perfect with parking on site. Showers are a bit outdated and if you’re even 6 feet tall you have to crouch down because it’s very low. Everything else was great, will definitely be back ",8,Chaz,2025-09-01
"Disappointed by Security Oversight Despite Great Location
We recently stayed at the Park Place Hotel in Traverse City. While the hotel itself feels a bit dated, it was clean and the room—though small—was fine for simply resting after a day of exploring.
Unfortunately, our experience took a concerning turn. After a full day trip to Mackinac Island, we returned to our room on the second night to find the door wide open, held ajar by the security latch. It appeared that housekeeping had started cleaning but never finished—and most worryingly, they left the room unsecured with all our personal belongings inside. Anyone could have walked in.
We immediately notified the front desk, but all they did was take note of the issue. Upon checkout the next day, we received a simple “sorry,” but no real apology or effort to make things right.
We booked through Expedia and paid a bit less than the standard rate, but it was still far from cheap. We chose this hotel for its reputation and central location, expecting a secure and professional experience. Sadly, we left feeling that guest safety wasn’t a priority here.
We won’t be returning, and I wouldn’t recommend it to others who value peace of mind while traveling.",6,Ada,2025-09-01
1960s theme room.  Not good,2,Paul,2025-08-31
Great staff. ,10,Patricia,2025-08-30
Wonderful mattress!,10,Cynthia,2025-08-30
,10,Meghan,2025-08-30
"The primary reason for selecting the Park Place was its location.  While its 'off' the main areas of interest, its only a few minute walk to this area.  So for us, it was location.
   Overall, the stay was excellent.  The people we interacted with in the restaurant and the check in/out were friendly, quick to assist.
  Highly recommend this hotel if you prefer the freedom to walk to the main downtown area, or the Opera House or even over to the Hagerty Center (yes, both were on our agenda for events). Location was perfect for us.",10,RUSSELL,2025-08-30
,10,Tyler,2025-08-29
Excellent place to stay. No fan in bathroom ... so it was a bit musty. Staff excellent!,10,Barbara,2025-08-29
"Location is very convenient to dining, shopping.",10,Christine,2025-08-29
"Pros- Nice central location , most everything in downtown TC is in walking distance, comfortable bed and clean room.

Cons - seemed understaffed and those who were present didn't seem to enjoy their jobs, you can tell it's an older hotel, several amenities either not functional (hot tub, Internet) or slightly off as to be noticeable/annoying (key card, toilet seat, closet door, elevator), expensive compared to other places in the area.",8,Mark,2025-08-29
,10,cindy,2025-08-29
Clean and professional ,10,Deborah,2025-08-28
Front desk staff was excellent. Very welcoming and helpful. The room was beautiful and perfect for what we needed and we cannot say enough about how nice the pool area is. Especially as there is an area for children. ,10,Tara,2025-08-27
"Great location, clean room, comfortable bed.",10,Mary,2025-08-26
,10,John,2025-08-25
"Dated hotel..clean but, a bit disappointed at arrival. Wasn't their fault it was raining..but, stuck here didn't meet expectations. ",8,David,2025-08-25
"Great location, everything else less to be desired.",6,Mike,2025-08-25
,10,John,2025-08-25
"Rooms are very nice and the staff are polite and take care of issues right away, such as needing extra coffee pods. We’ll be back.",10,James,2025-08-24
,8,Patrick,2025-08-23
,10,Deborah,2025-08-23
Nice views,10,Jennifer,2025-08-21
It was right downtown and close to restaurants and shopping.,10,Kristen,2025-08-20
"The hotel was filthy.  From the foyer and newly replaced elevator flooring to the molded fruit in our room ice bucket, and management used the age of the building as an excuse.  The location of the hotel, rooftop bar and the front desk staff were the only positives to say.",2,Elizabeth,2025-08-20
"Not a very well taken care of property. Hot tub and kids water play area not working. The whole reason we booked this hotel was our kids were excited to use the pool facility. Water was very cold and most of the pool stuff didn’t work. Someone broke the estop button. Talked to front desk and they said “maintenance ordered a part and they are waiting for it”. That was day 1, we were here for 3 days and no one fixed it the whole time. Hotels location is the only thing it has going for it. Lots of other stuff broken or very old around hotel. I regret choosing this hotel. ",2,Eric,2025-08-19
Amazing property and very close to everything,10,Bradly,2025-08-18
Top of the Park bar was closed to no staff. Bummer,6,Bryan,2025-08-17
A nice old hotel with a lot of charm and conveniently located just a couple blocks away from the beach.,8,Jim,2025-08-17
,4,Rachel,2025-08-15
,10,Mike,2025-08-14
,8,Sheri,2025-08-13
,8,Michelle,2025-08-11
,10,Kristi,2025-08-09
,10,Laura,2025-08-09
"The bathtub was broken and the room was in poor condition despite having spent $400 a night to stay there. Staff was helpful, but will probably stay elsewhere next time due to condition of the room.",2,Michael,2025-08-08
Love that the Hotel is very clean - safe and right downtown.  Was super convenient.  5/5,10,Stacey,2025-08-04
The room was dirty and stains on the carpet…said updated looked run down. ,6,Ann E.,2025-08-03
"Overall, the Park Place Hotel was a nice hotel in a great location. We were greeted in a friendly and helpful manner upon check in, and were even given a room well before the 4:00 pm check in time. The hotel could use a little updating as far as carpet and cleanliness. The AC blew damp air into our room, but we had a nice stay and would return.",8,Alistair,2025-08-03
"Our stay was only two nights. The hotel was well maintained, location is only two blocks from the lake, near several other hotels and restaurants. ",8,DIRK,2025-08-02
"Overall it was an ok hotel, overpriced. The internet wasn’t good at all and I ended up not using it. The breakfast experience was mediocre - understaffed so it took a while, watery coffee",6,Sarah,2025-07-29
,10,angela,2025-07-28
"Overall not impressed. Staff was not friendly nor overly helpful. Room was loud, dated, tv didn’t work, air conditioning barely worked, took over 12 hours to cool down 5 degrees. Bathroom didn’t drain properly. ",4,Tiffany,2025-07-28
The beds were not the most comfortable. Room was dated. ,6,Jeff,2025-07-27
"The location was great for the Traverse Lake area without being on Front Street.

Easy walking to restaurants, clubs, shops etc.",6,Amber,2025-07-25
,8,Ashly,2025-07-25
,10,Ahmed,2025-07-23
A bit worn out. Good location though,6,Thomas,2025-07-22
"Front desk staff were great, location of the hotel cannot be beat for downtown activity. Our room was in the ""old wing"" and it showed its age. That said we had an upper floor, corner room with beautiful bay views..so it was worth it.  ",8,Josh,2025-07-21
"The view from the rooftop was lovely, but we could not stay as we had our minor daughter with us. The hotel is well situated to dining, shopping and the beach. We loved that it was a very walkable neighbourhood. Our reservation was lost at check in, which was a little annoying as we had been driving all day and were a little exhausted, but it finally got straightened out. Also, most of the ice machines were broken, so it was quite the hunt to find the only working one by trial and error, since the information we were given from the front desk was not correct.",8,Lee,2025-07-21
,2,Bruce,2025-07-21
,10,Jennifer,2025-07-19
Always a great place stay!,10,Maureen,2025-07-18
,8,Kristen,2025-07-18
,10,Jason,2025-07-16
"The air didn’t work well and we ended up switching rooms.  The windows were very dirty.  The rooftop bar was small, but the waiters were nice.  The pool was one of the best features and so was the location.  ",8,Verified traveler,2025-07-15
,10,Michael,2025-07-14
,6,Gary,2025-07-13
,10,Dimitrios J,2025-07-13
,10,Jeffery,2025-07-13
,8,Amy,2025-07-13
"Only stayed there one night to see Traverse City, but would not return! Very, very small, dark, damp rooms.",2,Tina,2025-07-13
,4,frank,2025-07-12
This property is centrally located to both the Leelenau and Mission wine trails. It is also walkable to downtown Traverse City. The beds were comfortable and the shower was good. Parking also free and convenient. The downside is parts of the hotel seem outdated and worn and could use some updating. ,8,Lauren,2025-07-12
,6,Julianne,2025-07-12
The hotel is old and run down,4,Dana,2025-07-12
,8,Lisa,2025-07-12
,6,Donna,2025-07-11
,10,Jacob,2025-07-10
,8,richard,2025-07-09
"The property was lovely and the area was perfect. It was easily walkable the bathroom, however, was very tiny to the point where both my husband and I had to lean over the sink to open and close the bathroom door and the waitress at the hotel breakfast place was rude.",8,Heather,2025-07-08
"close to everything, dining, shopping and lake",10,Verified traveler,2025-07-07
,10,Julie,2025-07-06
"The rooms need to be updated and cleaned. Hair clogged the tub, I had to remove it, bathroom fan didn't work, beds were not the size indicated in the reservation, public restroom was a mess, and staff was not friendly. Location is great, walking distance from everything. But for the price the location is not worth the condition of the rooms. ",2,Tamara,2025-07-02
For $400.00 a night I was disappointed in the conditions. The hallway outside our room was carpet squares. I wouldn’t have a problem with that if they were squared up and without gaps. The desk chair in the room was missing a third of the leather. The wood trim was worn badly and scuffed. The staff however was excellent and very friendly. We decided to stay here because of the location. National Cherry Festival going on and we could walk to everything. ,6,Harold,2025-07-02
"The location of this hotel is excellent. So convenient for walking in the downtown area. The hotel itself is fine. Rooms were clean, but housekeeping was lacking, even after I mentioned it to the front desk. 
The lobby and common areas are good, but overall, it feels in need of a bit of TLC, especially for the price. ",8,Kristine,2025-07-01
,8,ramon,2025-07-01
"Check in was terrible, front desk person didn't acknowledge me for almost 5 minutes and I was the only one standing there (she was busy on a computer).  Housekeeping came but only delivered fresh towels, they did not pick up the room or make the bed.  Internet access was spotty at best... slow and non responsive for all three days of our visit.  We were also given a room that was not what I had requested when booking.",4,Kelly,2025-06-30
,10,Madisson,2025-06-29
"Nice staff, old hotel, everything works. Looks like the decor and finishes haven’t been updated since the 1980’s but it’s all clean and in good condition. It’s like going back in time. Nice location close to Main Street. ",8,Linda,2025-06-27
"The pics and the choice of rooms is deceiving. We registered for a king bed room with a view but we were given an extremely small room with one small chair and no place to sit. For the price we should have received at least a room with some options to sit in the room. The HVAC was complicated and hard to figure out. First night it was freezing cold and the next day the air conditioner complete stopped. We ended up getting placed in a new room that was again small and not in the tower and with no view. 

Staff were really friendly but the hotel overall seemed in need of a remodel. The bathrooms were extremely small in our rooms and the overall place looked outdated feeling. 

The bar and restaurant were way overpriced for the food and drinks. $40 for a small portioned breakfast meal that would have been better seen at a Dennys. If this place is going to command a huge price for a room and food they need to up their game. 

Definitely advise people to look to other places or at least know what you are getting into before booking here. It’s not a luxury or near luxury experience. ",6,Fred,2025-06-26
"Room was great, hotel needs remodeling. AC went out first afternoon and they never fixed it. 2 days of 78 to 80° in our room. Hot and sweaty for the entire trip.",4,ROBBY,2025-06-25
"The location can’t be beat. Staff very friendly and helpful. Clean and comfortable beds. The hotel is nice just needs some serious TLC and updating. TVs, usb ports, carpets (esp the elevator) and you can never have too many hooks in the bathrooms! ",8,Lisa,2025-06-24
"The room and bathroom were very clean, location was great. The only downside was that the elevator was not working properly yet the stairs were unusable. ",8,Elizabeth,2025-06-24
,8,Claudia,2025-06-22
,6,Roger,2025-06-20
TV doesn’t work.  Air doesn’t work.  ,2,Emily,2025-06-20
