review_text,rating,author_name,timestamp
"It would have been nice to know at some point beforehand that this building is under construction. There was open wallpaper, unfinished walls, the ""store"" area was completely unstocked, and parking was limited due to storage and construction equipment taking up spots.
It also would have been nice to know before hand that there was a parking fee. 
As for the room, it was fine. The living area was a bit crowded with all the furniture they crammed in there. The outlets didn't work on my bedside table. The door wasn't hung right. Every time we left we had to turn the handle from the inside, then turn the handle from the outside to hold the latch inside the door, then lift the door. Otherwise it would just bang AND bounce back open. They did eventually fix it right before we left.  There was random power tool noises outside our door on Saturday, but no evidence of what they were working on. For a full kitchen, it wasn't stocked very well as far as cooking; one pot, one pan, nothing to bake in/with.  We've stayed other places with a full cook set and at least one baking pan and cooking sheet.
They did have a decent breakfast, and the front desk did their best to help when we asked.
Overall, it was not what I've come to expect from a Residence Inn, but I would be willing to give them another shot after the construction is done.",6,Joseph,2025-10-06
Hotel was very clean and newly renovated.  Would definitely stay again.,10,Linda,2025-10-05
,8,Isaac,2025-10-03
,10,Sarah,2025-09-27
"Airport shuttle runs every 30 minutes. 
Room was clean and bed was comfy. 
Breakfast was better than expected. Nice job. ",10,Philip,2025-09-26
,10,Sarah,2025-09-24
Great customer service.  Staff attended to a room change with great service. Will stay again ,10,Renee,2025-09-15
Safe,2,Matthew,2025-09-10
,10,Ryan,2025-09-08
Close to many restaurants within walking distance. Very friendly staff ,10,Sabryna,2025-09-07
Came to visit my son. Had a nice stay. ,10,Christina,2025-09-06
,10,Terri,2025-09-04
"We have arrived late. Didn’t know about the paid parking and got a vague description of it from the person at the desk. We were given a room that had an extremely noisy boiler. This was at around 1:30 in the morning so we needed to sleep. Eventually, I went downstairs and said I needed a new room because we needed to sleep and we did get the room. Ended up sleeping well after that. Then, in the morning found out that the fitness room was closed for renovation, which a lot of the hotels seem to be. I was able to use the hotel next-door, but all in all the hotel definitely did not seem welcoming, organize, or well-maintained. ",6,Irene,2025-08-25
,6,Talia,2025-08-19
"Even though they were under construction, they made it worth staying! Friendly staff, beautiful room, great pool, awesome breakfast! ",10,Lacie,2025-07-28
,8,Jay,2025-07-20
"The furniture in the room was disheveled and worn, there were old candies under the pull out couch, items left in the recycle bin and old food sitting in the disposal. The microwave didn’t work. Building was under construction and noisy. Charge $16 for parking and not enough parking spots available at the hotel, when brought up to staff was advised to park on the street or at the hotel next door. ",6,Verified traveler,2025-07-18
"Staff was so nice! Area nice & safe.  Hotel/rooms comfy, clean (and I’m really picky about this) and well taken care of. This is going to be my new place to stay when we travel to Denver from now on.",10,KATHERINE,2025-07-05
,10,Justina,2025-06-29
The hotel was undergoing renovations. This was fine. But our room was not ready at 3. We did get one of the newer rooms which was great for 5 of us with the kitchen and two rooms. House keeping came day two and did not do a good job. The did not give new towels to one of the rooms and the floor did not get swept. The second time they came was much better but I requested the floor to be cleaned and then had to ask for more toilet paper. The towels at the pool were not regularly replenished either. The breakfast was great and the room was very nice.  ,6,Lauren,2025-06-26
