review_text,rating,author_name,timestamp
Nice area but very overpriced ,8,Kristin,2025-09-29
"We had a pleasant stay at this hotel. Sadly we didn't have a nice view of the mountains even though we booked a corner room on the 4th floor, but of buildings. Given that it isn't located in a city centre, the fact that you could only park outside free for a couple of hours, and had to pay $25 each night in the underground garage seemed expensive.",8,Alexander,2025-09-06
Very nice hotel. Bar looked fun but I was tired/Ill so I spent most of time in bed.,10,James,2025-09-03
Great stay and location. Friendly staff and accommodating. Thank you!,10,Andrew,2025-08-22
Un hotel muy recomendable ,10,Karen,2025-08-20
Great location. Great view,10,Armando,2025-08-20
,8,John,2025-07-27
,10,Nicholas,2025-07-24
"Clean and quiet. King bedroom was large, refrigerator, tea/coffee, nice bathroom. Friendly staff. Overnight self parking in garage $25. Convenient location, walkable to stores next to hotel.",10,John Mark,2025-07-22
,10,barbra,2025-06-30
Parking underneath ,10,Robert De,2025-06-24
"Arrived and room was extremely hot.  Turned down ac and left, came back to a room well over 80 degrees.  Called front desk, maintenance was sent ~45 mins later, said it was fixed and would cool within 5-10 mins.  Stayed another 15 still 80+ degrees.  Asked for a refund, was told it would be approved, was declined.  Total crap.",2,Josh,2025-06-23
The hotel was very convenient to where we were vising. The room was excellent,10,Donald,2025-06-23
"Despite the hotel SPECIFICALLY noting (in at least 2 separate places) that cats are allowed, and us mentioning at the time of booking that we were traveling with a pet, after a 7 hour drive we were turned away when we arrived with our cat. We informed both the reception staff member and manager that in their Hotels.com profile they specifically list cats as being allowed, however we were informed that regardless of the misinformation no exceptions would be made. The staff did not offer any assistance in finding us a last-minute pet-friendly alternative hotel.  Since the issue was 100% the hotel's fault, we felt more should have been done to either accommodate us at the hotel or to assist us in finding an alternate hotel.  Even when traveling without our pet we would never stay here due to the extremely poor management and customer service.  ",2,Michael,2025-06-14
Okay property.,8,Satish,2025-06-07
"The property is in a good location however the hotel didn’t meet our expectations. We were traveling for a family of 4 and booked a 1-bedroom executive corner suite. This was not as described instead we were in a room with a half wall(no door). The morning shift personnel Jeff was also ill informed and was unfamiliar with the Marriott application and how it worked specifically with the electronic keys, was unfriendly, terse and insensitive to my kid’s disability as they relate to a service dog and continued to press on asking for details of my kids disabilities.",4,Rowena,2025-05-29
"The property was nice, well kept and modern. The fitness center was great, my only gripe was that the floors in our room were very dirty. I walked around barefoot after taking a shower and actually had to wash my feet again before putting my socks and shoes on. Clearly they hadnt been cleaned in a long time. I would have expected better in a Marriott like this one. ",8,Justin,2025-05-26
"Loved the Hotel, friendly staff, great location. ",10,Michael,2025-05-25
A bit noisy at times during evening hours  ,10,James,2025-05-19
,8,Jessica Louise,2025-05-18
They charged me $25 for parking- total rip off and that was not stated in the reservation. I also believed that the reservation included breakfast and there’s no record. No perks for the Expedia platinum member either. ,2,Melissa,2025-05-07
"We always enjoy our stay at this hotel. Staff is amazing, hotel is clean and bar/ restaurant was great. ",10,victoria,2025-05-07
,10,Eric,2025-05-05
,8,Scott Merritt,2025-04-27
Not great for the price,6,Larry,2025-04-26
"I liked the overall feel and look of the hotel. Staff were so pleasant and courteous. Even when the fire alarm malfunctioned. It certainly wasn't their fault and nothing they could have done to prevent it. 
It was also convenient for me to walk to the university everyday for my meetings. I would stay here again.
Thank you ",8,Heather,2025-04-03
,8,Jana,2025-04-03
Very nice hotel and close to stadium.,10,LaTia,2025-03-10
,10,Melissa,2025-03-10
"Hotel was great but of the two elevators they have, one was not operating so there were long wait times to get to and from my floor. ",8,Elit,2025-03-09
"The only issue we had was when we wanted to use the pool the lights in the room would not work. We thought it was a bit unsafe, but we may do anyway. It was Christmas time and we were full of good cheer.",8,Steven,2025-03-07
Great location and easy place to stay,10,Edward,2025-02-27
,6,Shabnam,2025-02-24
,10,Austin,2025-02-16
"This was a wonderful place to stay during Christmas week. Four generations of our family met at the hotel to ""snack and swim."" Unfortunately, some/all(?) of the lights in the pool room didn't work. It wasn't a major problem as everyone had fun regardless. The room was wonderful, the property was well-kept, and the staff was personable and professional. While I can't remember his name, our bartender on duty during our stay was fantastic! ",8,William J,2025-01-29
It was average and a plan basic hotel.  ,6,Alan,2025-01-28
Clean,10,Katerina,2025-01-27
,6,Chad,2025-01-15
"Very nice area, safe, walkable to some shops and sprouts. Short drive to downtown. 
Staff super friendly. We thought the $25 park fee per night was a bit much, but we were told that we could find parking in the street (a block away) which we did, since we felt we were in a super safe area. No regrets. Will definitely stay again. Boulder is beautiful and so was this hotel. ",10,wanessa,2025-01-03
Great location in the center of Boulder.  ,10,Renee,2025-01-03
The heater does not work in my room. Have contacted front desk about the issue but it seems that they did not fixed at all. We have been there for 4 days and heater never works. Room is super cold,2,Xuan Dung,2024-12-30
,10,Brian,2024-12-21
"Nicely located, good parking.",10,Sarah,2024-12-15
,10,Verified traveler,2024-12-09
