review_text,rating,author_name,timestamp
,10,Andrew,2025-10-04
Quiet stay,10,Sara,2025-10-01
Great breakfast selection. Quiet rooms ,10,Stacie,2025-09-30
Great stay,10,Stacie,2025-09-29
Staff was pleasant. I like HI pillows.,10,Carolyn,2025-09-28
,8,Teresa,2025-09-28
,10,Gina,2025-09-27
Clean room,8,Josh,2025-09-25
"Had a handicap room and it was hard to use bathroom with no vanity. Tissue box on a stand 10 feet away. Also duvet had a hole in it and had seen better days. It was clean, though, and from be for one night",6,Karen,2025-09-24
"The people at the front desk were wonderful.  The young man who greeted us worked us through the registration in a timely manner even though neither my wife for I are good with phones.

The chef and his assistants were great.  They accepted compliments graciously.  When we needed to check out 30 minutes before they opened on Monday morning they let us go in the serving area an grab what we needed before other guests were allowed in.

Why does Hilton charge a parking fee when Holiday Inn next door just includes that in their nightly charge?  I guess I could have parked next door at the Home Depot for freee.",10,Gary,2025-09-24
The TV would not turn on. The bathroom door was hard to open and close and the shower curtain rod was pulled down to the point that it would not let the curtain stay closed and caused leaking onto the bathroom floor.  I was also not informed of having to pay for parking.,6,Jessica,2025-09-23
"Property needs complete refurbishing.  Rooms look and feel old and outdated.  Bathroom cabinets are chipped quite terribly.  Bathroom did not seem clean.
Come on Hilton, invest a little in your properties.",10,David,2025-09-22
Great breakfast.  Great desk help!!!!!  Would definitely stay again if in the area.,10,Randall,2025-09-22
,6,Stephanie,2025-09-20
Clean hotel with good breakfast. Pool and hot tub were well maintained too. Front desk staff were helpful each time we had questions. ,10,Teresa,2025-09-19
Good location ,10,Thomas,2025-09-18
,8,Lisa,2025-09-16
,8,Kerry,2025-09-16
,8,Mary,2025-09-15
It was a good location and nice staff but the room did not smell good. It had a damp moldy smell ,8,Rachel,2025-09-09
Property was in declining repair. The bed was worn out and the linens were not to Hampton standards. The room was very perfumed with cleaning product. ,6,Donald,2025-09-07
,10,Shane,2025-09-07
"Very nice and friendly staff. A short drive to everywhere we wanted to go, including Red Rocks Amphitheater. A solid 2 1/2 star hotel. Very clean! Very comfortable bed. I would stay again",10,Tamara,2025-09-04
Billy at the front desk was fantastic! He was funny and personable! The breakfast staff was so nice too! The room was clean and beautiful. My daughters loved the way it was decorated. The pool was nice and warm and the hot tub jets were super strong. ,10,Amanda,2025-09-04
Awful noise coming from linen room other than that very nice facility. Awesome breakfast!,6,Doug,2025-09-02
Check-in process was quick and efficient. Staff was friendly and helpful at all times ,10,Stephen,2025-09-02
,10,Breanna,2025-09-01
,6,Concepcion,2025-09-01
Very clean room. But the sink faucet needed repair and there was no place to put your bathroom amenities. There was no cleaning service between our two night stay and no liners in the trash cans. On top of that we had to pay for parking when the parking was full. We walked from the next hotel the first night.,4,Julie,2025-09-01
"Hotel was clean and well maintained. The staff was professional and friendly. The complimentary breakfast was excellent, included hot food items as well as the usual waffles, fruit, etc. Beverages available in the lobby. The only thing we noticed was a musty smell in the room ",10,Julia,2025-08-31
Linen was dirty,8,Nancy,2025-08-28
,10,Wendy,2025-08-27
Big issue with shower drain not working well and strange/irritating constant noise.,6,Roger,2025-08-24
,8,Christine,2025-08-24
Two star hotel as advertised ,6,Gregory,2025-08-24
,4,Norbert,2025-08-22
"I've never been in such a noisy hotel.  First, you put me in room 216, over the entrance, so I could hear the lobby doors rumbling open and close every time, along with a noisy AC unit.  Then, when I asked to move to a quieter room, you put me in 201 next to something that also rumbled frequently.   The breakfast was the same every day.  Not a great experience.",4,Norbert,2025-08-22
"Had a small group of 2 families same last names and upon checking in, the front desk checked them in switched with prepay and pay upon checkin. Difference in cost and charges, pet involved.",8,Dennis,2025-08-21
The top cover of the bed didn’t look clean.    The toilet wouldn’t stop running.   The bed wasn’t very comfortable ,6,Amy,2025-08-18
,10,Gary,2025-08-18
Convenient location. Quiet. Comfortable bed although pillows too soft and and squishy for us. Place well maintained. Breakfast quite nice. ,8,RON,2025-08-17
Hotel would have been cheaper if I booked through Hilton ,8,Mark,2025-08-13
"The staff was friendly and the hotel was nice. The location was ideal, being only minutes from Denver and near many great sights in Golden.",10,Granville,2025-08-10
,2,Karen,2025-08-10
,6,Nancy,2025-08-08
,10,Tim,2025-08-07
8 minutes from red rocks. ,8,Karl,2025-08-07
Swimming pool & Hot tub were filthy. I don’t  see how it could possibly have passed inspection. Room as nice. Staff was exceptional ,6,Cynthia,2025-08-05
,2,Karen,2025-08-04
Great location near Red Rocks Amphitheater.  Room was clean and bed was very comfortable.  AC worked great.  Breakfast was excellent!,10,Brenda,2025-07-26
Great place to stay. Staff very friendly.,10,Sheryl,2025-07-25
"Not happy with the bathroom door style. Im in construction but its stupid when they're installed wrong, but the fact it leaves a huge gap is crazy. Shade was broken also so couldn't open or close it. Little stuff you expect to work when you stay for three days. Breakfast was cold and coffee burnt my mouth.",8,Patrick M,2025-07-24
The room had an Oder. Asked to change rooms but the other rooms had the same Oder.,6,James A,2025-07-24
It was great !!  Breakfast was awesome.,10,Jim,2025-07-23
,2,Jordan,2025-07-23
,6,Todd,2025-07-16
We had a GREAt stay here! Everyone was so lovely and we even got a personalized thank you card! 10/10,10,Lauren,2025-07-14
,10,Andrea,2025-07-14
Good clean ,10,Christopher,2025-07-13
Pretty great hotel in Golden. Quiet area yet close to many things. I hate the pilows but overall we've stayed there a couple times and havent had a bad experience. ,8,Sarah,2025-07-11
,10,Martha,2025-07-11
"La humedad qué avía en el cuarto no dejaba descansar además es muy ruidoso, pensé que contaria con una cama extraible pero NO solo es un sofá, fue una desepcion total. ",6,Iris,2025-07-07
,10,Murray,2025-07-05
,10,Douglas,2025-07-04
"Very comfortable. For some reason, the room became a little humid, but it was still cool and not hot. We would stay there again!",10,Lynda,2025-07-03
Billy the manager took exceptional care of an A/C issue we were having in our room. Thanks again Billy.,8,Doug,2025-06-30
"If you are going to Red Rocks, this is convenient. But, other than that, this place is in desperate need of a renovation. Very run down, dirty carpets, doors to rooms are warped and hard to shut. Hot tub and pool areas are run down.",4,Valerie,2025-06-27
"Convenient to our venue (Red Rocks), clean and with a very comfortable bed.",10,Lisa,2025-06-24
Nice location,8,MICHAEL,2025-06-22
It was clean,10,Jon,2025-06-22
Staff was kind and helpful but the sink had zero counter space and we were told that cleaning happens every three days unless requested. Th fridge in our room was so loud when cooling that we had to unplug it.,4,Presley,2025-06-21
,10,timothy,2025-06-19
Overall our stay was comfortable. The two issues were we had to pay for parking which was a surprise to me at check in and there was mold on the ceiling above the shower. The staff was friendly and overall our stay was fine. We chose this hotel because we were attending a concert at Red Rocks and it was very easy to get to and from the venue. ,6,Verified traveler,2025-06-18
,10,Sandy,2025-06-15
"Very clean hotel could use a little updating, but overall very very nice. Would stay here again.",10,Karen,2025-06-15
,8,Rex,2025-06-14
It’s fine. Nothing special. I would not step a big toe in the pool or hot tub. They looked very murky. Sheets wouldn’t stay on the bed - they must have recently got new mattresses but not upgraded the sheets that fit properly. Beds were nice minus the sheets.  Bathtub was stained and a little dingy. Breakfast was fine - typical American microwaved fare with sub par coffee. Expensive for what you get. ,6,Cathy,2025-06-09
Very nice hotel! Would stay at again! ,10,Brianne,2025-06-08
"Very efficient check in, room quiet and spotless ",10,Michael,2025-05-30
"I’m usually a huge fan but the first room that we were given had a lot of black material in the bathroom sink.  They did move us to second room, which had a handle on a cabinet door that had a missing screw.  That wasn’t horrible, but a little surprising.",8,Carolyn,2025-05-28
,2,Andrew,2025-05-28
