review_text,rating,author_name,timestamp
,6,Eric,2025-10-06
It was such an amazing stay. It was in a great location. Found our new favorite hotel to stay at in the city. ,10,Lisa,2025-09-11
People outside our room fought for over an hour and you could hear it all and when all other guests came back to their rooms you could hear all their conversations as if they were standing beside us in our room ,6,Lori,2025-09-05
Stay was great and very accessible to everything.,10,Joshua,2025-08-31
Very good spot if you want to be close to SoHo for your shopping session and there’s a lot of good restaurants nearby. I really enjoyed my stay and the staff was friendly and welcoming ,6,olivier,2025-08-26
,10,Eddie,2025-08-04
Great location and great staff,10,Ariel,2025-07-14
"Beautiful hotel, small room but plenty of space and very comfy bed and pillows. Rooftop was so nice!",10,Julia,2025-07-11
"Posizione perfetta per visitare Manhattan, personale disponibile e gentile, camera piccola ma funzionale e ben curata.",8,Edoardo,2025-07-09
"Horrible location, room was too tight ",2,ALMA,2025-07-08
"The property was nice and quiet! We were there for the night and it was walkable distance of the places we wanted to go. Staff were very nice (especially the woman who allowed me to go back into the room to retrieve an item I left in the room). No bar soap for hand washing but they left double of shampoos, conditioners, body wash and lotion. I would recommend if you need to stay in the area. ",8,Shellie,2025-06-30
"The leakage in our room caused all of our property to be drenched in water!!
",2,ania,2025-06-14
,6,Olena,2025-06-13
"excellent, staff was incredibly nice, room was super clean and comfortable",10,Aislin,2025-06-05
Very basic. Clean bed and bathroom. Weird $15 fee when I arrived for coffee available that I would never use. I was on Floor 2 and there was a great deal of street noise. ,6,Steven,2025-06-05
staff was great internet not good at all ,6,Johan,2025-06-04
"Unique & convenient, thank you!",10,Elisabeth,2025-05-29
,6,Gentry,2025-05-28
"Their phones don’t work, so don’t expect to reach anyone at the front desk. I was there Wednesday through Friday and their phones were ‘down’ the whole time.
At times there is also no one at the front desk, so just wait and eventually someone will show up.
The magnetic cards stop working as soon as they are even near a phone, very inconvenient, especially when nobody is at the reception to recode the cards.",6,johann von,2025-05-17
"God placering og super venligt personale.
Værelserne er alt for små til en familie på 4. To senge, Max. 160 cm brede som knapt nok kunne være i værelset. Vi rejste kun med 2 tasker og den ene måtte mases ned mellem sengene så vi kravlede henover dem. 
Badeværelset er fint og rent. Der skiftes håndklæder hver dag, lækkert men unødvendigt, hvilket er årsagen til den lave miljø rating. Der er støj fra gadens barer og der kører mange biler med høj musik om aftenen, men hotellet tilbyder ørepropper, så for os var det ikke et problem. 
Gardiner og vinduer er dog meget beskidte, men ikke slemt for NYC i den prisklasse.  

",4,Lisbeth,2025-05-11
,8,Filippa,2025-05-09
,8,Andres G Jimenez,2025-05-08
,10,Sakura,2025-05-08
,6,antonea,2025-05-07
"Easy check in, comfortable bed & room. From the fourth floor, you could hear street noise, but it wasn’t bothersome to us. Staff were super friendly. Safe area.",8,Verified traveler,2025-05-07
"Camere molto piccole, bagno carino nuovo e location comoda per camminare o prender i mezzi. Da migliorare la terrazza. Caffè a disposizione molto apprezzato. 
Nel complesso ci sta. ",6,elisa,2025-05-06
,10,Ryder,2025-05-05
My stay was excellent.  I like the roof patio.  Thank you!,10,Chris,2025-05-04
,10,Alyssa,2025-05-01
Great!,10,Ax*********,2025-04-17
Spacious for NYC,10,Kevin,2025-04-15
