review_text,rating,author_name,timestamp
,10,Joseph,2025-10-07
Great!!,10,Jennifer,2025-10-07
Todo bien,10,Adrian,2025-10-06
Nice room for the price.  Will stay here again in the future ,10,Lisa,2025-10-05
The location was great. It was walkable to the mall and food places. The staff was very friendly. We visited the gym to work out. ,10,Gordon Allen,2025-10-05
"Very nice. Clean, good breakfast. Took kids. ",10,Andrew,2025-10-05
The room was super clean and functional and the staff was very kind! I will definitely stay here again! ,10,Lindsay,2025-10-04
Great. Efficient. Clean.,10,Ranil,2025-10-03
Beds were amazing ,10,Monique,2025-10-03
,10,LORENA,2025-10-02
Park Meadows Mall is within walking distance! It’s a great mall!! Staff is excellent and go above and beyond. I will definitely be staying there when in Denver!,10,Renae,2025-10-02
Great hotel! Just wish the bathroom sink was inside bathroom area. Had to open door to access sink.,10,Carol,2025-10-01
Bathroom not cleaned properly. Breakfast was disappointing.,8,Crystal,2025-09-30
"Excelente servicio, muy limpio y cómodo, el desayuno incluido  muy bien ",10,MIGUEL,2025-09-30
"Quiet and clean hotel, and room. My two dings against it are the showers, at least on the 6th floor, are short. Someone over 6' has to squat down to rinse his hair. The other is the beds absorb heat and/or air circulation is lousy. Both nights tossed and turned throughout and kept turning the temp down to get a cooling boost.",8,Chadwick,2025-09-30
nice,10,Madelynn,2025-09-30
Bad experience,2,Barry,2025-09-30
,10,Kimberly,2025-09-29
Nice quiet and clean hotel. The staff was lovely and told you all you needed to know about your stay. ,10,Leah,2025-09-29
The room was clean. The bathroom was super small. You couldn’t open the door fully. When you open the door it would only partially open up against the shower doors. So you had to wedge yourself between the shower doors and the toilet to open and close the door. The mattress at one time was a pillow top. But was flat. The staff were super friendly and check in was great. But they charge you $12 a day for parking. ,6,James,2025-09-29
Great location and beautiful rooms lots of walkable resturants and shops nearby will definately stay here again if visiting the area.,10,Belinda,2025-09-28
Had a great stay and the staff were helpful and friendly.  ,10,Mark,2025-09-26
"We enjoyed our stay, the place was clean and the rooms were spacious. It is also a great location but they charged $12 for parking which did surprise us, I guess I didn’t read the fine print. Breakfast was alright they had a variety of foods but 2 out 4 things I put on my plate were not good at all even my husband didn’t eat them.  ",8,Karen,2025-09-26
This property was very clean and comfortable large rooms.the only complaints I have are the shower and toilets were in the smallest bathroom possible.you couldn’t even get to the shower or toilet without some difficulty. The other was our room was outside the elevator which dinged 24/7. The breakfast and coffee were really fresh and good selection. I will definitely stay here again.,8,Dawn,2025-09-26
Nice venue.  Convenient to 470 to bypass Denver and up into the mountains.  ,10,James,2025-09-25
"Hotel was clean, room was clean, service was good and breakfast that was included was good. ",10,Christopher,2025-09-24
"Clean, quiet, and comfortable.  It was a nice place to land after an AVS game ",10,ian,2025-09-23
,8,deanna,2025-09-22
The room was nice with plenty of storage. The complaints would be first the bathroom set up. It was almost impossible to get out of the shower with the door open and I am a women of 140 lbs. The air conditioner was very loud which was annoying.,6,Philip,2025-09-21
Clean rooms. Great staff. Excellent location. ,10,Jennifer,2025-09-21
,4,Miki,2025-09-20
"Great staff, wonderful stay",10,Erl,2025-09-19
"We didn't like about we have to pay for parking  vehicles overnight ,that should be included with the hotel accommodation .the bath room wasn't quite big enough ",10,Rajan,2025-09-19
,10,Heidi,2025-09-17
Great place to stay friendly staff ,10,Chris,2025-09-16
Love the location.  Hate having to pay for parking.,10,Lisa,2025-09-16
Convenient location,10,Lisa,2025-09-15
,10,Thomas,2025-09-15
Amazing stay! Would definitely stay here again if needing to stay in Denver,10,Patricia,2025-09-15
,10,Brittany,2025-09-14
,10,Clinton,2025-09-13
,8,Tim,2025-09-13
The staff was amazing and extremely helpful. The hotel was very clean.,10,Robbi,2025-09-12
,10,Marisa,2025-09-11
"Noisy neighbors, but we were moved.",8,John,2025-09-10
"Clean, breakfast was good, great location 
However evening staff is rude and unhelpful,  housekeeping service left the shower floor mat ontop of our toothbrush ",2,Mark,2025-09-09
,10,Peter,2025-09-09
,10,Nikki,2025-09-07
"The pool was a perfect place to relax on the warm summer day. Well, taken care of.",10,Craig,2025-09-07
"Bathroom door was ridiculous. Bathroom was too small. Couldn't close the door withouth climbing in the shower. Stupid

I Couldn't use the shower. Ceiling was too low. Space was nice but the bathroom was horrible. Reminded me of living in NYC.

also the parking BS was stupid",10,Jeff,2025-09-06
,8,Malcolm,2025-09-06
Frühstück war okay.,8,Kirsten Antonie,2025-09-06
,6,Kenneth,2025-09-05
,8,Lucia,2025-09-05
,10,John,2025-09-05
,10,Mayra,2025-09-03
Amazing property and great people managing it,10,Gaurav,2025-09-02
,10,elaine,2025-09-01
,10,Antonio,2025-08-31
,10,Melodie,2025-08-31
Okay,8,Patrick,2025-08-29
Pet friendly = dog friendly ONLY,2,Daniela,2025-08-29
Perfect,10,Brian,2025-08-27
This is a great property ,10,Brenda,2025-08-26
,10,Jalynn,2025-08-26
,10,Hiren,2025-08-25
,8,Arsen,2025-08-25
,10,Alex,2025-08-22
"I recently visited the Denver area to shop at Park Meadows Mall.  This hotel is about 3 minutes away.  It was quiet, the bed was comfy, the breakfast had many choices, the staff was very friendly, and it was close to many restaurants.  There is even a bar in the evenings!  I'd definitely stay here again.",10,Jenness,2025-08-21
"Tub drain was slow. The clearance between the toilet and door is microscopic. Only one hook for bath towels. There was no luggage rack.
The room was generally quiet and clean. The breakfast was very good with a nice variety of items. The coffee was good.",8,JT,2025-08-20
"Modern decor, minor cleanliness issues, excellent staff. Breakfast, convenient. Unfortunate parking fee. ",8,Jamie,2025-08-19
,10,Erin,2025-08-19
