review_text,rating,author_name,timestamp
"Bra läge, rent och fräscht",10,Melker,2025-10-06
O hotel e quarto não correspondem nem de longe as fotos. Não volto neste hotel ,4,MOYSES,2025-10-02
"Good for the value, indeed",8,GABRIEL C,2025-09-28
,8,James,2025-09-27
The place overall location wise is great. The room is tiny with barely any space to move around. The bed was uncomfortable and the shower went from cold to nuclear hot. Also the sound on the floor was terrible. Every door close sounded like a slam reversing through the hallways. On my first night all I heard was a maintenance person clanging around fixing something in the hallway till after midnight. I’ve stayed in the area many times before in neighboring hotels and I have to say I wouldn’t come back. ,4,Tom,2025-09-26
,4,Joey,2025-09-26
"This property my fiance and I stayed in. It was a good experience because they had everything around the property, from Nightclub, to eating at night. Morning time, it was the same, a variety of everything. ",8,Steven,2025-09-22
I loved everything about this hotel besides not having a mini fridge or an ice machine.  Next time I am bringing my cooler backpack and going down the road to get a block of ice.  Besides that the rooms were very comfortable and modern with beautiful rooftop lounging to have a nice cup of coffee with a view in the morning.  Definitely recommend.,10,Robert,2025-09-21
The room and TV was very small but clean. The phone looked like it needs to be disinfected but overall it was decent. Staff was friendly. ,8,Alitha,2025-09-20
"great location, good views, clean, nice!! ",10,ivy,2025-09-19
"a crackerbox room, for the price!! ",2,Juliana,2025-09-16
"If you have ever stayed in New York, you know that most hotels, boutique or not, have small rooms. When we first arrived, the room we had originally was tiny, and we asked if we could be moved to a different one.

The staff worked with us and didn't charge us extra for a better room with a little more space. The staff in general was very accommodating and easy to work with.

That being said, overall, I would give my stay a 7.5 out of 10 based on the following: Location, Staff, Comfort, and Cleanliness.

My negatives would have to be that there was no fridge to store food, the ironing board was a small board that had to be used on a surface, and the TV didn't always work; sometimes it did, sometimes it didn't.

I was there for fashion week with my wife, so it was central to the places we needed to work at during the trip. I wouldn't necessarily stay at this hotel purely for vacation purposes, but to be in the same area for a reasonable price, I wouldn't mind coming back to this hotel. 

",8,Jerome,2025-09-15
,10,Nicole,2025-09-15
This hotel is perfect for exploring NYC for a true New Yorker experience. Staff were amazing and the hotel room we booked was amazing ! Had a perfect city sky line very for great sunsets and amazing night life views. Parking isn’t ideal ( but that’s an nyc problem ) we will be booking again for our next NYC trip in a few months again ! ,10,Wilson,2025-09-12
Fabulous Hotel. Great views of the city. Modest but wonderful.,10,Denise,2025-09-12
For the spot this hotel is in and how nice the rooms are (plus an awesome view) this hotel is crazy affordable. Yes obviously it’s small you are  in NYC lol. 10/10 will be coming back to this hotel every time I stay in nyc ,10,Adam,2025-09-06
This place was not at all what I expeted. The room was in bad condition. The bathroom lights were out and some was flickering. Just a generally low codition hotel.,4,Verified traveler,2025-09-05
"Undeniably great location and comfortable, clean bedding, but the condition of the hotel overall is just okay. Nice staff as well. WiFi was spotty and the TV didn't work, could never get hot water in the shower, but the air conditioning was great. ",6,Brit,2025-09-02
"Simple and straightforward, perfect for a solo traveler! Orchard Street Hotel was exactly what I needed for my solo trip to NYC. The amenities were simple, the bed was comfy, and the AC was strong! The customer service was great too! Also, great views from the rooftop. ",10,Alison,2025-09-01
"Staff at Orchard St are so friendly and accommodating! No fridges in any of the rooms, so they helped keep my birthday cake chill until the party :) Definitely recommend for a quick stay and a 10/10 bathroom.",10,Vanessa,2025-08-30
,2,keaton,2025-08-28
,10,Tresa,2025-08-28
,2,michael,2025-08-28
,8,Mark,2025-08-26
Great location. Small room but you are in NY. Its clean safe and friendly staff ,10,Robert a,2025-08-22
Perfect ,10,Tomaz,2025-08-19
"I took cold showers in the hotel. Very noisy, room is extremely dirty",2,Yongyi,2025-08-18
,10,Pemalyn,2025-08-11
,10,Sheriff,2025-08-04
I liked the convenience. ,10,Rachael,2025-07-31
Walable and good food option.,8,Michelle,2025-07-30
,10,Nanthida,2025-07-29
,8,Verified traveler,2025-07-28
,4,Bryan,2025-07-28
,10,Chris,2025-07-26
,2,David M,2025-07-26
"It was located in the lower side. It was a good price excellent views I have no complaints. It’s probably pretty basic but I don’t need a fancy hotel because my whole goal is to hang around in the city and it’s definitely way better than a lot of hotels, I’ve been to in New York.",10,James,2025-07-21
"The front desk staff was incredible. The room is very bare and quite dingy. The curtains were stained, stains and marks on the walls too. Seemed clean and the bed was comfy with a lot of pillows. It’s extremely noisy on the third floor from street noise. I didn’t mind, but I used to live in NYC so I was used to it.",6,Verified traveler,2025-07-19
It was an all round fantastic experience and the staff was also very welcoming. Highly recommend!,10,Naren,2025-07-19
,10,Karisa,2025-07-13
Great location and great staff,10,Karisa,2025-07-13
,10,Mathew,2025-07-09
"The AC in the room didn't work. The phone and lamp by bed weren't plugged in. There was a staff member who was very new, not his fault, but seemed to be only one there and he tried to fix their AC system by resetting it but it didn't work--and it was super hot. We had to open all windows for a breeze, but the area is incredibly noisy on a weekend. I asked the one staff where a nearby bodega or cornerstore was and he said he didn't know the area. Oh and they have no ive machine in the entire hotel. Would never stay there again, unless it were maybe $50 and just for one night.",4,Erik,2025-07-07
,2,Joslin,2025-07-07
,6,Kyra,2025-07-05
"Very nice hotel, Fernando was very helpful.",10,Veronica,2025-07-05
,8,Stefan,2025-07-03
This place is filthy ,2,Esaie,2025-07-01
Lively area ,10,Jordan,2025-06-28
,10,Dmitrii,2025-06-26
,8,Mark,2025-06-24
"I loved the area this hotel was in / easy access to stores, places to eat and public transportation. I had a quick one-night stay but was happy the room was clean and comfortable with a great view of the city! My check in was easy and Rubin was very friendly and welcoming! 
Room was small but perfect for a quick solo trip. Bathroom had new toiletries and fresh towels  - just missing hand soap. I would definitely go back to this hotel! ",10,Jodie,2025-06-22
A very nice place to stay. ,10,Hilton,2025-06-16
"Great property, fun area!",10,susan,2025-06-12
,10,RaChelle,2025-06-11
