review_text,rating,author_name,timestamp
"The only improvement this hotel could have would be to have a hot tub! I usually try to pick hotels with hot tubs.

The room was laid out very nice. Super comfortable! And the breakfast lady was so friendly!",10,VALERIE,2025-09-25
,6,Cade,2025-09-12
Went to awesome local grocery(Jungle Jim’s) a must. Great location and very courteous staff,10,Aaron,2025-09-01
Clean hotel right off of the Interstate.  Good for a quick stay after King’s Island.,10,Cindy,2025-08-31
"Friendly staff , great rooms! ",10,Angela,2025-08-28
,10,David,2025-08-25
,8,Ron,2025-08-24
,10,Octavia,2025-08-23
,10,Verified traveler,2025-08-20
,8,Diane,2025-08-19
,8,Tanya,2025-08-19
"Was convenient for where we had wanted to be late the day before, or early the next day.
The building was showing signs of wear.  Whoever thought squeezing a scond bed into the room (519) was a good idea should be shown what is left after you do so: too much furniture, no room to get around or even relax on the furniture that is there.",8,Matt,2025-08-17
,8,Greg,2025-08-15
"The room was nice. The pics on site shows a different set-up of the room. Thought the wall would be there between the sofa bed and bed, so my uncle would have “some” privacy from my mom. It worked out and everything was fine. No biggie! ",8,Sheratta,2025-08-10
,8,Wenyuan,2025-08-09
,8,Kevin,2025-08-08
Staff was friendly and helpful. Room was clean. Only complaint is that the lighting in the sitting area was too dim.,8,Arthur,2025-08-06
"Pullout bed was dirty, food crumbs on comforter. ",6,Anthony,2025-08-03
"Hotel is pretty pricey for the rooms being just ok, the ceiling look like it had water damage. It just wasn’t the tightest room it is just ok nothing special ",6,vernita,2025-08-02
Every year we stay there for our family reunion in Cincinnati. The kids love the pool and they always make us feel at home. ,10,Kathy,2025-07-28
Nice stay,8,Latoya,2025-07-27
,10,Susan,2025-07-26
,8,Khairi,2025-07-15
,10,Jamile,2025-07-14
,6,Kurt,2025-07-03
,8,MONICA,2025-06-29
Would not stay here again.  ,4,Candace,2025-06-28
,8,Linda,2025-06-27
,10,Jacqueline,2025-06-24
,10,Jacqueline,2025-06-23
,10,Deon,2025-06-18
,10,Cheryl,2025-06-07
Good Place. Exactly as expected.,8,David,2025-06-07
It was amazing. Was in town for my sons wedding,10,Stephanie,2025-06-06
Everything great,10,Mariely,2025-06-06
The hotel staff was kind and accommodating. The breakfast could've been better,8,Tereshia,2025-06-02
Staff was friendly and room was clean and comfortable. What more could you ask for?,10,Harper,2025-06-02
If I come for another vist I will stay there.,10,Nanette,2025-06-02
,10,DEBRA,2025-06-01
,4,Luciano,2025-05-26
,2,Tara,2025-05-26
,10,Joseph,2025-05-26
,10,Mel,2025-05-24
"The property was fine. 
They charged me again for the hotel room for which I had already paid 
I’m currently disputing the charges. 
Paid 1/7/25
Charge again 5/17/25
$280.04 plus a $50 pending charge ",2,Terrell,2025-05-22
,6,Joanne,2025-05-21
"Clean, quiet and convenient! ",10,Pamela,2025-05-20
"In town for a JO volleyball tournament. Very helpful staff that accommodated every need.  Buffet breakfast each morning was high quality and the serving area/dining room was clean.  Pull out bed for sleeping a 5th person in our family was a great additional benefit.  Rooms were clean, climate controlled, and could be kept very dark for sleeping.  Mattresses were comfortable and showers worked well.  Would definitely stay there again.",10,Sean,2025-05-12
Convenient ,10,Marcie,2025-05-11
,10,Charlie,2025-05-08
,10,William,2025-05-08
"It was ok, the front desk service when we first arrived was not great. They just sat there didn't say much. Breakfast was not good.",6,Tracy,2025-05-04
It was nice thank you ,10,Donté,2025-05-02
,10,Jasma,2025-04-30
,10,Papa Mamadou,2025-04-19
Cracker Barrel was delicious ,10,Stuart,2025-04-12
N/A,10,Lakeya,2025-04-10
"Was only there overnight. But the room was nice and clean.

The staff was not the friendliest. Did say thank you for staying with us. Have a good day or anything. Took the door cards without a word.",10,Billie,2025-04-08
,8,Rebecca,2025-04-08
,10,Verified traveler,2025-04-07
A person was asleep in my assigned room. I was given a room number and keycard. Actually open the door to find someone asleep. Needless to say I had to go back to the front desk and wait to be assigned another room. As the front desk assured me no one was supposed to be in the room. ,4,Kayla,2025-04-06
"The hotel property and rooms were in great condition, very high quality, welcoming and visually appealing. I felt safe in and around the property. The hotel staff were very friendly and pleasant to interact with; they genuinely appeared to like their job and it showed in how they interacted with the guests. The rooms were spacious and comfortable to be in. There was a large, comfortable couch to sit on, a desk area to sit at or relax at, a large spacious bathroom with a small walk in closet, the beds were decently comfortable to sleep on and there was in-room coffee (there were even real glasses to drink out of which elevated the hotel experience to a more luxurious experience). The workout room had plenty of machines, quite new so you knew they would work and not be wobbly to be on. There were 2 treadmills, an elliptical and sit-down bike along with free weights. The breakfast was quite high quality and there was a large healthy assortment including such things as eggs, hot oatmeal, yogurt, milk, fruits and waffles. It was a bit disappointing when a large number of people were in the breakfast bar area because seating was hard to find at times especially when people wouldn’t leave after eating or a few people were spaced out taking up a large seating area but it would still be comfortable to eat in your room because of the desk area or coffee table at the couch….the rooms were that big and comfortable definitely making an extended stay comfortable and worth it. ",10,Melissa,2025-04-04
Safe area. Convenient and easy to get to from the highway.  Beautiful lobby and pleasant staff.,10,Melissa,2025-04-03
,10,kabrina,2025-03-30
"The room was clean and had a nice layout. 

The breakfast food was horrible. The sausage wasn’t cooked the eggs were gritty. ",8,Dennis,2025-03-25
,10,Amanda,2025-03-24
We enjoyed our stay at this property ,10,Kathy,2025-03-24
,10,Marion,2025-03-22
,10,Edwina,2025-03-19
,10,Carole,2025-03-18
Friendly staff and the breakfast was delicious! It was clean. ,10,Tina,2025-03-16
,8,Marquisha,2025-03-15
It’s comfy ,10,Simon,2025-03-07
"When arrived, the staff was very generous. However, once we got to our room, we looked around,  and decided to leave. The room felt unclean. The ceiling  had waterstains that was recently patched, and bowing. Near the AC unit were a couple of dead cockroaches. We just didnt feel comfortable sleeping there, so we checked out immediately. ",2,Autumn,2025-03-03
,10,Angela,2025-02-28
"Great place to stay - wish we could’ve stayed longer! Only odd thing was that in the room with two queen size beds and a sleeper sofa there was also a desk the length of the bed that was pushed right up against the side of the bed. It seemed a bit odd. Also, there was no light above the little coffee bar, and the closet was in the bathroom, which was also strange. If we were ever to stay there again, we would get a room with a single king size bed, perhaps that would be a bit more comfortable.",10,Susan,2025-02-25
Room was a little tight between the bed and the bathroom but didn’t bother us. Clean.,10,Sarah,2025-02-24
,8,douglas,2025-02-18
,10,Tom,2025-02-18
"Very friendly and quiet place to stay, great breakfast...",10,Tyler,2025-02-17
Had a great stay ,10,Donald,2025-02-16
Good place to Stay ,10,Pueblito,2025-02-16
,10,Frances,2025-02-16
,10,Eric D,2025-02-12
,8,Diane,2025-02-11
,6,Steve,2025-02-10
"Quiet, clean.",10,Jorge,2025-02-09
"A hidden gem in Cincinnati.  This hotel has a beautiful and stylish interior.  The hotel is clean.  The continental breakfast exceeded expectations.  Every front desk member was friendly, approachable, and helpful.  A great place to stay!",10,Robert,2025-02-05
"Room was nice and comfortable / returned to my room the second day and found bugs inside the shower lighting  and above the light cover. I got out of the shower quickly only to find another large bug on the mirror!!
I was utterly shocked to find bugs in a Marriot Hotel. The staff was very apologetic and moved us to another room. But I still found myself very uncomfortable even when moved to another room. Needles to say, I will NOT be staying at another Marriot hotel!!",4,Lillye,2025-02-02
,8,Kabrina,2025-01-31
👍,10,Jeremy,2025-01-26
Ok,10,Jeisy,2025-01-20
,8,Jonathan,2025-01-20
The staff were all very friendly. The room was clean but a little worn,8,Linda,2025-01-20
Electricity went out in our bathroom while showering.   Other customers got stuck in the elevator.   We used the stairs to leave.,6,John,2025-01-19
"Excellent 👌 
10 out of 10
Breakfast, room, gym, etc. 
People at the front desk, A1. People at housekeeping service, A1",10,Luis Alejandro,2025-01-14
I was charged twice and did not get a refund. ,2,Dylan,2025-01-07
"Clean and safe, so meet top criteria. Room was cramped and not at all what I expected from a ‘suite’ hotel.  Breakfast was average.  Staff were nice and helpful.",6,Mike,2025-01-05
Excelente Hotel y servicio ,10,Yadira,2025-01-02
"The staff were very nice and accommodating. We were able to check in early and out late with no issues. We had an issue with plumbing in one of the rooms, but it was quickly resolved. Location is great, just off the highway and near food and gas stations. Will definitely stay here again. ",10,Verified traveler,2024-12-31
Will stay there again,8,Veneeta,2024-12-29
Nice place,10,Johanna,2024-12-27
,10,GE,2024-12-27
,10,Todd,2024-12-21
,10,James,2024-12-19
,10,Daniel,2024-12-17
,10,Kimerly,2024-12-15
,10,Zeinab,2024-12-15
The sheets and blankets were dirty and pet hair in the bed,6,Samantha,2024-12-13
,8,Lonnie,2024-12-12
The hotel was clean and well kept. The elevators were banged up and could use some work. I was upset to have been confronted by some shady characters. One lady was complaining about the lack of bacon and came to me to see if I had some while I was eating.  ,8,Tom,2024-12-10
"We stay at a lot of hotels.  From the ease of Check-In through Check-Out, it was one of our best hotel stays.  The cost, staff courtesy and accommodations were fantastic.  ",10,Adnan,2024-12-09
,10,Smit,2024-12-03
,10,Octavia,2024-12-03
,10,Rachell,2024-12-01
Personal muy amable ,8,Rosa,2024-12-01
Ok,8,george,2024-11-29
,10,Yao,2024-11-29
,10,Darlene,2024-11-29
,6,Samantha,2024-11-28
Nice stay,10,Ferihan Gaye,2024-11-26
,10,Mary,2024-11-25
,10,Elizabeth,2024-11-24
The rooms were very clean and laid out nicely. No issues at all. ,10,Brendan,2024-11-19
"Room was too small for two queen size bed, we couldn't sleep well because mattress was very uncomfortable(they need to change it).",6,Roberto,2024-11-17
"It was ok for the price, was changed to a different room for no reason.  Breakfast could be better and elevator is a bit scary but pleasant staff and room.",6,Paul,2024-11-17
,10,Kelli,2024-11-17
,10,Kiersten,2024-11-16
Staff was very nice and respectful.,10,James,2024-11-09
,10,Matthew,2024-11-09
,10,Roy,2024-11-03
This was a beautiful hotel that was not far from the main road. There were a couple of places to eat within walking distance and a few you could get to with a 5 minute drive. The room was large and very clean. ,10,Traci,2024-10-31
Entering the building there is a lovely lobby great customer service lady/ gentleman the rooms are newly renovated so there up to date . I would definitely visit again.,10,Bryon,2024-10-28
,8,Verified traveler,2024-10-28
,10,Samantha,2024-10-28
,10,Paul,2024-10-27
,10,Timothy,2024-10-23
We were disappointed after thinking we were getting a deal when we learned THE ENTIRE hotel water would be shut down at 10am-12pm essentially forcing us to check out one night get away. Completely dishonest marketing for the variance in pricing. I travel around the world on Expedia bookings as a Platinum level member and the hotel should have notified us prior to arrival and check in so we could shift plans. ,4,Veronica,2024-10-21
Customer service was great.  The person at the front desk was super friendly and remembered my name when I walked back through the lobby. ,10,Verified traveler,2024-10-20
