review_text,rating,author_name,timestamp
Can’t believe they charge for parking!,8,Sharon,2025-10-05
Well appointed and comfortable stay. ,8,Alex,2025-10-03
Breakfast was the best I've ever had from a hotel. The room was clean and looked newly renovated. It was pleasant.,8,Jesse,2025-10-03
the food is te terrible,8,Lawrence,2025-10-02
I was highly impressed with the cleanliness of this hotel. Our hotel room was literally spotless and smelled fresh. The staff were warm and welcoming. This is a great location and an easy drive into Denver. Many restaurants are nearby in walking distance. The only downside to the hotel is the continental breakfast was awful. But I think that’s the nature of hotel continental breakfast in general. ,10,Isaiah,2025-10-01
Excellent place ,10,INMACULADA,2025-10-01
Breakfast,10,Christina,2025-10-01
"Booked for one overnight because this hotel was next to the surgery center where i was having a procedure the next morning.  The room was clean and comfortable,  but the woman working check in was horribly rude and disrespectful to both myself and my partner.  ",8,Beth,2025-09-30
The beds were comfortable. The place was super clean and check in was easy.,10,Cozette,2025-09-30
"Room is clean, breakfast is good",8,Kyung su,2025-09-30
 Very comfortable and large rooms. Perfect for our stay,10,Ann,2025-09-30
"The staff was kind, air conditioning was crisp. The bed was comfortable, and clean. The water pressure in my room was wonky but nothing bad. Breakfast was quaint. Smaller hotel but was a nice one night stay overall. ",10,Natasha,2025-09-30
The bed was awful stiff and the Sheets didn’t even cover the bed  pillow were like rocks ,4,Marita,2025-09-30
"Great breakfast, only one elevator was working made it an inconvenience but we just took the stairs.",10,Devan,2025-09-29
Clean room and friendly staff ,10,Misael,2025-09-29
,8,Adeel,2025-09-29
,8,Elizabeth,2025-09-29
Clean and quiet.  Great breakfast options ,10,Theresa,2025-09-28
I think one of the things I didn’t like was the fact one of the elevators were not as reactive and yet stop at different floors even though there isn’t anyone standing by for the elevator at those floors. Also I find it somewhat troubling that there not a whole lot of tables available during the complementary breakfast. I do noticed that they had the conference rooms open for that reason. ,8,Abelardo,2025-09-28
Very nice rooms with a small kitchen and very spacious!,10,Michele,2025-09-24
"Friendly. Quiet, quick easy check in",10,Michael,2025-09-23
Nice area,8,Albert,2025-09-23
"This was a great hotel! The breakfast was good, the facility was nice. The service was a little slower, we asked for some towels to be brought up and they were never delivered. We went and asked the front desk after several hours and they were able to give us some. I don't think there should be a charge for parking as it is not in a gated area, it's just in the parking lot behind the hotel and is accessible from 2 different streets. Other than that, it was great. Nice, quiet area with shopping and food close by. ",8,Jennifer,2025-09-22
"The staff and facility was very nice, we enjoyed the pool! Street noise was very loud even up on the fourth floor at night. Overall great place!",8,Kimberly,2025-09-22
,8,John,2025-09-21
Location is safe and pleasant ,10,Christopher,2025-09-21
"The room was great! Very clean and had everything we needed for our stay. I will say that the mini fridge in the room didn’t seem to work but we didn’t really need to use it. The breakfast was good, had the same few things the 3 morning we partook so if you’re looking for variety don’t hold your breath but was a good breakfast nonetheless. Wish parking was included too but it’s not bad for a short trip.",10,Justin,2025-09-21
"Much more spaces.
Very kind staff.
Parking fee was only 12$ per day.",10,Jiyuon,2025-09-21
Will  be back,10,Tamara,2025-09-21
Clean and friendly staff! Nice upgraded rooms,10,Ivette,2025-09-20
,10,Ryan,2025-09-18
Nice staff and location.  ,8,Patrick,2025-09-17
Great staff ,10,hugh,2025-09-17
Clean affordable and comfortable with very nice staff a fair price and great location. Highly recommend,10,Jennifer,2025-09-17
,10,Kristen,2025-09-16
,4,viviana,2025-09-16
,10,Eric,2025-09-15
Very nice for the price. Will stay there again!,10,Christopher,2025-09-15
"Centrally located in DTC, easy.",10,Christian,2025-09-15
All very good. Close by for family meet up and neighborhood felt safe. ,10,Benjamin,2025-09-14
The stay was great. There was one issue with the restroom. The design of the restroom was a bit odd. The toilet was too close to the door and it just seemed like the restroom was a bit small. Sort of a weird layout. ,10,Jarrod,2025-09-12
,8,Michelle,2025-09-11
We had a wonderful stay,10,Joel,2025-09-11
,10,Lindsay,2025-09-09
,10,Anita,2025-09-09
,10,Dequalain,2025-09-09
,10,Joey,2025-09-07
The staff we met was great and helpful ,10,Kamal,2025-09-06
"Great hotel! Super nice staff, clean, and quiet! Loved the gym and pool. Just wished there was a laundry facility. But otherwise, loved our stay! ",10,Clay,2025-09-04
"The beds were not comfortable, one elevator was out of service so with six floors and a full hotel, one had to wait a long time or take five flights of stairs.  Breakfast did not include any meat, and the food was almost always out, or not fresh.",6,Jason,2025-09-04
,10,Maurice,2025-09-03
Bathroom toilet/shower area is very tight. Door actually hits toilet,8,Ellen,2025-09-03
,10,Chuhan,2025-09-01
,8,Gabriella,2025-08-31
Really nice staff! Check in was an easy process as well. The room was very clean and had no smell.,10,Marc,2025-08-31
Great stay!  Very clean and nice staff. ,10,Leah,2025-08-31
$12 charge to park in an open lot?!!? ,10,Gary,2025-08-29
,8,Tracy,2025-08-29
"Clean, quiet and easy.",10,Maxwell,2025-08-28
The bathroom door is very challenging and should be changed.   ,10,Philip,2025-08-28
Great as always ,10,antonio,2025-08-28
"We'll definitely be back. Clean, comfortable, modern. Great breakfast buffet!",10,Verified traveler,2025-08-26
,10,Aaliyah,2025-08-25
,10,Guadalupe,2025-08-25
,10,Odessa,2025-08-25
There for business and the hotel served its purpose ,10,Kamilia,2025-08-23
,10,Lori,2025-08-21
"I did not get the room I booked. I booked a room with two queen beds and was told they only have a room with one king. Front desk lady was not helpful or friendly. Breakfast, I watch the guy wipe the floor with a rag and use that same rag to wipe a table. This place sure went down hill. ",4,Joe,2025-08-20
easy on/off Hwy25.  Breakfast area not large enough and started late on weekends.  Room layout was poor - bathroom sink and mirror were right in front of beds.  Turning on the light at the sink blinded anyone still in sleeping.,8,Erin,2025-08-19
,8,Karina,2025-08-18
"The front lobby smelled like it was having some plumbing problems, and it persisted our whole weekend.  Fortunately, it did not extend to the rooms.",8,Maranda,2025-08-18
Nice,10,Chasity,2025-08-18
Clean room friendly staff,10,Randal,2025-08-18
Great place!,10,Emma,2025-08-16
"Room was nice & clean, bed comfy & I appreciated the kichenette & office space.",8,April,2025-08-16
"When I went to check out the girl told me that the parking fees were waived, but a few days later I was charged on my credit card.  The woman who checked us in was miserable.  Very unfriendly and only put us in for 1 night instead of the 3 we had reserved.  On day 2 our key cards didn’t work and we were locked out of our rooms. ",4,Judy,2025-08-16
Everything was great although I feel like shuttle service to the airport would be a great service to offer to your guests. ,10,Carrie,2025-08-14
,10,Verified traveler,2025-08-14
,10,Matthew,2025-08-11
I had an okay experience at this location. Only one elevator works. Pool area was dirty and the pool itself was dirty. Our bedroom shower drain was clogged and also our bathroom faucet was clogged. The staff was friendly though. Great location. Hotel and room was clean ,6,Marco,2025-08-11
,8,Stéphanie,2025-08-10
Great breakfast. Loved the little Starbucks cafe. Very convenient. Nice staff. ,10,Eric,2025-08-10
An amazing property great rooms and very clean ,10,Naamon,2025-08-10
Great overnight stay for soccer tournaments. The breakfast is a plus when rushing out to an early morning game. ,10,Mark,2025-08-10
Good,8,Artin Mejy,2025-08-09
,10,Kenny,2025-08-09
,10,David,2025-08-09
,8,JAVIER,2025-08-07
Really nice hotel. Samuel the front desk receptionist was really helpful and kind. Amazing guy. Breakfast was good enough and the place has a pool and gym and nice rooms ,10,Makda,2025-08-06
The staff went over and beyond to ensure we were taken care off after Expedia overbooked the room I'd paid for. I give the staff all the stars! ,10,Ana Maria,2025-08-06
None ,6,Marlyn,2025-08-04
"This was a clean and comfortable hotel in a nice neighborhood. It was centrally located to everything we wanted to do in the Denver area. The staff was friendly and the hotel felt very safe. The pool was nice. Our room was roomy for the five of us. The hot breakfast was not overly fancy, but no one went hungry. There was something there for everyone to enjoy. One of the elevators was not working and the other was a bit slow. It was not a perfect place, some reviews may bear that out. But for the money, it couldn't be beat. Again the property felt safe and everything was clean and comfortable. I plan on staying here with my family again. ",10,Corey,2025-08-04
,10,Shaurice,2025-08-04
Good size room.,10,Linh,2025-08-02
"Starting with the elevators, only one of the two worked, and on two occasions, neither worked. The toilet in our room clogged, flooding the room with dirty water. The breakfast was limited and of poor quality. It was the worst hotel and experience I've ever had. I will definitely not return to a Hyatt Place.",2,Naji,2025-08-02
,8,Janice,2025-08-02
,10,marian,2025-08-01
Great staff and nice area,10,Christie,2025-08-01
,8,Alexander,2025-07-31
,8,Bianca,2025-07-30
"First time coming to this hotel, and it was exactly what I was expecting. Cleanliness, nice beds, spacious room. Good breakfast. Everything was great. Totally recommend it!! ",8,Bianca,2025-07-30
"The water in the sink was not flowing properly and did not drain properly..
The water in the kitchen was not draining properly and bath room’s watet was not flowing well.",6,Miriam,2025-07-30
"Well hotel was ok , the breakfast menu the same at every morning. Room clean ok   The sheets cover has it little stain spot not sure what it was . And I’m can’t believe they charge $12 dollars per night to used their parking that BS ",6,Aquin,2025-07-29
,6,Welkis,2025-07-28
"Made the reservation, and got a call the day of my stay saying they overbooked themselves and they were cancelling my reservation.  On top of that, they told me they already charged me and they weren't issuing a refund, and I would have to go through Expedia to deal with it. Also there is a hidden parking fee each night.   They probably could have handled the situation better.",2,chris,2025-07-28
My family and I really enjoyed our stay. Will be recommending to friends and family. ,10,Alexandra,2025-07-28
"We where traveling for baseball tournaments and where able to do a last min late check out due to playing another game it went smoothly and without any problems, we were also able to connect our devices to the television, so it was not a problem watching your favorite show in the room, we really enjoyed our stay. The rooms were very nice and the continental breakfast was delicious We will be back again soon. ",10,Latia,2025-07-28
,10,Oliver,2025-07-27
Our go to stay when up in Denver,10,Shelby,2025-07-27
,10,Marilyn,2025-07-27
,10,Paul,2025-07-26
,10,Marlize,2025-07-26
,8,Manuel,2025-07-26
,10,Mark,2025-07-24
"The room was clean, but we booked 2 rooms with 2 queens and got 2 rooms with a king. Was told there was not a cot available, so 3 kids slept in the sofa bed. One elevator was down. The front desk was not very friendly. We were 2 floors apart.",6,Sharon,2025-07-24
,10,Milisha,2025-07-24
,2,Mi,2025-07-23
"Visitors should know that this hotel charges for parking.  A surprise $12 charge became over $18 once taxes were added.  
Otherwise this property is elegant, clean, conveniently located, within walking distance of trails, and has great staff. ",8,Carol,2025-07-23
Friendly clean,10,Michael,2025-07-23
,10,Temesgen,2025-07-23
,6,Tiffany,2025-07-23
,6,Edgar,2025-07-22
Very clean,8,Jessica,2025-07-22
,10,I-WEI,2025-07-21
"Close to several restaurants, pet friendly with deposit.",10,Stephanie,2025-07-20
Best kept secret ,10,Erica,2025-07-19
Great facility ,10,Kevin,2025-07-16
A great stay for a few days. ,10,Michael,2025-07-16
"It was nice stay 
Every thing was excellent but the elevator ",8,Hadia,2025-07-14
