review_text,rating,author_name,timestamp
,10,Mary,2025-09-28
"Pretty property, clean room, lots of nearby shops and restaurants. We would stay again!",10,Charlyn,2025-09-27
,10,Patrick,2025-09-12
Everything was fabulous ,10,Becca,2025-09-06
,10,david,2025-08-17
,10,Juan,2025-08-15
,10,Juan,2025-08-15
"We stayed 2 nights. Nice and comfortable area for family.  Great breakfast too.  Parking fee is difficult to understand, which can be surprising for guests unaware of the fee. Overall nice staff and quiet area. Very close to hospital too.  ",8,Arnold,2025-08-13
,10,Peter,2025-08-04
Hot tub was great,6,Jon,2025-07-21
,4,Ed,2025-07-09
"Nice, clean and convenient ",10,helene,2025-07-05
"Front desk staff super! Breakfast every day was superb. Property very nice, clean, well taken care of. Accommodating on every level. Only issue was housekeeping did not do a refresher of our room during our entire visit. Had to go to the front desk to get cleans toweled/washcloths and amenities. Other than that, it was excellent! ",10,Dustin,2025-07-04
,10,Charles,2025-06-08
"They make you pay for parking. 

The staff was friendly.",8,tenley,2025-06-03
"The room amd the bed was okay. The biggest issue was the bathroom. The tiles were all cracked and tje grout looked loose likely from water damage. There was even a soft spot by the tub (look out 236, you may see the tub from above in your bathroom). The bathroom sink was also slow to drain. My husband did not like the tv placement. The room is poorly designed from that perspective. The employees were very nice. Check in and out was easy.",8,Karla,2025-05-27
They had one day cancel policy,2,Michael,2025-05-20
,8,DANNY,2025-05-12
We’re a family or 5 and this hotel was easily accessible and worked perfectly for our night stay while we traveled across the country. We didn’t stay in the area long enough to know if it’s conveniently located for amenities or shopping but loved it nonetheless. ,10,Benjamin,2025-05-12
,10,Verified traveler,2025-04-20
I felt the parking fee was unnecessary. We stayed here because my mom had a surgery in the morning and we live 3 hrs away. When I asked about the fee they said they charge it because all other hotels do in the area. ,8,Verified traveler,2025-04-18
,10,SANGHUN,2025-04-18
Hotel is clean & quiet with comfortable beds.  Great location to dinning & shopping too.,10,Deborah,2025-03-19
"have to pay to park in their parking lot when you stay there wont be back,  what do they expect that your going to walk there.  paying for parking is bs and wont stay anywhere that makes me ",10,nora,2025-03-10
"I would definitely book here again. Very nice rooms, very clean, awesome breakfast selection.",10,Diane,2025-03-03
,10,Christine,2025-02-28
