review_text,rating,author_name,timestamp
"This was an excellent spot that did not charge for parking. Like we should ever be charged for parking when we’re paying $400 a night or more to stay in a beachfront hotel.
Super location really nice staff",10,Roberta,2025-10-06
Too much furniture is packed into a dirty room. The 2nd double bed actually blocks the sliding door. I do not recommend. Very disappointing.  The ocean view was spectacular.  That's the only good part.,4,Nina,2025-10-06
Nice view of the beach. Air conditioner was very noisy and old. It needs to be replaced. I mentioned that to the front seat and they agreed. So we slept with the sliding door to the balcony wide open and listened to the waves all night. Luckily the weather was nice. If it was hot out the A/C would have been unpleasant. We were suprised that there was no coffee maker in the room. I’ve never stayed in a hotel without a coffee maker especially for the price we paid. Location was good. Walk into town. ,6,Thomas,2025-10-05
Not the best choice…,2,Brian,2025-10-04
Perfect way to relax on the beach. ,10,Anna,2025-09-30
,10,Katie,2025-09-25
The view from our balcony was beautiful! We watched whales and dolphins swim by. Hotel is close to restaurants and town and very walkable. Would definitely stay again ,10,michelle,2025-09-24
,6,Dina,2025-09-24
"Overall, our stay was good and the hotel has a fantastic location. The front desk staff was super friendly and very accommodating, which made check-in and the overall experience pleasant. The keypad entry was a nice touch, as you didn’t have to worry about always having a key on hand.

That said, for the price paid, we expected the room itself to be a little nicer. The sliding screen door barely closed and the glass sliding door didn’t lock at all, which was concerning. The bathroom sink wouldn’t drain properly and the large 5-gallon pail under the AC unit on the balcony was not very appealing.

With some updates and attention to maintenance, this place could easily match the quality of its great staff and location.",8,Kayla,2025-09-23
Quiet beach hotel.  Walkable to town for restaurants and bars.  Great location.  Clean safe and comfortable ,10,Joseph,2025-09-16
Vista y ubicación,8,Gabriela,2025-09-15
,6,John,2025-09-14
We loved everything,10,Neil,2025-09-12
Rooms very clean,10,Angela,2025-09-12
,10,Jennifer,2025-09-11
,8,Chris,2025-09-08
,10,Robin,2025-09-04
,10,Kristen,2025-09-02
Overall good stay in great location. View is beautiful but there could be more umbrellas by the pool area. It was hard to find shade. Also loud groups coming in very late yelling and slamming doors woke us up. Leans more towards younger crowd than families but still was a good stay given our last minute options. ,6,Jenny,2025-08-29
Beach view & pool,10,Miriam,2025-08-28
