review_text,rating,author_name,timestamp
Clean ,10,Benny,2025-10-06
,10,Patrick,2025-10-05
,8,Alex,2025-10-03
,10,Andre,2025-10-01
"I think it's ridiculous that after paying over $150/ night, i still had to pay $17 for parking!! Also, i reserved a room with a balcony and was not given one. The indoor pool was closed. It was for my daughter's birthday. Not getting the balcony and the pool being closed was definitely a disappointment. We went be staying here again. Also no free internet?? ",4,Jennifer,2025-09-21
Checked in late and went to my room in which I immediately left due to black stuff all over the tub and a very musty moldy smell in the room. It felt like I was in a damp basement. The staff was kind when I went back to the desk and asked to be moved to a new room and explained why. I was put in the room across from the first one which was better but still not great. I wouldn't recommend staying here. ,6,Kali,2025-09-21
Extremely friendly ,10,KAROLINA,2025-09-21
"Checked in after a whole day flights and looking forward to catch some rest but the whole building suddenly blackout for about half an hour. Returned to the room with very noisy air conditioner with blackout thermostat. Shower was broken too. I booked King room with balcony, non smoking and was downgraded to Double Queen with much smaller square footage room as they were fully booked. Since it was close to midnight I just want to rest right away. Next day called the front desk for management. No return call. Have Expedia assist, DoubleTree do not respond again. Finally, Expedia assist again, the manager responded guest accepted the change, no apologies, no refund of the room difference in price... A non smoking room was booked but it had smoking smell. Note: bottle water is $3/bottle unless you sign up membership. Likewise, Wi-Fi is available to membership too. Doubletree once was our top list hotel to book, with this experienced, it will not even in our list for future bookings.",2,George H,2025-09-19
Very pleasant stay,10,James,2025-09-17
,2,Kito,2025-09-16
,8,Dawn,2025-09-16
,10,Vonda L,2025-09-14
,6,simar,2025-09-13
"The door to our room was extremely difficult to open and required significant force to get unstuck. The bathroom door had a similar issue. In addition, the smell of marijuana drifted into our room, either through the open patio screen or possibly through the air conditioning system.  The bathroom faucet was loose.   

The room was clean, and it was a quiet night.   The location was nice with a gas station very close. ",6,Troy,2025-09-11
,10,McGregor,2025-09-09
"Well kept property, comfortable bed, friendly staff. We enjoyed our stay. ",10,Charles,2025-09-08
"great customer service!
",10,RICHARD,2025-09-08
,10,George,2025-09-07
,10,Verified traveler,2025-09-06
"Great staff, but a broken elevator on our wing made things very challenging ",6,Christopher,2025-09-04
Great place ,10,William,2025-09-03
,10,Mike,2025-09-03
,10,Jenny,2025-09-02
"Nice place to stay and walkable to Fiddlers Green.  I could tell that the front desk needed additional training on guest check in.   Somewhat of a delay, but they were very nice and comped me free parking.  ",8,Larry,2025-09-02
,10,Laurie,2025-09-02
We absolutely loved the double tree.  ,10,Mike,2025-09-02
