review_text,rating,author_name,timestamp
Staff were very friendly and helpful. Room was big and clean. Overall great accommodations! ,10,Kim,2025-10-02
,2,Geri,2025-09-29
Na,8,Melissa,2025-09-16
,6,Matt,2025-09-06
"Spacious and clean rooms, but a long walk from the parking garage. ",8,Beth,2025-09-04
,10,Robbi,2025-09-03
,10,Kelly,2025-09-01
,10,Stacey,2025-08-24
Fantastic stay,10,Brian Curry,2025-08-19
"A full service hotel with good beds,  quiet, and NOT the noisy window unit HVAc systems.  Friendly staff and easy parking",10,Kevin,2025-08-17
"We stayed in this hotel for one night while traveling.  Hotel and rooms were clean and pleasant, staff was friendly and efficient, and location along the river, with several restaurants within walking distance, was great.",10,Andrew,2025-08-17
I had the worst customer service experience I have ever had in my 25+ years of traveling for business. I travel often to West Virginia and I will never stay at this location again. I urge you to book elsewhere and give your business to a hotel management that will look at you as a person and not a policy.,2,Tiffany,2025-08-14
,10,Tylla,2025-08-11
Very nice clean place ,10,Martha Jane,2025-08-07
,10,Brittany,2025-08-03
Love the room and property but honestly parking is kind of a pain. ,10,Emilie,2025-07-29
"Additional fee for parking even though I had told the receptionist I didnt park in the parking area. Wifi was very spotty even after midnight to 3a.m with im guessing minimal usage from other guests it somehow got so bad to the point i couldn't connect and the tv would randomly restart itself. On a better note, I was put into a room on the peasants top floor, decent view of the streets and hills. ",4,Nicholas,2025-07-27
"We were checked in by a brand-new clerk who was articulate, welcoming, and didn’t miss a beat. The hotel’s location on the Monangahela River allowed us to get an early morning run in on the adjacent trail. All parts of the property were well-maintained.",10,Kristin,2025-07-23
Very quiet. ,10,Deborah,2025-07-21
Everything was great ,10,Jonathan,2025-07-17
We will be traveling here often and definitely using this hotel again,10,Amy,2025-07-13
,8,sonia,2025-07-11
.,10,Amy,2025-07-07
Nicely upgraded property.  Very nice staff.  Good restaurant and a Starbucks in the lobby. ,8,Marian,2025-07-04
,10,Stacian,2025-07-03
,10,judith,2025-06-30
,10,Shanda,2025-06-28
,10,Mark,2025-06-20
"The hotel was very nice and the staff were incredibly helpful and pleasant. The beds were pretty uncomfortable and the A/C in the room did not cool well. The parkimg deck is quite a hike to the front of the hotel where the elevators are, so that was a bit of a hassle.",6,Virginia,2025-06-14
,10,William,2025-06-13
,8,Greg,2025-06-13
,8,Britt,2025-06-07
Clean,10,Alisa,2025-06-04
"Every time I stay there, staff is always very friendly, helpful & kind. It is also always very clean & presentable. ",10,pedro,2025-05-30
,10,Paul,2025-05-26
,8,Mary Lou Skrocki,2025-05-26
,10,Debra,2025-05-26
,8,Craig,2025-05-22
"Hotel appeared to be severely understaffed.  My wife and I went to the bar and restaurant on the first evening and were never approached by any waitress or waiter.  We went to the bar and again were never served. So we just left and never went back for the remainder of our stay.  
Housekeeping only serviced the room on the first day of our stay and never returned the other days.  Very disappointed with service. ",10,Mark,2025-05-19
,10,Marilyn,2025-05-09
,10,Christopher,2025-05-06
,10,Verified traveler,2025-05-04
"The bed and pillows were comfortable; the room was clean and in good condition. Loved the Starbucks in the lobby and the in-house restaurant was reasonable and good!  Also loved the parking garage that connected to the hotel. The only thing I did not care for was the service requested for the beverage refrigerator, since my friend and I did not know how to work it and there were no instructions.  We didn't know you had to press ""Quick Cool"" and then open and then shut the door.  The service person was a bit rude/grumpy that he had to come up and show us.  There were no instructions, unless they were hidden in a book.  We had pressed ""Quick Cool"" but did not know it was a requirement to open the door and then shut it.  Also, the icemaker on the 8th floor was not working.  ",8,Debra,2025-05-04
My big down fall to this stay which brings the score down for this hotel......the hotel cleaning staff stole my watch. I called 4 times the day I lost my watch. The 1st staff member I talked to was hard to understand  do to her accent. I dont know if they found the watch or sent a ticket in for the staff to look for it. The only ticket I got was for my readers. For the very Low price of 50$ i could get them shipped backto me. I called back after this ticket the person said to give it another day or two. I called back today they house cleaning staff never found the watch. I know exactly wear i left it in the room. I also left a 40$ tip for the house cleaning staff. It will be a long time before I stay at a marriott again. I will never stay at the Marriott in Morganton.  ,2,Kimberly Mohler,2025-05-02
,10,Kyle,2025-04-30
Very nice Hotel very clean and nice will stay here again,10,Stephanie,2025-04-26
Jared DeLauder was exceptionally helpful.  Room exceptionally clean and beds comfortable. Only problem was hot water in  bathroom dangerously hot. No safety holds in bath shower.,8,Susan,2025-04-23
,10,Anuarth,2025-04-19
,10,Shain,2025-04-13
The room was clean and we really appreciated the towels being larger. The staff was dressed professional and loved the showers. We would stay again. ,10,Amber,2025-03-24
,4,Verified traveler,2025-03-16
,10,Heather,2025-03-10
Rooms are spacious and modern.  ,8,James,2025-03-10
Event was at the venue. ,10,Leslie,2025-03-09
"Excellent! From check in to check out! Everything was just great! Beautiful property, very clean and the staff was great! Could not have asked for a better stay!",10,Verified traveler,2025-03-08
,10,Sonia,2025-03-07
,10,Jaime,2025-03-06
,10,Linda,2025-03-04
,8,Kelly,2025-03-02
Clean and kind staff,10,Darlene,2025-03-01
"The room did not heat up to the thermostat.  The side of the bed next to the window was very cold and the floor was extremely cold to my feet. 

The bathroom faucet needs to be adjusted.  When the faucet was pointed to 4 o'clock and open wide, the water was uncomfortably hot!  When the faucet was pointed to 8 o'clock the water was scalding!
",6,James,2025-02-20
They were very sweet and helpful,10,pedro,2025-02-20
,2,Jason,2025-02-15
,10,Kara,2025-02-13
,10,Tom,2025-02-13
,10,BRIAN,2025-02-11
,10,Luis,2025-02-05
"The good: great location, friendly check in and friendly service at the restaurant. The room was modern and elegant.

The bad: the food in the restaurant was mediocre to bad and the room service breakfast was  a thorough disappointment. Should have brought my own. This is what I got for $33.00! The oats were especially disgusting and tasted like they were microwaved right in the mushy paper cup they came in.",6,Dennis,2025-02-05
,10,Jeffrey,2025-01-28
,10,Kelsey Nicole,2025-01-20
,10,Timothy,2025-01-13
"They are doing HEAVY remodeling. Parking is behind the building and you no longer can cut thru the conference center, so I had to walk clear around the property. Waited minutes for a customer service person to check us in. There should have been signage or a warning that this was in such a condition. It really ruined a nice stay for a special occasion. For what you pay, it was a huge disappointment. ",6,Megan,2025-01-12
,10,Keri,2025-01-12
,10,Sundus,2025-01-05
,4,Jill,2025-01-04
,10,Jennifer,2025-01-02
"It was too noisy, the room next to me dog was barking, all night the sound of running water from toilet drove me crazy, there was construction going on in hotel, over all was a mess , not staying there anymore,  they also charge you for parking which is not normal ",2,ely,2024-12-30
You have to park your car in their parking garage and since one side of the hotel is under repair you can't walk through where you park so you have to walk about half a mile back to where you check in at. I truly feel sorry for anybody older as I don't know how they do it. ,4,John,2024-12-19
,10,Brittany,2024-12-17
,10,Salvatore,2024-12-15
"Parking garage far, construction in progress so no access to building from the garage. You have to walk down and around the levels of garage and out the gate and around the building. It was a lot of walking. Person at desk at check in did not provide any information regarding this. Getting there at 2 am with 3 children and suitcases after a 6 hour drive this was very frustrating to figure out on my own especially in the cold weather. ",4,Jenna,2024-12-15
,8,Keith,2024-12-10
Beautiful hotel and friendly staff,10,Maen,2024-12-05
,10,Julie,2024-11-30
,10,Abigail,2024-11-27
,10,Brittany,2024-11-26
,10,Ian,2024-11-21
Great location on the river with access to very nice river walking trails,10,Joel,2024-11-17
,10,Dom,2024-11-17
nice place to stay quiet and clean,10,JASON,2024-11-14
,10,Dennis Francis,2024-11-12
,10,Michelle,2024-11-12
Restaurant was just ok,8,Andrew,2024-11-10
Very nice clean hotel.  Perfect location close to University ,10,Nancy,2024-11-10
