review_text,rating,author_name,timestamp
The staff were very friendly and there were plenty of shops with a massive food hall right across the street. A lovely park across the street as well. Overall a wonderful experience. ,10,Brooks,2025-10-06
Die Unterkunft ist im großen und Ganzen gut … es ist gut mit öffentlichen sehr gut zu erreichen und man hatt sehr gute Einkaufs- und Essensmöglichkeiten in der Nähe. Die Zinmer sind ausreichend für ein New York Aufenthalt .. wie waren zufrieden. ,8,Rui,2025-10-04
The location is convenient,6,Pascale,2025-10-02
Wonderful location,10,Jacole,2025-10-02
Clean room,8,Charles,2025-10-01
Clean room,8,Phillip,2025-09-29
"My check-in experience with Aloft was horrible. I will never stay there again. They did not have a room for me, even though I made the reservation well over a month ago. I don’t have enough space to describe everything that happened. They finally transferred me to the Sheraton next-door where they were very helpful and efficient. I will see you there again, but I will be reviewing Aloft and advising people never to stay there.",2,Sara,2025-09-29
Boutique atmosphere. Always my go to. Bar on first floor great,10,christine,2025-09-28
"I stayed here with my sons and stepdaughter for one night prior to a cruise and for a night post cruise. It was very clean and comfortable and in a convenient location. All parties were happy. My adult son commented that although there was not shuttle to the cruise terminal, that the Uber was quick convenient and affordable as compared to my parents who stayed on a hotel with a cruise terminal shuttle that was twice the price and not quite as nice. We would definitely consider this location for future travels. ",10,Carolyne,2025-09-28
Property and staff were great. ,10,Kim L,2025-09-23
It’s 3 mins walk to the closest subway. Lots of shopping around the building. The staff at the front desk were always friendly and helpful. Good use of space. It’s a tall order in busy Newyork but aloft does a decent job in delivering great accommodation.  ,10,Oluwatobi,2025-09-22
Friendly staff. LOVE the early check-in option. Clean rooms and communal spaces. Comfy beds. Love the room design. Location is perfectly convenient. Definitely will be booking again! ,10,Kadijah,2025-09-18
Staff was great and very helpful,10,Francisco,2025-09-10
Great location. ,8,Elena,2025-09-09
,10,Christopher,2025-09-07
"I tried to reach the hotel by phone because my flight was delayed to no avail so I send a text message that went unanswered. When I arrived at 4am next morning I found out that my reservation was cancelled. So I had to wait, finally getting to my room at 5am. The lobby at that time wasn’t welcoming, people drinking with a bottle of black label at the table, and other trash at other table. However, after that first impression everything went well and I enjoyed my stay.",8,Carlos,2025-09-06
Very friendly staff very clean and comfortable ,8,Lacyann,2025-09-04
Good option,10,Juan Pablo,2025-09-03
,8,stensy,2025-09-02
The room was perfect. The staff was very nice. It was a busy weekend due to LIU move-in date. I will definitely book there again. It’s convenient and clean. The only complaint is there was no creamer in the room when I made my coffee.,10,Beverlee A.,2025-09-02
Nice bed. Slept well.,10,Lisa,2025-08-31
staff was very kind <3,6,Mariam,2025-08-30
"Me gusto su ubicación fácil acceso al metro caminando de 3 a 5 minutos caminando a las estaciones del metro ,  llego fácil uber etas ,  fácil acceso a Manhattan a 15 min en metro, camminando 15 min al puente de Brooklyn, Plaza City point , ahí están enfrente del hotel , Restaurantes , tiendas , Cine. 
Mario un sr muy amable habla en español recomendable. 
Todos los  Días Limpiaban la Habitación. 
",10,Nelda,2025-08-30
,8,yongsun,2025-08-25
"This was a great, convenient one night stay.  The parking availability was why we chose this hotel (however we ended up finding parking on the street - which was great!). Location is great, room was good (like all aloft locations).  Friendly staff.  definitely reccommend.. ",10,theresa,2025-08-25
"Habitaciones demasiado pequenas y corredores muy estrechos. Se siente muy pequeno y estrecho cada rincon.Tampoco hay parqueos disponibles,solo con cargos excesivos en costo.",6,Aylen,2025-08-25
,10,Patricia,2025-08-25
,10,Carly,2025-08-23
,10,Verified traveler,2025-08-22
,10,Tiona,2025-08-22
"Boa experiência, limpo, bonitinho, bom layout no quarto etc",10,CARLA,2025-08-19
,10,Jonathan,2025-08-19
I love the hotel. Great customer service Mario was the bus.,10,Tashay,2025-08-18
Wonderful staff and nice facilities ,10,Rachel,2025-08-17
Ok,6,Hemant,2025-08-14
,10,Annikki,2025-08-13
,10,Jamel,2025-08-12
WONDERFUL ,10,Jamel,2025-08-12
Aloft are always great,10,Rodney,2025-08-11
Incredible! Definitely will be coming back! ,10,Logan,2025-08-09
,8,Verified traveler,2025-08-07
,10,Mary,2025-08-06
Everything was great! Enjoyed the pool table in the lobby for downtime,8,JULIE,2025-08-06
,8,Christian,2025-08-06
"The hotel was fine. The area is convenient. The floor was noisy and our room had an air conditioner that was so obnoxious it was impossible to sleep. We recorded it because it was driving us insane. If we had a different room, we would have rated higher. ",6,Hilarie,2025-08-04
,10,Siddharth,2025-08-03
Thank you for your hospitality! ,10,Jonathan,2025-08-02
Hotel espectacular,10,Yomar,2025-07-30
"Aloft is a solid choice for me when I’m travelling for work/leisure and looking for something I know will be clean and affordable. This location has a rooftop bar so if your room is in the higher floors you will hear it in the hallway, luckily not in your room though. ",6,Justin,2025-07-28
