review_text,rating,author_name,timestamp
Unser Aufenthalt war rundum perfekt und ein sehr gelungener Urlaub.,10,Charlotte Vivien,2025-10-07
"Great continental breakfast.  Stay in first few floors , as elevators during breakfast/ checkout take an extremely long time(45 minutes). Super friendly.  If driving in- do valet just for convenience",10,Janice,2025-10-05
Staff are amazing. Clean hotel. Good location,10,Pamela,2025-10-04
Miy buena ubicación...,10,CARLOS,2025-10-04
,10,Roy,2025-10-03
"Chambre très propre, personnel agréable, proximité de Times Square irréprochable vraiment pratique et accessible pour tout.
Seul point négatif le petit déjeuner: une salle trop petite pour le nombre de clients, petit déjeuner peu varier et ne propose ni de chocolat chaud ni petit déjeuner avec du chocolat même pas du Nutella ou sauce chocolat pour les gaufres ou encore de céréales ou muffin au chocolat. À part des œufs, des saucisses et des galettes de pommes de terres ainsi que des baggels ou du pain de mie il n’y avait malheureusement pas grand chose",8,Orlane,2025-10-03
"The staff were courteous and very helpful
Rooms were clean but the corridor in the floor I stayed wasn't vacuumed much

Overall a great experience because it is very close to Times Square and area",10,Francisco,2025-10-03
"Schone kamer, locatie is top. Airco maakt redelijk wat geluid maar is met oordopjes in goed te doen.
Ontbijt is inderdaad hectisch, maar prima te doen",6,Claudia,2025-10-02
"Location eccellente a un passo da Time Square.Bella camera anche se molto piccola ma con tutto il necessario, angolo cottura senza fornelli. Colazione scarsa , mancano dolci formaggi prosciutto; troppo americana.
Latte freddo senza possibilità di scaldarlo in loco; dovevi tornare in stanza e scaldarlo nel microonde.Sistema dell ascensore moderno ma in alcuni momenti molta attesa.
Nel complesso valido per una breve vacanza.",8,enrico,2025-10-02
"Excelente ubicación si quieres ver lo más icónico de NY. Cerca están varias estaciones de metro y todo tipo de comercios.
El personal es atento y los empleados de cocina muy amables (Yesenia, Rita y el resto).
Sin duda muy recomendable.",8,MARIA ANTONIA,2025-10-02
"Tutto perfetto, ci torno presto",10,Hector alessandro,2025-10-02
,10,YEONGGEUN,2025-10-02
"Very close to time square, great place to stay",10,Airidas,2025-10-02
"Baustellenlärm ohne Ende
Die Schlafcouch war weder bezogen und völlig marode
Ich lag auf den Federn
Eine Bitte das zu ändern wurde ignoriert
Mit freundlichen Grüßen
Kotzian",2,Opa,2025-10-01
"Staff was amazing.  The room was clean for the most part. The shower could have used a deeper clean.  The bed was comfortable.  My only complaint is the elevators.  It was acting a little weird when we got there and it was hard to get an elevator during the busy hours.  Other than that, the location was perfect if you want to be close to everything in Times Square.  Catching the subway was easy to get to other places.  I'd stay here again.",8,Primrose,2025-10-01
"Nice clean room, right in the middle of Times Square ",10,Darryl,2025-10-01
Everything was great until we got to our room. Air conditioning was not working we were very hot the whole time. ,4,Pablo,2025-09-30
,10,Morgan,2025-09-29
Poor dining room service ,8,Valentyna,2025-09-29
"We felt safe, rooms was clean and friendly staff. We had 1 complaint....we are a big college football family, when we went back to the Hotel for the night t o watch our favorite football team play...we could only get 2 channels on the TV, when we called the front desk we were told the entire hotel was experiencing the issue. 
Unfortunately we had an underage son with us and could not go to a bar to watch the late game. Fur us, that was quite disappointing.
",8,Mary Jo,2025-09-29
"Great location, good breakfast, clean, friendly staff, walkable, good for family ",8,RAQUEL,2025-09-28
Ontbijt was prima maar niet gevarieerd. ,8,Patrick,2025-09-28
　　,10,HIROSHI,2025-09-25
,10,Cynthia,2025-09-24
"The location was perfect for getting around the immediate area and walking distance to main attractions.  Room was quiet.  Front desk staff was excellent and responded to requests immediately.  Not too impressed with housekeeping staff but other than that, would recommend.",8,CYNTHIA,2025-09-23
"After an extremely disappointing experience at the Belvedere Hotel, I walked up the street to Home2 Suites by Hilton, and the difference was night and day. From the moment I stepped inside, I was welcomed with genuine kindness and professionalism.
The team was appalled by the treatment I had just endured and assured me that at Home2 Suites, they always strive to work with guests when there’s any sort of miscommunication. That spirit of true hospitality was evident right away.
A special thank you goes to Meriton, whose help and professionalism turned a stressful situation into a positive experience. He went above and beyond to secure a great room for me and made sure I felt comfortable and cared for.
Home2 Suites embodies what hospitality should be—warm, accommodating, and guest-focused. I highly recommend this hotel and cannot thank Meriton and the staff enough for turning my trip around.",10,Robin,2025-09-22
"Clean, Time Square and Big Bus close and great service ",10,Necole,2025-09-21
,10,Alvaro,2025-09-20
"Room 515
The Good:
The location of this hotel is fantastic, the front desk staff was amazing, and the room itself was clean and comfortable for 2 people. I really enjoyed having a full-size fridge. We ordered from Instacart to stock our fridge during a week stay and it was perfect.
The morning breakfast was hot and pretty good.

The Bad:
The smart elevators aren't so smart. They really should implement a system that asks how many passengers when the floor is selected. We waited long times for elevators and often they were full when they arrived. I am a Hilton honors member and checked in through the app requesting a room on the second floor as I had read reviews about the elevators taking a long time and wanted to have easy access to the stairs if need be. Upon getting to the hotel at 430pm, I was told that my original room that I requested was not yet clean and it could be up to 2 MORE hours before it was ready. This is NOT acceptable....we had already been in town since 10am and were ready to relax so I took the next lowest floor option which was room 515...and of course we experienced the long wait times and ended up walking the 5 flights of stairs on multiple occasions.
There was something next to our room that sounded like a vacuum was running 24 hours a day and the Hard Rock sign across the street kept plenty of light in our room overnight! The darkening shade did not help as the light crept around the edges and illuminated our entire room. ",4,Sabrina,2025-09-19
Great location.   Rooms were small and hallways very narrow but it was still nice.  Breakfast was so packed with people we left. ,8,Jamie,2025-09-19
This was by far my favorite hotel stay in NYC. Will definitely be back,10,Alvin,2025-09-18
,6,Vitor,2025-09-18
,8,Lawrence,2025-09-17
,8,Darrel,2025-09-17
,10,Ruth,2025-09-17
,8,Danila,2025-09-17
,6,Kazuchika,2025-09-16
,8,Trevor,2025-09-16
"Zona super comoda, hotel pulito. La colazione affollata ma basta andare negli orari giusti! Consigliato",10,Gianni,2025-09-16
En general lo recomiendo ,10,Jeny Mayari Pineda,2025-09-16
Very central hotel and the free breakfast was great! :),10,Hailey,2025-09-15
"I chose the hotel because of its location. Night one at 9pm, I asked for extra towels as they only clean the room every other day. Also asked for a shower cap for my wife. Man arrived at 930 with the towels, did not bring shower cap. I asked him about it, he said “ I will go get it” he never came back. 30 mins later the woman from the front desk called the room to ask me “has you stuff arrived” I told her towels yes, not the shower cap. She said i” I’ll get it right up to you”;30 mins later I received another call, now 10:35 pm. I told her the story, she said I’ll get it up to you. Never arrived. Next day I go to the lobby, the man in charge makes some really bad excuses! Then my T.V. Does not work in the room, after an hour and a half trying to fix it, guy brings in new coaxed cable and 2 guys lift TV off the wall and then it works!! To go down to get breakfast on Sat and Sunday we waited over 30 minutes for the elevators! Was terrible",2,JEFF,2025-09-15
"Hôtel proche de Times Square, la chambre est de taille correcte, le petit déjeuner est varié, bien prévoir de venir manger a partir de 7h sinon il y aura foule ",8,herve,2025-09-15
,6,Lori,2025-09-15
"Everything was great ! Love the breakfast , Love that everyone was helpful, Love the location and Love that early check in was not a problem!
Thanks for a great stay in NYC",10,Marietta,2025-09-14
Habitacion limpia,10,Marilu,2025-09-14
Could not get room cleaned daily or get towels when promised ,6,Larry,2025-09-14
"Fantastic location , has 4 dedicated lifts (which are needed) due to the volume of guests and cleverly work in conjunction with your key card. At peak times you may have a very long wait (as experienced - 20 minutes to get from 31st floor
To lobby with no choice to use stairs as had luggage. Room was really good , staff were really good when communicated with, some building works adjacent which meant stopping to drop off luggage had to be timed well with no other vehicles with this being a fairly busy used road and one way street to be able to stop and then get luggage out without causing a drama of a holdup. But to be clear this is a positive review hotel great location and would definitely use again if going back to NYC",8,Andrew,2025-09-14
Toda la habitación muy bonita adaptada con lavatrastos  refrigeradora entre otros accesorios de cocina; recomendaría que también pusieran en el baño la gorra para la ducha como también una lima pequeña se unas unos algodoncitos para limpieza facial ,8,Jeny Mayari Pineda,2025-09-14
