review_text,rating,author_name,timestamp
Very basic breakfast. ,2,Albert,2025-10-06
Exelente hotel,10,Luiz,2025-10-06
Great stuffs. ,2,Edik,2025-10-05
"The place it's self is under construction, but over all it was nice and clean and the staff was very nice and pleasant. The breakfast buffett was very good.",10,Roger,2025-10-05
Room wasn’t as clean as expected and beds were super uncomfortable ,2,Brianna,2025-09-26
,10,ERIKA,2025-09-24
Good for taking exam in nearby testing center,10,Yimeng,2025-09-23
Clean room although a bit runs down. They were doing renovations but it would’ve been better to have just closed it down. The breakfast could be better or change the menu everyday. It was the same and not too great. ,6,Angelica,2025-09-23
"Hotel had some renovations going on and made the hotel look a little dated and dirty. Close to the freeway and highways and you could really hear everything going on outside . Woke me up several times throughout the nights I was there. No ice machine. Have to go to the downstairs bar to get ice for your room. Low water pressure for the shower. Speaking of the shower, we have a few roach’s visit our bathroom during my 3-day stay. The AC in the room is loud and I had to turn it off. Not good considering you have to turn the AC off in Phoenix, AZ. I do not recommend this hotel. Not as nice as other Hyatt Place hotels I have stayed at throughout the country. ",6,Carlos Emilio Padilla,2025-09-21
,8,Jennifer,2025-09-15
,8,Latanya,2025-09-15
,6,Kareen,2025-09-14
,4,Carla,2025-09-03
No pool,6,Evelin,2025-09-02
Overall the stay was good the staff that weekend was amazing all very attentive and happy. I’ve stayed before this time was better. Started off bad had to change rooms twice before I got a room to stay in for the weekend. The room did have a weird smell but we felt with it. ,8,Inez,2025-09-02
"Staff is very friendly. Hotel was going through some renovations but overall it was a good, affordable place to stay",8,Verified traveler,2025-08-31
,10,ERIKA,2025-08-29
,10,Jae won,2025-08-27
Great as always,10,Carole,2025-08-26
,6,Isaac,2025-08-25
"Some renovation was under way , but was not a factor in my experience.  Business center computers were both out of service at the time.",10,James,2025-08-21
,6,Andrea Hernandez,2025-08-09
,10,jason,2025-08-09
pretty good. Food was okay. pancakes were hard. beacon hard also.,6,Justine,2025-08-01
,8,Jennifer,2025-07-27
,10,BRIANA,2025-07-25
Buena ubicación y muy cómodo ,10,Octavio,2025-07-24
,10,Oralia,2025-07-23
"The carpet in my room had a burnt spot. The TV guide was not working and it made it difficult to watch TV. According to the staff, they were changing service providers.",8,Patricia,2025-07-21
Hotel was very old and pictures are misleading. Not filthy but wouldn’t stay again. Was given 2 towels and no sheets or pull out bed. The 2 main beds are very small hard to fit 2 adults. ,6,Michelle,2025-07-21
Everything was nice except the bathtub and toilet. These two were dirty ,6,Guadalupe,2025-07-18
"The shower was not very hot and made a whining noise, the fan in the bathroom was squeaky, the couch and carpet was worn and appeared dirty to the extent that I didn’t want to walk around barefoot or sit or place anything on the couch. The best things about this property were the staff and the convenience. ",6,Peter,2025-07-17
,8,Hannah,2025-07-07
,10,Selene,2025-07-06
,10,June,2025-07-05
,10,Eche,2025-07-04
,8,jason,2025-07-04
,10,Kendra,2025-07-01
Good,10,Ralph,2025-06-30
Rooms where dated.,10,Sam,2025-06-30
,8,Adriana,2025-06-28
"I belive the property is being renovated but in the mean time, the room was dirty, there was some kind of brown stains on the carpet, and wallpaper was peeling. ",6,Larry,2025-06-28
,8,selina,2025-06-27
,6,Susie,2025-06-26
,10,Amanda,2025-06-23
Nice place,10,Leo,2025-06-11
,10,Michael,2025-06-10
Property did NOT provide Normal service . Did Not Empty Trash Daily . No coffee or cups in room for coffee pot . Did NOT Replace towels .,10,David,2025-06-09
"Staff was very friendly and helpful. Stayed during Hotel was being renovated. Water pressure was terrible, took longer to shower than normal.  Though breakfast selection was very decent, coffee was very weak and often out during service times.  ",8,DOROTHY C,2025-06-09
,10,Karen,2025-06-08
,4,Christopher C,2025-06-07
It was good except no microwave in room,10,Amanda,2025-06-05
"The staff is really great. They are in  the midde of a remodel, but you wouldnt know it. It needs the remodel, the rooms are run down, but tge staff makes up for it, super friendly and helpful.",6,Shawn,2025-06-02
Place was.a motel not hotel ,4,Hamfri,2025-06-02
