review_text,rating,author_name,timestamp
Great location and friendly staff ,8,Tara,2025-10-07
great ocean view room.  spacious room.  could use some updating.  friendly staff,6,James,2025-10-06
It was good!,8,Albert,2025-10-03
We had a room with ocean view. Stayed here before and it was as wonderful as the last time.,10,Harold,2025-09-30
"The property is in poor condition. This may have been the worst hotel I’ve stayed at in terms of room quality and cleanliness. Upon arrival, I had to request a new room because both the sliding door and room door wouldn’t close properly. The bed sheets were dirty, and the shower had not been cleaned. While the front desk staff was very helpful in arranging a room change, the replacement room was not much better.",2,Toni,2025-09-29
Beach view was great.  Super location. It was very windy and wished would have been dividers between balconies to block the wind.  ,10,Terry,2025-09-29
"I loved having a peekaboo view to the water from my large balcony. Wonderful ocean sounds. The room was comfortable and quiet. Style/decor is a little bit dated, but it did not bother me at all. There was a refrigerator, a sink, a microwave and a coffee maker, which I would have utilized more if I had stayed longer. It was a very short walk to Oceans Calling and is in the middle of everything. Plus, I appreciate that they have a bar/restaurant within the inn that’s open late. I would return if given the opportunity.",10,VICTORIA,2025-09-27
,10,Mihail,2025-09-24
"Older motel in need of some painting, etc",6,Cynthia,2025-09-22
"The location is perfect, right on the boardwalk and close to many attractions.  Love that they allow pets for a small fee.  Did not like that I had to pay for parking because I booked my reservation through Expedia and not the hotel itself.  ",6,Christina,2025-09-22
"Staff was great. Very helpful.
Great place to bring your dog.
Close to everything. The hotel was clean and beds comfy.
 It was a little dated, but who cares when you are ocean front.",8,Philip Lloyd,2025-09-18
,8,william,2025-09-17
This place was 1st class. Hopefully we can stay there for years to come. And the price was amazing. Only issue was paid parking. ,10,William,2025-09-16
Even though it was pet friendly there was hardly any area for the pets to do their business. Because we had a dog we were given a balcony that the dog could not look out to see the ocean. Very disappointing because we wanted an ocean front.,6,Brenda,2025-09-16
We had an oceanfront room and it was great. Nice view and spacious. My only complaint is all the balcony lights come on at dark and stay on all night making it awkward to sit out there after dark. I would definitely stay there again!,10,Kandi,2025-09-14
"Nice place close to everything,  bed are not the best,  clean but kinda of outdated ",8,Mark,2025-09-14
,8,Bettie,2025-09-13
,10,Jasmine,2025-09-12
,8,Gary,2025-09-12
ocean view,8,Timothy,2025-09-11
The room was spacious and clean. Will bring my dog back there again. Was in the center of everything on the boardwalk. ,10,Kim,2025-09-11
The view from our room was exceptional. I Ike’s the fact it was dog friendly and staff was very helpful.,10,Marilyn,2025-09-09
"Our 1st time at Paradise Plaza & we were pleasantly surprised. The oceanfront room was very spacious as was the bathroom. The view was amazing. The location was great.
There is a 10% discount at Sunsations if you present your room key.
Will definitely return. ",10,David,2025-09-09
"The staff was great. The room was clean and the view from the room was amazing. 
The drawbacks were trying to find parking in the main lot and our lock on the sliding glass door was broken. Overall great stay. ",8,Cynthia,2025-09-08
Ac very loud. Noisy. Barking pets. Uncomfortable bed and pillows,6,James,2025-09-07
A good location,8,brian,2025-09-07
I love this property. It is in a prime location on the boardwalk with oceanfront rooms. Pet friendly too. It’s not a dive like most spots on the boardwalk. My only complaints are there is no grass nearby for pets to relieve themselves. And my AC went out in my room and after multiple maintenance visits they finally switched my room which was super inconvenient but things happen. I asked a manager to contact me for maybe a refund for one night but never heard anything back (shocker). ,8,Amanda,2025-09-07
,8,Oscar,2025-09-07
,10,Kristen,2025-09-06
,10,Cynthia,2025-09-06
,10,Jennifer,2025-09-05
,10,Cynthia,2025-09-05
,10,Nick,2025-09-05
"Great place, clean & friendly and if you are looking for a pet friendly place this is it! Definitely will stay again. Super convenient to the boardwalk and beach as well as close to food places and shops. Only bad thing they charge you to park there which was unusual for me.",10,CARISA,2025-09-05
"Had third floor ocean view balcony.  Loved the view, and hotel location to the boardwalk.  The room door handle had issues, but would work after a few attempts.  We discovered that room service does not clean the room unless asked to.  No biggie as we were only there three days.  Overall we had a nice time there, and it seemed better maintained since our last stay there a couple of years ago.",8,John,2025-09-04
"I did not like area around the pool, very messy.  Also, the bathroom in the pool area had a trip hazard (extension cord), very unsafe.
The sliding door in our room was rough...it was a workout to close it, and when you did close it from the outside you had to be careful because your finger would get smashed in it.
Could not use the couch in the room, because when you sat on it you sank down so far it became uncomfortable.
Did like that the floor was tile and not carpet.",6,Wanda,2025-09-02
We enjoyed our stay at Paradise Hotel it was really convenient for myself and my family! We’ll rent it again :),10,Luis,2025-09-01
Staff was accommodating and we really enjoyed the room and view ,10,Derrick,2025-09-01
Will definitely stay here again. Rooms were spacious and nice. Everything was in walking distance. Parking was a bit tight at times so tried not to leave so that we didn’t lose our spot. Highly recommend this hotel. ,10,Tammy,2025-08-31
