review_text,rating,author_name,timestamp
"Well, the hotel seemed OK, they were a number of things  that made it so I won’t stay there again. My room was missing a chair to sit in, you could only sit on the bed or at the desk. The sheets didn’t stay on, the elastic was so old it wouldn’t hold them on. The air conditioning automatically went down during the night. When I went in the hot tub, I noticed that there was an old Band-Aid in the plant next to it. It was still there two days later. ",4,Heather,2025-10-04
Very nice stay. ,10,Leslie,2025-10-03
Enjoyed our stay in Loveland at the Fairfield.,10,Susanne,2025-09-30
The room was nice. The air conditioner was very noisy. ,8,Victoria,2025-09-29
Pretty hotel in a convenient location for Northern Colorado. Quiet and calm location. Easy check in with reservation. Wish there were electric car chargers nearby. ,10,Rachelle,2025-09-28
Staff was extremely rude. I will not stay here agai ,2,Eric,2025-09-27
Great place to stay,10,Karen,2025-09-21
,10,Monica,2025-09-08
You can find everything you need at area around property and facilities are in really good shape and well maintained. ,10,JUAN,2025-09-06
,8,jesse,2025-09-04
Clean ,10,Jessica,2025-09-04
,10,Brad,2025-09-03
"Breakfast was great. Brrakfast staff were amazing all 3 dsys 

",8,Ruth,2025-09-02
I asked for DAILY room cleaning and fresh towels when I checked in we only had our room done 1 time and I am not happy about that,10,Kimberly,2025-09-01
Cooking staff is really helpful and sweet.,10,srinivas,2025-08-31
,10,Renae,2025-08-30
Really nice and safe Hotel in Loveland close to the freeway and restaurants. They have a pool and a jacuzzi and a good breakfast. Manager Kristen was very helpful,10,Natalie,2025-08-26
"We really need a soft chair or 2 to relax in at the end of a long day. A single desk chair just does not work. Nor does sitting on the bed. There is definitely room for at least a side chair in the double Queen room. 
Also the exhaust fan in the bathroom was extremely loud. ",10,Verified traveler,2025-08-25
Clean and excellent condition of facilities and room,10,William,2025-08-24
"We will definitely stay here again! Staff was so helpful and friendly, room was comfy and perfectly clean, and all around wonderful place to stay! ",10,Martha,2025-08-20
Nothing special pretty plain. I like the courtyard better,6,Timothy,2025-08-11
"Tv didn’t work, hot tub jets not working but was a great location easy place to check in and stay staff was wonderful ",6,sunni,2025-08-06
A really nice property close to the hospital,10,Michelle,2025-08-05
,2,Brigid,2025-07-29
The breakfast was great. I found the bed was too firm. The a/c in our room wasn't working right so we slept very hot. Staff was very hospitable. ,8,Virginia,2025-07-28
"Hubo un apagón y nos quedamos sin energía, aire acondicionado ni luz porque fue de noche, debido a que el hotel no cuenta con planta de emergencia. ",10,Ricardo,2025-07-25
,2,Marianne,2025-07-22
Poor condition ,2,Marianne,2025-07-22
Ok,8,Gary,2025-07-21
The website pictures were deceiving the room was much smaller for the price. The continental breakfast was disappointing.,4,james,2025-07-14
Was a great location for us to pop into for a quick overnight before we continued our road trip.  Clean and we loved the location. ,10,Holly,2025-07-07
"Room was very clean and staff were pleasant.  My granddaughters loved having beach balls, blow up floats and noodles to play with in the pool area.  Best pool experience for them on our 2 week trip.",10,Cheryl,2025-06-27
,8,Rachel,2025-06-25
Staff was very accommodating and friendly. Room was clean and comfortable. We enjoyed the convenience and location. Great overall experience.,10,Cassandra Eric,2025-06-20
"I booked this room due to the excellent ratings from Hotels.com. This Fairfield Inn did not disappoint! Nice, clean hotel. Comfortable rooms. Friendly staff. Enjoyed the complimentary breakfast - so much better than anywhere else I have stayed.",10,Patricia,2025-06-08
.,10,Salvador Reynoso,2025-05-27
There were eating places nearby and walking distance which was very convenient. The staff was very friendly and helpful as well.,10,Judy,2025-05-26
,10,Aisha,2025-05-13
,6,Paul,2025-05-12
,10,Dorcas,2025-05-11
,10,Brady,2025-05-08
