review_text,rating,author_name,timestamp
,8,Dawn,2025-10-06
We booked 2 bedrooms but when we arrived told no more available and we would be given two separate rooms but comped for second. The cost was the same and it was very inconvenient to go back and forth to just pay the same price. A one bedroom is not the same price. We weren’t comped anything. ,6,Christina,2025-10-06
"Enjoyed our stay. Friendly staff, comfy accommodations. Could have been a bit on the cleaner and tidy side. Not too big a big deal, but for the price we paid for one night, I expected a spic and span room.",10,Ita,2025-10-06
"The pressure of the water of the bathroom was really low. And when i tried to put on a high pressure, it would just get really hot. Also, when we first got on the shower there was a lot of hair on the tub. The rest of the room was fine. Pretty clean on other areas expect for the tub. ",6,Matheus,2025-10-06
Buen desayuno y limpieza,10,Vanessa,2025-10-01
"I loved the unique design of the hotel and the food from the kitchen was great too 
The staff was very friendly and always there to help out 
The room was big and cleaned 

",10,Michel,2025-10-01
Good overall. Just a little old furniture and that sort of thing,8,Rodrigo,2025-09-30
,10,Edna,2025-09-28
"Nice hotel. 
Surroundings a bit sketchy",10,Kathy,2025-09-26
Habitación amplia y limpia ,10,Ericka,2025-09-24
"Great hospitality and customer service from the staff. We enjoyed our upgraded suite, which was a pleasant surprise for me and my daughter’s road trip and Tate McRae concert!  They made my daughter feel like a complete rockstar and made her trip a memorable experience! Great location, 3 minute uber drive, and beautiful hotel!",10,Ashlee,2025-09-22
Good location.,10,Tracy,2025-09-22
,10,Aimee,2025-09-21
We check in 9/18 in room 913 he room and that whole tail end of the corridor was beyond just hot even though the rest of the hotel was cool. I contacted the front desk they said they would send maintenance. Nothing was fixed but they told us it was. The thermostat said 60 degrees the room was well into the 70s even at night. Night two same thing we finally ask for fans because they offered no alternatives than let us continue to stay in the worst room ever uncomfortable as ever 0/10. ,2,Natasha,2025-09-21
Didn’t care for the parking fee but don’t mind after the free breakfast and happy hour. Best part of visit. Only half the elevators worked. Need more laundry machines.,10,Nichol,2025-09-21
,8,Eva,2025-09-18
,10,Orit,2025-09-18
The staff was very friendly and accommodating!! ,10,Michael,2025-09-16
,8,Alanna,2025-09-16
"Room was spacious and clean. The bed was comfortable. Love that it had three sinks: one in bathroom, another in bedroom and the other by the refrigerator. 
Lots of places nearby to eat. 
Manager's reception incuded beer, wines and specialty drinks with savory snacks.",10,Irmalilia,2025-09-16
,10,Keith,2025-09-15
A wonderful staff and good complimentary breakfast. We stayed in the two bedroom suite and were surprised that the shared bathroom access was via the smaller second bedroom. Which can be a bit of a tricky situation when nature calls and you have to interrupt the other individual to use the facilities. I am wondering if this was a one off or if all the suites have the same layout? ,8,Christopher,2025-09-15
"Family friendly, great breakfast ",8,Julie,2025-09-15
The ladies at the counter were very courteous and helpful being bilingual. ,10,Bernaldo,2025-09-14
,10,Roberto,2025-09-14
Great hotel!,10,Noe,2025-09-14
,10,Lindsay,2025-09-14
,10,Xavier,2025-09-13
,10,Brenda,2025-09-13
,8,Perizat,2025-09-13
,8,Bela,2025-09-12
everything was good. We will be back in november,10,Hong,2025-09-11
,10,Keshauna,2025-09-10
,10,Donna,2025-09-08
Breakfast 👌👌  the pool was nice too.,10,Donna,2025-09-08
,6,Collin,2025-09-07
It was lit,10,Dakota,2025-09-07
,10,Jose,2025-09-07
,10,Philip,2025-09-07
,10,Stephen,2025-09-06
Slightly later pool area access for maybe members. Our room also has some work needing to be done.  Messy patchwork and part of wall looks like it's falling.  Breakfast at this location was sub-par compared to others I have stayed at. ,6,Kathryn,2025-09-05
,10,Nicolas,2025-09-05
,10,Shannon,2025-09-04
,8,Lonnie R,2025-09-04
,10,Verified traveler,2025-09-03
,6,Ana,2025-09-03
The staff was AMAZING!!! THE BEST EVER!!! I was there 4 days & the outside doors did not work with the key access. I was there for work got in super late & my room was by the side door the area to smoke. I had to walk all thw way around to the front door as a i passed 2 doors thayvwould not open with my key card. It sounded like the employees knew & it just is not getting fixed. ,10,Melissa,2025-09-03
Great service ,10,Nicholas,2025-09-03
,8,lan,2025-09-02
