review_text,rating,author_name,timestamp
"Very clean, great staff. Best hotel in the area!",10,Taylor,2025-09-30
"Staff was friendly.   
Place is outdated, needs a refresh.  
Breakfast is ok.  Waffle makers not working, waffle batter disposer broken. 

For a Fairfield, it should be better",8,Lisa,2025-09-25
One of the best breakfast I’ve had from a hotel ever oh definitely be returning,10,Kyle,2025-09-24
Experience was great,10,Dorothy,2025-09-24
"Pleasant, friendly, helpful staff.
Clean rooms.
Excellent continental breakfast.",10,Darryl,2025-09-23
"The breakfast was nice and not having to worry about finding a place to eat. 
The hot tub was out and I was looking forward to it. 
Staff was very nice ",10,Raquel,2025-09-19
,10,ashlei,2025-09-17
"good property, homeless people around the area, but the actual property feels safe.",10,Charles,2025-09-15
"Stayed one night. Good,  clean, and friendly front desk. Will definitely stay here next time I’m in the area. ",10,Biju,2025-09-14
Decent clean rooms.,10,Brij,2025-09-14
Bel hôtel dans l'ensemble. Bon petit-déjeuner et la personne qui s'en occupait aux petits soins.,10,Valérie,2025-09-09
,10,ashlei,2025-09-09
,10,Ray,2025-09-09
,10,Jessica,2025-09-08
Very comfortable ,10,LISA,2025-09-07
Had a wonderful experience with the staff. Both ladies were extremely polite and friendly.,10,Zachary,2025-09-05
Everything was great.,10,Christine,2025-09-04
,8,Eleen,2025-09-02
Beds are a litlle firm. Breakfast is blah. Hotel is clean and staff is nice.,8,Grace,2025-09-02
"I stayed 6 days in Denver and it was great. The room was spacious, clean with good amenities. 

The laundry room was great but missing a board or table to fold the laundry. 

Complimentary breakfast was very good as well as the dining area and lobby.

The staff was friendly and helpful. 

Free easy arking on premises. ",10,Lior,2025-09-01
,10,James,2025-08-26
Enjoyed our stay.. had an issue with the TV and they were right on it!  Breakfast was good and staff was very attentive.  ,10,John,2025-08-24
"Recommend, needs to improve the breakfast menu ",8,Delmis,2025-08-24
,10,Natausha,2025-08-24
It was a room. ,6,Dawn,2025-08-22
,8,Ryan,2025-08-20
,8,Verified traveler,2025-08-19
Our stay was okay. Although had we had known the hot tub was out of order we probably would have booked elsewhere. Beds were comfy and customer service was good. Breakfast was your typical hotel breakfast. ,8,Christal,2025-08-19
"Good location. Ran out of Kleenex and toilet paper- 3 people in a room! Had to chase down person to get some. Went to breakfast, was locked out of room at 9:00 before 12:00 check out. Tub was not clean. Fake eyelashes!!!! On floor and got stuck to our feet.",6,Nancy,2025-08-18
Great value rooms were clean and they have foam mattresses only thing is they could do an update on rooms and lobby,8,Jon,2025-08-17
"Comfortable beds, cl",8,Brenda,2025-08-16
Its hard to control the community around. But pillows and people sleeping in the surrounding hotels was a little unsettling. Especially on early AM walks,10,MIKALA,2025-08-15
Great little find…super clean rooms and very friendly staff!,10,Gary,2025-08-14
"A lot of homeless around the area and I had a weird experience with a person in the lobby she was making a mess where the coffee and water was and she was not all there and acting weird she just told me sorry I am a resident here and left her mess there and got on the elevator.
Our bed was like a taco sunken in the middle.
Also one of the lobby person was so rude and impolite twice we created when we walked out the hotel and no answer ",8,Ramon,2025-08-11
"Nothing more than okay - for a quite high price. Nö housekeeping, eben after asking twice for IT at the reception.",6,Sabine,2025-08-10
,10,Marissa,2025-08-07
,4,Georgia,2025-08-06
It needs a good cleaning and upgrade; it looked worn.,6,James,2025-08-06
,10,Scott,2025-08-04
"Neg: The king bed was lumpy.  The hot tub was down for repairs.
Pros: The continental breakfast had a large selection and the area was kept clean.  The room was very nice and clean.  The bathroom had a tub and shower.  The exercise room was very clean and had what I needed to do a little work to feel good after driving for 9 hours. ",10,William,2025-08-01
,10,Debbie,2025-07-29
,10,Verified traveler,2025-07-28
Pool was out of order. Printer was out of order/missing. The tv in our room didn’t work and room smelled musty.,6,Erin,2025-07-24
Beds were much too soft.,6,Charles,2025-07-22
A very good place to stay,10,Juanita,2025-07-22
The hotel is very nice. Good food. Quiet and staff are friendly. ,10,Enrique,2025-07-19
,8,neal,2025-07-16
,10,Jonathan,2025-07-14
"Not a very well kept property,
But staff did try to help",4,Michael,2025-07-12
We were charged for a night that had been paid in advance.  We were assured twice that it had been credited back and taken care of.  Then saw the charge on our credit card and now have to dispute it.  Very disappointed!,2,Verified traveler,2025-07-09
"What a bummer! I booked the Fairfield because I thought it would be a better stay, more comfortable beds, etc. I booked 2 queens for my family if 4, but when we checked in, they didn’t have any left. Gave us a King with a pullout couch in the tiniest room I’ve stayed in that wasn’t in Europe! Just not a great experience. Has to shimmy by the pullout bed to user the bathroom. The pullout was not good mattress needed to be replaced. ",6,Melissa,2025-07-08
,8,donna,2025-07-07
