review_text,rating,author_name,timestamp
Great experience ,10,Simona,2025-10-06
Best hotel in Long Island ,10,Moe,2025-10-04
Best hotel in Long Island city ,10,Moe,2025-10-03
Bad service ,2,Esperancia,2025-10-02
,10,Manuel,2025-09-22
Good Staff and Restaurant.  ,10,Wendy,2025-09-21
Moz was the best and took great care of us. ,10,tobey,2025-09-19
,10,Katherine,2025-09-13
I found the rooms great and I loved the view ,10,Patrick,2025-09-12
,10,Jeff,2025-09-11
,10,Denise M,2025-09-04
,10,Saul,2025-09-04
,8,Christian,2025-09-03
,10,Kenya,2025-09-03
,10,John,2025-09-02
,10,Bruce,2025-09-02
,8,Sarkes,2025-09-01
"We had a wonderful stay! Team member David was super nice and welcoming. Our queen balcony room was small & cozy but the wraparound balcony was amazing. The view of Queens is nice, but keep in mind sunrise is on that side of the building and temps may be warm if you are spending time in the room during the day in the summer. We would have given 5 stars, but our friends had some trouble with their Manhattan view room -- David did his best to make it right, and I believe it was a satisfactory visit for all. Overall great stay -- neat/clean/quiet, comfortable beds, good food in the restaurant, close proximity to subways. Best views in floors 10+. Please check shower & sink levers in room 1004. We will definitely consider the Boro Hotel for our next trip to the US Open tennis tournament!",8,Christy,2025-08-31
"Our room was clean, bed comfortable. 
Staff works hard to oblige requests.
Wish they would have more obvious notice that pets are allowed in rooms as I definitely would have requested pet free room. Staying here because daughter has a dog!!",10,Jane,2025-08-30
Lovely stay!,10,KELLY,2025-08-29
Wouldn't recommend ,2,Kiristiyan,2025-08-26
No issues,8,pedro,2025-08-25
,10,Rayssa,2025-08-24
,2,Yama,2025-08-16
Very clean and pretty view at night. Close to the city. Great spotvinsie dor coffee and pizza,10,Dawn,2025-08-16
"I had a decent stay at the Boro hotel, my only concern was the condition of my room. You should not feel like someone was in the room before you and it did. There were dried pieces of rose petals on the floor, long strain of hair in the shower and items missing from the room that should be standard like a tv remote. 

Seems like the checklist wasn’t complete. It would be also great for microwaves to be better accessible for guests. I love the location of the hotel and what it had to offer like the restaurant and cafe and the staff was more than accommodating but the room was left to be desired. ",6,Cesily,2025-08-16
The views,10,Jennifer,2025-08-15
,4,MD,2025-08-15
Good hotel,10,Jennel,2025-08-10
.,10,Kyle,2025-08-10
,2,Said,2025-08-10
,10,Tina,2025-08-08
Was good,10,Robert,2025-08-08
NA,6,Tania,2025-08-06
Will definitely be back! ,10,Frantzchesca,2025-08-06
Trendy and vibrant,10,Keith,2025-08-06
Favorite hotel to stay at ,10,Ashley,2025-08-02
,10,Phillip,2025-08-01
Nice view from balcony,10,Joseph,2025-07-31
"Very welcoming staff; perfect for our needs when LGA flight was canceled. A bit further afield than some hotels, but met our needs.",8,Carol,2025-07-31
,2,Shira,2025-07-30
,8,Shawn,2025-07-28
,10,Nelia,2025-07-27
,8,Andrew,2025-07-26
"Good, but no parking",6,Pernell,2025-07-26
