review_text,rating,author_name,timestamp
Hotel was nice and convenient location but my room was adjacent to freeway and it was very loud. My colleague had similar experience. Third colleague said his room was on the interior of the hotel and was quiet. ,6,Ryan,2025-10-06
Great service location etc! Perfect location for SAP! I recommended to many of my friends!,10,Whitney,2025-10-03
,4,Rosemary,2025-10-02
I chose this hotel due to its close walking distance to the SAP center and it did not disappoint. Nice 5-6 minute walk felt safe as many other guests were also walking. Room was clean and comfortable. The showers are fantastic!  Will definitely stay again. ,8,Curtis,2025-09-29
"Was in town for a concert at SAP center and the hotel was conveniently located. It took us 10 minutes to walk there. Room was quiet and clean. Bed was a little hard, but we managed. ",10,Brian,2025-09-29
Great Hotel very comforting not having worry about the quality of rooms or atmosphere when traveling for business. ,10,chris,2025-09-29
"The staff were very friendly and helpful, the room clean and the room we stayed in was quiet. Will definitely stay here again. ",10,Tarumi,2025-09-28
Nice room and overall great stay. ,10,Annemarie,2025-09-26
Coffee machine/coffee in room is terrible. ,8,Todd,2025-09-23
The hotel was great and centrally locsted,10,Oscar,2025-09-22
I thought this property was great for access to SAPCenter. Was only a five minute walk. The area appeared safe but there were many homeless around the area. Quite sad to see. ,8,Antoinette,2025-09-22
,10,Yolanda,2025-09-13
Great staff,10,Jose,2025-09-13
,10,Norma,2025-09-08
,8,Emilio,2025-09-01
Staff was the best. Room was clean an cozy ,10,Regina,2025-08-31
"So clean, so kind. Love the staff",10,Harleen,2025-08-29
,4,chris,2025-08-27
"Our stay at the AC hotel was okay... We checked in after the  San Francisco 49ers preseason game so maybe around 8-9, upon entering our room, we were so excited to shower and get into bed. Unfortunately, the bed was anything but comfortable it must have been broken because the way it ",6,Nayeli,2025-08-26
Very nice hotel,10,Kevin,2025-08-25
,10,Erika,2025-08-24
"Overall, my stay was great. Staff were especially helpful and courteous. ",10,Lisa,2025-08-21
I like that it was walking distance to the SAP center. It was also very clean and the rooms were good in size. ,8,Tyler,2025-08-16
It was disappointing that there was not free on site parking,8,Paul Joseph,2025-08-16
the hotel was just OK ... and $10/day for high speed internet when my 1bar 5g on my phone was 400% faster :-( ,6,Richard,2025-08-15
Convenience ,10,Michelle,2025-08-14
Everything was great! Only hiccup was no hot water in the morning. The staff was great at communicating while they worked to complete repairs. This is something that I’m sure happens any where.m at any time. So nothing against the hotel itself. ,8,Alexander,2025-08-12
,10,Verified traveler,2025-08-11
They don refund the money when cancel,2,Miguel,2025-08-11
The hotel was very clean staff very nice. Did not like the parking situation a total of $34 per day to park in the parking lot that is not attached to the hotel that was a big inconvenience plus you had to park on the third fourth and fifth level could not park on the other levels. The bed was too firm for me. The breakfast was very good.,8,Joyce,2025-08-11
,10,Steven,2025-08-06
,10,Brenda Michelle,2025-07-29
All around great.,10,Tom,2025-07-28
Good place if youre going to the SAP center.,8,Julius,2025-07-25
,10,Sabrina,2025-07-23
Very clean and staff was great,10,Deborah,2025-07-21
Close walk to SAP center.,10,Ruben,2025-07-21
,10,Chyanne,2025-07-20
,8,Jose,2025-07-19
,10,Aika,2025-07-19
,10,Jacqueline,2025-07-16
,10,Philip,2025-07-14
,10,Tarah,2025-07-10
"Great clean updated and spacious hotel with easy walking access to SAP center. Nice pool and outdoor seating area with fire pit. Nice restaurant and bar, parking in garage is a bit of a walk but not bad. Airplanes can het a bit noisy ",10,Naomi,2025-06-29
,10,Naomi,2025-06-29
"Great hotel, very clean and comfortable ",10,Stephanie,2025-06-24
"Everyone was so nice, helpful and friendly. Walking distance to bars and restaurants. Property is nice and clean. ",10,Alma,2025-06-24
