review_text,rating,author_name,timestamp
"O quarto estava sempre limpo e as arrumadeiras eram simpáticas . O café da manhã era muito farto e bom. O chuveiro é ótimo, mas o colchão não era firme e doeu minha coluna. As molas faziam barulho e havia uma leve depressão no colchão ( um dip ) no quarto 3404. Falei para eles sobre o problema e sugeri que mudassem o colchão para que os próximos hóspedes não passassem pelo o que eu passei. Também durante as 5 noites q passei hospedada não pude usar o banheiro do lobby pq disseram estar estragado. Daí se o hóspede estiver no lobby e precisar usar o banheiro, tem q pegar o elevador e ir em seu quarto. Imagine sempre só 2 elevadores funcionando para 390 quartos + ou - . Eu tive a vantagem de ter uma vista linda da cidade ( andar 34 ) , mas a desvantagem de esperar as vezes por 10 a 15 minutos para descer ou subir.",8,Eny,2025-10-07
Breakfast is routine stuff and very limited options. And rooms are not tidy. One of the lift is dysfunctional ,6,Devaraja,2025-10-06
"The hotel was nice, but getting in and out via the elevators was problematic. It took us over 15 minutes to get an elevator - they kept passing our floor both on the way up and down - not stopping. Worst in the morning, but a problem at other points in the day as well. Otherwise, stay was ok. ",8,Jennifer,2025-10-06
,10,Breandan,2025-10-06
"Room was clean.
Only 2 elevators working for 40 floors.
Breakfast was awful.
Neess a good refresh.
Right in the action though.
6/10",8,Benoit,2025-10-05
Good breakfast variety.  Elevators were extremely slow as one of the elevators was out of service.  Wait time was long and inconvenient.,8,Chloe,2025-10-05
"Staff were friendly. The hotel was close to everything, great location. Hotel rooms need some updating.",6,Valeria,2025-10-05
Room wasn’t ready at nearly 6pm. Had to wait 20 minutes for “the room to be ready”. Elevators were broken for 2 days and we were on the 22nd floor. One elevator working took 15-35 minutes and there was practically a riot in the lobby.  ,2,PATRICIA,2025-10-05
"Elevators not working, dirty. No service from staff no phone",2,kylie,2025-10-05
"My checking was refused by the hotel. Orbitz refuses to refund because reservation was non refundable.
So, book at your own risk. You may be turned away at check in with no recourse on fees paid for a multi night stay.
Infuriatingly bad experience all the way around ",2,Landon Wallace,2025-10-04
,10,Rohit,2025-10-02
Todo bien,10,Veronica,2025-10-02
"This was a clean, easy stay for us. Walkable to Times Square and Broadway. Like others have mentioned, there was sometimes a wait for the elevator but not more than 5-10 minutes. Included breakfast was great although crowded on the weekend and you may have to wait for a table to open up. Overall we would definitely stay here again. ",8,Krista,2025-10-02
Super nettes personal,8,Michael,2025-10-02
"Rude staff, elevators not working for multiple days forcing people to use the stairs (I paid to be higher up -31st floor, should I have known). Lots of junkies around",4,Marie-Joelle,2025-10-01
"Staff were very helpful and accommodating,hotel was in a great location however it could do with upgrading a little bit,usb ports for example ",10,Brenda,2025-10-01
El desayuno era el mismo ,8,Jacobo casco,2025-09-30
,10,Antoine,2025-09-30
"First time to NYC. Rooms were very clean and the view of the Empire state building was spectacular. Location was perfect for Time Square, subway going to the Today show. The staff with very friendly and accommodating. The best were the 2 guys the stood out front to make sure you were a guess. Breakfast was very nice and the topper car service to the airport on our departure.  ",10,Deborah,2025-09-30
Amazing,10,Ricardo,2025-09-30
"Great Room, Excellent location",10,PEDRO FEBO,2025-09-29
"I booked the hotel based on its ratings and reviews. We arrived before check-in time, but there wasn't even a restroom, and we waited an hour and a half to use it. After checking in, I think they'd given our room to another guest, and suddenly someone came into our room, which made us feel very unsafe. Later, a hotel employee bothered us again to get our information. In short, the location is nice, but we weren't satisfied.",4,Simay,2025-09-29
"Great breakfast options, clean property, felt safe, staff was wonderful and very convenient to resturants and shopping",10,Miranda,2025-09-28
I like free breakfast. A lot of store around the hotel.,10,Maria,2025-09-28
"Good selection of breakfast items. Not far of a walk to places to eat or shop. Loved that the refrigerator came with a freezer. Friendly staff. 




",6,Claudette,2025-09-28
This place was surprisingly good! The Kitchenettes in the rooms are a nice surprise. I found the rooms clean and quiet. The breakfast buffet was very good. The staff was very kind and attentive and polite.,10,Sandra,2025-09-27
"Breakfast was great every morning. Tommy 



Everything was great… breakfast exceeded expectations.  
Staff was friendly and very helpful.
Our only frustration  were the elevators. It appeared to us that only two of the three were working for the most part.
We often had to wait as the elevator didn’t even stop on our floor as it was full. At least we got a bit more exercise using the stairs.








",8,Brenda,2025-09-27
"Deben mejorar la limpieza y el espacio del restaurante ya está muy pequeño para la capacidad del hotel , lo mismo les falta variar más la comida disponible ",10,Claudia,2025-09-26
"Staff were accommodating, excellent view of city from the 40th floor. Breakfast was provide. Great value!",10,Edmond,2025-09-26
,4,anshuman,2025-09-26
"Desayuno variado, con opciones saludables, excelente predisposición del personal 

La ubicación es estratégica, todos los medios de transporte alrededor",8,Veronica,2025-09-25
"Staff insulted my wife. Calling her horrible names and almost walked out 
Fire as fast as you can for insulting a wife request trying to insult her so I could be free from insults. My wife only coordinated my care",2,Frederic,2025-09-25
Generally good shape. Poor shower pressure. Mattress a little saggy on one side. Breakfast was great. Nice view from rooftop. Elevators pretty crowded over the weekend,8,Victor,2025-09-23
,8,Rita,2025-09-23
Lo unico malo es los elevsdores ,10,nelving,2025-09-23
 Very efficient ,10,Gabrielle Rae,2025-09-22
"Everything was fine in the room and at breakfast. But there is one thing I have not encountered in any other hotel and I have been to many of them. The wait for the elevator in the morning was terrible and I often stood in line for 25 minutes as the elevators passed the floor (35) and did not stop at all because they were full. It is difficult to understand that a hotel with 40 floors is run with only 2 elevators, there are 3 but one worked only part of one day out of the 6 that I was with you, its owner was also slow and there was a long line. I can tell you that on the last day I gave up breakfast because I was afraid that waiting as I was used to, I would miss my flight.",6,ahuva,2025-09-22
"Love the view and the mini kitchen! I’ve stayed there a few times now and the only complaint I have is the slow check in and the elevators take a while. Other than that, everything was great!!",10,Amy,2025-09-21
,10,Donald,2025-09-20
I loved my stay! I only stayed for a night but the room was very spacious and had everything I needed and more . The hotel even allowed me to keep my luggage there before check in so I could explore the city . Will definitely be staying again !,10,Cynthia,2025-09-20
Excelente ,10,Carolina,2025-09-20
"Room was not clean, shower retained water in tray that did’t drain. ",2,Susan,2025-09-19
A nice place to stay for downtown NY. Great options for breakfast! However the elevators took forever. You needed to add 15-20minutes extra to wait on the elevators. ,6,Mary,2025-09-19
"My stay was very comfortable, the room was clean quiet,and cool . The breakfast was good and service was excellent ",10,John,2025-09-18
"Es un hotel con buena ubicación, cerca de estaciones de metro y Times Square; tiene desayuno incluido; a pesar que no servía un elevador nunca tuvimos problema para subir o bajar. Recomiendo ampliamente el hotel :)",10,María Rosa,2025-09-17
,10,James,2025-09-16
Excelente ,10,Javier,2025-09-16
,10,Renata,2025-09-15
This is the only website I will ever use,10,Thomas W,2025-09-15
,8,Belkis,2025-09-15
,10,Rebecca,2025-09-15
"Centrally located hotel, clean rooms, friendly staff, good breakfast",10,Alessandro,2025-09-15
,10,Carole,2025-09-14
"Prime location easy to get to.
Enjoy the breakfast and dining room.
",8,francis,2025-09-13
"It was great! I booked a last minute visit to New York and they were very accommodating. Nice staff, good breakfast, good location we were in walking distance from a lot of places. Only thing I would mention was that the bed was pretty uncomfortable; other than that a really nice stay!",8,Emily,2025-09-12
,10,luca,2025-09-12
,10,feng,2025-09-11
A busy place,6,Francis,2025-09-11
,10,Keith,2025-09-10
"Excellent location for Times Square, Madison Square Garden and a very easy walk to Grand Central.",10,Diane,2025-09-10
,8,Manuel José,2025-09-09
,8,Stéphane,2025-09-09
"Everything was good, elevator, one, was not working.  Using throw out plates and utensils is environmentally poor.",8,scott,2025-09-09
"Although convenient for location , staff not very friendly, hotel and units could do with a renovation including rhe lighting in rooms. One elevator was down hence a real nightmare to go up and down with long queues, I was fortunate to be on 4th floor still walking up not ideal. Breakfast complimentary and all day coffee available though it should not be allowed to serve those eggs and juices that were only water. Not value for money ",4,Carolina,2025-09-08
,10,Steve,2025-09-07
"One night stay to attend concert at MSG Theatre. Convenient location, great staff, very clean and comfortable. Would stay again and highly recommend.",10,Rachel,2025-09-07
"The hotel's location is excellent, close to everything you can visit or to all means of transport.What I didn't like was very minor and not worth mentioning",10,GEORGE,2025-09-07
,10,Answer,2025-09-06
