review_text,rating,author_name,timestamp
Staff were friendly and welcoming. Very easy to walk around. Room was clean. ,8,Katie,2025-10-05
,10,Jamille,2025-10-04
👍,10,Ali,2025-10-03
"Muy buena relación costo/beneficio, buena ubicación ",8,Juan Rodrigo,2025-09-30
Great location. Easy check in and out. Friendly staff,10,Claudette,2025-09-29
"Funcionários prestativos, quarto limpo, arredores bons p comer e pequenas compras.",8,Ancideriton,2025-09-28
"Very comfortable beds, had a great sleep. The TV remote was bit weird though. However fantastic hotel. ",10,Siddhartha,2025-09-27
"Really enjoyed my stay here- the staff was super helpful, room was clean and well-kept, the stay felt very relaxing overall. ",8,Sofia,2025-09-26
Un hotel con una buena ubicación en Midtown. La mayoría de los lugares turísticos quedan a una buena distancia. Recomendado si vas por primera vez a conocer la ciudad. El hotel limpio y el staff amable.,10,Jorge Olivera,2025-09-25
Staff and facility was very nice and clean!,10,Jonszhell,2025-09-25
"Fantastic location. Very easy access to all the main amenities. Lovely room, comfortable bed very good size bathroom.",10,Justyna,2025-09-25
"Nice rooms, nice price and helpful staff. Hotel and rooms are clean and TV is well connected to internet. ",10,Carissa,2025-09-25
Nice stay and great front desk service,10,Korey,2025-09-24
"En general todo muy bien, excelente ",10,Francisco,2025-09-24
Great property! Great location. Easy access to subway and Times Square!,10,Robert,2025-09-24
Room was very clean and beds where very comfortable staff where great no problems inside the hotel but outside wasn’t very clean there was a lot of homeless on the street outside of the hotel ,10,Sean,2025-09-23
"We had a pleasant stay at this hotel. The rooms were very comfortable, clean, and well-kept, and the staff were consistently friendly and helpful, making us feel welcome from the start. Service overall was excellent, which made our time here enjoyable.

The only downside is the location. The hotel is right beside a harm reduction center, so there are often people struggling with substance use gathered outside. At times, this meant seeing individuals sleeping on the street or openly using, which can feel unsettling. While the hotel itself is great, the surroundings may not be ideal for everyone. That being said, the hotel has great security and we never felt unsafe.",10,Charlotte,2025-09-23
Staff upon check in was very. Clean but small rooms. Overpriced but I guess NY is expensive. ,8,Sonia,2025-09-23
,8,KOICHI,2025-09-22
Fairly new hotel with nice sized bedrooms.,8,Lisa,2025-09-21
Was good,10,Nare,2025-09-21
,10,Diana,2025-09-21
"Clean tidy room, great location. 
Air conditioning quite loud.",8,Michael,2025-09-21
,10,Brianne,2025-09-20
"Great localisation, very clean room, comfortable beds , and well noise isolation from outside. 
Recommended!",10,SYLVAIN,2025-09-20
It was all good. Would have been better if the bistro was open in the evening too.  ,6,Candace L,2025-09-19
部屋も広く、きれいで快適に過ごせました。ブロードウェイや5番街なども歩いて行動でき便利でした。1階にスターバックスがあり朝食に利用した他、しまっている時も自由に利用できました。,8,Masayuki,2025-09-16
,10,Patricio,2025-09-16
,8,Leonard,2025-09-15
"Good location, room was clean, and staff was really nice!",10,Pamela,2025-09-15
"El personal muy amable y servicial 
Si no dominas el ingles te ayudan",10,Joel,2025-09-14
"部屋の準備が出来たらメールで知らせてくれました。荷物を預けて観光的たので助かりました。
場所も分かりやすく観光には申し分なしです。",10,MASAHIRO,2025-09-14
,10,Megan,2025-09-13
,10,Janette,2025-09-12
"Muy bien, excelente ubicaciòn y la habitaciòn muy confortable",8,ANDRES,2025-09-12
,10,Dominic,2025-09-12
"As dependências do hotel são ótimas, bem como seu pessoal , limpeza, conforto, etc. A localização não é tão boa mas também não compromete nem impede o acesso à cidade e suas atrações. Recomendo!",10,Ceres Maria,2025-09-11
