review_text,rating,author_name,timestamp
"Aloft was just what we needed. A safe hotel for $140 between Denver and Boulder with FREE parking and affordable , clean and nice.  
We’ll be back.   Thanks !",10,Chad,2025-10-06
"Stayed 4 nights, on check out day the cleaning crew knocked on the door at 8:45 AM, we told her we would be a while.  Knocked on door again at 10:30 and I confirmed that check out time was NOON and we’d be leaving at NOON then.  No change available for washer/dryer and very expensive.",8,Donald Edward,2025-10-04
My reservation that was booked 2 months in advance was cancelled by the hotel 51 mins before the check in time. I will never book at this hotel again. ,2,Stephanie,2025-09-30
"Property was amazing.  I did get an email that my room was sold, but when I got there they had a room for me.  So I am a little confused by that.  The staff was so wonderful and allowed me to have a little later check out.  Would highly recommend. ",10,Carrie,2025-09-29
"Nice place with easy pub transit to Denver, Arvada and Boulder",10,david,2025-09-26
We started late the first day so all we asked for were towels. Yesterday no one ever came we had to tell front desk to ask them to bring them to our room. I was not happy with that at all. ,8,Susan,2025-09-22
"Great location, clean, free parking and staff is wonderful ",10,Carol,2025-09-21
,10,John,2025-09-20
"Nothing unique, just clean and easy",8,Chris,2025-09-17
"Booked online after having a flight delays, next flight canceled, baggage missing and will be arriving late to my scheduled event - whole purpose for traveling - just to arrive to the hotel to be told they’re at 100% capacity. Not sure why I was allowed to book if there was no availability. Horrible experience.",2,Tierra,2025-09-17
,10,Dorothy,2025-09-16
,2,Arthur,2025-09-16
,10,Hannah,2025-09-15
,8,Stacy,2025-09-10
,10,Mario,2025-09-10
,10,Stephanie,2025-09-06
"My son and I had relaxed fun in the lobby area with the pool table. 
I used the fitness room. We ordered hot breakfast. Service was quick and accurate. ",10,Stephen,2025-09-06
"Enjoyed my brief stay! I like that there is a coffee shop walking distance and plenty of parking.
Rooms were clean and spacious.

It was cool to see Dry Bar branded products in the hotel as well as they are good quality. ",8,Marianne,2025-09-05
Always clean and comfortable,10,Margaret,2025-09-04
,10,Francesco,2025-09-03
,8,Daniel,2025-09-01
,10,Amanda,2025-09-01
,10,Frank,2025-09-01
,8,Angel,2025-08-31
Thank you!!    !,10,Nathan,2025-08-29
Good,10,Jose,2025-08-27
,10,massimiliano,2025-08-22
"The hotel was fine overall. Would have liked a complimentary breakfast, but the stay was fine.
Whoever designed the shower needs a new job. There is no seal or anything to divert the water around the shower door so the floor is always covered in water, and if you are not careful, it can be a lot of water. ",10,Ronny,2025-08-20
"The check in was so confusing and terrible. The hosts do not know anything about hospitality of welcoming a customer. Second, the bathroom had a leak under the sink, so water leaked all night running my sleep. Next the the whole floor was wet. Breakfast was included but frankly it was not pleasant at all",6,Juan,2025-08-18
,10,Arturo,2025-08-18
