review_text,rating,author_name,timestamp
It was good. The front desk guy was always eating in the back when I came up to ask a question and his mouth was full of food. I did tell him that ,8,Melissa,2025-10-07
"Every interaction with staff was warm, genuine and helpful. 
Specifically the women at the desk and working on the breakfast.",10,Owen,2025-09-28
The front staff was very courteous however the room should have been cleaner. The refrigerator needed defrosted and the hotel is in need of remodeling. Breakfast was okay.,6,Peggy,2025-09-27
"The lobby atmosphere was very welcoming comfortable. But there was no maid service except every other day. For two days we stayed the room was not clean after the first day had to use same towels over, the trash was full.",8,Dennis,2025-09-26
Great location for shopping/dining.  Quiet area.  Very friendly staff. ,8,Alison,2025-09-25
,6,Jennifer,2025-09-22
All was good except the fact you have to pay for parking. ,10,Stephen,2025-09-16
,8,Courtney,2025-09-15
,10,Kathleen,2025-09-07
Hotel room was dirty and we woke up with bug bites all over us.  Told the front desk and they couldnt do anything about it.  We were told the manager who was away would call later.  Of course no follow up.  Dont stay here,2,Verified traveler,2025-09-04
We reserved a room with 2 queen beds for 3 adults. We were told on checkin the hotel was overbooked and they gave us a room with a king and sofa bed. They said that booking through Expedia only guaranteed a room not a specific room type. The sofa bed was in no condition to sleep in. The mattress you could feel every spring and it was so thin you could feel the support bars going across too. ,4,Sharleen,2025-08-20
"My elderly aunt fell and was rushed to the hospital. The attention to her was great but the hotel did not have a bar which could have helped with her fall and the hotel did not have a wheelchair in site, which I was informed was the law",6,Juiana,2025-08-13
,10,Richard,2025-08-12
Ns,10,Vinicio,2025-08-11
,10,Mohamed,2025-08-10
,10,john,2025-08-03
Was a nice comfy stay ,8,Hayley,2025-07-30
,10,Michael david,2025-07-21
,8,Evan,2025-07-20
Excellent experience. Will book again when next I am in town,10,Cornelius,2025-07-16
"The location is great, and the hotel is clean and attractive.  It was a good value.  We enjoyed stating at the Hampton Inn the weekend of our grandson's baseball tournament in Boulder, CO.  ",8,Alexandria,2025-07-13
"This Hampton Inn far exceeded my expectations! There were warm chocolate chip cookies available in the evening, and the breakfast was top notch. My kids really enjoyed the pool, too. We had booked this as a necessary 1 night stop while traveling, but were very pleasantly surprised.",10,Verified traveler,2025-07-09
We selected the hotel because the website said it had roll aways for no extra charge - but it did not.  I did not pay attention that we would be charged for parking at the hotel.  I do not think this is good business since customers are already paying to stay there.  That is probably why the price was listed as cheaper on the website.,10,Natalee,2025-07-07
,10,Stephen,2025-07-07
,10,Shannon,2025-07-06
,2,Jan,2025-07-05
"Quiet, clean, very comfortable bed and pillows! Thank you!",10,Bradley,2025-06-30
Very pleasant.,8,Stephen,2025-06-22
Bad Hampton ,6,Dennis,2025-06-19
"This was an amazing hotel! Probably the nicest one I've stayed in at this price point. We loved the pool area and hot tub, the breakfast, and the fully equipped fitness center. We would absolutely stay here again!",10,Samantha,2025-06-14
Good ,10,Anthony,2025-06-14
,10,Kelly,2025-06-13
,8,Benjamin,2025-06-08
.,10,Andrea,2025-06-07
It was fine.,8,Jamie T,2025-06-03
,4,Verified traveler,2025-06-02
"Un lugar agradable, no son instalaciones muy nuevas, pero bien mantenidas,  los desayunos buenos y variados ",10,Julia,2025-06-01
Breakfast was goog.,6,Peggy,2025-05-31
Decent hotel for overnight stay but could use some updates ,8,Heidi,2025-05-24
"The room was horribly dirty! The bathtub didn't drain, there was stuff all over the bathroom floor and underneath the vanity. I would not wear bare feet in that room. The headboards on the bed or very soiled and the towels in the bathroom we're not clean. Everything was dirty every table every drawer every edge every baseboard everything. The pool was dirty had bugs in it, the hot tub had weird hair and fuzz and bugs floating in it. The area where breakfast is served was also dirty so we had to eat just fruit so we could be sure that it was safe and we would not get sick. The ice machine areas were filthy with no scoop for the ice. The elevator was dirty. Everything was dirty literally everything!",2,Verified traveler,2025-05-18
Very clean and nice staff ,10,Irma,2025-05-17
,10,Elise,2025-05-13
Nice staff and hotel location,10,Rick,2025-05-09
"I found that having to pay an extra $7 to park every night was not what I expected.  I did not see that online when I booked.

Interesting that most hotel today offer at least one channel other than live tv.  If you wanted anything else you had to subscribe or log on with your personal acct.",6,Joanne,2025-05-07
,10,Pierre,2025-04-25
,10,Jake,2025-04-25
,6,Verified traveler,2025-04-18
,10,Nadia,2025-04-16
