review_text,rating,author_name,timestamp
Great stay in downtown Denver,10,Katherine,2025-10-06
"Very conveniently located for our events this past weekend.  The bar was closed when we got back from our concert, but the room was very nice, and the breakfast was amazing. ",10,David,2025-10-06
"Staff upon arrival and departure were great. Unfortunately, shortly after getting to our room, we discovered the TV wasn’t working. It would power on, but we couldn’t change the channel or use any functions. We called the front desk, and they said someone would come up right away. After waiting about an hour with no one showing up, we decided to head to dinner before our event.

When we returned around 11 p.m., the TV still wasn’t working. We also noticed the toilet tank had no water and wouldn’t refill after flushing. We called the front desk again and were told there was no maintenance on site, but the staff member could come up and try to look at it himself. By the time he arrived, we had managed to get the toilet working by turning the valve off and back on. We let him know and brought up the TV issue again, but he repeated that maintenance wasn’t available and began backing out into the hallway and then left. I let the desk know when we were leaving about the TV not working and the toilet issues. She was very nice and apologetic. ",8,Justice,2025-10-04
"Staff absolutely amazing!!!! 
Loved how dogs were welcomed!! However had planters blocked off for dogs :( we were able to find some turf but at the other hotel or pet place few blocks down. Yes it’s an “easy” walk however our dogs, they are still in training and bit of anxious of traveling. Having to walk that far was a very stressful experience for us and our dogs. While yes, our dogs or problems but they are also guests and should have at least one or two tree areas close by for convenience and inclusivity ",8,Xochitl,2025-10-02
Super easy and close to 16th St,10,Heather,2025-10-02
"Nice location, easy to get everywhere downtown.  Gabby at the hotel bar was so kind and accommodating.  Grab and go pantry is great.  Comfortable bed in a compact room.  Quiet.  Shower door design is allowing a lot of water out, which may be a maintenance nightmare down the road.  Would absolutely stay again.",10,Amanda,2025-10-01
"clean room, good attitude",10,Sang,2025-09-29
like the breakfast and 24 hour coffe,10,Howard,2025-09-27
Paying additional #60+ for parking is a bit outrageous.. P.S no shoes no service at breakfast!! ,8,Elynna,2025-09-25
"It was great, and very convenient to get to ball arena.",10,Denise,2025-09-25
There is no TRU sign in front of the building where the address is.  The entrance area is the worst that I've ever encountered. TRU shares the property with another Hilton property and all of the people checking in and going in and out of the building have about 8 feet to wiggle through the doors. The other entrance was shut down for our entire stay.,4,Mike,2025-09-24
"Good location, walkable. 
Elevators are slow and people tend to pile up",8,Tasia,2025-09-22
"Zero frills to where it was not functional.  No closet, just a hanging rail and some hooks.  Not even a single drawer for any unpacking.  No safe for valuables.  No place to sit except the bed or the single uncomfortable desk chair with no real way to watch the TV except laying on the bed.  Also, parking was problematic and they charged $64 per night for valet.  ",2,Kathy,2025-09-19
"Clean facilities, walkable location, easy valet parking, yummy breakfast. ",8,Kaitlin,2025-09-11
,10,Ty,2025-09-10
"Prior to booking the reservation online, there was no indication that they only do cleaning service on the rooms every second day. Was disappointed with that lack of service for the price of the room.",8,Paul,2025-09-09
For the price you pay the rooms are very crammed together. Walkways in the room are very small even for two of us staying it felt very small. There isn’t a pool and dining was very limited. ,4,Natalie,2025-09-08
The impression is in average level because of the timing of room cleaning up and arrangement need to be getting improvement.   ,6,HON SZE RICHARD,2025-09-08
,10,Garrett Paul,2025-09-07
,8,Charles,2025-09-05
"The breakfast was awful, everything was les was excellent",8,ALEJANDRO,2025-09-04
,10,Melanie,2025-09-02
Muy bien todo,10,Sonia cano,2025-09-02
,10,Saurabh,2025-09-02
,6,Sergio,2025-09-01
Took an hour to check out from 17th floor due to lack of working elevators.  The 2 that worked were slow as a snail.,4,Michael,2025-09-01
,10,Jillian,2025-08-31
"Great location, friendly staff, free breakfast, ability to recycle, and on-site (valet) parking!  ",10,David,2025-08-27
,10,Robert,2025-08-26
,6,MEIYA,2025-08-26
"I had a pleasant stay at this property. I was in town for a convention for three days. Outside of the odd card slot you have to put something into for the lights to work in the rooms, and the mattresses that desperately need to be replaced, it was a great stay. It was quiet and clean. Nothing in the room was damaged or in disrepair. The complementary morning breakfast was decent. All-in-all, I would stay here again if they replace the mattresses.",8,Ryan,2025-08-25
Great ,10,kiyoshi,2025-08-24
,8,Michelle,2025-08-23
"Personal wechselt zwischen freundlich und unfreundlich - meist nicht sehr hilfreich. Hotel abgenutzt und nicht sehr sauber. Nachbarschaft runtergekommen - viele Obdachlose. 
Achtung Parkplatz - wenn Valet Parking voll nicht in der Tiefgarage gegenüber Parken - überhöhte Raten - App funktioniert nie. ",6,Carolyn,2025-08-23
Close to Coors Field and Union Station.,10,Dena,2025-08-22
This place is super nice and clean and perfectly placed to go anywhere in downtown. It should be advertised better that there is ONLY valet parking. We were on motorcycles and still got charged for valet parking when we had to park our selves.,8,John,2025-08-21
It was short walk to Coors Field and an excellent breakfast available on premises. ,10,Dena,2025-08-21
