review_text,rating,author_name,timestamp
"Nice hotel.  We were able to check in early and got an accessible room.  If you are worried about slipping on a bathroom floor, don't get an accessible room as the shower is roll-in enabled.  I got water on the slick tile floor despite my best efforts and it was slippery.  Also found a very long hair in the sink and in the shower that didn't belong to me.  I went to use the pool and found it a bit cold and a bit green and cloudy so I didn't use the pool.  Like many of the shops and hotels along the Coastal Highway, there is only one way out of the parking lot.  If you want to go in the opposite direction you need to go down and turn around- which can be a bit of a nuisance when the hwy is busy which it often is.  It was a quiet hotel and we had a wonderful view of trees from our room on the back side of the hotel.  The breakfast was very good and hot.  The coffee was always hot too any time of day.  The staff were friendly and helpful. ",8,Carolyn,2025-10-07
"Main issue is the strong smell in the room, a mix of cleaning sprays and musty air from the A/C unit.  I am also not sure all the pillowcases were changed after the last occupant.  Finally, the eggs and sausage at breakfast tasted awful.  ",6,Fay,2025-09-29
The staff was very accommodating. Room equip for Handicapped needs was excellent.  Breakfast good.  AC very noisy and the bed was not as comfortable as in the past. Lots of highway traffic. Would I stay again.  Most certainly. ,8,Gloria,2025-09-28
Good,10,James,2025-09-28
"The room and hotel, in general, we’re very clean. Breakfast was great. The bartender was excellent!",10,Doreen,2025-09-27
,10,Gary,2025-09-24
Clean room,8,Tracey,2025-09-22
Rooms/bathrooms could be updated.  Good breakfast. I would advise all guests to review their final BILL as $8 was added to mine for someone charging snacks to my room.  It was removed but it left a bad taste.  This should not happen and the hotel needs to update their policy.,8,Joseph,2025-09-14
Nice people clean place ideal,10,James,2025-09-14
,10,Mary,2025-09-08
"Wonderful in every way! Clean, comfortable, newer and in good condition. Quiet nights sleep even though we were right next to the elevator. Surprisingly good breakfast (I'm generally not a fan of hotel breakfasts!). Beautiful deck eating area as well. We were already happy but realized a couple of hours after checking out that we had left a precious piece of jewelry in the room! Called and the front desk person went to the room and found it for us and was so kind about it!",10,Megan,2025-09-07
