review_text,rating,author_name,timestamp
Everyone was very nice!,10,Daman,2025-10-06
All good,10,Sharon,2025-10-06
I honestly can’t complain about this place. For the price it was a great stay. They met all my needs and I the staff were very attentive and helpful. ,10,Denise,2025-10-06
"Breakfast was nice. I wish a coffeemaker or microwave were in the room. Its nice to relax with a hot coffee or hot tea after unpacking or around bedtime. By the time you fix it in the lobby and return to room its cold. Also not going to lobby in bedclothes! Staff ok, but a little condescending when i needed assistance with tech on checkin.",6,Susan,2025-10-04
I had to ask about sheets for the sofa bed and I was informed that I would have to go down to the lobby to get my sheets.  Then I had to make my own bed. The nice lady said that was not her job to bring the sheets up to me.  Was a little disappointed at that. ,6,Tamra,2025-10-03
"Staff were friendly and helpful,  coffee is available in the lobby 24 hours, close to parking options for the airport, and beds were comfy.",10,Amy,2025-10-03
"Friendly staff, clean room, convenient location.  Shuttle to airport was flawless.  Driver was great.  Price was right.  Would stay again.",10,Derek,2025-10-02
Staff was helpful. Charged twice for parking- should not be charged AT all for overnight stay. Abundance of spaces . ,8,Kathryn,2025-10-02
"Ok, so The bird crap on the patio was a little disappointing. But my real complaint is they subcontract out the parking, which is just a pain in the ass to have to register and pay outside of the room payment. It was extremely aggravating after traveling for 10 hours. And then they had the nerve to call me in my room to say the shuttle was leaving if I wasn’t down in 3 minutes when the clock in the room said I had 15 minutes. Front desk attendant told me that we’re not responsible for setting the correct time on the room clocks! Then, at 12:30 AM, I called for a shuttle back and was told I’d have to wait until 1:30 AM because the shuttle just left and could not turn around to pick me up. It turns out they subcontracted the shuttle out as well, and driver told me he has 5 hotels to take care of. This place is far from Hilton standards, I recommend finding somewhere else to stay. ",6,Scott,2025-10-02
"We booked this hotel to save a little before an early morning flight, but it ended up being disappointing. The stay came with extra charges for parking, and the room itself had moths and ants. Unfortunately, this is not a place we would choose again.",4,Stephanie,2025-10-01
Breakfast was basics cold and hot cereal. Rooms were clean. ,8,Isaiah,2025-10-01
,10,gretchen,2025-09-30
Clean room,10,Kaydance,2025-09-29
Nice stay,10,Irasema,2025-09-29
"I did not stay. I could not get there because of a delayed flight and resulting missed connection. I asked for a refund. You refused, because I could only provide about 20 hours’ notice - not 24, because I did not know in time. Horrible, disappointing, greedy behavior. I did not cancel, because why would I? So you could be paid twice? I will not use you again. ",2,Kirk,2025-09-28
"The room and breakfast were fine.  My complaint is that I didn't like being nickel and dimed for parking.  If you want to charge for parking, roll it into the room rate and compete with the other nearby hotels on an apples-to-apples basis.",6,Michael,2025-09-28
"My room was fabulous, and the staff was very helpful and considerate",10,Robert,2025-09-27
"Paying for parking after I just paid close to $200 for a room was disconcerting. $10? Really?  Oh, and the breakfast at Spark hotels SUCKS. If I knew it was just toast your own bagels I would have went back to Drury. A hot breakfast is a real treat when traveling. Room was satisfactory. ",6,Michael,2025-09-27
"Room was clean but sparsely furnished.  No coffee maker, no chair only a stool, no microwave.  Beds were comfortable.  Had to pay for parking, which was surprising for an area with lots of open space around it.  Minimal parking out front with limited access to the building from the back lot.  No back entrance and no signage as to where the entrance was.  The side entrance I found in the dark only had stairs.  Staff was mixed, some friendly some not depending in the shift. Breakfast had a good amount of cold items (eggs were cold hard boiled) with a toaster available.  Heavy on carbs but had the eggs and yogurt for protein.  So very basic hotel that was clean, but would pick a different airport hotel next time.",6,Deborah,2025-09-27
"One would expect a first-class experience in a hotel with the name Hilton on the wall, but this is their attempt to cheapen up the product and increase profit based on brand recognition. First thing in the door is they will charge you $10 extra to park there, although it is a rural setting where space is not a premium. Then they seal coat half the parking lot but don't limit reservations, so there is no parking available. The room is quite nice and reasonably quiet unless you are near the elevator, which scrapes the floor and vibrates your bed every time it opens and closes 24/7. But at least, you suppose, the breakfast will be great in the morning? Cold cereal, toast and hard boiled eggs - more like a Days Inn at twice the price. Won't be staying there again.",6,Michael,2025-09-26
"This hotel has absolutely no insulation apparently because you hear everything in the hall, parking lot, next door. I was woken up hourly by someone talking or running through the hall. People should also know you have to pay for parking and try do not even give a bottle of water in the room. Would never stay here again!",4,Nicole,2025-09-26
Attentive staff,10,Carol,2025-09-25
Nice hotel. Very accommodating ,10,Rachel M,2025-09-25
proximity to the airport & parking,10,William,2025-09-23
"Clean room. Friendly staff. Air conditioned room. Hot shower. Breakfast was mid, but can’t complain; the coffee, bagel, and oatmeal got the job done. Didn’t like that I had to pay $11 to park the car outside. Enjoyed how close to the airport the hotel was. ",10,Daniel,2025-09-23
"Okay airport hotel, but sheets for the sofa bed were not clean.",6,Scott,2025-09-22
This is about as basic as basic can get but still updated. But good value go the money. ,6,Vanessa,2025-09-22
,10,Melody,2025-09-20
"I am not sure how this happened and it may not be Sparks problem but I arrived at 2:30 in the morning to be told I did not have a room.  The desk person said they overbooked and we didn’t have a room even though we reserved one. We didn’t know you have to pay through Expedia to “lock-in” the room.  Since we didn’t pay Expedia, our room was given to someone else. 

I’m in another city with my wife after traveling all night and now don’t have a room. Had to go 30 miles north to get a room. ",2,Jesus,2025-09-20
,10,Mellisa,2025-09-19
"As we were looking for a place to stay the night before flying out, we stayed here.  It worked perfectly, close to airport, very clean, reasonable price, room well designed.  We will stay here again.",10,Charles,2025-09-18
Very clean,10,Kathleen,2025-09-17
,10,Glenn,2025-09-17
,10,Hilary,2025-09-17
Toilet feels like you are going to sit on floor! No backup toilet paper. Only one washcloth.  No microwave.  They won't accept cash payments.  ,6,ELIZABETH,2025-09-17
,10,Britny,2025-09-17
,10,Andrea,2025-09-15
"Very friendly staff, newer clean hotel within walking distance of a good restaurant. Easy shuttle to/from airport",10,Julie,2025-09-15
"The surprise fee to park on the property I think is crap. Why would parking be an additional charge? Clerk at desk tells me the parking is managed by someone else.  I don't really care... I paid for a room and assume it includes parking. Especially when I am parking on the same property the building is on. Overall the facility is real nice and the room was great.  Parking fee, not so much.",8,Steven,2025-09-14
free parking. clean room,8,Arlette,2025-09-13
,10,Sophia,2025-09-11
,10,AmyEllen,2025-09-10
,10,Jessica,2025-09-10
Was disappointed that they charged for parking. I wasn't aware of that until after booking. Probably would have chosen somewhere else if we had known,8,Julie,2025-09-09
"Super clean, quiet, and right near the airport. There's tons of dining options nearby as well as gas stations for you to cap off your rental car. We were glad to take a chance on this new line of hotels, and we'll do it again next time!",10,Lindsey,2025-09-08
,6,STEVAN,2025-09-08
The breakfast was good with a variety of foods. The room was comfortable and clean.,10,Cynthia,2025-09-07
Wake up call was 20 min late. Thankfully my first alarm went off at correct time. ,10,Anna,2025-09-07
