review_text,rating,author_name,timestamp
,10,John,2025-10-07
"La ubicación es perfecta, muchas estaciones de metro cerca, opciones para comer,",8,Ana Marcela,2025-10-06
"My overall stay at this hotel was unsatisfactory. The sheets were dirty with
hair on them, which was unacceptable. Additionally, front desk staff members were extremely rude and lacked clear communication. The only positive experience I had was with the gentleman who greeted me and assisted with my bags  he was kind and professional. Unfortunately, this was my first and last stay here.",4,Shawntel,2025-10-04
"Nice Hotel, rather moderate size room. The receptionist was very helpful.",10,Panayiotis,2025-10-03
Bed was excellent. Exercise room excellent. Hotel clean and secure. ,10,John,2025-10-02
"This was our second time staying at this property and it is important to know that the staff is the best. They are accommodating and go above and beyond. When we checked in, I asked if room 1901 was available, as this was the room we stayed in previously and we loved it. It was quiet and had a beautiful view. Since that room was not available, we were given room 401. Unfortunately, that turned out to be a terrible room because the building's multiple fans were right outside our room causing loud noises all night. Second, there was a loud repeated humming noise coming from a ceiling light fixture. With all this loud noise, we could not sleep. The next day I went to the front desk and explained our situation and asked to be moved. Lucky for us, room 1901 was now available. The staff went above and beyond making sure we were comfortable and made sure to transfer our luggage to the new room. I will always consider this hotel on our next trip. I will always recommend this hotel to friends and family. I am grateful for the staff at this hotel. They are the best.",10,Ibtisam,2025-10-02
,10,Ana romelia,2025-10-01
Enjoyed walking to the mall across the street and the roof top bar next door.,10,David,2025-10-01
Friendly staff.,10,Steven,2025-09-28
Good ,10,Jamila,2025-09-28
,10,tina,2025-09-27
Clean room everything neat and comfortable ,10,Morag,2025-09-26
,10,Nerisa,2025-09-22
"Last minute booked this spot for me my fiance and two other friends, this hotel was great location, and the staff was incredibly friendly! ",10,Ivey,2025-09-20
,10,Loreal,2025-09-19
"Should have USB C type charging facility.
Should have complimentary stuff like toothpaste, shoe shiner etc
Should have fast room service",6,Muhammad,2025-09-19
I’m mad because I paid around $400 per a night and they charge me $250 extra even that we leave the room clean and organize ,2,Frida,2025-09-19
Nice,10,Richard,2025-09-18
"Like: conveniently located near shopping and metro. Helpful staff, clean room",8,Michelle Trisha,2025-09-17
Nada!,8,Gerardo,2025-09-16
"I just want to say this wasn’t my best Sheraton experience!! I went for my bday and ON my actual bday my bathroom ceiling started leaking and then I had to leave my room early, the hotel gave me no type of compensation for the inconvenience! The manager was very standoffish and rude whenever I had a complaint! Staff member Alize (spelling) was great but everyone else were not very friendly! I honestly would’ve liked a discount or a night back!! The area surrounding the hotel was not great! I will not be staying there again!!",6,Chimebere,2025-09-16
,10,Matthew,2025-09-15
What I like about the property is that there was a rooftop bar and restaurant inside the hotel it was definitely a vibe ,10,Kavon,2025-09-14
"I had the absolute BEST stay at this hotel, as often as I frequent NYC I decided to give a new hotel a shot & I am sure happy I did. Every bit of the hotel staff was amazing which is the main thing I look for as a female solo traveler.  ESPECIALLY the lovely Laylah who is at the front desk. I will definitely be back. so excited to stay here again! xx",10,Amialia,2025-09-14
"Will stay here again! Very clean room with maid service every day. Very cute cafe
In the lobby with pastries, etc and free coffee on the second floor. ",10,Suzanne,2025-09-14
Property could use updates,8,marilyn,2025-09-14
,10,Aria,2025-09-13
Un servicio de buena calidad y amabilidad todo limpio.Muchas gracias ,10,Ismael,2025-09-10
"Great place to stay. Close to different train stations. You can find everything you need across the street: Target, different food options, and many clothing stores on the strip. Everything was clean and staff were extremely helpful. ",10,Shauntel,2025-09-10
,4,Kevin,2025-09-10
,4,Tornike,2025-09-09
This is my go-to when I stay in Brooklyn.,10,Denise,2025-09-09
The place is great will continue coming back ,10,Errollyn,2025-09-08
,6,Deja,2025-09-07
,10,Hideki,2025-09-07
Stains,4,Monique,2025-09-06
,10,Yusef,2025-09-06
,10,Tashay,2025-09-06
Great location. Very good service. Check in could be a little cumbersome due to small staff but it wasn't too bad. ,10,Siwatu,2025-09-06
,10,Joseph,2025-09-05
"Rooms seemed to be clean and serviceable. Good location. However, the men's room downstairs was in an awful condition. There is no parking and the food options in the hotel are not great.",6,Verified traveler,2025-09-05
,10,Hiroyuki,2025-09-04
,10,Amilcar,2025-09-04
,10,DuJuan,2025-09-04
Location,8,Kerry,2025-09-03
,10,David,2025-09-03
,10,Jessica,2025-09-02
Staff was very friendly. Location is great close to several food places. And close to subway.,10,sonia,2025-09-02
