review_text,rating,author_name,timestamp
Check-in was easy. Requested a room with handicapped access and it was perfect! ,10,Lorna,2025-09-28
I thoroughly enjoyed my stay at the Hampton. Beautiful restored old town beauty ,10,Kirss,2025-09-24
Loud drag racing on Washington late at night. Area feels unsafe,2,Julie,2025-09-23
"I don’t even know where to begin on this review. Upon checking in the front desk charged our credit card for our stay and it had already been paid for. They stated they were running my card for incidentals, but charged my card for our two nights and the incidentals. That was eventually fixed after contacting Expedia. Our room was not great. There was mold all over the ceiling in the bathroom and the furnace that was readily accessible in the room filter was probably not changed for years.  The breakfast in the morning was just vile. Our room faced the street and I can’t even tell you how loud it was. We were on the sixth floor. It sounded like our window was open and we were on the first floor. We also did not get maid service while we were gone the entire day. Called down for towels at 11 PM and they told me to come get them myself.",4,Ben,2025-09-22
Stayed here a few times over the years. Always well maintained with good service. ,10,Rich,2025-09-21
Fantastic place downtown food around the corner was wonderful. The rooms are very well decorated even though they had kind of an old-school feel and the place is built very well.,10,Matthew,2025-09-20
,10,John,2025-09-20
Polite personnel ,10,Randy,2025-09-19
,10,Michaela,2025-09-16
,10,Kodie,2025-09-15
,10,Terri,2025-09-15
Was close to the reason I chose it ,10,Gary,2025-09-14
Comfortable bed and very quiet room,10,Karen,2025-09-09
X,10,Drew,2025-09-07
"The staff was friendly and so helpful. The building was beautiful and has an amazing history! Although the parking wasn't at the actual property, it was easy to get to. The breakfast was lovely and we had an overall great stay!",10,Kayli,2025-09-06
I paid for my parking. The spots are limited and drivers sometimes take up more than one spot. Ended up scratching my car trying to squeeze in. There is carpet in the fitness center which is odd. You can text the staff for assistance which was nice. Breakfast is nice,6,STEPHANIE,2025-09-05
The fact that we had to shlep our bags fromthe garage arou d the corner ,10,Patricia,2025-09-05
The room was run down and not maintained well.,4,Jacob,2025-09-04
