review_text,rating,author_name,timestamp
All around great stay!,10,Jamie,2025-10-07
"I love the property. It was a beautiful historic place located at a great area near so many places to eat, drink, and have fun at!",10,Ashley,2025-10-07
Downtown was really close and the area was really safe and nice ,10,Miguel,2025-10-06
Great place to stay. Love the fact they turned an old school into a hotel! Just beautiful,10,Jason,2025-10-05
Excellent quality and cleanliness. Highly recommend,10,Ernest,2025-10-05
,10,Ross,2025-10-05
"I enjoyed my stay at The Slate! I was in town for a concert, and, even though I was only there for one night, I was extremely impressed with the staff and facility! ",10,Stephany,2025-10-05
2 night stay. ,8,Daniel,2025-09-30
clean room. nice hotel restaurant. good location.,10,MIN SUHK,2025-09-28
,10,Josh,2025-09-27
Clean and quaint ,8,Jodi,2025-09-27
"Rooms were very clean, comfortable beds, great view of the Courtyard. The food in the restaurant was great, as well as the wait staff. Lobby, patio and all the grounds very clean and cozy. Downtown is very walkable, and I would definitely stay here again.",10,Valarie Grace,2025-09-25
It’s so cool that it’s a old school turned into a hotel ,10,Gabriela Noel,2025-09-24
,10,Amy,2025-09-24
"I recently stayed at The Slate Hotel in downtown Denver and I found it to be very convenient in terms of its location because it was within walking distance of most of the places I wanted to go.

Everyone I interacted with on the staff was very friendly and helpful.

The hotel was also very quiet.  It is my opinion that most of the people who stay at this hotel are probably in town for business, since the hotel is next to the Colorado Convention Center.  For this reason, I don't think there were many children, if any, present.  I think the lack of children helped to make the atmosphere much quieter than it may have been otherwise.  Also, my room was right next to the elevators, and I rarely heard the ding from the elevators or the noise from people talking in the hallways as they got on or off the elevators.

My particular room did not have a safe and I have read mixed opinions on whether an in-room safe is actually present.  While this did not really affect me, I know having a safe in the room is important for some people, so you might want to check ahead of time if this is important to you.

One concern I had after I had completed my stay was whether the hotel's staff was actually committed to saving the environment, as was indicated on the sign in the bathroom regarding reusing towels, etc.  I followed the instructions indicating that I wished to reuse my bathroom linens, but they were changed out on consecutive days despite this fact.

Overall, I would stay here again.",8,Clyde Lofton,2025-09-24
,10,Curtis,2025-09-24
,10,Gregory,2025-09-23
"Beautiful hotel, staff was excellent, very clean and well kept.  Was in town for business and this location is about 3 minutes from the Convention Center.",10,Jeffery,2025-09-22
Business friendly,8,John,2025-09-21
"Phone electricity ports were not working, so could not charge my phone. Bathroom shaving/makeup light not working.",8,Barbara,2025-09-21
Great property and location ,10,Beth,2025-09-19
"My husband and I loved our stay at this hotel. This was our first time visiting Denver for a weekend trip, and we were so grateful to be accommodated with an early check-in at 1PM after our flight arrived ahead of schedule. The staff was extremely friendly and welcoming, which we truly appreciated.

The hotel is clean, well-maintained, and thoughtfully decorated. We also enjoyed the convenience of having an onsite bar and restaurant. Its location is ideal—right next to the convention center and within walking distance of 16th Street, where there are plenty of shopping and dining options.

Overall, we thoroughly enjoyed our stay and would gladly return on our next visit to Denver.",10,Cynthia,2025-09-19
Great stay but but need better ,10,Veronica Patricia,2025-09-16
*,8,Brooke,2025-09-16
,10,Joanne,2025-09-15
,10,TJ,2025-09-15
The asthetic and ambience is 👌,10,Daniel,2025-09-15
,10,Anne,2025-09-14
,10,Kaylee,2025-09-14
Very clean rooms. Quiet hotel. Helpful staff. Great location. Close to downtown and the freeway. ,10,Kaylee,2025-09-14
,10,Fermin,2025-09-13
"Property was nice, the area around hotel a little sketchy, but the hotel itself, and staff were nice, would definitely stay there again.",10,Michelle,2025-09-13
,10,Adolph Samuel,2025-09-13
,10,Lisa,2025-09-10
,10,CLAYTON,2025-09-09
,10,Kathleen,2025-09-09
"Walkable,  clean, nice breakfast ",10,Dawn,2025-09-08
I arrived early. Very early and yet they accommodated me immediately with the perfect room so I could rest before the big game. Very very much appreciated.,10,Philip,2025-09-08
"Clean rooms, great location, accommodating staff.",10,Rob,2025-09-08
"Exclusive, clean, efficient, good gym , exceptional location for convention centre , only negative no safe in room.",10,Adam,2025-09-07
Very Close to downtown ,10,Andrew,2025-09-07
,10,Robert Shane,2025-09-07
Front desk staff were very welcoming as  well as the housekeeping . Will booked again with them . Safe for solo travelers.,10,Marisol,2025-09-07
Location was ok. For a 3 star hotel it was not bad. ,8,Tamira,2025-09-07
,10,Nicholas,2025-09-07
"I loved this hotel! If you like an academia vibe you will definitely like it. The common areas are especially well decorated. 
Everything is super clean and looks new. Beds are comfy. AC is excellent. Street parking was easy and free on Sunday and holidays. 
We had a main level corner room that faced the courtyard. The windows were huge and it was shockingly quiet. Not much view other than the other buildings in the school compound. If you want a grand lobby or big views or a pool, this is not the place. 
We had breakfast at the restaurant twice and it was excellent. Great coffee too. Service any time we were in the common areas was really good.
I would definitely return. My elementary kids also loved it, including the giant pencil statues outside. They got a kick out of sleeping in a school! 
",10,Verified traveler,2025-09-05
Excellent stay,10,James Jason,2025-09-04
Cool old school. You could feel the history. ,10,jeremy,2025-09-03
Beautifully renovated old school. Walkable to 16th street. We used scooters to get around one full day. Awesome experience in Denver all around!,10,Sharon,2025-09-03
,10,Ernesto Jr,2025-09-03
"Simply an AMAZING hotel experience! Beautiful, clean hotel with TONS of character and extremely helpful staff! Give the Teacher's Lounge bar and restaurant a visit while you're there! The bartenders were extremely friendly and fun to visit with. ",10,Lee,2025-09-03
"I thoroughly enjoyed my stay at The Slate. The hotel set up in an old high school made for such a unique and cute stay. The bar was fully stocked and had excellent and attentive bar tenders and the mini gift shop was supplied with any last minute essentials you could need, even a cute little ice cream freezer! The valet was always very quick with bring my car out. The hotel is located just a 15-30 minutes walk outside of downtown Denver and has few places around to explore night life but was still a very enjoyable stay, would definitely book here again.",10,Sarah,2025-09-02
Location was great for Labor Day weekend. Exhaust system was noisy and needed balancing.  USB ports did not work for charging,8,Steve,2025-09-02
,10,Mary,2025-09-02
,10,Michael,2025-09-02
,8,YueLing,2025-09-02
It was so unique how you could tell it was a school. The convenience store by the lobby was also great for whenever you’re craving any snacks. Hotel was super clean and employees were all very helpful!,10,Efrain Berumen,2025-09-02
,10,Russell,2025-09-01
Awesome former school converted to a hotel. Beautiful finishes throughout.,10,Sean,2025-09-01
We found carpet beetles on the bedding right before checking out!!!  When we notified the front desk there no concern except for stating they couldn't issue a refund because we booked through Expedia. We hadn't requested one!!! ,2,Christina,2025-09-01
,10,Kyle,2025-09-01
"Staff were amazingly friendly, room was clean, nice restaurant/room service. Close to downtown.",10,Clifford,2025-08-31
,10,jonathan,2025-08-31
We recently stayed at The Slate for a conference at the Colorado ,10,Kara,2025-08-30
Great stay. Convenient access to theater and Coors Field. Will definitely come back. Only negative is expensive parking.,10,Adan,2025-08-29
Really amazing experience ,10,Tal,2025-08-29
"The staff was very friendly, the room was great and the restaurant was tasty and convenient. A little off the beaten path unless one is going to the convention center.",10,Joseph Edward,2025-08-28
