review_text,rating,author_name,timestamp
Convenient to everything I needed to access.,10,Anne,2025-10-05
깔끔하게 정리 되었음,10,Moo-Seung,2025-10-04
Todo bien,10,Gerard,2025-10-03
Zeer vriendelijk en behulpzaam personeel. Prima gratis ontbijt. Kamer soms wat lawaaierig door airco motoren van buiten zoalsboversl in Manhattan. Prima uitvalsbasis voor dat-trips NYC,8,Frederikus,2025-10-01
They charge a premium for stay but not even water bottles provided? A bottle of water only during check-in? Pathetic!! ,6,Prince,2025-09-30
"Clean room, friendly staff, good breakfast, close to all Manhattan destinations, close access to transportation ",10,Nicolas,2025-09-30
"Excelente localização, café da manhã estilo americano, com opções básicas, acomodação de excelente qualidade, funcionários muito educados",10,Tatiana,2025-09-30
"Great hotel, will be back.",10,Kimberly,2025-09-29
Stay was all good.,10,Matt,2025-09-28
"Nice place et good staff 👍
",10,Philippe,2025-09-28
"Location is great, 
great staff
like my room",8,Beverly,2025-09-24
Nice hotel!  ,10,Katrin Clare,2025-09-22
 ,10,Gina,2025-09-21
,10,Nancy,2025-09-20
Camera spaziosa e confortevole. Colazione varia ed abbondante. Personale cortese e disponibile.,10,Stefano,2025-09-18
,10,Mohib Wadie,2025-09-14
No bottle of water provided at the property though I’m a Marriott Bonvoy member !!  ,6,Prince,2025-09-13
,10,Luiz,2025-09-11
"Perfect room, comfy bed. I was bracing for a poor experience with the elevators after reading other reviews, but those comments are unfair. The elevators are fast but sometimes they will stop at lots of floors. A third one would help but it’s not that bad. The longest wait we had in over a week was under 10 min. The breakfast is fine. Not the highest quality, but perfectly adequate although the plastic cutlery and paper plates would be unusual anywhere in Europe. I would stay again and recommend to friends and family. ",10,Lucas,2025-09-09
I usually stay around Hells Kitchen but happened to find this hotel and figured I’d give it a try. The room I had was a bit larger than most others I’ve seen in the city so that was a big plus! Also the kitchenette was nice to have but not very useful without the ability to actually cook anything - but I think that might’ve been an error on my part. Staff was friendly and helpful. The only major snag was having issues with the WiFi the first half of my trip but that eventually was resolved. Only annoying thing was that the elevators take FOREVER! The gym was pretty decent as well. Location wise it’s just a bit far from everything but it’s a nice area.,8,Tyler,2025-09-09
,10,Jocelyn,2025-09-09
,10,Leticia,2025-09-08
I was dropped off at hotel but was told I had reservation at another location. I had to walk to another hotel to check in. Everything was fine once I walked to the right hotel. Thankful I didn’t have luggage to carry to second hotel.,2,Betty,2025-09-06
,10,Verified traveler,2025-09-05
HVAC ,4,Catherine,2025-09-04
"Property was wonderful as I expected with all Marriotts that I stayed at. The  quality is always top of the line. I had an issue with my air condition, wasn't cooling. I called 8 PM and maintenance came right away switched out that unit, replaced it with a new one in less than an hour. No inconvenience at all. I give them five star for being wonderful, always ",10,Sharon,2025-09-03
,10,Monchito,2025-09-03
"Todo bien salvo la limpieza diaria. A pesar de que explícitamente dije que quería limpieza diaria, de 5 noches solo limpiaron 2 días. Ni tan solo hacer la cama. Muy mal, cuando además te lo preguntan. ",8,JAVIER,2025-09-01
Thanks you! We had a beautiful weekend ,8,Christelle,2025-08-31
"Clean, quiet, professional,,, ",10,Betty,2025-08-31
"Great location, clean",10,Alexandra,2025-08-31
,8,Sabrina,2025-08-30
"Abbiamo soggiornato una settimana con la mia famiglia. Avevamo la colazione inclusa e in camera avevamo l angolo cottura con la piastra. 
La colazione un po ripetitiva,ma tutto sommato andava bene.
Il personale gentile e disponibile. 
Vicino all hotel si trova la stazione della metro.
L unico neo è l ascensore;in alcuni orari rischi di aspettare. ",8,claudia,2025-08-30
Only thing forbme was the price of parking per day. It should be hourly. Also should not be charged $52 when you are in and out for a day. Otherwise the people were pleasant.,10,Chauncey,2025-08-30
,10,Chun-Chieh,2025-08-28
The Hotel was close to the places we visited,8,Afra,2025-08-27
Excellent,10,carlos,2025-08-26
,10,Braden,2025-08-26
,10,Serre,2025-08-25
The front desk staff are so nice and totally made my stay absolutely wonderful! They worked very hard to find me a place to park my truck and understood when I was frustrated. They took time to let me know where things I needed were. They are a great team!! ,10,Barbara,2025-08-24
Pueden mejorar los almuerzos ,8,Ernest,2025-08-23
For the first time in NYC I am glad to have picked this hotel. Close to places you can walk to which was very helpful. There was some good food places around also. ,10,Julia,2025-08-22
