review_text,rating,author_name,timestamp
Yes,8,isabel,2025-10-06
"The hotel is shops nearby ,staff friendly, breakfast is good .",10,Levin,2025-10-05
My only negatives were the hotel doors slam. My neighbors came in (each night of my stay) around 3:00 in the moriing and let their doors slam shut. It woke me up multiple times each night and that was rather annoying.,8,Cynthia,2025-10-03
Great location close to subway. Room was noisy at night. Breakfast is great.,8,Faye,2025-09-30
Really noisy due to roadway traffic.  Don’t stay without ear plugs,4,jed,2025-09-30
"The hotel is a dated property. Some of the major issues I had were:
- initial room had a mattress and headboard with blood stains, requested to change rooms
- water area in the lobby had many flies around
- thin walls and can hear everything happening on the floor 

I was here for a quick business trip and needed a few hours of sleep so i simply tolerated it. Will not return. Staff was friendly, especially the breakfast crew. ",4,Candy,2025-09-30
"Convenient location. Clean, basic room. Comfortable queen bed. Complementary breakfast. Lots of street noise even on higher floors, also very loud hvac in room. Room was missing a lamp on nightstand.",8,Ronald,2025-09-29
good ,8,Anna,2025-09-27
"Very nice staff and the breakfast which is probably standard Fairfield, was very good in quality. The noise level was also very good - substantial construction and minimal noise transfer between rooms and the also the elevator.",10,william,2025-09-26
….,6,Diego,2025-09-25
The staff were great!,10,Alexander,2025-09-24
The 2 ladies that helped check us in were absolutely the BEST...and the rest of the staff were very friendly and helpful.,10,Melissa,2025-09-24
I don't recommend this hotel for a family. I arrived very late night to hotel with my family. The area at the hotel is very bad with a,2,Surendra,2025-09-23
Todo excelente,10,Carolina,2025-09-23
Me and my family will definitely visit again. ,10,Tassia,2025-09-22
,4,Urszula,2025-09-21
,10,Lakiechia,2025-09-20
Amazing stay ,10,Keshia,2025-09-19
"I had a wonderful stay in July in celebration of my birthday. The dining area was under construction due to renovations, but breakfast was still provided every morning. Refreshing iced lemon water was provided all day in front of the main floor elevator. I was grateful to fill up my water bottle daily and have it as I explored the city in the summer heat. My room was pristine and cozy. My visit was a solo trip so the room was the perfect size for me. The bed was very comfortable, and I slept well every night. The bathroom was clean, modern and spacious with a large standalone shower. The hotel is on the East River close to Pier 11, Piers 15-17 and a short walk from the Brooklyn Bridge. The Clipper ship was visible every day when leaving or returning from the hotel. I loved my stay and when I visit New York in the future, I’d love to stay here again.",10,Deanna,2025-09-16
"I stayed for 2 nights and i had the best sleep.  The extra bonus was breakfast included. 

This is my first time visiting New York and my experience was so positive. I love the fact that the hotel was in walkable distance to subway and many attractions.

Walking along the water at night and checking out the lit up Manhattan bridge.

I felt very safe walking anywhere around rhe hotel.


",10,Ilene,2025-09-16
,8,Louis,2025-09-15
,10,Nancy,2025-09-13
"Wir hatten ein Familienzimmer Eckzimmer im 9. Stock. Das war super. 
Die Lage ist super. Wir waren zum zweiten Mal dort. ",10,Caroline,2025-09-09
Everything perfect for a short city trip. Even breakfast is included.,10,Max,2025-09-09
,8,Zorivette Meléndez,2025-09-08
Muy Komodo ,10,Verified traveler,2025-09-08
Excellent customer service from staff ,10,kathy,2025-09-08
Good ,10,Lakshya,2025-09-08
,6,Lars Hofmann,2025-09-06
N/A,8,KANYATTA,2025-09-04
Staff was very helpful. ,10,Sean,2025-09-04
,10,Felipe,2025-09-03
,6,Ho,2025-09-03
El desayuno es muy bueno para ser continental ,10,CARMEN,2025-09-02
"One of the worst hotel experiences I have ever had. The front desk staff are rude, unprofessional, and dishonest. We asked multiple times to switch our room and were assured it would be handled, but nothing was done. To make things worse, the staff member deliberately gave us a fake name, handed us keys that didn’t even work, and then had the audacity to rudely tell us to move our own luggage when we asked for help.

The behavior was shocking — disrespectful, dismissive, and completely unacceptable. After a long argument, we finally got the right keys, but still no assistance. This kind of treatment is a disgrace to any hotel that claims to care about its guests.

We are extremely annoyed, upset, and deeply disappointed by this experience. The lack of professionalism and outright rudeness at the front desk reflects very poorly on this hotel. If you value honesty, respect, or even basic hospitality, avoid this hotel at all costs.",2,Neha,2025-09-01
"Room was clean, staff very attentive and the breakfast was very good!",10,Vic,2025-09-01
,10,Marlen,2025-08-30
,10,Joe,2025-08-26
,8,Aalaap,2025-08-26
Nice location with easy access to all of NYC,10,Joseph,2025-08-26
Morning Breakfast and coffee being included saved time ,10,Badri,2025-08-23
,8,Russelle Anne,2025-08-22
"Abbiamo soggiornato per 6 notti in questo hotel.
Posizione comoda con due linee della metro vicine. 
Il personale lo abbiamo trovato poco disponibile alle nostre esigenze.
La colazione risulta essere per niente varia, la sala adibita è decisamente piccola per la quantità di ospiti, per avere garantito il posto a tavola ed evitare lunghe file ci recavamo alle  07:00 per non avere problemi.
Abbiamo trovato l’hotel decisamente poco curato, odori di cucinato e dí uovo a tutte le ore.
Le camere non sempre venivano pulite e anche per il cambio asciugamani abbiamo dovuto richiederlo personalmente.

",4,Gabriele,2025-08-21
"Recepcionistas simpáticos e atenciosos, bom café da manhã, depósito de bagagem e estrutura do quarto super confortável. 

Localização excelente para andar a pé e pegar metrô. ",10,Álvaro,2025-08-21
,10,Lindsay,2025-08-20
,10,David,2025-08-19
,10,Tony,2025-08-18
"I've stayed in Marriott's for over a decade, but this was by far the worst stay I've ever had.

Right away the details were wrongly advertised, the hotel is boxed in all sides with no views. 

Before checking in I specifically requested for a room with a view and the customer support agent confirmed that, but upon reaching the hotel, I was told that there were no rooms with a view.
I was then offered a room for disabled guests which had a street view.

The room itself has no luggage stand(this is a disabled room btw),
No locker, No microwave, very very shabby bathroom, the rooms had no sound proofing and heard loud noised like gushing water, slamming doors all throughout my stay.

The worst experience was that a Marriott hotel didn't have water bottles for over 3 days. They said their supplies hadn't come. 
A hotel that has no drinking water.

Will never stay here again.",2,Amiy,2025-08-17
,10,maria,2025-08-17
,6,Thomas,2025-08-16
Good location and transport access,8,Bianca,2025-08-16
Great price in a prime spot for New York with things to do around every corner,10,Noah,2025-08-16
,10,yanik,2025-08-15
,8,tayvon,2025-08-14
Easy walk to my concert destination,10,Sandra,2025-08-13
"The breakfast was better than expected. There was warm food with sausage, bacon, and eggs. Bagels, muffins, cereal were also provided. The oatmeal bar was a nice addition. It offered nuts, and other toppings that most facilities do not offer.",10,Jennifer,2025-08-13
NA,10,Biplab,2025-08-13
,2,Marcelo,2025-08-12
,8,Meshelle,2025-08-12
I’ve been here a couple  of times. ,10,Marilyn,2025-08-11
I was very happy with the hotel service.,10,Sheela,2025-08-09
,2,Luis,2025-08-07
