review_text,rating,author_name,timestamp
No easy access to boardwalk. We had to walk out to parking lot in front then around to the back for boardwalk.  ,8,Anne,2025-10-06
The location was great especially for the Neptune Festival.  ,10,Jeannie,2025-10-06
,8,Melissa,2025-10-05
,10,Nancy,2025-10-01
Overlooked the ocean,6,Sharon,2025-09-30
The receptionist is very helpfull,10,Juliet,2025-09-30
"Clean, good housekeeping, beautiful view of beach",8,Jamie,2025-09-29
Room did overlook the beach but beds were too high and the toilet was too low.,6,Bessie,2025-09-28
Nice hotel. Nice and clean room. The hot tub was awesome. Convenient walking. We the top floor room with roof top patio. Very cool.,10,Michael,2025-09-28
"Staff was awful, a throw back to 1984, dirty, nasty! Rooms were up dated but just ok. Would NOT recommend! ",4,Robert,2025-09-28
"This place was questionable mainly because the price was so inexpensive.  When I arrived I parked in the basement garage and thought it was small and maybe I’m no allowed to park there.  When I check i. The attendant was so nice and quick.  Or room was way better than the pics.  I thought we had a rioom with 2 queen beds but ended up with a top floor too
 With a king size bed and jacuzzii tub!  What a surprise and a balcony overlooking the ocean!  The AC worked great and we had a fridge that was so cold!  I have no complaints at all.  The staff was friendly and polite.  We had a wonderful stay for 3 days!  Don’t think twice about coming here.  It is close to everything!  We took advantage of that!",10,Timothy,2025-09-28
"Everything was perfect for us. The staff was super friendly, clean and quiet. We really liked being on the beach and near the boardwalk. It was great. Thank you.",10,Francois,2025-09-27
"Shopping options for beach souvenirs were good.  View was exceptional.  Did not interact with staff much, but they never asked was everything ok or about our stay there.  Hallway lights were burned out at night making it unsafe and the entire hotel needs some updating.  Would not be my choice in future",6,Sharon O.,2025-09-27
The room was much cleaner and fresher than the lobby or halls appeared. The view was spectacular though. Couldn’t have asked for a better room with a view. We were right at the 17th street pier. The Staff was good and friendly. The only downside was that breakfast was not offered. Only coffee was available but the machine offered many brew options and grinder fresh beans for each cup. ,10,Janet,2025-09-25
"The room was spacious, had a view of sunrise and sunset!  The Murphy bed was a fun surprise, my son loved it.

The balcony on the 7th floor was a fun place to watch the beach and boardwalk.  And we were given a wonderful air show.  Formations of fighters right over the roof.

The kitchen we didn't use was the only actually dirty place, the shower was unimpressive.  Pool was closed, couldn't find the beach access, had to leave the hotel from the parking lot driveway.

It was a good deal and we had a wonderful couple of days",6,Hector,2025-09-24
Good location great veiw didn't use amenities clean room and bathroom. ,6,Sherri,2025-09-23
