review_text,rating,author_name,timestamp
Nice place!!!,10,Gary,2025-10-06
"1st time at this hotel. We found it to be very accommodating from the hotel staff to the spacious hotel room and breakfast. We loved the attention to detail in our room, truly a pleasure to stay 2 nights for a quiet getaway trip. I would stay again.
.",10,Luis,2025-10-06
it was a nice stay,8,Stephanie,2025-10-04
The room was very clean and nice! It was a pleasant stay overall. I enjoyed the coffee and breakfast as well.,10,Hiroko,2025-10-04
"Nice place to stay . Good size rooms .
Will definitely comeback to this place.",8,Tony,2025-09-28
Rooms are comfortable. Staff are friendly and professional. Hotels needs some updates. Carpet throughout the property is dated.,8,ruth,2025-09-25
This Hilton is always consistent!!! The front desk staff is welcoming!!,10,Carol,2025-09-09
Breakfast was OK. Parking is expensive on Wi-Fi. Wasn’t that great,6,GINA,2025-09-05
"Totally surprised and how lovely the rooms were. Room felt like a suite. Pretty decor. Quiet. Kitchen stocked with plates, cups, paper towels etc.  ",10,Rachel,2025-09-04
.,6,Elena,2025-09-03
We loved it!,10,Kathleen,2025-09-01
,10,Wendy,2025-08-31
,8,Jessica,2025-08-30
Overall disappointing staff and service. Cleanliness was also an issue. ,4,Michael,2025-08-26
"It was close to activities and still quiet, beautiful location.",10,Holly,2025-08-25
,10,Katy,2025-08-23
Good location for Laguna Beach Festival of the Arts.,8,Louis,2025-08-22
"1. The daily parking fee was an unpleasant surprise.
2. Although staff informed me I only had to request an anti-slip mat for the shower, when i finally did, I was told they had none.",8,Neil,2025-08-22
Excellent experience ,10,Jill,2025-08-22
,10,Carlos,2025-08-21
,10,Cynthia,2025-08-21
Friendly staff and modern property,10,Nevin,2025-08-19
"Excellent location, service and price ",10,jorge,2025-08-19
"Breakfast was typical eggs from a carton(nasty), Mexican tortillas, chorzo (I think), oatmeal was runny. Toast was good so was the juices.",6,Rick,2025-08-18
,10,LUIS,2025-08-16
Good place. Unfortunately parking is paid ,8,Anatolii,2025-08-15
Pool and hot tub are good ,10,Tri,2025-08-15
"We checked in just in time for social hour where they had wine, cheese and other snacks for guests. The gym was nice and clean. And we enjoyed breakfast which had plenty of healthy options. The room was spacious and clean. We will definitely be back! ",10,Jennifer,2025-08-15
Great hotel and location ,10,Summer,2025-08-13
,10,Gisela,2025-08-13
The hotel itself was great. The room clean and spacious. The only thing I didn’t like is that they did not clean the room once while we were there. ,10,Liliana,2025-08-12
The hotel is located within walking distance of grocery stores and eateries. It was a quiet location that felt safe. ,10,Celeste,2025-08-12
,10,Yvette,2025-08-09
,8,Angela,2025-08-09
"Exelente hotel, muy limpio todo y muy confortables las habitaciones. El desayuno incluido es muy bueno. ",10,Georgina,2025-08-09
,8,Gianluca,2025-08-05
"Nice property, very friendly staff. My main issue is the mattresses and pillows. Both need to be replaced. Both beds in our room needed to be upgraded and all of the pillows were flat and bumpy. It made it very difficult for us to sleep, we actually had to buy pillows at Costco. I asked for new pillows but they were all super flat and bumpy too. Otherwise this is a great place to stay. ",6,Erin,2025-08-03
,8,Vito,2025-08-02
"A beautiful facility in a very nice location and onsite amenities, the room was spacious, clean and nicely fitted, I just wish room service was like done as promised, had to ask for a refresh after 3 days of no service at all, staff were super nice and supportive though, Parking is expensive and not included in the booking fee.",10,Amir,2025-07-30
,10,steve,2025-07-25
