review_text,rating,author_name,timestamp
"Toilet was jammed, service team haven’t closed our room after cleaning, so we came back to the room full of our stuff with the door staring open for half a day. Service was bad, staff are not knowledgeable neither friendly. At the checkout they couldn’t split out bill in two, only one payment station was working… no apologies or refunds at the end of this awful experience ",2,Tatyana,2025-10-06
"Aspetti positivi: Ottima location per muoversi a piedi nelle zone più belle di NY. 
Camera double double bella e molto spaziosa per gli standard di Manhattan. Letto comodo bagno grande e funzionale. Forse rivedrei l'illuminazione...davvero scarsa soprattutto per il make up. 
La cameriera del nostro piano (il 7) era davvero bravissima. 
Aspetti negativi: 
Le aree comuni non sono granché. 
La sera gli ascensori sono in condivisione con un club sul rooftop e questo comporta a volte lunghe attese. 
Nel complesso è un hotel che consiglierei. ",8,ALFREDO,2025-09-27
"The view from the room is amazing up on the high floors. The room is very comfortable. Cons: there is a bar on the 39th floor that goes untim 4am and is veru loud with dance music. But if you have white noise you wont hear it. Also when I was there the gym was a hot mess, buckets everywhere filled with water , I guess they had a leak. Could not work out the machines were affected by it. The staff was all very friendly and caring. ",8,Rinat,2025-09-22
,2,Ebrahim,2025-09-15
,10,Chelsea,2025-09-13
,10,stephen,2025-09-10
,10,Lindsey,2025-09-08
,10,stephen,2025-09-06
,10,Mantero,2025-09-02
"Awful. I was at this property in August and the air conditioning in my room was broken and the room stayed hot, humid and smelling of must. I notified the front desk Vincent who assured me maintenance would resolve the issue. When I returned later that evening the room was still hot. Again I went to the front desk, spoke with Jason who stated there were no other rooms available and maintenance would fix the air. Maintenance came could not fix the air, said the rooms were without air conditioning as well. Maintenance guy brought up a noisy fan with a sound decibel like a jet engine. Was informed by hotel manager Kim that I need to request a refund through Expedia. Absurd experience ",2,Laura,2025-08-31
,8,William,2025-08-30
Close to subway stations and nice conditions. ,10,Hao,2025-08-28
,10,Leonard,2025-08-28
,10,Jonah,2025-08-25
Excellent ,10,Gurvinder Pal,2025-08-23
"This is close to FIT and everything we needed to drop our daughter at college. The lobby is comfortable including a patio with covered seating. Free bottled water, coffee in the room, Kevin Murphy products and reasonable rooms for luggage despite it being in NY. Front desk was so easy and accommodating. ",10,Ami,2025-08-21
,8,Kami,2025-08-21
,10,Verified traveler,2025-08-19
"Nous avons passé 6 jours à l’hôtel Renaissance Chelsea, et nous avons été séduits par le service et le charme des chambres avec une vue dégagée sur la skyline. Je recommande à 100% cet hôtel pour quelques jours à New York, très bien situé et rien à envier à des grands hôtels 5 étoiles. ",10,Yasmine,2025-08-18
"The bed was super comfy. Live Jazz on Thursday night was amazing! Complementary bottled water, popcorn, and signature cocktails! It was fantastic!",10,Alethea,2025-08-13
"Great staff, made for a super stay.
Well located hotel and quiet.",10,SAZID,2025-08-13
,10,Dan,2025-08-11
,10,Heather Elizabeth,2025-08-11
Super cute and comfortable. Good area. ,10,Brianna,2025-08-11
,10,Wayne,2025-08-11
,8,Kathleen,2025-08-05
,8,Anne-Cathrine de,2025-07-30
Great location for visiting most sites.,10,Daniel,2025-07-29
It was amazing very accomadating and exciting place people are polite and roof top party is amazing would definitely go there again ,10,Peter,2025-07-22
,8,Dan,2025-07-21
The hotel was great and the staff were excellent. ,10,Mario,2025-07-21
,8,Charlie,2025-07-20
"First time exploring the Chelsea area & the location of this hotel was perfect!

I was worried about the club next door on a Saturday night, but honestly we forgot all about because it was actually quiet. ",10,Jeffrey Frederick,2025-07-18
The A/C was not working ,6,Gabriela,2025-07-17
,10,Steven,2025-07-16
,10,Mukesh,2025-07-16
,10,Thomas,2025-07-15
,10,Kasey,2025-07-14
Excellent service and stay.  Out twin bed room was a good size for NYC.  The hotel was close to the subway and tourist events.  It was our first time and it won't be our last.,10,Anthony,2025-07-13
,10,Taya,2025-07-12
,10,Savleen,2025-07-11
Great location…walking distance to everything including multiple subway lines. ,10,Michelle,2025-07-11
"Good location, rooms ",6,Balkar,2025-07-06
,8,Richard,2025-07-06
Nice hotel and good rooms,10,Saurabh,2025-07-02
,8,Christopher,2025-06-29
I loved that is very close to everything. ,10,Julissa,2025-06-29
elevators took at least 5-10 minutes,4,alan,2025-06-29
,10,Prakruti,2025-06-29
,8,George,2025-06-27
Everything from check-in to the room experience was exceptional!,10,Deanna,2025-06-18
"Even though I stated I didn’t want housekeeping at check in, they still tried to come into my room to clean. Why ask if the choice isn’t respected?",8,Susan,2025-06-14
Incredible stay.  Awesome location and staff was top notch.  Head up that there is a $30 per day fee that must be used in their bar or restaurant or you are charged regardless.  ,10,Marisa,2025-06-13
Nice place ,10,Jason,2025-06-12
"Nothing bad about the property, the only constructive criticism is that F&B specifically the Bar could use a revamp in their menu and service.

At the bar the service was not bad, but was dry - it can definitively be more personalized and attentive.",10,David,2025-06-11
,10,Orlanda,2025-06-10
,10,Clare,2025-06-09
Great,10,Anthony,2025-06-08
Super comfy beds! So quiet. Lovely and clean. Free bottles of water on front desk always. Got complimentary breakfast one morning for 2 of our party. Plus late check out 2pm. Would highly recommend and would stay again. ,10,katie,2025-06-05
"Nice 4-star hotel in the heart of Chelsea. We stayed for 5 nights in a King Corner Room with a city view — the room was relatively spacious by NYC standards and the view didn’t disappoint. A solid choice for a longer stay. The hotel also features a great rooftop bar, perfect for relaxing after a day out in the city or for clubbing in the evening. ",10,Anders,2025-06-05
"Ótima localização.
Boa opção de café da manhã.
Quarto confortável.
Ótimo chuveiro.
Tem uma pegadinha: te oferecem um voucher de consumo diário de U$30,00 mas na verdade serve para cobrir a taxa de turismo da cidade e não para consumo interno.",8,SILVIO,2025-06-03
,10,Lorie,2025-05-31
여러곳을 도보로 걸어서 이용하기 정말 좋았어요,8,EUNJI,2025-05-28
Very good location great hotel. We didn’t have hot water for one of the days due to an emergency and the room was a little dusty apart from that I couldn’t fault it ,6,Nassma,2025-05-28
,8,Anders,2025-05-28
,8,Catherine,2025-05-18
,6,Fia,2025-05-15
,10,Natalie,2025-05-13
,10,Andy Douglas,2025-05-12
,10,Rachely,2025-05-12
,10,Leonard,2025-05-09
,10,Denise,2025-05-05
,10,Shelsye,2025-05-03
,4,DEBBIE,2025-05-02
*,10,Edward,2025-05-02
"A really disappointing stay. We were downgraded on our first night. The room smelt like very strong smoke, the air con rattled all night and the bed sheets and pillows had a really bad smell. 

Breakfast at the hotel was honestly one of the worst I’ve experienced. $35 and extremely limited choice. Very small dining area and the service was very poor. 

Reception staff were mostly rude, not very welcoming, and any issue we had was met with a very blank uninterested expression. 

We had to ask daily for our room to be cleaned/ towels changed. Very annoying if you’ve been out all day and then return to a your hotel room with no clean towels or bed made.  



",2,Daniel,2025-04-27
"Very clean, super comfortable bed and located just enough in the cut to get away when you need to. Great spot.",10,Orlando,2025-04-22
Very nice hotel and great location. So many things within walking distance. Staff is very friendly and courteous.  Will chose this place again at next NYC trip.  ,10,Dr. Hina,2025-04-20
"Great location, great restaurant and bar in side. 
Free bottles of water!",10,lisa,2025-04-20
Perfect location !!!! ,8,Roberto Jose,2025-04-19
滞在期間中に友人からの郵送で届け物があったのにホテルスタッフから知らされておらず、チェックアウト後に友人が問い合わせをするまで届け物がある事自体知らずに受け取れなかった。それ以外は特に困ったことはなかった。,6,Ikki,2025-04-17
,10,Fredelynn,2025-04-17
,10,Nathaniel,2025-04-13
Great place to stay! ,10,Lisa Marie,2025-04-12
,8,Rare.,2025-04-10
