review_text,rating,author_name,timestamp
"Stay was fine, paid for continental breakfast, when checking in was not given access to this so missed out on breakfast on some of the days. ",8,Amanda,2025-10-07
Great location! Great staff!  Not a warm inviting lobby.  Clean but certainly not luxurious.  Expensive parking.,8,Sara,2025-09-19
,10,Oshinique,2025-09-12
,10,david,2025-09-08
,8,Dianne,2025-09-02
Room was clean but hallway on 7th floor definitely needs carpet cleaning. ,8,David,2025-09-01
,10,Staci,2025-09-01
Dog barking ruined sleep on Friday (after 11pm),6,Patrick,2025-08-31
,10,Gregory,2025-08-25
"The staff was above and beyond professional and friendly. 
The restaurant was exceptional. I enjoyed a wonderful meal at the bar. 
I thought I lost a ring and they responded immediately to look for it and called me back even when they did not find it. Instead of saying we will call you if we find it. I later found it in my suitcase. ",10,Julie,2025-08-25
AAAAA+ staff,10,Ellen,2025-08-24
Nice stay,10,Josue,2025-08-21
,10,Ihor,2025-08-19
"Aging- worn wallpaper and carpets (13 floor) 
Disgusting pool water. ",6,Bonnie,2025-08-19
Everyone from front desk to housekeeper and restaurant staff was going above and beyond ,10,Marcel,2025-08-11
,10,Audrianna,2025-08-08
 ,10,Sam,2025-08-08
Great Value,10,Constantine,2025-08-08
Pleasant Stay. Friendly staff ,10,Claudia,2025-08-06
,8,Daniel Ricardo,2025-08-05
,10,Tracy,2025-08-04
Great place. Best Italian restaurant ,10,Earl,2025-08-04
,10,Salomon,2025-08-02
Bed was super comfortable ,8,silenny,2025-08-02
,10,oscar,2025-07-28
Room was dirty. Bathroom tub was dirty. Believe it was a drain problem. Hotel was very noisy you had to park in the back of hotel very dark. ,2,Xavier,2025-07-25
We were scrambling for a place to stay after our original place canceled on us. Got here and the staff was amazingly sweet the did everything they could to help us.,10,Ashley,2025-07-25
I had to wait 30 minutes for check in because I had booked using Expedia and I guess it hadn’t went through yet.. when I entered the room I saw there was trash left in the garbage bin. When i was checking the sheets with a flashlight as I held them up I saw stains on it.,8,Jesus,2025-07-24
Clean and quiet,8,Rhoda,2025-07-22
"It was amazing, all I could ask for. Everything was great and everyone was super friendly and so nice highly recommend to everyone I know.",8,Ryan,2025-07-21
"We had a wonderful stay! Our room with two queens was so nice, and the bathroom was huge with a terrific glassed-in shower that felt like something at a spa. There was a nice sitting area with chairs and a loveseat. We were able to log into our own Amazon Prime account for movie viewing on the television, which was very convenient. We had a very nice view on the 12th floor. The beds/linens/towels/pillows/comforters were so nice. We enjoyed eating at Saranello's downstairs, just a short walk from our room. We'll be back!",10,Rae Anne,2025-07-20
Love it,10,Marcel,2025-07-18
Our stay was great from start to finish. The kids loved the pool and we all slept well in the cozy beds! Check in and checkout was a breeze even with a busy weekend of weddings and a big lacrosse tournament! Would definitely stay here again! ,10,Anne,2025-07-17
,10,kartavya,2025-07-08
Even when there were issues they were quick to fix the issue ,10,Angela,2025-07-06
Great customer service from the moment I arrived. I was treated more like family instead of a guest. Would recommend this location. ,10,Jessica,2025-06-30
,10,Ellen,2025-06-27
,10,Julianne,2025-06-25
"The beds are amazing. 
Disappointed at check-in. My self and another guest just stood there while the 2 co-workers had a conversation. Clearly seeing us standing there. Unwilling to even acknowledge as with a simple, we will be right with you. ",10,Debbie,2025-06-10
,10,Aram,2025-06-08
,8,Beth,2025-05-27
